"","soil.subsites.site_unique","soil.subsites.site_location_name","soil.subsites.site_location_visit_id","soil.subsites.subsite_id","soil.subsites.zone","soil.subsites.easting","soil.subsites.northing","soil.subsites.ten_to_twenty_barcode","soil.subsites.zero_to_ten_barcode","soil.subsites.twenty_to_thirty_barcode","soil.subsites.comments","soil.subsites.metagenomic_barcode"
"1","NTTMGD0001-53521","NTTMGD0001",53521,"2",53,332483,8088467,"NTT  000008","NTT  000007","NTT  000009","litter","AUG006229"
"2","NTTMGD0001-53521","NTTMGD0001",53521,"3",53,332486,8088453,"NTT  000011","NTT  000010","NTT  000012","stoney","AUG006230"
"3","NTTMGD0001-53521","NTTMGD0001",53521,"4",53,332495,8088458,"NTT  000014","NTT  000013","NTT  000015","cryptogam","AUG006231"
"4","NTTMGD0001-53521","NTTMGD0001",53521,"5",53,332473,8088452,"NTT  000017","NTT  000016","NTT  000018","litter","AUG006232"
"5","NTTMGD0001-53521","NTTMGD0001",53521,"6",53,332557,8088467,"NTT  000020","NTT  000019","NTT  000021","stoney","AUG006233"
"6","NTTMGD0001-53521","NTTMGD0001",53521,"7",53,332515,8088850,"NTT  000023","NTT  000022","NTT  000024","bare ground base of anthill","AUG006234"
"7","NTTMGD0001-53521","NTTMGD0001",53521,"9",53,332554,8088539,"NTT  000029","NTT  000028","NTT  000030","gravel","AUG006236"
"8","QDACHC0003-53467","QDACHC0003",53467,"1",54,720038,7331197,"QDA   050540","QDA   050539","QDA   050541","bare ground","QDA 053766"
"9","QDACHC0003-53467","QDACHC0003",53467,"2",54,720048,7331200,"QDA   050543","QDA   050542","QDA   050544","base of Eremophila","QDA 053767"
"10","QDACHC0003-53467","QDACHC0003",53467,"3",54,720059,7331200,"QDA   050546","QDA   050545","QDA   050547","open bare ground","QDA 053768"
"11","QDACHC0003-53467","QDACHC0003",53467,"4",54,720054,7331209,"QDA   050549","QDA   050548","QDA   050550","open grassland","QDA 053769"
"12","QDACHC0003-53467","QDACHC0003",53467,"5",54,720047,7331212,"QDA   050552","QDA   050551","QDA   050553","Acacia cambadgei","QDA 053770"
"13","QDACHC0003-53467","QDACHC0003",53467,"6",54,720038,7331200,"QDA   050555","QDA   050554","QDA   050556","base of Gidgee","QDA 053771"
"14","QDACHC0003-53467","QDACHC0003",53467,"7",54,720131,7331279,"QDA   050558","QDA   050557","QDA   050559","base of Gidgee","QDA 053772"
"15","QDACHC0003-53467","QDACHC0003",53467,"8",54,720133,7331205,"QDA   050561","QDA   050560","QDA   050562","open grassland","QDA 053773"
"16","QDACHC0003-53467","QDACHC0003",53467,"9",54,720086,7331242,"QDA   050564","QDA   050563","QDA   050565","under Gidgee","QDA 053774"
"17","QDACHC0004-53468","QDACHC0004",53468,"1",54,509359,7376912,"QDA   050646","QDA   050645","QDA   050647","low grassy rise/ridge","QDA 053775"
"18","QDACHC0004-53468","QDACHC0004",53468,"2",54,509362,7376928,"QDA   050649","QDA   050648","QDA   050650","bare ground","QDA 053776"
"19","QDACHC0004-53468","QDACHC0004",53468,"3",54,509369,7376934,"QDA   050652","QDA   050651","QDA   050653","under Coolabah","QDA 053777"
"20","QDACHC0004-53468","QDACHC0004",53468,"4",54,509377,7376943,"QDA   050655","QDA   050654","QDA   050656","beside Bluebush","QDA 053778"
"21","QDACHC0004-53468","QDACHC0004",53468,"5",54,509387,7376930,"QDA   050658","QDA   050657","QDA   050659","amongst grass","QDA 053779"
"22","QDACHC0004-53468","QDACHC0004",53468,"6",54,509405,7376956,"QDA   050661","QDA   050660","QDA   050662","amongst grass","QDA 053780"
"23","QDACHC0004-53468","QDACHC0004",53468,"7",54,509372,7376992,"QDA   050664","QDA   050663","QDA   050665","bare ground","QDA 053781"
"24","QDACHC0004-53468","QDACHC0004",53468,"8",54,509457,7377000,"QDA   050667","QDA   050666","QDA   050668","beside Bluebush","QDA 053782"
"25","QDACHC0004-53468","QDACHC0004",53468,"9",54,509452,7376911,"QDA   050670","QDA   050669","QDA   050671","bare ground","QDA 053783"
"26","QDACHC0005-53522","QDACHC0005",53522,"1",54,507373,7376592,"QDA   050674","QDA   050673","QDA   050675","Bare ground","QDA 053784"
"27","QDACHC0005-53522","QDACHC0005",53522,"2",54,507375,7376598,"QDA   050677","QDA   050676","QDA   050678","Bare ground","QDA 053785"
"28","QDACHC0005-53522","QDACHC0005",53522,"3",54,507387,7376593,"QDA   050680","QDA   050679","QDA   050681","Bare ground","QDA 053786"
"29","QDACHC0005-53522","QDACHC0005",53522,"4",54,507386,7376586,"QDA   050683","QDA   050682","QDA   050684","Bare ground","QDA 053787"
"30","QDACHC0005-53522","QDACHC0005",53522,"5",54,507380,7376592,"QDA   050686","QDA   050685","QDA   050687","Bare ground","QDA 053788"
"31","QDACHC0005-53522","QDACHC0005",53522,"6",54,507419,7376631,"QDA   050689","QDA   050688","QDA   050690","Bare ground","QDA 053789"
"32","QDACHC0005-53522","QDACHC0005",53522,"7",54,507380,7376675,"QDA   050692","QDA   050691","QDA   050693","Gully Bank","QDA 053790"
"33","QDACHC0005-53522","QDACHC0005",53522,"8",54,507451,7376678,"QDA   050695","QDA   050694","QDA   050696","Bare ground","QDA 053791"
