"","tmin","time"
"1",9.9609375,1980-01-01
"2",11.1005859375,1980-01-02
"3",17.2109375,1980-01-03
"4",14.1513671875,1980-01-04
"5",10.3212890625,1980-01-05
"6",10.0712890625,1980-01-06
"7",11.62109375,1980-01-07
"8",14.6005859375,1980-01-08
"9",14.640625,1980-01-09
"10",14.630859375,1980-01-10
"11",16.44140625,1980-01-11
"12",13.640625,1980-01-12
"13",13.611328125,1980-01-13
"14",12.8212890625,1980-01-14
"15",13.7314453125,1980-01-15
"16",8.05078125,1980-01-16
"17",13.0009765625,1980-01-17
"18",19.791015625,1980-01-18
"19",9.53125,1980-01-19
"20",10.521484375,1980-01-20
"21",11.771484375,1980-01-21
"22",12.9912109375,1980-01-22
"23",14.7607421875,1980-01-23
"24",11.470703125,1980-01-24
"25",14.791015625,1980-01-25
"26",9.8310546875,1980-01-26
"27",9.69140625,1980-01-27
"28",11.111328125,1980-01-28
"29",14.5712890625,1980-01-29
"30",9.19140625,1980-01-30
"31",11.560546875,1980-01-31
"32",16.24609375,1980-02-01
"33",15.9658203125,1980-02-02
"34",8.2158203125,1980-02-03
"35",9.0361328125,1980-02-04
"36",10.5556640625,1980-02-05
"37",11.6962890625,1980-02-06
"38",7.8857421875,1980-02-07
"39",8.236328125,1980-02-08
"40",7.166015625,1980-02-09
"41",8.255859375,1980-02-10
"42",12.146484375,1980-02-11
"43",19.2763671875,1980-02-12
"44",18.0361328125,1980-02-13
"45",18.666015625,1980-02-14
"46",16.2861328125,1980-02-15
"47",15.986328125,1980-02-16
"48",17.81640625,1980-02-17
"49",16.9560546875,1980-02-18
"50",20.095703125,1980-02-19
"51",22.646484375,1980-02-20
"52",19.095703125,1980-02-21
"53",14.1259765625,1980-02-22
"54",9.7060546875,1980-02-23
"55",12.2861328125,1980-02-24
"56",7.5458984375,1980-02-25
"57",11.5361328125,1980-02-26
"58",16.765625,1980-02-27
"59",19.65625,1980-02-28
"60",14.2255859375,1980-02-29
"61",10.6640625,1980-03-01
"62",11.7236328125,1980-03-02
"63",8.32421875,1980-03-03
"64",13.814453125,1980-03-04
"65",11.6435546875,1980-03-05
"66",10.1943359375,1980-03-06
"67",16.6640625,1980-03-07
"68",13.8837890625,1980-03-08
"69",6.1435546875,1980-03-09
"70",6.9541015625,1980-03-10
"71",11.93359375,1980-03-11
"72",11.484375,1980-03-12
"73",14.734375,1980-03-13
"74",9.9638671875,1980-03-14
"75",12.3037109375,1980-03-15
"76",10.9638671875,1980-03-16
"77",9.8837890625,1980-03-17
"78",16.263671875,1980-03-18
"79",13.173828125,1980-03-19
"80",11.3935546875,1980-03-20
"81",18.2744140625,1980-03-21
"82",9.833984375,1980-03-22
"83",7.8037109375,1980-03-23
"84",9.234375,1980-03-24
"85",11.07421875,1980-03-25
"86",11.2138671875,1980-03-26
"87",13.8935546875,1980-03-27
"88",10.82421875,1980-03-28
"89",7.6142578125,1980-03-29
"90",10.333984375,1980-03-30
"91",6.7939453125,1980-03-31
"92",8.0478515625,1980-04-01
"93",10.5078125,1980-04-02
"94",9.818359375,1980-04-03
"95",7.427734375,1980-04-04
"96",11.6884765625,1980-04-05
"97",5.8681640625,1980-04-06
"98",7.1083984375,1980-04-07
"99",6.998046875,1980-04-08
"100",8.3681640625,1980-04-09
"101",10.59765625,1980-04-10
"102",14.91796875,1980-04-11
"103",12.1376953125,1980-04-12
"104",12.6982421875,1980-04-13
"105",12.908203125,1980-04-14
"106",17.2880859375,1980-04-15
"107",15.7978515625,1980-04-16
"108",15.837890625,1980-04-17
"109",17.3076171875,1980-04-18
"110",16.818359375,1980-04-19
"111",17.2880859375,1980-04-20
"112",16.248046875,1980-04-21
"113",17.7880859375,1980-04-22
"114",15.2978515625,1980-04-23
"115",11.5576171875,1980-04-24
"116",9.5283203125,1980-04-25
"117",10.23828125,1980-04-26
"118",5.7978515625,1980-04-27
"119",3.8681640625,1980-04-28
"120",4.5078125,1980-04-29
"121",7.34765625,1980-04-30
"122",5.1142578125,1980-05-01
"123",5.8037109375,1980-05-02
"124",9.32421875,1980-05-03
"125",12.0244140625,1980-05-04
"126",10.7236328125,1980-05-05
"127",13.744140625,1980-05-06
"128",14.994140625,1980-05-07
"129",11.1240234375,1980-05-08
"130",12.18359375,1980-05-09
"131",14.1943359375,1980-05-10
"132",8.3935546875,1980-05-11
"133",8.3037109375,1980-05-12
"134",7.2138671875,1980-05-13
"135",7.75390625,1980-05-14
"136",7.103515625,1980-05-15
"137",10.154296875,1980-05-16
"138",6.333984375,1980-05-17
"139",3.84375,1980-05-18
"140",7.5537109375,1980-05-19
"141",8.583984375,1980-05-20
"142",2.3642578125,1980-05-21
"143",5.4443359375,1980-05-22
"144",4.4736328125,1980-05-23
"145",8.423828125,1980-05-24
"146",7.0341796875,1980-05-25
"147",9.234375,1980-05-26
"148",9.57421875,1980-05-27
"149",10.814453125,1980-05-28
"150",6.9541015625,1980-05-29
"151",5.1240234375,1980-05-30
"152",7.75390625,1980-05-31
"153",7.6162109375,1980-06-01
"154",5.345703125,1980-06-02
"155",4.92578125,1980-06-03
"156",6.7255859375,1980-06-04
"157",5.486328125,1980-06-05
"158",3.81640625,1980-06-06
"159",5.3857421875,1980-06-07
"160",3.2763671875,1980-06-08
"161",5.396484375,1980-06-09
"162",5.1259765625,1980-06-10
"163",4.6259765625,1980-06-11
"164",5.7763671875,1980-06-12
"165",7.1259765625,1980-06-13
"166",1.6357421875,1980-06-14
"167",5.3359375,1980-06-15
"168",6.7763671875,1980-06-16
"169",5.4560546875,1980-06-17
"170",3.986328125,1980-06-18
"171",4.06640625,1980-06-19
"172",4.576171875,1980-06-20
"173",3.7958984375,1980-06-21
"174",3.166015625,1980-06-22
"175",5.1259765625,1980-06-23
"176",5.486328125,1980-06-24
"177",5.3564453125,1980-06-25
"178",8.3056640625,1980-06-26
"179",8.9462890625,1980-06-27
"180",5.486328125,1980-06-28
"181",6.7255859375,1980-06-29
"182",4.3662109375,1980-06-30
"183",6.716796875,1980-07-01
"184",7.056640625,1980-07-02
"185",6.2265625,1980-07-03
"186",4.52734375,1980-07-04
"187",5.5869140625,1980-07-05
"188",7.4873046875,1980-07-06
"189",8.2666015625,1980-07-07
"190",5.3974609375,1980-07-08
"191",3.4970703125,1980-07-09
"192",1.9873046875,1980-07-10
"193",4.5673828125,1980-07-11
"194",3.376953125,1980-07-12
"195",5.95703125,1980-07-13
"196",6.2265625,1980-07-14
"197",6.6474609375,1980-07-15
"198",5.5068359375,1980-07-16
"199",5.52734375,1980-07-17
"200",3.02734375,1980-07-18
"201",3.046875,1980-07-19
"202",3.8369140625,1980-07-20
"203",3.447265625,1980-07-21
"204",2.9765625,1980-07-22
"205",2.1767578125,1980-07-23
"206",1.7373046875,1980-07-24
"207",3.1572265625,1980-07-25
"208",4.7470703125,1980-07-26
"209",9.6865234375,1980-07-27
"210",7.02734375,1980-07-28
"211",3.8974609375,1980-07-29
"212",2.8369140625,1980-07-30
"213",3.2265625,1980-07-31
"214",3.205078125,1980-08-01
"215",6.224609375,1980-08-02
"216",2.724609375,1980-08-03
"217",2.6748046875,1980-08-04
"218",3.4052734375,1980-08-05
"219",3.4052734375,1980-08-06
"220",5.275390625,1980-08-07
"221",3.6845703125,1980-08-08
"222",4.724609375,1980-08-09
"223",4.4248046875,1980-08-10
"224",9.044921875,1980-08-11
"225",5.1552734375,1980-08-12
"226",4.6845703125,1980-08-13
"227",5.6953125,1980-08-14
"228",1.78515625,1980-08-15
"229",1.115234375,1980-08-16
"230",0.615234375,1980-08-17
"231",1.474609375,1980-08-18
"232",6.96484375,1980-08-19
"233",8.134765625,1980-08-20
"234",6.3154296875,1980-08-21
"235",6.0947265625,1980-08-22
"236",8.474609375,1980-08-23
"237",5.9150390625,1980-08-24
"238",4.125,1980-08-25
"239",1.78515625,1980-08-26
"240",5.365234375,1980-08-27
"241",6.6552734375,1980-08-28
"242",6.5654296875,1980-08-29
"243",8.1748046875,1980-08-30
"244",8.89453125,1980-08-31
"245",7.1064453125,1980-09-01
"246",4.7958984375,1980-09-02
"247",3.4755859375,1980-09-03
"248",8.90625,1980-09-04
"249",3.0458984375,1980-09-05
"250",4.9462890625,1980-09-06
"251",10.8359375,1980-09-07
"252",7.416015625,1980-09-08
"253",5.3056640625,1980-09-09
"254",7.24609375,1980-09-10
"255",6.255859375,1980-09-11
"256",5.076171875,1980-09-12
"257",3.1064453125,1980-09-13
"258",7.015625,1980-09-14
"259",7.2060546875,1980-09-15
"260",4.845703125,1980-09-16
"261",11.0556640625,1980-09-17
"262",4.8056640625,1980-09-18
"263",7.015625,1980-09-19
"264",3.2861328125,1980-09-20
"265",5.2958984375,1980-09-21
"266",9.4560546875,1980-09-22
"267",6.685546875,1980-09-23
"268",15.7763671875,1980-09-24
"269",12.7255859375,1980-09-25
"270",4.896484375,1980-09-26
"271",5.49609375,1980-09-27
"272",6.1962890625,1980-09-28
"273",10.90625,1980-09-29
"274",14.2958984375,1980-09-30
"275",7.19140625,1980-10-01
"276",10.5712890625,1980-10-02
"277",4.701171875,1980-10-03
"278",3.94140625,1980-10-04
"279",10.541015625,1980-10-05
"280",13.8505859375,1980-10-06
"281",7.12109375,1980-10-07
"282",7.390625,1980-10-08
"283",9.53125,1980-10-09
"284",8.7314453125,1980-10-10
"285",9.2109375,1980-10-11
"286",9.55078125,1980-10-12
"287",8.8505859375,1980-10-13
"288",6.470703125,1980-10-14
"289",8.4814453125,1980-10-15
"290",10.1611328125,1980-10-16
"291",9.390625,1980-10-17
"292",14.810546875,1980-10-18
"293",10.94140625,1980-10-19
"294",15.0712890625,1980-10-20
"295",8.041015625,1980-10-21
"296",11.7314453125,1980-10-22
"297",12.380859375,1980-10-23
"298",5.3310546875,1980-10-24
"299",5.701171875,1980-10-25
"300",8.4912109375,1980-10-26
"301",15.05078125,1980-10-27
"302",3.9208984375,1980-10-28
"303",6.9912109375,1980-10-29
"304",6.5810546875,1980-10-30
"305",7.220703125,1980-10-31
"306",7.01953125,1980-11-01
"307",4.1201171875,1980-11-02
"308",4.23046875,1980-11-03
"309",8.98046875,1980-11-04
"310",11.9404296875,1980-11-05
"311",12.4599609375,1980-11-06
"312",9.5,1980-11-07
"313",6.830078125,1980-11-08
"314",7.2197265625,1980-11-09
"315",9.7900390625,1980-11-10
"316",13.490234375,1980-11-11
"317",14.0302734375,1980-11-12
"318",21.7099609375,1980-11-13
"319",17.1103515625,1980-11-14
"320",15.3603515625,1980-11-15
"321",20.5498046875,1980-11-16
"322",21.08984375,1980-11-17
"323",23.4599609375,1980-11-18
"324",6.83984375,1980-11-19
"325",7.759765625,1980-11-20
"326",10.509765625,1980-11-21
"327",7.009765625,1980-11-22
"328",7.9296875,1980-11-23
"329",9.7197265625,1980-11-24
"330",10.6904296875,1980-11-25
"331",14.759765625,1980-11-26
"332",22.4501953125,1980-11-27
"333",16.26953125,1980-11-28
"334",12.1298828125,1980-11-29
"335",9.7900390625,1980-11-30
"336",13.8203125,1980-12-01
"337",19.400390625,1980-12-02
"338",15.08984375,1980-12-03
"339",9.9697265625,1980-12-04
"340",7.9599609375,1980-12-05
"341",12.6396484375,1980-12-06
"342",14.6396484375,1980-12-07
"343",16.3896484375,1980-12-08
"344",20.2197265625,1980-12-09
"345",22.1396484375,1980-12-10
"346",25.75,1980-12-11
"347",18.419921875,1980-12-12
"348",13.7802734375,1980-12-13
"349",10.0703125,1980-12-14
"350",7.669921875,1980-12-15
"351",11.5595703125,1980-12-16
"352",8.2802734375,1980-12-17
"353",6.9697265625,1980-12-18
"354",9.75,1980-12-19
"355",15.91015625,1980-12-20
"356",18.490234375,1980-12-21
"357",19.7802734375,1980-12-22
"358",13.150390625,1980-12-23
"359",12.1201171875,1980-12-24
"360",16.0498046875,1980-12-25
"361",12.8896484375,1980-12-26
"362",16.4599609375,1980-12-27
"363",18.0302734375,1980-12-28
"364",12.8701171875,1980-12-29
"365",11.8203125,1980-12-30
"366",15.4599609375,1980-12-31
"367",20.560546875,1981-01-01
"368",18.720703125,1981-01-02
"369",23.640625,1981-01-03
