"","tmin","time"
"1",13.7890625,1980-01-01
"2",12.708984375,1980-01-02
"3",14.708984375,1980-01-03
"4",13.0693359375,1980-01-04
"5",16.548828125,1980-01-05
"6",17.0185546875,1980-01-06
"7",17.978515625,1980-01-07
"8",14.7890625,1980-01-08
"9",16.7392578125,1980-01-09
"10",9.9892578125,1980-01-10
"11",10.5791015625,1980-01-11
"12",16.958984375,1980-01-12
"13",16.21875,1980-01-13
"14",14.4091796875,1980-01-14
"15",16.478515625,1980-01-15
"16",18.369140625,1980-01-16
"17",15.0888671875,1980-01-17
"18",15.2890625,1980-01-18
"19",14.3486328125,1980-01-19
"20",22.2490234375,1980-01-20
"21",23.71875,1980-01-21
"22",15.71875,1980-01-22
"23",16.388671875,1980-01-23
"24",17.8291015625,1980-01-24
"25",14.439453125,1980-01-25
"26",12.5185546875,1980-01-26
"27",13.4189453125,1980-01-27
"28",15.439453125,1980-01-28
"29",11.3388671875,1980-01-29
"30",9.7490234375,1980-01-30
"31",8.9990234375,1980-01-31
"32",11.2919921875,1980-02-01
"33",13.4716796875,1980-02-02
"34",11.40234375,1980-02-03
"35",11.5224609375,1980-02-04
"36",12.1015625,1980-02-05
"37",11.6318359375,1980-02-06
"38",16.6923828125,1980-02-07
"39",16.01171875,1980-02-08
"40",18.931640625,1980-02-09
"41",17.4716796875,1980-02-10
"42",17.7421875,1980-02-11
"43",13.1318359375,1980-02-12
"44",9.2216796875,1980-02-13
"45",10.8720703125,1980-02-14
"46",9.751953125,1980-02-15
"47",11.162109375,1980-02-16
"48",11.7919921875,1980-02-17
"49",20.2822265625,1980-02-18
"50",16.5322265625,1980-02-19
"51",13.9521484375,1980-02-20
"52",12.5224609375,1980-02-21
"53",12.6220703125,1980-02-22
"54",15.8720703125,1980-02-23
"55",16.26171875,1980-02-24
"56",18.3515625,1980-02-25
"57",15.3115234375,1980-02-26
"58",10.732421875,1980-02-27
"59",13.58203125,1980-02-28
"60",14.9716796875,1980-02-29
"61",16.638671875,1980-03-01
"62",15.388671875,1980-03-02
"63",18.1689453125,1980-03-03
"64",10.69921875,1980-03-04
"65",12.1591796875,1980-03-05
"66",16.62890625,1980-03-06
"67",16.1494140625,1980-03-07
"68",15.3486328125,1980-03-08
"69",13.9189453125,1980-03-09
"70",17.109375,1980-03-10
"71",15.119140625,1980-03-11
"72",9.5888671875,1980-03-12
"73",14.939453125,1980-03-13
"74",13.44921875,1980-03-14
"75",15.279296875,1980-03-15
"76",21.8486328125,1980-03-16
"77",17.8994140625,1980-03-17
"78",12.7587890625,1980-03-18
"79",11.9189453125,1980-03-19
"80",16.0791015625,1980-03-20
"81",8.0390625,1980-03-21
"82",8.6787109375,1980-03-22
"83",7.439453125,1980-03-23
"84",13.939453125,1980-03-24
"85",13.638671875,1980-03-25
"86",16.2490234375,1980-03-26
"87",13.44921875,1980-03-27
"88",11.8388671875,1980-03-28
"89",14.939453125,1980-03-29
"90",15.9189453125,1980-03-30
"91",17.0390625,1980-03-31
"92",15.400390625,1980-04-01
"93",13.8095703125,1980-04-02
"94",13.1396484375,1980-04-03
"95",6.76953125,1980-04-04
"96",9.0498046875,1980-04-05
"97",14.3701171875,1980-04-06
"98",14.650390625,1980-04-07
"99",9.9697265625,1980-04-08
"100",9.759765625,1980-04-09
"101",9.3701171875,1980-04-10
"102",6.0498046875,1980-04-11
"103",7.48046875,1980-04-12
"104",6.150390625,1980-04-13
"105",9.6103515625,1980-04-14
"106",2.6396484375,1980-04-15
"107",3.8203125,1980-04-16
"108",9.1796875,1980-04-17
"109",11.16015625,1980-04-18
"110",12.900390625,1980-04-19
"111",15.4404296875,1980-04-20
"112",9.509765625,1980-04-21
"113",4.0595703125,1980-04-22
"114",12.7802734375,1980-04-23
"115",8.849609375,1980-04-24
"116",9.8798828125,1980-04-25
"117",9.6201171875,1980-04-26
"118",9.740234375,1980-04-27
"119",7.7802734375,1980-04-28
"120",9.3095703125,1980-04-29
"121",10,1980-04-30
"122",14.71484375,1980-05-01
"123",11.634765625,1980-05-02
"124",15.0146484375,1980-05-03
"125",13.8447265625,1980-05-04
"126",11.4853515625,1980-05-05
"127",10.525390625,1980-05-06
"128",8.974609375,1980-05-07
"129",11.46484375,1980-05-08
"130",12.455078125,1980-05-09
"131",1.2353515625,1980-05-10
"132",1.46484375,1980-05-11
"133",3.705078125,1980-05-12
"134",4.4453125,1980-05-13
"135",8.8251953125,1980-05-14
"136",7.5849609375,1980-05-15
"137",8.6845703125,1980-05-16
"138",8.39453125,1980-05-17
"139",6.615234375,1980-05-18
"140",6.0947265625,1980-05-19
"141",8.1552734375,1980-05-20
"142",8.634765625,1980-05-21
"143",12.8251953125,1980-05-22
"144",4.615234375,1980-05-23
"145",3.71484375,1980-05-24
"146",6.625,1980-05-25
"147",2.89453125,1980-05-26
"148",5.9853515625,1980-05-27
"149",11.2451171875,1980-05-28
"150",12.2548828125,1980-05-29
"151",10.525390625,1980-05-30
"152",9.1748046875,1980-05-31
"153",11.8349609375,1980-06-01
"154",12.125,1980-06-02
"155",5.275390625,1980-06-03
"156",7.4150390625,1980-06-04
"157",4.9052734375,1980-06-05
"158",7.634765625,1980-06-06
"159",1.8251953125,1980-06-07
"160",5.5947265625,1980-06-08
"161",4.6953125,1980-06-09
"162",5.0546875,1980-06-10
"163",4.96484375,1980-06-11
"164",3.0751953125,1980-06-12
"165",7.4052734375,1980-06-13
"166",7.3447265625,1980-06-14
"167",4.96484375,1980-06-15
"168",5.8447265625,1980-06-16
"169",2.2646484375,1980-06-17
"170",0.89453125,1980-06-18
"171",4.21484375,1980-06-19
"172",8.2451171875,1980-06-20
"173",12.455078125,1980-06-21
"174",11.96484375,1980-06-22
"175",6.9150390625,1980-06-23
"176",11.384765625,1980-06-24
"177",8.634765625,1980-06-25
"178",7.3154296875,1980-06-26
"179",0.025390625,1980-06-27
"180",4.89453125,1980-06-28
"181",1.955078125,1980-06-29
"182",8.365234375,1980-06-30
"183",5.8583984375,1980-07-01
"184",8.498046875,1980-07-02
"185",2.8779296875,1980-07-03
"186",4.4482421875,1980-07-04
"187",3.568359375,1980-07-05
"188",1.158203125,1980-07-06
"189",2.248046875,1980-07-07
"190",5.248046875,1980-07-08
"191",8.3876953125,1980-07-09
"192",10.328125,1980-07-10
"193",7.2578125,1980-07-11
"194",4.59765625,1980-07-12
"195",5.98828125,1980-07-13
"196",2.98828125,1980-07-14
"197",6.0478515625,1980-07-15
"198",6.2783203125,1980-07-16
"199",2.658203125,1980-07-17
"200",2.8583984375,1980-07-18
"201",4.818359375,1980-07-19
"202",3.9384765625,1980-07-20
"203",4.6982421875,1980-07-21
"204",4.5576171875,1980-07-22
"205",5.73828125,1980-07-23
"206",4.3076171875,1980-07-24
"207",7.658203125,1980-07-25
"208",5.84765625,1980-07-26
"209",4.23828125,1980-07-27
"210",3.8876953125,1980-07-28
"211",1.517578125,1980-07-29
"212",4.48828125,1980-07-30
"213",5.7275390625,1980-07-31
"214",4.2509765625,1980-08-01
"215",5.1513671875,1980-08-02
"216",4.19140625,1980-08-03
"217",7.78125,1980-08-04
"218",8.37109375,1980-08-05
"219",4.021484375,1980-08-06
"220",3.130859375,1980-08-07
"221",5.9814453125,1980-08-08
"222",10.701171875,1980-08-09
"223",2.94140625,1980-08-10
"224",-0.0087890625,1980-08-11
"225",-0.2587890625,1980-08-12
"226",1.521484375,1980-08-13
"227",3.7412109375,1980-08-14
"228",1.630859375,1980-08-15
"229",4.28125,1980-08-16
"230",6.9609375,1980-08-17
"231",5.9013671875,1980-08-18
"232",1.9013671875,1980-08-19
"233",1.5107421875,1980-08-20
"234",10.12109375,1980-08-21
"235",8.6611328125,1980-08-22
"236",2.451171875,1980-08-23
"237",0.6005859375,1980-08-24
"238",2.640625,1980-08-25
"239",10.9111328125,1980-08-26
"240",7.1708984375,1980-08-27
"241",11.140625,1980-08-28
"242",7.220703125,1980-08-29
"243",7.5009765625,1980-08-30
"244",5.4111328125,1980-08-31
"245",6.6083984375,1980-09-01
"246",3.498046875,1980-09-02
"247",5.7880859375,1980-09-03
"248",3.16796875,1980-09-04
"249",5.7275390625,1980-09-05
"250",7.828125,1980-09-06
"251",7.1181640625,1980-09-07
"252",6.16796875,1980-09-08
"253",-0.931640625,1980-09-09
"254",2.7080078125,1980-09-10
"255",5.3681640625,1980-09-11
"256",1.6279296875,1980-09-12
"257",2.9677734375,1980-09-13
"258",7.578125,1980-09-14
"259",2.4580078125,1980-09-15
"260",7.158203125,1980-09-16
"261",5.1279296875,1980-09-17
"262",3.2578125,1980-09-18
"263",8.98828125,1980-09-19
"264",8.6279296875,1980-09-20
"265",7.91796875,1980-09-21
"266",14.7783203125,1980-09-22
"267",9.23828125,1980-09-23
"268",9.5078125,1980-09-24
"269",2.908203125,1980-09-25
"270",5.908203125,1980-09-26
"271",12.1982421875,1980-09-27
"272",10.7783203125,1980-09-28
"273",8.6376953125,1980-09-29
"274",9.66796875,1980-09-30
"275",9.8974609375,1980-10-01
"276",1.037109375,1980-10-02
"277",4.1474609375,1980-10-03
"278",9.9267578125,1980-10-04
"279",1.2373046875,1980-10-05
"280",-0.533203125,1980-10-06
"281",4.77734375,1980-10-07
"282",7.1474609375,1980-10-08
"283",5.0673828125,1980-10-09
"284",2.2265625,1980-10-10
"285",6.8974609375,1980-10-11
"286",7.216796875,1980-10-12
"287",7.5869140625,1980-10-13
"288",9.126953125,1980-10-14
"289",11.7666015625,1980-10-15
"290",12.2666015625,1980-10-16
"291",7.2373046875,1980-10-17
"292",8.126953125,1980-10-18
"293",10.126953125,1980-10-19
"294",8.5869140625,1980-10-20
"295",13.056640625,1980-10-21
"296",6.3173828125,1980-10-22
"297",3.02734375,1980-10-23
"298",4.8671875,1980-10-24
"299",8.857421875,1980-10-25
"300",5.2568359375,1980-10-26
"301",4.2470703125,1980-10-27
"302",5.6669921875,1980-10-28
"303",4.8173828125,1980-10-29
"304",7.796875,1980-10-30
"305",9.046875,1980-10-31
"306",10.2734375,1980-11-01
"307",14.2431640625,1980-11-02
"308",13.193359375,1980-11-03
"309",9.533203125,1980-11-04
"310",10.8330078125,1980-11-05
"311",9.9228515625,1980-11-06
"312",12.0830078125,1980-11-07
"313",12.5927734375,1980-11-08
"314",13.7431640625,1980-11-09
"315",11.5126953125,1980-11-10
"316",10.1728515625,1980-11-11
"317",12.552734375,1980-11-12
"318",14.123046875,1980-11-13
"319",12.1328125,1980-11-14
"320",17.4833984375,1980-11-15
"321",12.2734375,1980-11-16
"322",15.4833984375,1980-11-17
"323",12.5234375,1980-11-18
"324",9.6533203125,1980-11-19
"325",12.4326171875,1980-11-20
"326",14.3828125,1980-11-21
"327",18.9326171875,1980-11-22
"328",16.052734375,1980-11-23
"329",17.0234375,1980-11-24
"330",14.9228515625,1980-11-25
"331",11.4033203125,1980-11-26
"332",7.462890625,1980-11-27
"333",11.2529296875,1980-11-28
"334",10.4130859375,1980-11-29
"335",9.212890625,1980-11-30
"336",10.580078125,1980-12-01
"337",9.830078125,1980-12-02
"338",11.419921875,1980-12-03
"339",13.009765625,1980-12-04
"340",14.0498046875,1980-12-05
"341",13.76953125,1980-12-06
"342",14.26953125,1980-12-07
"343",14.3095703125,1980-12-08
"344",10.91015625,1980-12-09
"345",15.33984375,1980-12-10
"346",11.01953125,1980-12-11
"347",9.2802734375,1980-12-12
"348",10.3203125,1980-12-13
"349",10.33984375,1980-12-14
"350",10.919921875,1980-12-15
"351",9.9501953125,1980-12-16
"352",11.3701171875,1980-12-17
"353",18.01953125,1980-12-18
"354",13.75,1980-12-19
"355",13.6298828125,1980-12-20
"356",15.58984375,1980-12-21
"357",4.490234375,1980-12-22
"358",11.9697265625,1980-12-23
"359",12.490234375,1980-12-24
"360",12.759765625,1980-12-25
"361",14.830078125,1980-12-26
"362",14.6201171875,1980-12-27
"363",13.4296875,1980-12-28
"364",19.009765625,1980-12-29
"365",18.599609375,1980-12-30
"366",16.0703125,1980-12-31
"367",11.529296875,1981-01-01
"368",15.62890625,1981-01-02
"369",13.80859375,1981-01-03
"370",16.5087890625,1981-01-04
"371",18.2890625,1981-01-05
"372",16.5888671875,1981-01-06
"373",19.939453125,1981-01-07
"374",20.4287109375,1981-01-08
"375",11.859375,1981-01-09
"376",11.3193359375,1981-01-10
"377",18.1494140625,1981-01-11
"378",19.029296875,1981-01-12
"379",12.55859375,1981-01-13
"380",11.0888671875,1981-01-14
"381",9.859375,1981-01-15
"382",13.0693359375,1981-01-16
"383",15.37890625,1981-01-17
"384",13.638671875,1981-01-18
"385",14.55859375,1981-01-19
"386",20.978515625,1981-01-20
"387",11.80859375,1981-01-21
"388",11.869140625,1981-01-22
"389",15.6494140625,1981-01-23
"390",19.7685546875,1981-01-24
"391",18.728515625,1981-01-25
"392",13.228515625,1981-01-26
"393",13.2490234375,1981-01-27
"394",12.80859375,1981-01-28
"395",13.69921875,1981-01-29
"396",13.9892578125,1981-01-30
"397",15.2587890625,1981-01-31
"398",15.1015625,1981-02-01
"399",16.7822265625,1981-02-02
"400",10.1123046875,1981-02-03
"401",11.232421875,1981-02-04
"402",12.251953125,1981-02-05
"403",13.7822265625,1981-02-06
"404",15.6318359375,1981-02-07
"405",14.2021484375,1981-02-08
"406",11.501953125,1981-02-09
"407",9.9921875,1981-02-10
"408",11.6220703125,1981-02-11
"409",17.681640625,1981-02-12
"410",7.76171875,1981-02-13
"411",10.4716796875,1981-02-14
"412",13.591796875,1981-02-15
"413",13.9619140625,1981-02-16
"414",13.171875,1981-02-17
"415",11.662109375,1981-02-18
"416",13.8720703125,1981-02-19
"417",14.7119140625,1981-02-20
"418",14.2421875,1981-02-21
"419",17.732421875,1981-02-22
"420",16.3115234375,1981-02-23
"421",15.01171875,1981-02-24
"422",15.4921875,1981-02-25
"423",15.9619140625,1981-02-26
"424",9.572265625,1981-02-27
"425",7.4521484375,1981-02-28
"426",8.30859375,1981-03-01
"427",9.6591796875,1981-03-02
"428",12.109375,1981-03-03
"429",16.689453125,1981-03-04
"430",12.9091796875,1981-03-05
"431",12.5888671875,1981-03-06
"432",9.609375,1981-03-07
"433",10.029296875,1981-03-08
"434",9.458984375,1981-03-09
"435",10.1494140625,1981-03-10
"436",12.55859375,1981-03-11
"437",14.859375,1981-03-12
"438",12.7490234375,1981-03-13
"439",14.638671875,1981-03-14
"440",14.12890625,1981-03-15
"441",15.30859375,1981-03-16
"442",21.0791015625,1981-03-17
"443",14.0888671875,1981-03-18
"444",9.708984375,1981-03-19
"445",11.529296875,1981-03-20
"446",10.2490234375,1981-03-21
"447",12.62890625,1981-03-22
"448",13.548828125,1981-03-23
"449",11.5888671875,1981-03-24
"450",11.4892578125,1981-03-25
"451",14.0087890625,1981-03-26
"452",15.87890625,1981-03-27
"453",15.19921875,1981-03-28
"454",14.978515625,1981-03-29
"455",15.9892578125,1981-03-30
"456",14.87890625,1981-03-31
"457",15.1103515625,1981-04-01
"458",12.48046875,1981-04-02
"459",15.9296875,1981-04-03
"460",15.75,1981-04-04
"461",10.009765625,1981-04-05
"462",13.830078125,1981-04-06
"463",14.4599609375,1981-04-07
"464",13.3896484375,1981-04-08
"465",12.2900390625,1981-04-09
"466",13.509765625,1981-04-10
"467",14.1904296875,1981-04-11
"468",8.7197265625,1981-04-12
"469",8.3798828125,1981-04-13
"470",16.0595703125,1981-04-14
"471",14.9697265625,1981-04-15
"472",7.759765625,1981-04-16
"473",7.98046875,1981-04-17
"474",16.3798828125,1981-04-18
"475",13.23046875,1981-04-19
"476",13.599609375,1981-04-20
"477",14.0595703125,1981-04-21
"478",15.669921875,1981-04-22
"479",12.6201171875,1981-04-23
"480",15.490234375,1981-04-24
"481",14.5302734375,1981-04-25
"482",15.650390625,1981-04-26
"483",11.8095703125,1981-04-27
"484",14.1904296875,1981-04-28
"485",14.8896484375,1981-04-29
"486",15,1981-04-30
"487",10.6748046875,1981-05-01
"488",6.2451171875,1981-05-02
"489",8.794921875,1981-05-03
"490",9.2353515625,1981-05-04
"491",2.4453125,1981-05-05
"492",4.0546875,1981-05-06
"493",7.7451171875,1981-05-07
"494",4.615234375,1981-05-08
"495",10.5546875,1981-05-09
"496",9.455078125,1981-05-10
"497",10.5048828125,1981-05-11
"498",8.1845703125,1981-05-12
"499",11.53515625,1981-05-13
"500",13.2548828125,1981-05-14
"501",11.8251953125,1981-05-15
"502",6.6845703125,1981-05-16
"503",8.53515625,1981-05-17
"504",9.5947265625,1981-05-18
"505",6.8447265625,1981-05-19
"506",5.64453125,1981-05-20
"507",11.3349609375,1981-05-21
"508",11.4248046875,1981-05-22
"509",2.4248046875,1981-05-23
"510",3.9951171875,1981-05-24
"511",9.9345703125,1981-05-25
"512",6.0751953125,1981-05-26
"513",7.525390625,1981-05-27
"514",8.5146484375,1981-05-28
"515",7.544921875,1981-05-29
"516",10.875,1981-05-30
"517",5.9248046875,1981-05-31
"518",3.2353515625,1981-06-01
"519",6.46484375,1981-06-02
"520",7.7646484375,1981-06-03
"521",2.205078125,1981-06-04
"522",5.5146484375,1981-06-05
"523",8.224609375,1981-06-06
"524",6.9853515625,1981-06-07
"525",4.8447265625,1981-06-08
"526",4.4248046875,1981-06-09
"527",3.865234375,1981-06-10
"528",6.5546875,1981-06-11
"529",8.884765625,1981-06-12
"530",-0.10546875,1981-06-13
"531",-0.634765625,1981-06-14
"532",1.60546875,1981-06-15
"533",5.9951171875,1981-06-16
"534",5.884765625,1981-06-17
"535",2.0146484375,1981-06-18
"536",4.3046875,1981-06-19
"537",8.2353515625,1981-06-20
"538",0.8349609375,1981-06-21
"539",-2.794921875,1981-06-22
"540",0.455078125,1981-06-23
"541",5.5546875,1981-06-24
"542",7.294921875,1981-06-25
"543",7.474609375,1981-06-26
"544",10.03515625,1981-06-27
"545",8.39453125,1981-06-28
"546",9.6650390625,1981-06-29
"547",3.3046875,1981-06-30
"548",3.7275390625,1981-07-01
"549",2.91796875,1981-07-02
"550",3.337890625,1981-07-03
"551",7.3876953125,1981-07-04
"552",6.3984375,1981-07-05
"553",7.7783203125,1981-07-06
"554",7.73828125,1981-07-07
"555",6.3681640625,1981-07-08
"556",5.7880859375,1981-07-09
"557",1.7783203125,1981-07-10
"558",1.1376953125,1981-07-11
"559",5.658203125,1981-07-12
"560",7.6083984375,1981-07-13
"561",7.6181640625,1981-07-14
"562",9.4677734375,1981-07-15
"563",6.34765625,1981-07-16
"564",7.1884765625,1981-07-17
"565",9.517578125,1981-07-18
"566",6.158203125,1981-07-19
"567",1.1884765625,1981-07-20
"568",2.927734375,1981-07-21
"569",7.7275390625,1981-07-22
"570",3.318359375,1981-07-23
"571",5.427734375,1981-07-24
"572",6.7080078125,1981-07-25
"573",1.84765625,1981-07-26
"574",3.6279296875,1981-07-27
"575",-0.08203125,1981-07-28
"576",5.3779296875,1981-07-29
"577",9.0283203125,1981-07-30
"578",6.1884765625,1981-07-31
"579",9.0908203125,1981-08-01
"580",7.140625,1981-08-02
"581",7.201171875,1981-08-03
"582",8.6005859375,1981-08-04
"583",5.78125,1981-08-05
"584",6.9208984375,1981-08-06
"585",10.5712890625,1981-08-07
"586",2.380859375,1981-08-08
"587",2.8310546875,1981-08-09
"588",9.3408203125,1981-08-10
"589",4.5908203125,1981-08-11
"590",4.62109375,1981-08-12
"591",3.361328125,1981-08-13
"592",8.271484375,1981-08-14
"593",6.4814453125,1981-08-15
"594",8.1806640625,1981-08-16
"595",8.8310546875,1981-08-17
"596",9.1611328125,1981-08-18
"597",9.640625,1981-08-19
"598",2.8212890625,1981-08-20
"599",1.970703125,1981-08-21
"600",6.271484375,1981-08-22
"601",5.69140625,1981-08-23
"602",4.0810546875,1981-08-24
"603",7.9208984375,1981-08-25
"604",2.9306640625,1981-08-26
"605",2.12109375,1981-08-27
"606",2.9208984375,1981-08-28
"607",0.4609375,1981-08-29
"608",-0.55859375,1981-08-30
"609",1.37109375,1981-08-31
"610",-0.2919921875,1981-09-01
"611",1.16796875,1981-09-02
"612",7.2978515625,1981-09-03
"613",14.517578125,1981-09-04
"614",13.318359375,1981-09-05
"615",6.927734375,1981-09-06
"616",13.3779296875,1981-09-07
"617",11.2177734375,1981-09-08
"618",7.328125,1981-09-09
"619",8.4580078125,1981-09-10
"620",2.578125,1981-09-11
"621",5.267578125,1981-09-12
"622",11.7880859375,1981-09-13
"623",12.7080078125,1981-09-14
"624",6.3779296875,1981-09-15
"625",7.8984375,1981-09-16
"626",12.337890625,1981-09-17
"627",5.5478515625,1981-09-18
"628",4.09765625,1981-09-19
"629",9.517578125,1981-09-20
"630",0.59765625,1981-09-21
"631",6.8984375,1981-09-22
"632",1.16796875,1981-09-23
"633",0.6884765625,1981-09-24
"634",1.48828125,1981-09-25
"635",4.0380859375,1981-09-26
"636",4.2978515625,1981-09-27
"637",7.66796875,1981-09-28
"638",9.4677734375,1981-09-29
"639",5.0283203125,1981-09-30
"640",10.2568359375,1981-10-01
"641",3.2666015625,1981-10-02
"642",1.45703125,1981-10-03
"643",5.796875,1981-10-04
"644",3.3271484375,1981-10-05
"645",10.27734375,1981-10-06
"646",6.88671875,1981-10-07
"647",9.447265625,1981-10-08
"648",2.197265625,1981-10-09
"649",3.6865234375,1981-10-10
"650",5.466796875,1981-10-11
"651",10.2265625,1981-10-12
"652",5.2666015625,1981-10-13
"653",6.447265625,1981-10-14
"654",10.1474609375,1981-10-15
"655",10.466796875,1981-10-16
"656",10.6865234375,1981-10-17
"657",4.0869140625,1981-10-18
"658",5.95703125,1981-10-19
"659",4.4365234375,1981-10-20
"660",8.287109375,1981-10-21
"661",10.107421875,1981-10-22
"662",8.537109375,1981-10-23
"663",12.556640625,1981-10-24
"664",14.046875,1981-10-25
"665",10.9970703125,1981-10-26
"666",9.056640625,1981-10-27
"667",8.3974609375,1981-10-28
"668",10.626953125,1981-10-29
"669",10.7373046875,1981-10-30
"670",15.6865234375,1981-10-31
"671",16.5126953125,1981-11-01
"672",7.6630859375,1981-11-02
"673",9.4033203125,1981-11-03
"674",4.642578125,1981-11-04
"675",8.783203125,1981-11-05
"676",9.3828125,1981-11-06
"677",12.142578125,1981-11-07
"678",8.283203125,1981-11-08
"679",7.1328125,1981-11-09
"680",10.4326171875,1981-11-10
"681",14.623046875,1981-11-11
"682",13.453125,1981-11-12
"683",11.9033203125,1981-11-13
"684",8.54296875,1981-11-14
"685",11.0927734375,1981-11-15
"686",6.22265625,1981-11-16
"687",8.3232421875,1981-11-17
"688",8.9130859375,1981-11-18
"689",8.36328125,1981-11-19
"690",12.0830078125,1981-11-20
"691",11.8427734375,1981-11-21
"692",11.2529296875,1981-11-22
