"","vapourpres_h09","time"
"1",18.4873046875,1980-01-01
"2",18.7666015625,1980-01-02
"3",21.6171875,1980-01-03
"4",15.466796875,1980-01-04
"5",12.056640625,1980-01-05
"6",10.8974609375,1980-01-06
"7",10.056640625,1980-01-07
"8",9.537109375,1980-01-08
"9",9.70703125,1980-01-09
"10",5.4873046875,1980-01-10
"11",9.796875,1980-01-11
"12",10.796875,1980-01-12
"13",12.20703125,1980-01-13
"14",8.197265625,1980-01-14
"15",14.857421875,1980-01-15
"16",11.0966796875,1980-01-16
"17",5.466796875,1980-01-17
"18",7.9970703125,1980-01-18
"19",11.45703125,1980-01-19
"20",11.3369140625,1980-01-20
"21",11.857421875,1980-01-21
"22",12.4970703125,1980-01-22
"23",12.4072265625,1980-01-23
"24",12.9765625,1980-01-24
"25",6.7373046875,1980-01-25
"26",11.3271484375,1980-01-26
"27",8.27734375,1980-01-27
"28",6.466796875,1980-01-28
"29",12.0869140625,1980-01-29
"30",10.6767578125,1980-01-30
"31",9.6171875,1980-01-31
"32",13.5322265625,1980-02-01
"33",15.181640625,1980-02-02
"34",10.251953125,1980-02-03
"35",9.7021484375,1980-02-04
"36",13.482421875,1980-02-05
"37",11.26171875,1980-02-06
"38",9.4423828125,1980-02-07
"39",9.6220703125,1980-02-08
"40",8.921875,1980-02-09
"41",5.3017578125,1980-02-10
"42",3.7724609375,1980-02-11
"43",6.8515625,1980-02-12
"44",13.982421875,1980-02-13
"45",10.1220703125,1980-02-14
"46",14.251953125,1980-02-15
"47",12.341796875,1980-02-16
"48",12.2724609375,1980-02-17
"49",9.822265625,1980-02-18
"50",7.181640625,1980-02-19
"51",10.08203125,1980-02-20
"52",16.2822265625,1980-02-21
"53",13.6220703125,1980-02-22
"54",9.5322265625,1980-02-23
"55",10.0224609375,1980-02-24
"56",9.591796875,1980-02-25
"57",5.181640625,1980-02-26
"58",11.1318359375,1980-02-27
"59",16.662109375,1980-02-28
"60",11.421875,1980-02-29
"61",12.1201171875,1980-03-01
"62",14.099609375,1980-03-02
"63",10.3203125,1980-03-03
"64",10.7998046875,1980-03-04
"65",12.73046875,1980-03-05
"66",10.73046875,1980-03-06
"67",14.240234375,1980-03-07
"68",13.58984375,1980-03-08
"69",8.759765625,1980-03-09
"70",5.849609375,1980-03-10
"71",7.7998046875,1980-03-11
"72",8.6201171875,1980-03-12
"73",6.66015625,1980-03-13
"74",10.8603515625,1980-03-14
"75",11.3896484375,1980-03-15
"76",14.5703125,1980-03-16
"77",7.7197265625,1980-03-17
"78",5.7001953125,1980-03-18
"79",6.41015625,1980-03-19
"80",10.26953125,1980-03-20
"81",6.599609375,1980-03-21
"82",11.33984375,1980-03-22
"83",12.01953125,1980-03-23
"84",11.01953125,1980-03-24
"85",7.349609375,1980-03-25
"86",4.3798828125,1980-03-26
"87",13.2802734375,1980-03-27
"88",12.7001953125,1980-03-28
"89",11.490234375,1980-03-29
"90",11.08984375,1980-03-30
"91",10.1396484375,1980-03-31
"92",10.9267578125,1980-04-01
"93",4.8974609375,1980-04-02
"94",13.45703125,1980-04-03
"95",4.38671875,1980-04-04
"96",11.9970703125,1980-04-05
"97",10.9267578125,1980-04-06
"98",8.4873046875,1980-04-07
"99",5.857421875,1980-04-08
"100",3.876953125,1980-04-09
"101",4.02734375,1980-04-10
"102",13.9169921875,1980-04-11
"103",11.9970703125,1980-04-12
"104",11.6669921875,1980-04-13
"105",10.3271484375,1980-04-14
"106",12.357421875,1980-04-15
"107",11.27734375,1980-04-16
"108",17.02734375,1980-04-17
"109",21.7373046875,1980-04-18
"110",20.0673828125,1980-04-19
"111",21.1171875,1980-04-20
"112",24.7373046875,1980-04-21
"113",23.9873046875,1980-04-22
"114",11.63671875,1980-04-23
"115",13.947265625,1980-04-24
"116",10.7568359375,1980-04-25
"117",13.1572265625,1980-04-26
"118",12.6669921875,1980-04-27
"119",8.876953125,1980-04-28
"120",10.13671875,1980-04-29
"121",9.5771484375,1980-04-30
"122",9.15625,1980-05-01
"123",9.2060546875,1980-05-02
"124",8.6064453125,1980-05-03
