"","vapourpres_h09","time"
"1",11.0009765625,1980-01-01
"2",10.4013671875,1980-01-02
"3",9.220703125,1980-01-03
"4",8.060546875,1980-01-04
"5",8.6005859375,1980-01-05
"6",4.7412109375,1980-01-06
"7",4.37109375,1980-01-07
"8",7.2607421875,1980-01-08
"9",10.28125,1980-01-09
"10",9.791015625,1980-01-10
"11",8.28125,1980-01-11
"12",11.9013671875,1980-01-12
"13",20.521484375,1980-01-13
"14",18.05078125,1980-01-14
"15",24.0009765625,1980-01-15
"16",20.560546875,1980-01-16
"17",17.7509765625,1980-01-17
"18",20.880859375,1980-01-18
"19",13.37109375,1980-01-19
"20",7.0009765625,1980-01-20
"21",6.9609375,1980-01-21
"22",10.201171875,1980-01-22
"23",7.220703125,1980-01-23
"24",6.03125,1980-01-24
"25",14.8408203125,1980-01-25
"26",13.041015625,1980-01-26
"27",13.4814453125,1980-01-27
"28",10.4306640625,1980-01-28
"29",12.9912109375,1980-01-29
"30",12.5107421875,1980-01-30
"31",8.771484375,1980-01-31
"32",16.423828125,1980-02-01
"33",22.09375,1980-02-02
"34",15.5341796875,1980-02-03
"35",16.6640625,1980-02-04
"36",16.8837890625,1980-02-05
"37",18.7841796875,1980-02-06
"38",18.763671875,1980-02-07
"39",13.09375,1980-02-08
"40",11.833984375,1980-02-09
"41",11.923828125,1980-02-10
"42",18.43359375,1980-02-11
"43",16.7841796875,1980-02-12
"44",16.234375,1980-02-13
"45",10.3740234375,1980-02-14
"46",10.853515625,1980-02-15
"47",10.2041015625,1980-02-16
"48",13.3935546875,1980-02-17
"49",20.423828125,1980-02-18
"50",22.083984375,1980-02-19
"51",22.82421875,1980-02-20
"52",20.904296875,1980-02-21
"53",21.5439453125,1980-02-22
"54",14.404296875,1980-02-23
"55",16.6240234375,1980-02-24
"56",16.1240234375,1980-02-25
"57",16.9638671875,1980-02-26
"58",18.4443359375,1980-02-27
"59",17.603515625,1980-02-28
"60",10.84375,1980-02-29
"61",10.7138671875,1980-03-01
"62",14.984375,1980-03-02
"63",11.8935546875,1980-03-03
"64",16.763671875,1980-03-04
"65",15.2236328125,1980-03-05
"66",15.3037109375,1980-03-06
"67",12.1240234375,1980-03-07
"68",11.263671875,1980-03-08
"69",11.814453125,1980-03-09
"70",12.9443359375,1980-03-10
"71",19.07421875,1980-03-11
"72",13.5439453125,1980-03-12
"73",10.564453125,1980-03-13
"74",9.2041015625,1980-03-14
"75",8.7138671875,1980-03-15
"76",6.984375,1980-03-16
"77",9.7841796875,1980-03-17
"78",14.2939453125,1980-03-18
"79",10.4638671875,1980-03-19
"80",5.9541015625,1980-03-20
"81",12.6337890625,1980-03-21
"82",11.0341796875,1980-03-22
"83",12.9541015625,1980-03-23
"84",12.7138671875,1980-03-24
"85",12.32421875,1980-03-25
"86",11.7041015625,1980-03-26
"87",14.43359375,1980-03-27
"88",15.7841796875,1980-03-28
"89",12.333984375,1980-03-29
"90",8.1435546875,1980-03-30
"91",8.75390625,1980-03-31
"92",7.0166015625,1980-04-01
"93",9.4873046875,1980-04-02
"94",7.9072265625,1980-04-03
"95",14.107421875,1980-04-04
"96",10.38671875,1980-04-05
"97",12.107421875,1980-04-06
"98",10.6669921875,1980-04-07
"99",12.447265625,1980-04-08
"100",14.7265625,1980-04-09
"101",16.6474609375,1980-04-10
"102",13.306640625,1980-04-11
"103",18.626953125,1980-04-12
"104",17.4970703125,1980-04-13
"105",12.6865234375,1980-04-14
"106",10.5166015625,1980-04-15
"107",15.357421875,1980-04-16
"108",9.4365234375,1980-04-17
"109",11.8369140625,1980-04-18
"110",11.626953125,1980-04-19
"111",16.8974609375,1980-04-20
"112",13.6171875,1980-04-21
"113",8.056640625,1980-04-22
"114",10.1767578125,1980-04-23
"115",11.716796875,1980-04-24
"116",11.796875,1980-04-25
"117",10.3369140625,1980-04-26
"118",10.4365234375,1980-04-27
"119",9.1474609375,1980-04-28
