,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,53.6842105263158,40.8421052631579,4.10526315789474,20.4210526315789,1663589.21052632,-3741259.73684211,3577,53.01418849377951,41.05815642543688,4.532466307071182,9,1987,245,0.6816387600233341,0.6219518703256062,11.410267277552373,0.03227825364715109,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,100.3271484375,94.265625,88.697265625,495.978515625,834.2431640625,496.619140625,893.42578125,0.25248349474538645,1.1293428602942868,2.7531907801482514,3.863061240564216,7.2412109375,79.8583984375,105.24609375,212.73828125,-0.5576171875,30.9013671875,33.998046875,63.6025390625,1987-09-02,348.25
1,2,51.3157894736842,43.3684210526316,4.10526315789474,21.4736842105263,1663589.21052632,-3741259.73684211,3577,49.21586454029014,41.366422774806374,8.282577474487239,9,1987,261,0.6816387600233341,0.6556691338743984,11.941063577210794,0.03376749759915931,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,77.8681640625,116.556640625,91.927734375,460.5869140625,842.6201171875,494.1806640625,874.404296875,0.7292759448919737,4.025619333974693,2.2245853147148473,4.785336145202225,20.12109375,107.7958984375,94.5068359375,215.2177734375,1.7216796875,6.12109375,19.8935546875,66.42578125,1987-09-18,348.25
2,3,39.7272727272727,37.9090909090909,21.4545454545455,20.8181818181818,1663572.27272727,-3741235.90909091,3577,47.22818256303357,42.40506395505395,9.350119884112978,10,1987,277,0.7401768531960371,0.688126690746912,12.485500967576797,0.03407425873807668,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,23.5166015625,152.181640625,97.7099609375,464.388671875,839.11328125,504.623046875,883.2001953125,0.6887141834961236,5.294166572357718,7.172329443213541,8.486825585469628,20.17578125,127.037109375,170.0673828125,264.3056640625,7.4150390625,40.8369140625,42.2451171875,33.560546875,1987-10-04,348.25
3,4,50.3157894736842,45.5789473684211,3.10526315789474,19.4210526315789,1663589.21052632,-3741259.73684211,3577,46.645553688264336,43.614976201870334,8.742817628398186,11,1987,309,0.793577803248942,0.7490157876964552,13.52882519398198,0.029856209250533894,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,65.6181640625,123.33984375,122.7783203125,444.947265625,778.48828125,587.0732421875,841.087890625,0.5704100482025427,6.284583246546362,3.915120170174805,8.030678496379823,20.2099609375,156.357421875,142.0830078125,281.9755859375,8.8994140625,65.4521484375,52.8251953125,91.9189453125,1987-11-05,348.25
4,5,46.6842105263158,47.3157894736842,4.73684210526316,20.2631578947368,1663589.21052632,-3741259.73684211,3577,47.09662055695257,44.5726120197987,7.2923827219743735,11,1987,325,0.793577803248942,0.7773303443774742,13.957278779877793,0.02347715270449946,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,63.583984375,123.9296875,160.86328125,359.130859375,861.892578125,526.57421875,899.458984375,0.4557166323221511,4.24938349965642,3.634965178083028,12.443123798278846,21.6904296875,143.6689453125,136.6806640625,362.1103515625,15.2685546875,70.4541015625,60.662109375,143.494140625,1987-11-21,348.25
5,6,51.3157894736842,44.4210526315789,3.31578947368421,19.2105263157895,1663589.21052632,-3741259.73684211,3577,48.24425732478401,44.989980182234596,5.654515101654779,12,1987,357,0.8414709848078965,0.8294275814489923,14.351805398859044,-1.3202454262284391e-05,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,68.8447265625,148.3681640625,165.2626953125,370.1640625,791.58203125,604.033203125,836.17578125,0.656404532399089,7.217063789059378,9.732376933255116,15.308991271479673,19.6123046875,163.822265625,206.103515625,359.6669921875,9.873046875,93.4267578125,96.0615234375,128.2353515625,1987-12-23,348.25
6,7,51.6842105263158,42.5263157894737,4.52631578947368,20.5263157894737,1663589.21052632,-3741259.73684211,3577,49.78556966215994,44.71464573142603,4.308902626434374,1,1988,8,0.08323691620031025,0.021916053410854716,14.23238461234579,-0.013526443231260288,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,93.9755859375,140.0439453125,185.4287109375,327.9951171875,827.5947265625,598.505859375,764.05859375,1.262320715821801,4.387702465554599,6.129408107363472,19.753944609528737,29.806640625,152.0322265625,169.2626953125,440.921875,12.92578125,87.015625,96.19140625,219.9873046875,1988-01-08,350.45
7,8,48.6842105263158,44.4736842105263,5.73684210526316,21.4736842105263,1663589.21052632,-3741259.73684211,3577,51.45189475418962,43.72972997846688,3.559221077489303,1,1988,24,0.08323691620031025,0.06570605393630431,13.922784107744366,-0.023893985789630534,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,84.3935546875,131.59375,224.53125,350.376953125,741.8427734375,682.69140625,672.1279296875,0.529512454896676,5.87421919123903,11.127119834578686,15.061106345710414,25.357421875,165.3623046875,221.6689453125,415.17578125,16.81640625,97.154296875,109.4306640625,225.9345703125,1988-01-24,350.45
8,9,53.1052631578947,41.1578947368421,4.57894736842105,21.2631578947368,1663589.21052632,-3741259.73684211,3577,52.98993047662991,41.68354489294943,4.0071269400677645,2,1988,40,0.16589613269341502,0.10936981646984724,13.480599284737758,-0.030347821695325905,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,99.4423828125,162.7939453125,193.3671875,395.8681640625,716.5126953125,690.486328125,600.8369140625,0.5973746759167861,5.20843882970819,6.43027811383045,19.06464921290317,18.626953125,147.771484375,179.0283203125,455.5322265625,9.908203125,82.2578125,87.923828125,245.833984375,1988-02-09,350.45
9,10,52.8421052631579,39.7368421052632,5.94736842105263,20.1578947368421,1663589.21052632,-3741259.73684211,3577,53.06664318746603,39.445264453393335,6.1928076185471586,2,1988,56,0.16589613269341502,0.15282345185103158,12.964314301610768,-0.03354167149305454,10950,0.0,29.0,3.0,55.3,4.181906552707077,1.3995164490341192,-4.065231730420406,1.5965836,14.076689735058658,708.413699127907,43.3603515625,178.5966796875,177.458984375,412.6953125,762.677734375,671.494140625,566.1494140625,1.4050886176470967,7.312517723360454,3.824269958605954,14.127114502076456,30.357421875,162.7119140625,138.609375,392.44140625,13.6083984375,60.73828125,80.6572265625,198.17578125,1988-02-25,350.45
