,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,38.8,47.68,12.24,13.08,108825.0,-1343655.0,3577,39.823796244175455,47.27014987334653,11.763947837508203,9,1987,248,0.6816387600233341,0.6283668624009903,11.899017103748466,0.011182361026239818,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,0.0029296875,0.0224609375,102.306640625,1143.470703125,1149.77734375,1617.392578125,1494.87109375,1.8449822668569003,12.001841612462067,13.659404178476544,35.07774125192782,34.375,198.35546875,239.7587890625,506.05078125,18.435546875,98.32421875,135.9921875,273.013671875,1987-09-05,348.25
1,2,37.24,51.6,10.0,12.24,108825.0,-1343655.0,3577,35.99955693601205,51.081404446946266,11.572744025839993,9,1987,264,0.6816387600233341,0.6618527940178025,12.082825542803114,0.011686502337806104,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,0.021484375,0.005859375,56.0556640625,1189.703125,1149.8125,1586.0537109375,1526.1806640625,2.1673202924451904,15.191500394570784,16.59064930100878,32.013845048444615,34.205078125,212.6904296875,237.9248046875,542.2587890625,16.416015625,115.1259765625,144.6416015625,293.3544921875,1987-09-21,348.25
2,3,36.64,47.52,14.44,11.52,108825.0,-1343655.0,3577,35.174519746679216,51.682011572019306,11.721545626715898,10,1987,280,0.7401768531960371,0.6940671385790956,12.270879022840349,0.011738703373870507,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,0.052734375,0.0087890625,29.8583984375,1189.5478515625,1171.8173828125,1590.4013671875,1524.380859375,2.564926828584876,16.213061762085562,16.480548662515854,38.95984353230082,37.7216796875,221.8056640625,245.9755859375,556.080078125,19.75390625,135.556640625,149.2529296875,317.916015625,1987-10-07,348.25
3,4,37.32,49.64,11.64,11.2,108825.0,-1343655.0,3577,36.43999264753138,50.27403310311976,11.88033568083103,10,1987,296,0.7401768531960371,0.7249480041597827,12.455294069384125,0.011234104916978183,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,0.078125,0.02734375,6.8447265625,1181.9912109375,1202.3603515625,1584.142578125,1482.6455078125,2.950931256330584,17.23610793530044,18.715075013483595,40.52895174458169,39.3115234375,233.8525390625,267.86328125,581.546875,23.9638671875,140.9248046875,150.76953125,344.2607421875,1987-10-23,348.25
4,5,34.8181818181818,56.3181818181818,7.63636363636364,14.5454545454545,108831.818181818,-1343652.27272727,3577,39.010475091956266,47.85641546393373,11.80330110268753,11,1987,312,0.793577803248942,0.7544360607860527,12.625038152521963,0.009900892761772084,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,13.421875,0.0556640625,6.12890625,1145.271484375,1202.9716796875,1591.3642578125,1481.65625,2.3012303810529273,15.140664143663416,21.37223959898852,44.542854803115944,38.3984375,225.5380859375,277.79296875,620.361328125,25.134765625,154.5009765625,171.2578125,364.525390625,1987-11-08,348.25
5,6,40.32,48.28,10.12,12.44,108825.0,-1343655.0,3577,42.2236580153749,45.22498964727922,11.328832680594568,11,1987,328,0.793577803248942,0.7824746544232967,12.763984348207138,0.007409743541293423,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,108.13671875,0.126953125,0.0224609375,1084.994140625,1226.5859375,1592.81640625,1465.8994140625,1.8481586197271593,11.942620124748693,14.084196851328835,42.98631763563282,37.2578125,219.84765625,257.396484375,616.5751953125,25.28515625,154.3193359375,175.1943359375,400.2138671875,1987-11-24,348.25
6,7,46.52,38.28,13.88,12.24,108825.0,-1343655.0,3577,45.54042383524161,42.97247121510627,10.379525076668333,12,1987,344,0.8414709848078965,0.8090099158228746,12.852210688381133,0.0036627367986987736,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,131.65625,25.86328125,0.0107421875,1047.2568359375,1158.1689453125,1637.4697265625,1473.2568359375,2.100052106695667,11.592657636077348,13.71442644412695,32.79091503361262,36.74609375,213.8359375,258.5009765625,590.5078125,25.8134765625,146.2080078125,181.361328125,409.8291015625,1987-12-10,348.25
7,8,51.52,31.52,15.8,12.04,108825.0,-1343655.0,3577,48.544846451036776,41.48846029849069,8.962176826830706,1,1988,11,0.08323691620031025,0.03013242458278834,12.819084187933672,-0.005316733687751096,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,224.11328125,157.59765625,0.0615234375,881.0224609375,1143.4873046875,1411.9384765625,1795.59765625,1.401050276443469,7.206591078769408,7.493381253775593,18.73948912233912,34.4560546875,202.177734375,231.33203125,533.6259765625,24.052734375,144.998046875,173.5615234375,395.4482421875,1988-01-11,350.45
8,9,60.6,34.12,3.8,19.48,108825.0,-1343655.0,3577,50.99339604667016,41.35400181860864,6.770134014591207,3,1988,75,0.24740395925452294,0.20403654929016468,12.176021630974965,-0.011942549971932337,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,219.2275390625,400.58203125,161.7158203125,68.8193359375,1409.3955078125,1338.3232421875,1346.5625,1.3743146022274322,6.707176452119328,9.284417556236054,19.58828202217635,32.7021484375,199.76171875,246.84375,547.1318359375,23.6796875,143.7900390625,174.3505859375,380.7958984375,1988-03-15,350.45
9,10,36.25,64.25,0.0,11.25,108877.5,-1343617.5,3577,52.97942432180031,41.23969018596885,4.955284591568682,3,1988,91,0.24740395925452294,0.24674026262895252,11.986560066643797,-0.011677792962943911,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,253.1025390625,379.1142578125,265.7373046875,29.9267578125,1377.1201171875,1317.451171875,1306.419921875,0.7836891664792287,4.765878116039495,9.124870222154732,20.205986017680218,32.072265625,186.623046875,234.453125,546.611328125,24.23046875,148.6708984375,168.2314453125,389.0400390625,1988-03-31,350.45
10,11,59.76,34.52,4.28,16.36,108825.0,-1343655.0,3577,53.6882610578196,42.64708675225066,2.8301569637788324,5,1988,123,0.40471456356112473,0.33064440357052394,11.641510851416037,-0.00954147326917898,10950,0.0,38.6,25.6,40.45,-3.4001595743504467,3.785469671239498,-0.6388284221404096,21.7099,27.885828516677662,1432.9194676598838,24.537109375,432.9130859375,465.9560546875,17.0849609375,1285.53515625,1111.259765625,1618.3037109375,1.9581451504306429,11.308728607612299,13.12134489138527,22.244520908635234,33.904296875,207.2216796875,245.4140625,526.482421875,20.2001953125,138.16015625,158.265625,355.37109375,1988-05-02,350.45
