,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,6.75,38.95,52.85,7.3,164865.0,-2400240.0,3577,7.099630202958368,38.380250257998036,53.10222738218096,9,1987,250,0.6816387600233341,0.6326199676319089,11.770344398653348,0.020529380627946736,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,0.0,9.07421875,7.6171875,89.7421875,278.79296875,186.2353515625,351.3623046875,1.459093086573595,11.581895028874518,12.95917359709538,23.02926724556945,26.5927734375,163.5791015625,190.5673828125,372.31640625,9.7236328125,55.9189453125,70.6875,89.7587890625,1987-09-07,348.25
1,2,8.45,39.95,50.25,8.55,164865.0,-2400240.0,3577,7.864630940095337,39.91231571576005,50.75642169148366,9,1987,257,0.6816387600233341,0.6473554254622432,11.915831827270333,0.020952075740609644,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,0.0,3.2724609375,13.4189453125,89.7421875,278.79296875,172.240234375,365.357421875,1.9469397480929884,8.954848787631663,13.040988115448114,27.15332473429005,26.0634765625,140.0078125,190.171875,407.4951171875,9.1240234375,58.193359375,65.642578125,124.1806640625,1987-09-14,348.25
2,3,8.25,38.55,51.6,8.35,164865.0,-2400240.0,3577,8.566364629522528,39.586459644586625,50.34498331046324,9,1987,266,0.6816387600233341,0.6659504202533076,12.106178962434415,0.021271495424118214,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,0.0,0.0751953125,16.6162109375,89.7421875,278.79296875,167.5771484375,370.0205078125,2.461754052250633,13.521656818046207,11.934691875241533,28.60480997366988,29.7626953125,174.728515625,174.970703125,422.3955078125,11.2138671875,56.2734375,67.3271484375,157.7177734375,1987-09-23,348.25
3,4,9.6,37.9,50.95,8.45,164865.0,-2400240.0,3577,9.175863395290644,38.30999529366407,50.99084891716476,9,1987,273,0.6816387600233341,0.6801338518023718,12.255479598295512,0.02134985239288767,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,3.8076171875,0.0751953125,16.6162109375,89.548828125,278.986328125,167.5771484375,370.0205078125,0.85576712451982,15.862551098873006,15.98341087029684,27.580328251816038,23.97265625,192.1884765625,204.4912109375,406.798828125,17.9443359375,98.4541015625,67.4873046875,154.357421875,1987-09-30,348.25
4,5,10.15,34.85,53.5,8.45,164865.0,-2400240.0,3577,9.673602627163001,36.79874443152312,51.997717925349555,10,1987,282,0.7401768531960371,0.6980014132400785,12.447157655429566,0.02121355821108395,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,4.75390625,0.0751953125,16.6162109375,87.0146484375,281.5205078125,143.775390625,388.1064453125,3.707629312664685,17.142333692253885,14.863898683974227,33.10336739399421,37.4580078125,200.6484375,201.1259765625,441.087890625,19.951171875,76.546875,116.28515625,161.5126953125,1987-10-09,348.25
5,6,9.05,37.45,51.95,8.95,164865.0,-2400240.0,3577,10.049500980615532,35.577037346038956,52.85005248449526,10,1987,289,0.7401768531960371,0.7116055685391126,12.594485563667893,0.0208919942457797,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,10.3798828125,0.0751953125,16.6162109375,87.0146484375,274.3935546875,150.8759765625,377.8935546875,3.3098578855531224,19.78365313753243,20.84996300491857,36.0325742027269,38.1181640625,216.4697265625,238.1064453125,467.2431640625,19.4306640625,121.015625,96.498046875,210.470703125,1987-10-16,348.25
6,7,9.15,37.5,51.8,8.45,164865.0,-2400240.0,3577,10.302920376836783,34.97771284443118,53.213077479795786,10,1987,298,0.7401768531960371,0.7287113685069326,12.779040052833842,0.02013347874301452,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,10.53515625,0.0751953125,16.6162109375,82.7490234375,278.47265625,151.0625,369.9052734375,2.978145717308582,20.384927680653423,22.38131799470756,42.932880986614094,33.2978515625,219.2587890625,247.908203125,512.138671875,16.62109375,105.3251953125,137.38671875,253.7451171875,1987-10-25,348.25
7,8,12.95,38.55,47.2,8.5,164865.0,-2400240.0,3577,10.442666002726362,35.142118253258516,52.93278053215343,11,1987,314,0.793577803248942,0.7580212844421134,13.081312108926529,0.017503221445442918,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,41.220703125,4.75390625,9.07421875,86.869140625,262.595703125,170.4326171875,335.1689453125,3.515192143482329,12.765924296203451,25.39140475758825,52.585347645505536,37.919921875,180.3203125,260.9013671875,571.80078125,22.2666015625,107.4326171875,155.75,289.1650390625,1987-11-10,348.25
8,9,8.15,31.35,59.05,6.8,164865.0,-2400240.0,3577,10.595092987506266,36.61770010175036,51.35594838597167,11,1987,321,0.793577803248942,0.7703896392969712,13.196878108097744,0.01570129075107829,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,37.390625,10.3798828125,9.07421875,86.869140625,262.5537109375,163.3125,342.3310546875,3.8573450721431435,21.39924663376044,16.281116439685782,55.59543440838623,40.3896484375,219.0009765625,218.240234375,584.7939453125,25.1767578125,133.1611328125,129.69921875,307.5283203125,1987-11-17,348.25
9,10,10.3,38.55,49.7,9.25,164865.0,-2400240.0,3577,10.523046612828322,37.5395310571725,50.50822165449893,11,1987,330,0.793577803248942,0.7858748492644535,13.323841774094108,0.012719112182308479,10950,0.0,29.0,32.85,1.05,-2.656305445419426,0.8283052704716716,0.0961769320553324,52.600876,22.89527740381561,346.5807367369186,51.3876953125,10.53515625,9.07421875,85.580078125,227.77734375,199.3759765625,342.298828125,3.452393699031231,22.16984629016126,26.396447260700658,48.81858254371002,35.7998046875,235.859375,268.6396484375,552.3125,23.466796875,156.8935546875,163.1171875,331.8232421875,1987-11-26,348.25
