,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,42.7777777777778,50.4444444444444,5.66666666666667,14.2222222222222,1919011.66666667,-3063571.66666667,3577,46.35505890952868,48.004138716890274,4.786602262737499,9,1987,261,0.6816387600233341,0.6556691338743984,11.976045284148821,0.02615484737371787,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,4.859375,93.087890625,139.2041015625,499.322265625,662.4140625,708.958984375,1081.51953125,0.8475347375679976,5.173250290785633,5.651245386735436,9.47321399411943,23.0380859375,135.138671875,142.7265625,290.705078125,7.5927734375,30.55859375,48.3505859375,94.3603515625,1987-09-18,348.25
1,2,46.75,47.0,5.125,13.5,1919006.25,-3063573.75,3577,45.52876676986585,47.883934714236574,5.362685035027651,10,1987,277,0.7401768531960371,0.688126690746912,12.397821372891753,0.026393266105062096,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,1.8623046875,79.2900390625,140.3056640625,491.033203125,658.171875,736.728515625,1080.6259765625,0.5198546365959242,6.001508256623611,7.132923029373513,13.041932291135158,19.9208984375,141.455078125,168.6171875,343.21875,8.392578125,63.5087890625,53.740234375,104.6181640625,1987-10-04,348.25
2,3,52.0,44.2222222222222,2.55555555555556,14.8888888888889,1919011.66666667,-3063571.66666667,3577,47.05105332618881,46.78232243977213,4.637682121131526,10,1987,293,0.7401768531960371,0.7192621817455338,12.814477831822902,0.025524935633013612,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,91.77734375,80.4697265625,140.8349609375,418.484375,694.62890625,748.287109375,994.2216796875,1.2340938281290248,3.1962147265784293,8.963803676648102,15.463863934988876,26.2509765625,111.7783203125,185.9765625,371.2353515625,9.8232421875,72.0576171875,79.689453125,145.5673828125,1987-10-20,348.25
3,4,56.875,38.75,3.25,15.125,1919006.25,-3063573.75,3577,49.929245719880434,44.96022579072114,3.3562051863780114,11,1987,325,0.793577803248942,0.7773303443774742,13.533215961433884,0.017992371575537902,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,72.2216796875,95.662109375,103.3076171875,434.8369140625,737.171875,692.5986328125,978.9833984375,1.062653386070941,4.291566742874415,4.506193051904479,13.531408126056611,28.9248046875,142.6396484375,156.3759765625,393.71875,11.5576171875,74.119140625,84.537109375,211.0302734375,1987-11-21,348.25
4,5,58.125,36.625,3.875,15.125,1919006.25,-3063573.75,3577,53.32221378767436,42.6785649958057,2.1055408896610848,12,1987,341,0.8414709848078965,0.8041514523449627,13.757529967456849,0.010071896905035516,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,129.453125,134.14453125,100.1044921875,382.841796875,751.572265625,736.7841796875,902.7216796875,1.2369251762301003,5.9282405518119585,10.995332232971915,13.314028069999118,29.068359375,152.9853515625,201.4443359375,390.2900390625,15.900390625,87.7490234375,85.935546875,199.939453125,1987-12-07,348.25
5,6,27.4444444444444,67.6666666666667,0.0,2.11111111111111,1919011.66666667,-3063571.66666667,3577,56.540370061654926,40.198256615245775,1.3156508834398144,12,1987,357,0.8414709848078965,0.8294275814489923,13.834686068202926,-1.0058086656883347e-05,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,135.76953125,164.00390625,81.3828125,393.5048828125,691.7099609375,748.8427734375,934.681640625,0.7550925246083874,7.4041626639918485,6.3591148550907715,21.529257761292094,27.1884765625,178.41796875,194.576171875,445.0146484375,17.1201171875,95.2900390625,114.3095703125,218.6650390625,1987-12-23,348.25
6,7,64.5,33.375,1.125,15.5,1919006.25,-3063573.75,3577,59.045669769257266,37.780213540759206,1.259171813738348,1,1988,8,0.08323691620031025,0.021916053410854716,13.743619921693663,-0.01032339361475465,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,101.3759765625,258.2607421875,86.5791015625,349.0390625,676.3037109375,736.037109375,968.001953125,0.5380890419949331,5.696858813272181,8.511504439994207,15.586024026744763,24.5771484375,162.94140625,200.4560546875,451.0185546875,16.3134765625,99.5576171875,124.7607421875,262.939453125,1988-01-08,350.45
7,8,65.5555555555556,25.6666666666667,7.44444444444444,15.3333333333333,1919011.66666667,-3063571.66666667,3577,60.45161083325815,35.68534499555639,2.051415320145662,1,1988,24,0.08323691620031025,0.06570605393630431,13.506778134842435,-0.018314370086530474,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,184.8662109375,188.1484375,195.4609375,244.1005859375,765.05078125,699.634765625,968.6416015625,0.9736653751472822,7.91150748968185,6.965890563665577,16.936183165563882,28.63671875,189.591796875,189.94921875,445.23828125,17.8828125,109.517578125,113.6904296875,272.357421875,1988-01-24,350.45
8,9,64.25,32.25,2.25,15.125,1919006.25,-3063573.75,3577,62.43966576937781,32.422019372091945,3.5706812107735555,2,1988,40,0.16589613269341502,0.10936981646984724,13.16693306602572,-0.02337423137898753,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,176.3671875,225.123046875,167.857421875,259.0908203125,736.3310546875,737.5966796875,933.5458984375,1.2394404621042707,5.876917805713308,6.647100398337141,18.634722987160156,23.3017578125,158.482421875,191.18359375,470.201171875,13.00390625,93.39453125,112.40234375,277.7666015625,1988-02-09,350.45
9,10,60.0,34.0,4.875,15.25,1919006.25,-3063573.75,3577,61.43129797618043,31.714105811624297,5.622644039825863,3,1988,72,0.24740395925452294,0.19598347462695087,12.344467208067817,-0.026782410194371664,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,188.1494140625,251.447265625,291.275390625,247.80859375,694.662109375,726.8740234375,927.7333984375,1.729006838900879,5.913711794205788,3.2757471103930547,15.900471496484778,31.9560546875,156.3857421875,163.7001953125,425.2197265625,13.193359375,85.716796875,122.734375,241.9833984375,1988-03-12,350.45
10,11,59.375,35.5,3.75,16.375,1919006.25,-3063573.75,3577,58.28425599167764,32.59872871366193,8.115469111210933,3,1988,88,0.24740395925452294,0.23876696344897025,11.917229828897879,-0.026472252604264668,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,33.705078125,379.0615234375,325.0625,235.1298828125,706.2724609375,715.3515625,929.4580078125,0.5039399571456197,4.540432525348904,6.972105811343546,13.47742137211284,22.515625,142.8759765625,174.2216796875,402.6845703125,9.943359375,81.0576171875,79.951171875,246.951171875,1988-03-28,350.45
11,12,60.0,32.0,6.75,14.5,1919017.5,-3063607.5,3577,52.45808886674976,35.76901937930815,10.74315914563432,4,1988,104,0.3271946967961522,0.28109172038566477,11.503679109894724,-0.025120697490368826,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,221.43359375,362.224609375,350.2138671875,240.3232421875,719.9951171875,701.5615234375,833.51171875,0.28860577216303374,2.6590522138251718,2.146816143782725,13.902810889541545,21.3056640625,132.81640625,151.921875,389.3857421875,14.228515625,97.8642578125,111.0693359375,193.5380859375,1988-04-13,350.45
12,13,37.6,39.8,21.2,20.0,1918995.0,-3063555.0,3577,45.325708441878135,43.637692055100395,9.638022340575077,7,1988,200,0.5508090958869698,0.5209343640072778,10.637901306491182,0.013556543709283275,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,101.79296875,71.7333984375,578.1103515625,461.8544921875,742.9423828125,641.716796875,843.814453125,0.4703939074892576,2.288579782396324,1.8625389467163918,6.116316698947417,17.642578125,95.9873046875,120.4306640625,264.00390625,8.93359375,51.57421875,59.66796875,83.7099609375,1988-07-18,350.45
13,14,37.0,52.5,9.625,15.125,1919006.25,-3063573.75,3577,44.350787885997974,45.344835290261955,9.130902078656131,8,1988,216,0.618369803069737,0.5578398973033405,10.906946817393983,0.01935324538385963,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,106.8310546875,66.55078125,470.662109375,523.27734375,773.8671875,662.9541015625,743.541015625,0.13284248682685929,3.1243003797071265,3.798408999637437,5.567657325742733,15.490234375,99.314453125,120.3212890625,268.4765625,7.6640625,27.455078125,40.328125,129.84375,1988-08-03,350.45
14,15,45.0,47.25,6.75,13.375,1919006.25,-3063573.75,3577,43.08652733574691,46.638108881135985,9.187183516516509,9,1988,264,0.6816387600233341,0.6618527940178025,12.054750455613643,0.026271541950524835,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,99.00390625,110.1318359375,297.453125,733.2275390625,736.7431640625,654.7314453125,716.435546875,0.7270113697730621,4.3575285521759675,3.1564407467275104,7.296377665026324,19.5078125,117.3486328125,135.576171875,290.7197265625,4.22265625,53.27734375,85.841796875,154.6103515625,1988-09-20,350.45
15,16,52.7777777777778,40.6666666666667,5.11111111111111,14.1111111111111,1919011.66666667,-3063571.66666667,3577,46.18306607392606,45.279682091207846,7.490562627945411,10,1988,280,0.7401768531960371,0.6940671385790956,12.476875524122143,0.026326122285965425,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,32.0673828125,93.337890625,234.3642578125,882.48828125,712.71484375,663.4228515625,722.890625,1.8417576213209514,8.003868708854831,4.697454795113659,9.59814725362447,31.80078125,167.2509765625,164.998046875,309.978515625,16.953125,66.7587890625,71.041015625,149.95703125,1988-10-06,350.45
16,17,52.4444444444444,43.7777777777778,2.77777777777778,13.6666666666667,1919011.66666667,-3063571.66666667,3577,51.85059784555914,40.852584249249986,6.232637761274603,10,1988,296,0.7401768531960371,0.7249480041597827,12.890415544260987,0.02519969828560953,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,8.4521484375,100.9931640625,175.6171875,871.423828125,729.578125,690.9384765625,746.720703125,2.2621342848977557,10.947515995960352,10.706705264963341,17.28609163059597,35.0908203125,180.8857421875,194.84765625,421.9619140625,13.802734375,73.9375,91.9208984375,186.138671875,1988-10-22,350.45
17,18,55.5555555555556,41.5555555555556,1.88888888888889,14.1111111111111,1919011.66666667,-3063571.66666667,3577,58.632388002425685,35.959437732884396,4.246559486264734,11,1988,328,0.793577803248942,0.7824746544232967,13.584688325720814,0.016728165590460975,10950,0.0,111.3,3.2,0.0,6.951794109127632,2.073648245726658,-0.985898465787728,1.2335925,17.174574815261373,792.6052416424419,42.5537109375,40.640625,221.1357421875,822.76953125,706.0224609375,732.498046875,697.2783203125,2.0641806115587027,8.230203719385665,8.106253237537546,21.348642666761897,29.9453125,153.8603515625,187.7548828125,438.828125,17.91796875,64.1787109375,88.1767578125,228.98828125,1988-11-23,350.45
