,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,9.8,19.6,69.1,6.2,334800.0,-3329235.0,3577,10.208647230822152,18.222772617819082,70.0279884760922,9,1987,268,0.6816387600233341,0.6700280517804915,12.170335263096272,0.03067939802662778,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,11.7265625,7.03515625,30.5947265625,146.9365234375,122.6376953125,128.50390625,158.8935546875,3.36329365622845,11.696232392490307,9.249175569071557,13.969339412997911,35.0546875,167.0302734375,170.53515625,315.8828125,17.05078125,61.8271484375,54.408203125,148.93359375,1987-09-25,348.25
1,2,9.75,19.1,69.6,6.65,334800.0,-3329235.0,3577,8.246900953363802,21.511645535407144,68.81299326748245,10,1987,284,0.7401768531960371,0.7019147308834798,12.660895445253296,0.030455463934176308,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.4140625,18.7490234375,30.44140625,124.552734375,144.92578125,109.775390625,177.41796875,1.9089910955252842,10.300972613221553,11.160194000908845,30.85589303266252,29.19921875,160.11328125,174.6875,444.009765625,12.435546875,66.65625,80.1318359375,166.1484375,1987-10-11,348.25
2,3,6.55,22.3,69.9,5.4,334800.0,-3329235.0,3577,7.4077205646091135,22.901105894449532,68.30141157002615,10,1987,300,0.7401768531960371,0.7324528537909863,13.136085959703774,0.02874482623576924,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.62109375,15.5947265625,32.6025390625,119.8447265625,115.728515625,126.376953125,188.1572265625,2.5355743356607543,10.338137871709797,11.688535903212347,26.062987121983564,32.779296875,162.89453125,181.7734375,412.078125,12.685546875,66.77734375,77.8828125,184.28515625,1987-10-27,348.25
3,4,4.95,26.05,67.5,6.45,334800.0,-3329235.0,3577,7.253409919973394,22.9526061571727,68.39139638311468,11,1987,316,0.793577803248942,0.7615837490247914,13.565436583522725,0.024705199955519674,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.21484375,12.140625,15.109375,139.0390625,116.53515625,118.177734375,191.375,1.514999161860064,15.152015030671983,22.696897557081467,29.839896132183764,26.076171875,188.025390625,238.560546875,444.775390625,10.28515625,97.6796875,134.888671875,188.427734375,1987-11-12,348.25
4,5,11.2,16.7,70.65,6.8,334800.0,-3329235.0,3577,7.43548080316657,22.16393806571823,68.95285317967209,11,1987,332,0.793577803248942,0.7892514487478929,13.903499570221665,0.017420171103285753,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.1474609375,7.970703125,19.02734375,136.8203125,115.7275390625,121.3271484375,180.833984375,2.2326683344576463,13.474665531935134,19.71534377932595,43.926091274237265,32.06640625,180.2763671875,237.4814453125,513.0439453125,13.865234375,91.9697265625,124.185546875,272.3740234375,1987-11-28,348.25
5,6,4.6,29.2,64.75,6.45,334800.0,-3329235.0,3577,7.694652926193184,20.969232642142842,69.82743990615509,12,1987,364,0.8414709848078965,0.8399875482895418,14.101824488115799,-0.005377718603359227,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,18.3154296875,0.3564453125,19.1611328125,113.2646484375,146.869140625,119.5185546875,153.1953125,2.1159433486406116,13.354384137195723,19.74256408640394,49.45706610006031,31.5986328125,188.10546875,248.5927734375,553.5390625,13.0009765625,108.0966796875,139.7373046875,291.9814453125,1987-12-30,348.25
6,7,9.1,16.35,73.1,6.45,334800.0,-3329235.0,3577,7.860853929352393,19.738960188418382,70.82856698255307,1,1988,15,0.08323691620031025,0.04108432376986344,13.91365703110421,-0.016589037880375912,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,20.05078125,1.78125,18.796875,113.4912109375,147.2158203125,119.5185546875,136.9765625,3.3876715115111624,30.579390997863356,21.9614074023117,42.328014744215224,38.3466796875,266.1318359375,249.3291015625,547.0947265625,25.166015625,155.5263671875,126.33203125,302.13671875,1988-01-15,350.45
7,8,8.55,17.75,71.9,6.25,334800.0,-3329235.0,3577,7.853219381236782,18.77993028642903,71.7413973023773,1,1988,31,0.08323691620031025,0.08482943673521204,13.577147754419665,-0.024395458866248276,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,3.369140625,18.462890625,12.34765625,93.4189453125,173.6826171875,118.3125,137.0087890625,4.337083675770395,20.03404781583881,19.975695043873536,60.15206960579357,39.5869140625,213.3916015625,246.208984375,615.1318359375,27.6962890625,109.3359375,124.0625,335.537109375,1988-01-31,350.45
8,9,9.2,18.75,70.4,6.35,334800.0,-3329235.0,3577,7.5314923466615,17.963127584487133,72.82091298792997,2,1988,47,0.16589613269341502,0.12841157084082863,13.144966383981243,-0.02884997624800434,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.025390625,21.82421875,12.35546875,89.2646484375,177.8369140625,114.935546875,140.3857421875,2.7332478287867294,12.809034855465224,15.931479616157123,49.22996040375956,35.01953125,189.630859375,217.23046875,563.32421875,17.109375,92.9853515625,116.1630859375,299.029296875,1988-02-16,350.45
9,10,3.9,19.4,74.95,5.0,334800.0,-3329235.0,3577,6.701685466235549,17.352411829653818,74.28309012967347,3,1988,63,0.24740395925452294,0.1717469937551714,12.664083454902032,-0.030806065325492682,10950,0,1.5,15.7,4.9,-2.4646214861333875,-0.6445130256455555,0.2504166878443827,38.261333,19.98790588425126,161.32010810319767,0.025390625,21.681640625,8.1142578125,42.32421875,228.7021484375,115.37109375,140.4091796875,4.206820534927222,15.751038967027213,22.510710781838785,38.17592564137964,41.5283203125,203.328125,257.759765625,516.6015625,18.6318359375,105.935546875,126.5732421875,265.42578125,1988-03-03,350.45
