,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,50.48,31.52,16.68,18.2,540525.0,-3933015.0,3577,51.16268633184273,31.44196909758055,16.11027175782595,9,1987,254,0.6816387600233341,0.6410690690149683,11.665626634436629,0.036769285099561344,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,34.6552734375,179.611328125,156.9501953125,158.4638671875,469.962890625,520.4326171875,530.119140625,0.49327079021443615,1.8711262773237223,2.4554315669753395,6.031329553276633,13.2119140625,86.19140625,97.8154296875,238.03125,10.25,54.8818359375,59.4482421875,152.763671875,1987-09-11,348.25
1,2,54.08,32.12,12.68,18.72,540525.0,-3933015.0,3577,52.5613584410373,29.858080392975907,16.406286426851445,9,1987,263,0.6816387600233341,0.6597965213074676,12.000081977888774,0.03741708227085283,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,29.2236328125,178.5224609375,162.927734375,124.2314453125,485.7646484375,512.55078125,548.2998046875,0.24234871797848279,2.5495310838660203,2.5159403375868057,5.855474467215455,15.2119140625,96.8427734375,104.244140625,231.9609375,11.599609375,56.5498046875,65.3818359375,144.5888671875,1987-09-20,348.25
2,3,51.32,24.28,23.4,14.84,540525.0,-3933015.0,3577,52.45751292037289,30.05310971779626,16.324694589036692,10,1987,279,0.7401768531960371,0.6920921792562543,12.602017018905183,0.037601476588122296,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,18.1201171875,141.3134765625,214.6748046875,120.8369140625,485.32421875,498.169921875,570.466796875,0.32489480076247046,2.3614827452664495,7.476067849085218,5.942130030882735,15.7685546875,91.7109375,162.5458984375,249.572265625,7.298828125,56.70703125,95.8408203125,148.4814453125,1987-10-06,348.25
3,4,50.44,33.24,14.84,19.56,540525.0,-3933015.0,3577,51.62535663568177,31.21649454833667,15.944531993634156,10,1987,286,0.7401768531960371,0.7058069740145997,12.863959170171155,0.03723986565042203,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,16.1962890625,137.7216796875,220.1796875,118.5166015625,488.40625,494.6708984375,572.6025390625,0.5833529528916439,2.21885228672029,2.68637754602892,10.902257542381147,15.0888671875,91.7744140625,107.4794921875,307.8740234375,10.0185546875,57.75390625,64.005859375,178.9404296875,1987-10-13,348.25
4,5,53.6,34.64,10.4,18.0,540525.0,-3933015.0,3577,50.66924206827461,32.684418032661085,15.360660560629595,11,1987,311,0.793577803248942,0.7526349479176189,13.746493849780778,0.03245232297319767,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,34.6025390625,56.302734375,282.5341796875,108.1025390625,494.908203125,514.49609375,560.8388671875,0.4446367063775135,8.209831134737428,5.01088787317397,5.805860328932368,16.8623046875,140.21875,140.423828125,252.3857421875,10.8388671875,92.43359375,84.1435546875,163.064453125,1987-11-07,348.25
5,6,50.64,32.56,15.56,16.76,540525.0,-3933015.0,3577,50.02366731494056,33.93980899060236,14.68376838074206,11,1987,327,0.793577803248942,0.7807657406186524,14.207461506789219,0.024923915628596305,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,2.8037109375,61.30859375,227.4697265625,179.984375,504.5576171875,495.4921875,567.1142578125,1.155107236368992,5.071180656604286,3.487651620043844,14.642528813601604,26.232421875,140.8818359375,126.5947265625,341.9384765625,10.859375,91.5634765625,83.1923828125,212.404296875,1987-11-23,348.25
6,7,49.6,39.72,9.32,17.28,540525.0,-3933015.0,3577,49.95327608794715,34.61234191376222,14.04036971542389,1,1988,10,0.08323691620031025,0.027393832960272764,14.430633904151563,-0.01674157296969092,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,1.9755859375,64.3681640625,154.654296875,244.5458984375,497.376953125,529.75,549.400390625,0.6799881470379924,6.212886246712229,6.36472640129025,12.803691819257931,24.1337890625,144.2236328125,160.9921875,357.962890625,15.419921875,92.8388671875,103.9384765625,234.0078125,1988-01-10,350.45
7,8,48.92,37.12,12.48,17.92,540525.0,-3933015.0,3577,50.552857715032815,34.47843696550612,13.572804996858682,1,1988,26,0.08323691620031025,0.07117265126751228,14.063831410879503,-0.027689732499146302,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,15.6474609375,31.884765625,113.3330078125,314.126953125,500.642578125,530.1767578125,545.8408203125,0.7016693098428326,5.110366738345466,5.218317597600508,15.253530944988167,18.6337890625,134.154296875,164.408203125,383.837890625,14.8603515625,83.2197265625,115.400390625,242.607421875,1988-01-26,350.45
8,9,47.8333333333333,19.1666666666667,31.9444444444444,12.8888888888889,540538.333333333,-3933005.0,3577,53.02643674178485,33.86177019058867,11.742581218229606,2,1988,33,0.16589613269341502,0.09028783724052472,13.85600783972357,-0.03106837212515856,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,14.705078125,31.80078125,93.4287109375,335.076171875,500.6572265625,530.056640625,545.8193359375,0.6136123562032096,8.169666482510637,5.812036048188299,14.107122141298424,17.8212890625,157.5537109375,152.7880859375,387.25390625,13.5966796875,104.310546875,98.080078125,254.0693359375,1988-02-02,350.45
9,10,51.84,35.96,11.0,17.24,540525.0,-3933015.0,3577,53.75414113749224,30.31487147011463,14.69194967055428,2,1988,42,0.16589613269341502,0.11481472886310604,13.559578172313964,-0.03425050220673853,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,27.2919921875,32.00390625,83.75390625,345.3935546875,500.609375,529.6591796875,546.2744140625,0.5357769763448179,3.484727854808,8.206539579034256,12.799642097822481,23.361328125,123.3154296875,161.7490234375,367.6943359375,13.2568359375,83.9814453125,116.390625,243.4208984375,1988-02-11,350.45
10,11,61.28,29.72,7.6,21.6,540525.0,-3933015.0,3577,53.99070092445447,27.777949620035262,17.131173836480873,5,1988,138,0.40471456356112473,0.3691387877133873,10.18456650432078,-0.025073765325153374,10950,0,3.15,105.85,0.0,-1.552754766360687,-1.662476817264201,5.0828742095741966,1.2042149,15.737601093973996,513.0167378270348,40.306640625,34.8935546875,58.83203125,328.3251953125,518.0244140625,520.3896484375,562.794921875,0.3331925264924883,2.9507671697378623,2.833997361074961,7.659219072396488,19.98828125,107.0673828125,139.9658203125,312.875,14.4287109375,78.3740234375,103.9326171875,223.2734375,1988-05-17,350.45
