,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,2.94444444444444,35.5,60.3333333333333,7.33333333333333,322358.333333333,-3307976.66666667,3577,2.6564136375797847,34.28761514352328,61.87369089936165,9,1987,268,0.6816387600233341,0.6700280517804915,12.16978100003588,0.03045132857170252,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,16.5302734375,6.2490234375,32.6435546875,172.6552734375,134.16796875,134.294921875,174.4365234375,3.362733216540609,11.694957625027927,9.45899714563589,14.206089340224164,34.9560546875,165.765625,170.65234375,315.5810546875,16.921875,62.3017578125,55.59375,149.0263671875,1987-09-25,348.25
1,2,3.05555555555556,32.4444444444444,63.1111111111111,7.55555555555556,322358.333333333,-3307976.66666667,3577,3.1568477293451376,33.33811721569718,62.14204356206417,10,1987,284,0.7401768531960371,0.7019147308834798,12.656689910369318,0.030228243526538634,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,0.5703125,22.779296875,32.54296875,154.236328125,152.62109375,120.2314453125,188.26953125,1.973799956129053,10.459780947517599,11.229445905998364,31.053799852456553,29.341796875,160.751953125,174.0693359375,442.4365234375,12.7236328125,66.703125,80.3798828125,168.1015625,1987-10-11,348.25
2,3,2.61111111111111,26.7222222222222,69.3333333333333,7.22222222222222,322358.333333333,-3307976.66666667,3577,2.8229716237972013,32.22967381584511,63.55835693851687,11,1987,332,0.793577803248942,0.7892514487478929,13.889840116717247,0.017283893925444715,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,0.0283203125,12.8759765625,19.7607421875,166.3720703125,119.5048828125,134.1748046875,196.263671875,2.2874304526559817,13.769278759419395,20.05461363060064,44.12938343153578,32.2548828125,181.439453125,238.8447265625,511.9716796875,14.0283203125,92.7275390625,123.7451171875,273.8857421875,1987-11-28,348.25
3,4,0.833333333333333,39.7777777777778,58.4444444444444,7.61111111111111,322358.333333333,-3307976.66666667,3577,2.0859954268106833,31.26860273274101,65.32076315306448,12,1987,364,0.8414709848078965,0.8399875482895418,14.086602920315826,-0.005335075435583647,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,27.681640625,0.068359375,23.3447265625,135.0263671875,160.0986328125,133.41015625,161.9091796875,2.114413644086332,13.212443760670833,20.32909683622445,50.021482546839565,31.4384765625,186.9384765625,250.697265625,554.0732421875,12.900390625,108.0,141.728515625,292.658203125,1987-12-30,348.25
4,5,2.0,28.6666666666667,67.7777777777778,7.77777777777778,322358.333333333,-3307976.66666667,3577,1.2896078045716686,30.684713639950992,66.80318173494126,1,1988,15,0.08323691620031025,0.04108432376986344,13.89991804953512,-0.016459046899351293,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,26.1767578125,4.5693359375,23.0615234375,134.072265625,161.3720703125,133.3974609375,133.294921875,3.386062468397105,30.876530232582134,21.977638531644843,42.82421930147606,38.05078125,266.8056640625,248.908203125,547.7099609375,25.423828125,156.263671875,126.6787109375,303.8994140625,1988-01-15,350.45
5,6,1.88888888888889,27.3888888888889,69.3888888888889,7.22222222222222,322358.333333333,-3307976.66666667,3577,0.6899759835776202,30.631308095833376,67.55531961827111,1,1988,31,0.08323691620031025,0.08482943673521204,13.566019100118513,-0.02420779298651432,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,3.0322265625,27.7138671875,17.1318359375,94.716796875,206.474609375,132.3427734375,134.1533203125,4.462769515827123,20.06291048667965,20.307664651604906,60.491837924743805,39.9814453125,212.6357421875,247.287109375,615.0966796875,27.833984375,109.3046875,123.857421875,336.3642578125,1988-01-31,350.45
6,7,0.888888888888889,33.7222222222222,64.1111111111111,7.38888888888889,322358.333333333,-3307976.66666667,3577,0.4557457506373783,31.185179543538677,67.30267114206742,2,1988,47,0.16589613269341502,0.12841157084082863,13.13712917035165,-0.02863197599851297,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,0.0478515625,30.7333984375,17.14453125,90.775390625,210.404296875,126.3466796875,140.1611328125,2.7721283481124415,12.816869380358945,15.947729394978422,49.7977691229385,35.0673828125,189.3818359375,216.6689453125,564.3525390625,17.013671875,91.5546875,115.5078125,299.3544921875,1988-02-16,350.45
7,8,0.0,33.5,66.0,13.0,322350.0,-3307935.0,3577,0.6680414528710741,32.346613311004766,65.94651805022337,3,1988,63,0.24740395925452294,0.1717469937551714,12.659854128692759,-0.030576101845625203,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,0.0478515625,30.7119140625,12.8095703125,43.43359375,260.70703125,127.73046875,140.1728515625,4.200528227750406,15.938622408757881,22.86108896317144,38.3294849724506,41.416015625,203.841796875,258.4091796875,516.052734375,18.5439453125,105.34375,127.578125,263.314453125,1988-03-03,350.45
8,9,1.16666666666667,30.5,67.1666666666667,7.27777777777778,322358.333333333,-3307976.66666667,3577,1.383863642377368,33.55378024108173,63.969642844246295,3,1988,79,0.24740395925452294,0.21475244714146,12.166083750083041,-0.030908206929103343,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,0.0,26.126953125,5.2685546875,55.607421875,260.70703125,105.208984375,162.6171875,2.7708771699139128,10.516246826717742,17.811420560143013,46.70361201717529,33.99609375,168.146484375,232.591796875,560.2685546875,15.583984375,74.353515625,115.9072265625,283.9541015625,1988-03-19,350.45
9,10,1.94444444444444,37.7222222222222,59.1111111111111,7.66666666666667,322358.333333333,-3307976.66666667,3577,2.328754321014036,35.65207444773475,60.8726753122947,4,1988,95,0.3271946967961522,0.257345306618054,11.677295694808281,-0.030054542175840027,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,23.259765625,3.080078125,27.7451171875,55.892578125,260.9921875,105.2080078125,161.7421875,1.4381551929361722,6.3332499095897825,21.408847331452957,37.956625639855375,27.3779296875,153.75,240.8720703125,507.24609375,14.6171875,113.21875,141.537109375,245.1728515625,1988-04-04,350.45
10,11,2.83333333333333,41.2777777777778,54.7777777777778,7.66666666666667,322358.333333333,-3307976.66666667,3577,3.305135181295678,39.46396568687,56.03556522595933,4,1988,111,0.3271946967961522,0.29944374050084255,11.212535986419267,-0.02793149947419238,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,23.26171875,0.0478515625,30.74609375,55.923828125,260.939453125,105.2607421875,149.75,1.9345129765477087,9.345460057618551,10.452490573769511,32.14521553892877,29.568359375,164.2275390625,186.53515625,477.4462890625,15.2265625,82.7314453125,90.3388671875,295.8369140625,1988-04-20,350.45
11,12,4.55555555555556,37.2777777777778,56.6111111111111,8.33333333333333,322358.333333333,-3307976.66666667,3577,4.2514198907381395,40.647684273065195,53.72718732934649,5,1988,127,0.40471456356112473,0.340966867022661,10.79581875189237,-0.02405755686650579,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,2.4609375,23.26171875,30.7939453125,42.740234375,273.873046875,105.5107421875,149.603515625,1.0841109970635863,8.229489103489545,10.046031290917282,25.71856525457163,26.5810546875,161.8798828125,179.8349609375,441.857421875,16.240234375,86.984375,91.5791015625,221.8212890625,1988-05-06,350.45
12,13,6.38888888888889,37.7222222222222,54.3333333333333,8.94444444444444,322358.333333333,-3307976.66666667,3577,4.662921186140302,41.78190213638506,52.118452926494676,6,1988,159,0.479425538604203,0.42196935074219,10.245159747971023,-0.009208063694387647,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,13.40625,25.72265625,30.759765625,31.17578125,275.1083984375,95.107421875,155.58984375,0.6192359822920193,5.547510430959539,4.610471138966818,13.57146638564422,16.8583984375,123.5302734375,136.8876953125,339.3359375,5.6630859375,53.7646484375,60.58984375,177.2109375,1988-06-07,350.45
13,14,4.61111111111111,49.7222222222222,44.2777777777778,10.3888888888889,322358.333333333,-3307976.66666667,3577,4.522450030189292,40.17649223840574,53.790625954704595,7,1988,191,0.5508090958869698,0.49973055152418083,10.285122846158341,0.010921055785345857,10950,0,1.6,5.6,0.0,0.1184305328170657,-2.2838290150030014,-0.3707427569749844,14.187411,19.937399236257633,172.33212209302326,4.8818359375,17.5771484375,25.10546875,52.3310546875,260.9482421875,114.9892578125,132.2978515625,0.8235675702064482,2.9234176602783712,4.9939823421156815,12.684458448162763,21.3583984375,97.48828125,122.5458984375,324.046875,6.244140625,47.68359375,37.9619140625,111.5576171875,1988-07-09,350.45
