,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,51.48,41.52,5.72,12.32,1317945.0,-4677645.0,3577,58.21895080839338,37.05952528379783,3.3009941520468002,9,1987,261,0.6816387600233341,0.6556691338743984,11.885485601549227,0.0465269472440184,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,21.3095703125,64.8837890625,105.908203125,232.75,700.2783203125,536.822265625,489.19921875,0.41321908791037826,2.7635440863872898,2.6001978167621203,5.043381891758834,14.572265625,92.2529296875,95.333984375,209.7685546875,0.548828125,22.3935546875,10.0732421875,20.44140625,1987-09-18,348.25
1,2,51.0,40.96,6.84,13.32,1317945.0,-4677645.0,3577,45.655697085851834,45.513368715907404,7.65961128310975,10,1987,293,0.7401768531960371,0.7192621817455338,13.379787283596615,0.045770045630890266,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,57.7451171875,31.646484375,136.96484375,197.517578125,705.6630859375,505.0068359375,506.2861328125,0.32486268615118136,2.150475886777664,3.3151272406622896,11.324059899470942,13.8505859375,100.2451171875,97.8974609375,309.138671875,7.2890625,33.5341796875,21.22265625,92.6455078125,1987-10-20,348.25
2,3,46.44,44.48,7.84,12.32,1317945.0,-4677645.0,3577,39.297852587728755,48.51449959740974,11.179743854356868,11,1987,325,0.793577803248942,0.7773303443774742,14.686239571525833,0.03325459438273093,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,59.51953125,77.943359375,133.482421875,152.619140625,712.302734375,516.201171875,499.3486328125,0.714717284917505,3.2761792531703806,4.054604512686502,12.624224362592344,20.6845703125,125.9287109375,134.5849609375,335.62109375,13.595703125,60.6162109375,47.53125,107.4169921875,1987-11-21,348.25
3,4,44.56,46.16,8.12,12.08,1317945.0,-4677645.0,3577,37.84484045710054,47.64834938023784,13.582291550898365,2,1988,40,0.16589613269341502,0.10936981646984724,14.015504790558191,-0.04245180782462299,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,49.1552734375,114.62890625,87.798828125,186.3544921875,555.380859375,666.4970703125,567.7001953125,0.837786759234256,5.007285478271551,8.834501542307608,15.657755905449122,21.2265625,132.982421875,183.1240234375,397.9248046875,6.525390625,62.9208984375,79.224609375,183.111328125,1988-02-09,350.45
4,5,43.28,46.2,9.4,11.84,1317945.0,-4677645.0,3577,40.048099684972776,44.321103375468624,14.71807503470042,2,1988,56,0.16589613269341502,0.15282345185103158,13.297214804598799,-0.046476642762218745,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,40.3974609375,64.640625,144.7060546875,191.8408203125,548.1943359375,668.1376953125,563.5244140625,0.8661729101842318,6.490742996717012,5.92654704439344,16.482751592085705,20.8974609375,139.8623046875,162.6787109375,383.966796875,10.0947265625,62.6904296875,70.685546875,161.3212890625,1988-02-25,350.45
5,6,14.0,43.0,43.0,16.0,1318005.0,-4677615.0,3577,44.71108511028016,39.75970075332299,14.567835944585166,5,1988,152,0.40471456356112473,0.40450577605908317,9.330182849729946,-0.02126124337306834,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,66.498046875,42.7197265625,99.96484375,232.306640625,479.4716796875,682.2939453125,617.4443359375,0.317118597181407,1.5766422783957712,1.0656462343264972,4.653193805961809,15.3671875,81.9013671875,82.1181640625,266.6328125,0.943359375,26.228515625,50.201171875,111.189453125,1988-05-31,350.45
6,7,51.84,41.72,5.44,9.32,1317945.0,-4677645.0,3577,50.68926741988661,35.01183454316576,13.2422368962307,6,1988,168,0.479425538604203,0.4441935841357956,9.118158518289672,-0.005757851095189892,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,57.7412109375,65.2734375,85.810546875,256.041015625,483.8642578125,675.3056640625,620.5361328125,0.19258890517031174,0.47257603646426577,1.3995706445690406,3.3120071977603183,11.7177734375,70.16796875,93.474609375,207.4716796875,-0.884765625,8.62109375,22.833984375,79.611328125,1988-06-16,350.45
7,8,61.12,32.92,4.64,18.36,1317945.0,-4677645.0,3577,56.890133148576666,30.94595163350119,10.98186148216944,7,1988,184,0.5508090958869698,0.4830279836950298,9.167962356320615,0.010835861833975002,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,58.9267578125,89.9775390625,77.822265625,232.8681640625,498.5712890625,679.193359375,611.19140625,0.2659020228052956,1.9642514276825163,1.9759337675128952,2.3778250417178284,12.27734375,75.978515625,91.416015625,198.2763671875,-0.8369140625,29.0791015625,14.0556640625,25.900390625,1988-07-02,350.45
8,9,67.72,27.48,3.32,16.52,1317945.0,-4677645.0,3577,66.85618913593146,25.607079607694978,6.136970274306821,8,1988,216,0.618369803069737,0.5578398973033405,9.963966329142199,0.03543059253282976,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,57.7412109375,123.7939453125,57.166015625,249.2666015625,474.140625,706.3125,601.51171875,0.22613026519875068,2.320875185249992,1.1362242620173582,3.1797498590915323,13.4111328125,82.0859375,70.1083984375,202.7529296875,4.470703125,22.4150390625,12.7822265625,41.7666015625,1988-08-03,350.45
9,10,75.76,18.24,4.2,15.8,1317945.0,-4677645.0,3577,69.34269079216959,24.6656088570835,4.469657331831588,10,1988,280,0.7401768531960371,0.6940671385790956,12.776438975823007,0.04690339138101507,10950,0,88.4,0.3,1.8,3.8836968775105336,2.091174101358422,0.9132301361716282,3.7509148,11.406365754558239,505.0354287790698,57.4912109375,91.0869140625,151.033203125,246.6943359375,398.033203125,706.3857421875,491.2861328125,0.5198022811141735,3.0998111539693514,3.367052771648535,5.815320998990075,15.1513671875,97.2783203125,119.744140625,229.01171875,6.6689453125,39.5439453125,43.6923828125,89.1953125,1988-10-06,350.45
