,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,9.4,51.15,38.25,11.15,-1065466.5,-3092098.5,3577,10.349208806329557,49.59907120743032,38.737869797041625,9,1987,258,0.6816387600233341,0.649441180325217,11.887507979912893,0.027329458378479998,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,12.9296875,11.482421875,63.8251953125,124.7685546875,181.26953125,381.3173828125,348.533203125,1.8538825957487521,10.970730098197238,6.809628855253564,18.127010704960618,25.263671875,164.462890625,146.4677734375,336.466796875,12.6396484375,59.259765625,55.9296875,123.703125,1987-09-15,348.25
1,2,10.7,48.2,39.5,11.15,-1065466.5,-3092098.5,3577,8.892064106344307,50.759011499336566,38.88127242124921,10,1987,274,0.7401768531960371,0.6821397568546641,12.329783603754546,0.02776530966646895,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,4.9267578125,16.5546875,66.78125,115.265625,189.5830078125,357.3134765625,373.73046875,1.529973879058941,9.038767111354822,17.475048066271842,23.32699874500925,24.00390625,145.263671875,219.427734375,391.1416015625,8.6796875,59.44921875,95.1806640625,142.71875,1987-10-01,348.25
2,3,8.55,50.0,39.8,10.9,-1065466.5,-3092098.5,3577,8.519218247352944,50.93046048378864,39.041957930270634,10,1987,290,0.7401768531960371,0.7135277699284436,12.770133317554333,0.02710901254855891,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.0341796875,21.423828125,44.9873046875,127.12109375,197.1796875,358.2216796875,374.7138671875,1.8558260190451936,9.016921603782354,16.55051864197765,32.649505804915776,27.7177734375,158.087890625,222.4560546875,449.8212890625,8.279296875,77.1240234375,113.9736328125,182.2275390625,1987-10-17,348.25
3,4,7.8,51.6,39.2,10.9,-1065466.5,-3092098.5,3577,8.799452156031128,50.56004235702376,39.163034471548414,11,1987,306,0.793577803248942,0.7435449152138038,13.187310119137768,0.024849067354733023,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.0048828125,13.0244140625,43.8330078125,130.169921875,200.1611328125,361.412109375,372.521484375,1.5352941361345314,15.664460228173706,16.258929742588222,31.307075038439415,22.654296875,196.9384765625,216.234375,465.427734375,14.8310546875,103.71484375,107.7724609375,223.78515625,1987-11-02,348.25
4,5,9.65,50.85,38.15,11.1,-1065466.5,-3092098.5,3577,9.377594086340244,50.004651617732094,39.20819572154712,11,1987,322,0.793577803248942,0.7721335221626509,13.54877869720466,0.02015221105363274,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,2.0029296875,12.9638671875,40.353515625,133.0693359375,196.6328125,365.5634765625,355.921875,2.7676368925577735,12.912022115947156,13.477215979631255,36.42578995369118,35.82421875,187.0439453125,210.2685546875,482.2548828125,17.2509765625,114.0068359375,106.1767578125,247.1904296875,1987-11-18,348.25
5,6,9.4,54.2,35.15,10.9,-1065466.5,-3092098.5,3577,9.974519619527388,49.53145306705675,39.1617208857534,1,1988,5,0.08323691620031025,0.01369820171071469,13.859092904971988,-0.008992202268135685,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,42.986328125,2.1220703125,21.4814453125,162.40625,161.7373046875,381.0625,311.4169921875,3.837866255663223,20.18121609883919,16.42665763252367,58.540286749892786,37.5439453125,211.373046875,236.857421875,600.9326171875,23.59765625,123.181640625,142.431640625,361.6259765625,1988-01-05,350.45
6,7,9.3,43.05,46.4,10.0,-1065466.5,-3092098.5,3577,10.387151664125373,49.31788180859385,39.02847469867594,1,1988,21,0.08323691620031025,0.057502510285025975,13.635511197095834,-0.01793238644505557,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,35.3994140625,9.7041015625,21.4580078125,147.0009765625,172.5048828125,385.708984375,309.025390625,2.8933421384357203,23.33039554898748,27.636995547977968,50.50387674703202,34.32421875,225.0244140625,266.8681640625,569.6416015625,20.2578125,119.5478515625,164.88671875,338.787109375,1988-01-21,350.45
7,8,12.35,51.95,34.55,10.95,-1065466.5,-3092098.5,3577,10.488460455951149,49.45164324838509,38.83390742383969,2,1988,37,0.16589613269341502,0.10119634195510843,13.294477715282534,-0.02381247497852712,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,29.650390625,44.931640625,13.201171875,102.3330078125,218.1689453125,271.1953125,430.32421875,2.2885236694046567,6.568473848069794,21.937854448629313,61.4865577507382,33.6142578125,160.943359375,251.8564453125,602.044921875,22.7255859375,109.3798828125,155.4560546875,349.5380859375,1988-02-06,350.45
8,9,10.1,49.6,39.05,10.9,-1065466.5,-3092098.5,3577,10.459137456968712,49.73339106712976,38.53994565805135,2,1988,53,0.16589613269341502,0.14469574979007366,12.883945555318764,-0.026916347499641446,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,29.6533203125,43.1005859375,14.966796875,79.0478515625,234.990234375,208.033203125,499.5849609375,3.684485112324361,18.76119176599449,17.90400278575561,34.753499286834476,37.744140625,211.58203125,225.9169921875,502.4521484375,19.6962890625,119.845703125,126.6220703125,317.34375,1988-02-22,350.45
9,10,10.0,47.25,41.35,9.95,-1065466.5,-3092098.5,3577,9.572882071487452,50.523789213874544,38.60328216674389,3,1988,69,0.24740395925452294,0.1879171603965242,12.44133864124213,-0.028081063506418147,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.66015625,72.6396484375,2.1513671875,91.927734375,220.4111328125,219.041015625,465.5595703125,4.176803245473564,16.03576460753405,31.09992217256188,49.66682464524985,39.7548828125,195.2001953125,285.0380859375,558.671875,21.171875,116.2216796875,168.2783203125,305.076171875,1988-03-09,350.45
10,11,7.05,53.65,37.8,9.95,-1065466.5,-3092098.5,3577,8.530453138191803,51.024651973405966,39.139908852751304,3,1988,85,0.24740395925452294,0.23077753448423538,11.99161513744901,-0.027960347989466783,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.7333984375,29.6572265625,45.1044921875,88.2646484375,221.3115234375,197.046875,405.15234375,2.931283545532236,22.45686504932334,16.30207662640209,58.95449702485921,34.8251953125,223.05078125,211.6650390625,596.1533203125,22.931640625,117.9599609375,123.2841796875,353.3154296875,1988-03-25,350.45
11,12,11.6,54.5,32.75,12.75,-1065466.5,-3092098.5,3577,8.555022840934875,51.93298909552003,38.15116874868627,6,1988,165,0.479425538604203,0.4368148483300047,10.376573398892273,-0.004962779822969665,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,14.0712890625,40.3642578125,72.509765625,27.4267578125,265.736328125,154.67578125,401.7275390625,0.9276430749575222,4.115177072016881,4.427177170781539,11.648335499205405,23.376953125,127.51171875,134.6494140625,336.880859375,10.6806640625,45.736328125,60.125,141.009765625,1988-06-13,350.45
12,13,2.85,50.45,45.35,7.6,-1065466.5,-3092098.5,3577,8.048531035526736,52.214887743827305,38.35693455151086,7,1988,197,0.5508090958869698,0.5139009836804498,10.520968834082726,0.01288526914243171,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,5.5859375,53.32421875,31.498046875,66.5615234375,199.5126953125,218.0166015625,401.6806640625,0.3422964097525165,4.477953440138744,6.186995863625153,14.434436814384888,17.2041015625,114.564453125,134.6279296875,337.302734375,6.3505859375,37.4560546875,40.40625,122.2783203125,1988-07-15,350.45
13,14,9.05,51.0,38.6,11.75,-1065466.5,-3092098.5,3577,6.9577453506235685,50.87427309531813,40.76850657082246,9,1988,245,0.6816387600233341,0.6219518703256062,11.538042775226753,0.02623015531747086,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,13.7548828125,35.6279296875,48.6337890625,76.4599609375,215.0595703125,178.8193359375,382.001953125,0.813425041826721,7.312057885183355,7.596433459335087,13.732851425425755,19.443359375,137.4482421875,146.9716796875,321.0576171875,4.5244140625,45.1328125,34.197265625,142.404296875,1988-09-01,350.45
14,15,7.55,48.75,42.25,11.3,-1065466.5,-3092098.5,3577,5.935925220289658,50.48945275569909,42.19151493500709,9,1988,261,0.6816387600233341,0.6556691338743984,11.969815855892541,0.027485380106369917,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.009765625,42.9990234375,54.9345703125,75.5244140625,212.94140625,181.333984375,378.6435546875,1.642224097872548,9.690214371649155,10.921398377007664,17.646360074299466,25.923828125,153.8837890625,181.2177734375,348.3115234375,6.2802734375,55.5791015625,78.1201171875,92.8447265625,1988-09-17,350.45
15,16,8.5,50.2,39.8,11.0,-1065466.5,-3092098.5,3577,6.5779438827416605,49.55922081014221,42.42253999869466,10,1988,277,0.7401768531960371,0.688126690746912,12.41302698655159,0.02773480648878035,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,0.0,42.8154296875,54.9228515625,75.7001953125,202.5712890625,190.5400390625,357.2919921875,2.977287737341349,10.360263553678834,12.579622432671279,26.884874946412385,35.4482421875,162.88671875,191.7880859375,421.802734375,11.388671875,65.818359375,75.5400390625,156.08984375,1988-10-03,350.45
16,17,6.75,51.2,40.6,11.1,-1065466.5,-3092098.5,3577,7.465513433933371,48.89558552901476,42.22894628590593,11,1988,325,0.793577803248942,0.7773303443774742,13.606828627308316,0.018936410910448842,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,3.287109375,0.009765625,56.3466796875,115.07421875,188.3896484375,164.560546875,397.6357421875,1.6520554120315596,11.921950813205399,17.26190067170518,42.53560738886112,25.064453125,164.0341796875,211.8173828125,515.8779296875,9.951171875,82.2275390625,115.576171875,249.3935546875,1988-11-20,350.45
17,18,2.5,46.1666666666667,50.1666666666667,7.0,-1065490.0,-3092060.0,3577,8.464453657796048,49.409546284461506,40.792761985170756,12,1988,341,0.8414709848078965,0.8041514523449627,13.84298884929419,0.010607041910576598,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,36.625,0.0029296875,43.5078125,127.80859375,188.451171875,163.193359375,387.1455078125,1.0151442087695963,8.821177433270407,15.913018881046018,34.856607824371764,21.6474609375,172.28515625,215.7275390625,458.734375,12.15625,107.2060546875,121.3173828125,232.6572265625,1988-12-06,350.45
18,19,9.95,50.0,38.7,11.35,-1065466.5,-3092098.5,3577,9.909970988762076,49.07423195998315,39.815021974923155,12,1988,357,0.8414709848078965,0.8294275814489923,13.924255349324545,-1.0595203784546925e-05,10950,0,23.9,4.2,11.8,-3.905546775550084,1.5745116880607846,-0.2413141236954992,23.120764,21.13335537946081,247.27700308866278,90.81640625,3.701171875,43.0087890625,96.7392578125,219.9228515625,163.2900390625,383.2587890625,1.1473413461683353,7.866323314436566,22.67571129508338,28.034162593630967,24.626953125,150.041015625,250.3701171875,459.314453125,12.435546875,105.3662109375,133.431640625,267.8916015625,1988-12-22,350.45
