,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,45.8695652173913,33.5217391304348,19.4347826086957,15.4782608695652,-1530011.08695652,-3515030.2173913,3577,46.90337182737319,33.98007106160542,17.88779286504845,9,1987,247,0.6816387600233341,0.6262332269244854,11.517917625330215,0.030279654704346015,591,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,84.9091796875,325.53515625,189.9287109375,117.310546875,781.130859375,578.5166015625,688.07421875,0.5279893174530038,2.9377172651339185,3.2694027775986862,11.50830044420025,18.9072265625,116.87109375,111.673828125,328.9208984375,7.0146484375,51.30859375,61.76953125,163.880859375,1987-09-04,348.25
1,2,44.0,31.8695652173913,22.8695652173913,14.1739130434783,-1530011.08695652,-3515030.2173913,3577,42.93908871710396,30.756740797005314,25.07535275742636,9,1987,272,0.6816387600233341,0.6781228416014485,12.299800762331953,0.031756760027318975,616,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,42.59375,250.2001953125,331.3486328125,94.6259765625,741.8134765625,596.453125,694.6474609375,0.5637462713039919,3.1074529177124286,5.6201065259472776,13.73747583360834,17.3173828125,114.212890625,163.7490234375,357.109375,5.384765625,59.330078125,78.40625,161.2041015625,1987-09-29,348.25
2,3,41.3913043478261,28.4347826086957,28.8260869565217,13.1739130434783,-1530011.08695652,-3515030.2173913,3577,41.16550102775962,29.725525373412893,27.859511305108725,10,1987,295,0.7401768531960371,0.7230581526221209,13.020738587283073,0.03047639425578197,639,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,46.373046875,190.3515625,377.8564453125,53.6435546875,777.4189453125,598.6025390625,706.1689453125,0.9031513938016543,4.776298149524611,5.249787708367188,12.262183396800586,20.8232421875,130.7783203125,154.0703125,347.84375,13.1240234375,60.654296875,85.376953125,182.7939453125,1987-10-22,348.25
3,4,41.7391304347826,31.4782608695652,25.5217391304348,13.4347826086957,-1530011.08695652,-3515030.2173913,3577,40.80833293682437,30.17233957039955,27.740584174466523,11,1987,311,0.793577803248942,0.7526349479176189,13.483793450465171,0.027180212247753133,655,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,21.859375,131.7724609375,343.8720703125,183.154296875,767.7109375,586.5869140625,722.142578125,1.3343116421715748,6.044411407233941,6.416856147080666,12.416368571041348,28.2470703125,134.857421875,168.8017578125,346.9873046875,13.56640625,66.4541015625,83.1484375,178.09375,1987-11-07,348.25
4,5,42.0434782608696,31.4347826086957,25.1739130434783,14.304347826087,-1530011.08695652,-3515030.2173913,3577,41.23697607460147,31.487092966317128,25.968696122026767,12,1987,343,0.8414709848078965,0.8073964843387994,14.12114864678459,0.010801634139347982,687,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,26.7763671875,68.6044921875,370.4775390625,230.419921875,767.2646484375,563.3505859375,699.1083984375,1.0157343990895824,8.065813666063303,6.773711387893551,16.772292306451607,25.376953125,171.931640625,166.818359375,404.3935546875,15.3623046875,99.2626953125,83.7568359375,232.2548828125,1987-12-09,348.25
5,6,40.2608695652174,31.3478260869565,27.1739130434783,13.6521739130435,-1530011.08695652,-3515030.2173913,3577,41.96448952421328,33.16368993829789,23.543780994472506,1,1988,26,0.08323691620031025,0.07117265126751228,13.749160226633398,-0.02311607236827129,735,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,3.0380859375,51.6669921875,154.83203125,497.8388671875,758.5498046875,561.2998046875,690.04296875,3.030151564214248,9.250122700457636,7.635623336326009,22.478840588976535,38.1171875,175.76171875,177.7998046875,450.9716796875,22.2314453125,93.2158203125,92.857421875,264.8095703125,1988-01-26,350.45
6,7,41.8695652173913,37.0869565217391,19.7826086956522,13.9130434782609,-1530011.08695652,-3515030.2173913,3577,42.64759982160122,34.800029662254545,21.21558172864286,2,1988,42,0.16589613269341502,0.11481472886310604,13.3271468715872,-0.028720990615788367,751,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,2.38671875,36.037109375,122.6396484375,546.517578125,757.505859375,552.8671875,699.697265625,1.8090438348288476,12.461214335231432,12.789319848857893,24.003714773519057,30.8505859375,198.3955078125,225.8310546875,460.7333984375,15.296875,113.591796875,134.8857421875,248.3671875,1988-02-11,350.45
7,8,42.3913043478261,35.2608695652174,21.0434782608696,13.1304347826087,-1530011.08695652,-3515030.2173913,3577,43.0867009555194,36.09800611287485,19.48365035153011,2,1988,51,0.16589613269341502,0.1392718173567516,13.058996359360519,-0.030531012365658583,760,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,0.3837890625,35.072265625,101.11328125,571.01171875,755.244140625,551.1181640625,703.6689453125,3.262051965670634,16.63733919397562,15.473998146780419,30.407191640053117,37.9208984375,217.416015625,234.416015625,521.392578125,22.8974609375,115.30078125,121.048828125,304.59765625,1988-02-20,350.45
8,9,41.8695652173913,35.8695652173913,20.9130434782609,13.9565217391304,-1530011.08695652,-3515030.2173913,3577,42.29857511245694,36.81518573968218,19.685900534379925,2,1988,58,0.16589613269341502,0.15823621824886697,12.841479291623827,-0.03142403191781007,767,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,0.4169921875,33.138671875,73.703125,600.35546875,687.681640625,618.666015625,698.560546875,1.632343751889724,11.36689709764465,19.899391159646253,31.48688783818654,31.4208984375,193.845703125,255.3369140625,522.3984375,18.2470703125,113.5615234375,138.1982421875,296.9384765625,1988-02-27,350.45
9,10,43.2173913043478,35.3913043478261,20.0434782608696,14.3913043478261,-1530011.08695652,-3515030.2173913,3577,44.217034900077834,37.33324904668066,16.97325438392288,3,1988,74,0.24740395925452294,0.20135369573249767,12.329988351405603,-0.03221201227513504,783,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,0.6171875,11.486328125,95.119140625,600.8466796875,682.83203125,611.6064453125,677.5224609375,3.068443203362955,9.940249998083903,12.311844771111502,35.633281682806924,35.37109375,180.9453125,206.81640625,542.8857421875,21.6611328125,117.376953125,127.29296875,307.3505859375,1988-03-14,350.45
10,11,44.5652173913044,39.6086956521739,14.5217391304348,15.2173913043478,-1530011.08695652,-3515030.2173913,3577,45.133593896337864,36.95761406112515,16.463081719059204,3,1988,90,0.24740395925452294,0.24408432170565875,11.817424956246926,-0.03169647156171429,799,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,32.462890625,2.419921875,60.7236328125,634.0517578125,682.4384765625,621.4814453125,668.5478515625,1.3748516925512797,4.11676565692824,18.63853332116153,32.38182194843634,28.44140625,149.7841796875,249.2275390625,498.9248046875,16.5107421875,99.74609375,135.3955078125,312.693359375,1988-03-30,350.45
11,12,47.9130434782609,36.4347826086956,14.2173913043478,14.7826086956522,-1530011.08695652,-3515030.2173913,3577,44.978897667139705,35.333055018740936,18.408819811226532,4,1988,99,0.3271946967961522,0.2679194443681064,11.535932990929675,-0.030881719469146418,808,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,31.8935546875,2.9892578125,57.7724609375,618.59375,700.0439453125,620.755859375,670.0771484375,1.584140510737508,9.773023826781493,7.625445954025069,36.71907577579405,30.8408203125,181.1962890625,187.4658203125,525.7353515625,15.05859375,91.2939453125,113.3466796875,316.236328125,1988-04-08,350.45
12,13,48.8260869565217,34.0,16.2173913043478,17.0,-1530011.08695652,-3515030.2173913,3577,44.847498157375036,33.453303275666684,20.674639383362223,5,1988,131,0.40471456356112473,0.3512483815892772,10.644860498440943,-0.02371325987372863,840,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,50.2978515625,32.49609375,38.423828125,497.564453125,818.4326171875,609.076171875,602.9140625,0.9953163422246842,3.539628564702185,3.8299895886906716,15.063578566862914,25.9609375,134.7451171875,152.2275390625,404.8671875,12.46875,74.57421875,102.6025390625,243.025390625,1988-05-10,350.45
13,14,33.875,30.625,34.375,17.25,-1530026.25,-3514991.25,3577,45.123420949080526,32.809917686965534,21.300781547833814,5,1988,138,0.40471456356112473,0.3691387877133873,10.489709893721502,-0.02092986138306152,847,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,87.384765625,36.1748046875,36.4482421875,485.6298828125,813.3271484375,627.5537109375,579.19140625,0.5005848233327631,4.6916913522697445,4.534944906926869,13.36694727547842,20.1005859375,132.6259765625,160.7060546875,384.126953125,12.9990234375,94.1728515625,87.04296875,246.59375,1988-05-17,350.45
14,15,58.7826086956522,33.8695652173913,5.95652173913043,20.8695652173913,-1530011.08695652,-3515030.2173913,3577,45.8277221331568,32.63431098783619,20.913646976926252,5,1988,147,0.40471456356112473,0.39194033242451504,10.322378796724593,-0.01659761868787868,856,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,120.3466796875,45.072265625,35.078125,486.4658203125,763.26171875,671.98828125,537.5830078125,0.3899573000976114,1.9858851319319755,3.427780472373266,11.132324572641766,21.0908203125,116.7568359375,141.8662109375,365.8857421875,11.9990234375,75.453125,102.4921875,223.29296875,1988-05-26,350.45
15,16,34.3,28.7,38.4,15.6,-1529994.0,-3515061.0,3577,46.0995175775831,32.608583447776304,20.703478336171433,6,1988,154,0.479425538604203,0.40951083159183166,10.221639384199104,-0.012671819010948937,863,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,116.88671875,76.322265625,13.1220703125,508.8154296875,756.8310546875,654.0302734375,537.84765625,0.1904915971172959,3.052249203510092,2.375842432029587,10.730115456324361,19.14453125,130.435546875,137.84765625,355.5244140625,16.6943359375,78.4326171875,87.4521484375,223.1826171875,1988-06-02,350.45
16,17,50.4782608695652,35.9565217391304,12.304347826087,19.3478260869565,-1530011.08695652,-3515030.2173913,3577,47.771785372380585,34.88564341499951,16.676380575270944,6,1988,179,0.479425538604203,0.47098845096423725,10.113737808011878,0.003715902730258236,888,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,139.634765625,136.3349609375,35.8359375,358.7890625,793.5654296875,717.4736328125,524.3828125,0.4457861871752038,3.722993293252628,3.226311749504915,7.375095716603136,15.7646484375,127.7001953125,144.5146484375,314.3134765625,7.4443359375,75.82421875,109.998046875,194.9033203125,1988-06-27,350.45
17,18,52.695652173913,38.9130434782609,7.26086956521739,21.4347826086957,-1530011.08695652,-3515030.2173913,3577,49.2200826116748,37.51274261567973,12.425936468539469,7,1988,202,0.5508090958869698,0.525603762643385,10.37192111543048,0.017464804721299743,911,0.0,16.2,39.7,23.9,-4.5418769271908825,5.390472507087405,1.350248455120411,65.95231,18.756327481010075,649.3081622456396,116.6005859375,235.8037109375,36.7265625,302.82421875,737.6484375,692.9697265625,593.517578125,0.5113651216882811,2.8373735744467647,2.9464478076089953,9.295400174583563,15.2890625,104.923828125,127.22265625,304.490234375,7.611328125,70.2763671875,70.15625,164.21875,1988-07-20,350.45
