,Unnamed: 0,x,y,bs,pv,npv,ue,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,pv_lag,npv_lag,bs_lag,pv_change,npv_change,bs_change,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,precip,tmax,tmin,vapourpres_h09,vapourpres_h15,MAT,MAP,VPD,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1.5,338125.0,7349435.0,70.3099173553719,4.4297520661157,23.73553719008265,6.14462809917355,28353.0,6.569261281811114,22.17485114282836,69.73162092594076,9,1987,257,0.6816387600233341,0.6473554254622432,,,,,,,11.900143210283078,,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,0.9296875,29.1029052734375,10.47021484375,5.079833984375,4.15423583984375,21.506574586685158,286.7626953125,2.1810795054277605,3.779296875,23.849609375,26.6083984375,185.09765625,251.3701171875,195.6083984375,289.4775390625,1.755900804916135,8.147083215882022,11.429072622583192,23.329819351777218,24.748046875,135.208984375,178.53125,373.6171875,4.8818359375,43.2724609375,62.6650390625,92.9169921875,1987-09-14,348.25
1,3.5,338125.0,7349435.0,73.26446280991735,7.6157024793388395,17.5206611570248,6.392561983471075,28353.0,4.3450820142223225,20.711674517517746,73.36830502721561,9,1987,273,0.6816387600233341,0.6801338518023718,6.569261281811114,22.17485114282836,69.73162092594076,,,,12.268364440025353,0.3682212297422751,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,0.71875,32.411376953125,14.8211669921875,6.306884765625,5.76348876953125,21.506574586685158,286.7626953125,2.6659094667586745,4.708984375,2.55078125,47.859375,176.162109375,260.3447265625,184.41015625,300.4990234375,1.6693203912971493,16.484449064392493,14.854429282965857,24.388158666130277,24.2177734375,194.9775390625,198.5751953125,386.3642578125,13.181640625,89.4921875,53.4453125,122.2236328125,1987-09-30,348.25
2,5.5,338125.0,7349435.0,73.6280991735537,5.36363636363636,19.43388429752065,5.85537190082645,28353.0,4.522283764630605,19.82743712374242,74.07347516181373,10,1987,289,0.7401768531960371,0.7116055685391126,4.3450820142223225,20.711674517517746,73.36830502721561,0.4669421487603298,-2.150826446281,1.6590909090908994,12.635865948332981,0.36750150830762784,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,0.017578125,33.5263671875,16.65081787109375,6.68182373046875,6.05462646484375,21.506574586685158,286.7626953125,2.894008146754651,1.6484375,6.3291015625,47.8603515625,174.701171875,244.26953125,171.5830078125,312.935546875,3.805016750245026,18.309754924549118,19.165546533881646,36.08093618900149,37.20703125,209.021484375,227.748046875,462.3759765625,20.638671875,108.705078125,86.3837890625,177.5302734375,1987-10-16,348.25
3,7.5,338125.0,7349435.0,69.1115702479339,5.553719008264466,23.880165289256198,6.02892561983471,28353.0,6.002815714804777,19.281016575860797,73.1664956732063,11,1987,305,0.793577803248942,0.7417101105237511,4.522283764630605,19.82743712374242,74.07347516181373,-1.030991735537187,3.1797520661156984,-2.076446280991725,12.985017184840858,0.34915123650787727,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,4.2099609375,34.6669921875,20.14617919921875,7.62493896484375,7.72784423828125,21.506574586685158,286.7626953125,3.1643271135469635,0.7216796875,4.7236328125,40.8681640625,158.94140625,262.8232421875,178.3203125,304.228515625,3.8211753239762754,19.507525671612314,19.617633286082683,45.98085151306458,38.52734375,213.091796875,228.7587890625,530.0205078125,22.2392578125,107.84375,108.2822265625,243.775390625,1987-11-01,348.25
4,9.5,338125.0,7349435.0,72.28512396694215,7.10330578512397,19.008264462809898,6.396694214876035,28353.0,7.911531910203804,18.873737377352192,71.70524747331551,11,1987,321,0.793577803248942,0.7703896392969712,6.002815714804777,19.281016575860797,73.1664956732063,0.8698347107438051,-0.2128099173553757,-0.6714876033057706,13.289249031966557,0.30423184712569906,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,19.38671875,36.68365478515625,22.50592041015625,10.59588623046875,9.8841552734375,21.506574586685158,286.7626953125,3.4148787724846974,4.2275390625,5.427734375,39.3984375,130.8369140625,287.119140625,181.2578125,301.609375,4.40016877406711,21.41336320146762,18.618527891455678,50.7922001031208,40.3701171875,214.9501953125,222.291015625,557.4384765625,27.9345703125,121.05859375,119.3759765625,292.3349609375,1987-11-17,348.25
5,11.0,338125.0,7349435.0,84.2561983471074,8.20661157024793,6.19834710743802,5.66115702479339,28353.0,9.596191259976813,18.449370920816826,70.48612804251465,12,1987,337,0.8414709848078965,0.7975890542112029,7.911531910203804,18.873737377352192,71.70524747331551,1.326446280991732,-8.840909090909088,7.572314049586751,13.511721923020117,0.2224728910535596,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,3.01953125,35.79522705078125,21.476806640625,11.18145751953125,9.88983154296875,21.506574586685158,286.7626953125,3.156088348775951,23.57421875,5.1630859375,39.703125,97.8330078125,300.7861328125,199.7421875,254.357421875,2.121419345305687,19.134743400401767,26.382354345028396,53.3657131255069,26.9287109375,214.5791015625,263.111328125,559.9306640625,15.97265625,131.20703125,169.884765625,311.3994140625,1987-12-03,348.25
6,12.5,338111.9491525425,7349435.762711865,58.44572068917215,6.3108278470374,33.6629780081244,6.148059952374281,28353.0,10.62745753696306,17.89413548797581,70.04405142962807,12,1987,353,0.8414709848078965,0.823256098292939,9.596191259976813,18.449370920816826,70.48612804251465,-0.39623896904328504,7.32735677265725,-6.919701638885002,13.61366871149481,0.1019467884746934,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,38.474609375,34.34674072265625,21.93756103515625,15.96966552734375,14.305908203125,21.506574586685158,286.7626953125,2.5063926039447333,22.404296875,5.8779296875,6.5126953125,115.7744140625,319.205078125,144.150390625,298.47265625,1.9090891478805196,16.939251167503883,27.55641793250798,52.96666391588842,33.548828125,210.474609375,265.6123046875,567.70703125,21.8427734375,144.078125,151.3515625,343.4208984375,1987-12-19,348.25
7,14.5,338125.0,7349435.0,69.4917355371901,15.26859504132235,13.7520661157025,5.87603305785124,28353.0,10.798899377690313,17.136696249668603,70.65244825192059,1,1988,4,0.08323691620031025,0.010958684754597053,10.62745753696306,17.89413548797581,70.04405142962807,3.53099173553721,3.776859504132238,-7.382231404958652,13.570593227436051,-0.04307548405875927,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,2.845703125,38.7008056640625,22.47698974609375,10.168701171875,7.712158203125,21.506574586685158,286.7626953125,3.8990295409943094,41.494140625,24.3154296875,7.27734375,112.5810546875,320.751953125,145.861328125,297.0458984375,3.215728243975125,15.560676092865165,15.685907528049663,53.624350680980854,34.59375,198.6435546875,238.453125,587.4931640625,20.9638671875,110.3203125,173.8212890625,363.16796875,1988-01-04,350.45
8,16.5,338125.0,7349435.0,77.98347107438019,12.111570247933852,8.603305785123945,5.89669421487603,28353.0,10.55906991578754,15.65563487305926,72.3702524764605,1,1988,20,0.08323691620031025,0.054767105125277105,10.798899377690313,17.136696249668603,70.65244825192059,2.900371200448226,-12.529836111500227,9.768875192604021,13.392786862109755,-0.1778063653262958,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,10.564453125,37.9036865234375,23.9432373046875,9.22698974609375,8.9505615234375,21.506574586685158,286.7626953125,3.8649127686910534,40.69140625,27.2626953125,7.9775390625,109.966796875,314.0517578125,155.1767578125,199.8642578125,4.283651245771815,23.30977246440331,29.645419041144383,41.028572678692484,40.6337890625,224.814453125,283.376953125,542.078125,17.853515625,138.603515625,165.4375,342.8427734375,1988-01-20,350.45
9,18.5,338125.0,7349435.0,67.47520661157026,8.078512396694215,23.0702479338843,6.140495867768594,28353.0,8.974764113532299,14.789819684066487,74.8250628590805,2,1988,36,0.16589613269341502,0.0984703039987073,10.55906991578754,15.65563487305926,72.3702524764605,-3.595041322314067,4.6590909090909,-1.0082644628099189,13.114569818622344,-0.2782170434874107,10950,0,41.55,3.35,1.2,-3.0983879640206173,0.1686883599806345,1.1351759207492744,8.785676,0.494140625,32.61859130859375,17.84661865234375,8.21710205078125,6.70672607421875,21.506574586685158,286.7626953125,2.730357396858968,13.41015625,61.0458984375,9.490234375,63.693359375,362.875,149.435546875,171.3876953125,3.7487145617891824,22.255099209162523,26.462295693415037,67.49197935831961,36.9931640625,228.41015625,255.1181640625,634.7626953125,24.765625,146.6708984375,164.6875,368.8623046875,1988-02-05,350.45
