"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-09 23:22:24.314379,1597425,-3512985,9,48,42,20,3577
"2",1987-09-09 23:22:24.314379,1597455,-3512985,0,56,43,17,3577
"3",1987-09-09 23:22:24.314379,1597485,-3512985,6,47,46,17,3577
"4",1987-09-09 23:22:24.314379,1597515,-3512985,12,40,46,16,3577
"5",1987-09-09 23:22:24.314379,1597425,-3513015,7,49,42,20,3577
"6",1987-09-09 23:22:24.314379,1597455,-3513015,3,56,41,17,3577
"7",1987-09-09 23:22:24.314379,1597485,-3513015,2,49,47,17,3577
"8",1987-09-09 23:22:24.314379,1597515,-3513015,1,47,51,17,3577
"9",1987-09-09 23:22:24.314379,1597425,-3513045,13,43,42,22,3577
"10",1987-09-09 23:22:24.314379,1597455,-3513045,5,51,42,18,3577
"11",1987-09-09 23:22:24.314379,1597485,-3513045,1,53,44,17,3577
"12",1987-09-09 23:22:24.314379,1597515,-3513045,3,49,47,17,3577
"13",1987-09-09 23:22:24.314379,1597425,-3513075,12,50,38,24,3577
"14",1987-09-09 23:22:24.314379,1597455,-3513075,6,44,49,19,3577
"15",1987-09-09 23:22:24.314379,1597485,-3513075,5,50,44,18,3577
"16",1987-09-09 23:22:24.314379,1597515,-3513075,4,49,46,18,3577
"17",1987-09-25 23:22:46.514351,1597425,-3512985,10,45,44,20,3577
"18",1987-09-25 23:22:46.514351,1597455,-3512985,9,47,43,16,3577
"19",1987-09-25 23:22:46.514351,1597485,-3512985,4,50,45,17,3577
"20",1987-09-25 23:22:46.514351,1597515,-3512985,27,32,40,15,3577
"21",1987-09-25 23:22:46.514351,1597425,-3513015,7,48,44,20,3577
"22",1987-09-25 23:22:46.514351,1597455,-3513015,6,50,42,16,3577
"23",1987-09-25 23:22:46.514351,1597485,-3513015,4,49,46,15,3577
"24",1987-09-25 23:22:46.514351,1597515,-3513015,12,39,48,15,3577
"25",1987-09-25 23:22:46.514351,1597425,-3513045,11,45,43,20,3577
"26",1987-09-25 23:22:46.514351,1597455,-3513045,9,50,40,17,3577
"27",1987-09-25 23:22:46.514351,1597485,-3513045,6,50,43,15,3577
"28",1987-09-25 23:22:46.514351,1597515,-3513045,7,46,46,16,3577
"29",1987-09-25 23:22:46.514351,1597425,-3513075,4,46,49,21,3577
"30",1987-09-25 23:22:46.514351,1597455,-3513075,5,44,49,18,3577
"31",1987-09-25 23:22:46.514351,1597485,-3513075,5,48,46,16,3577
"32",1987-09-25 23:22:46.514351,1597515,-3513075,7,44,47,17,3577
