"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-14 23:40:15.933935,1251225,-3238575,45,17,36,8,3577
"2",1987-09-14 23:40:15.933935,1251255,-3238575,54,15,29,7,3577
"3",1987-09-14 23:40:15.933935,1251285,-3238575,61,18,20,6,3577
"4",1987-09-14 23:40:15.933935,1251315,-3238575,49,14,36,7,3577
"5",1987-09-14 23:40:15.933935,1251225,-3238605,63,13,23,6,3577
"6",1987-09-14 23:40:15.933935,1251255,-3238605,69,14,16,6,3577
"7",1987-09-14 23:40:15.933935,1251285,-3238605,45,13,41,8,3577
"8",1987-09-14 23:40:15.933935,1251315,-3238605,50,18,30,8,3577
"9",1987-09-14 23:40:15.933935,1251225,-3238635,51,14,33,7,3577
"10",1987-09-14 23:40:15.933935,1251255,-3238635,57,16,25,7,3577
"11",1987-09-14 23:40:15.933935,1251285,-3238635,63,13,23,6,3577
"12",1987-09-14 23:40:15.933935,1251315,-3238635,52,15,32,7,3577
"13",1987-09-14 23:40:15.933935,1251225,-3238665,50,13,35,7,3577
"14",1987-09-14 23:40:15.933935,1251255,-3238665,54,14,30,7,3577
"15",1987-09-14 23:40:15.933935,1251285,-3238665,43,12,44,8,3577
"16",1987-09-14 23:40:15.933935,1251315,-3238665,29,21,49,9,3577
"17",1987-09-14 23:40:15.933935,1251225,-3238695,47,14,38,7,3577
"18",1987-09-14 23:40:15.933935,1251255,-3238695,54,15,29,7,3577
"19",1987-09-14 23:40:15.933935,1251285,-3238695,50,13,36,8,3577
"20",1987-09-14 23:40:15.933935,1251315,-3238695,40,16,43,8,3577
"21",1987-09-30 23:40:37.212964,1251225,-3238575,42,14,43,8,3577
"22",1987-09-30 23:40:37.212964,1251255,-3238575,47,16,36,7,3577
"23",1987-09-30 23:40:37.212964,1251285,-3238575,58,12,28,7,3577
"24",1987-09-30 23:40:37.212964,1251315,-3238575,52,15,32,8,3577
"25",1987-09-30 23:40:37.212964,1251225,-3238605,57,15,27,7,3577
"26",1987-09-30 23:40:37.212964,1251255,-3238605,54,15,30,7,3577
"27",1987-09-30 23:40:37.212964,1251285,-3238605,44,17,37,8,3577
"28",1987-09-30 23:40:37.212964,1251315,-3238605,41,16,41,8,3577
"29",1987-09-30 23:40:37.212964,1251225,-3238635,43,14,42,8,3577
"30",1987-09-30 23:40:37.212964,1251255,-3238635,49,17,32,8,3577
"31",1987-09-30 23:40:37.212964,1251285,-3238635,60,16,23,7,3577
"32",1987-09-30 23:40:37.212964,1251315,-3238635,42,13,44,8,3577
"33",1987-09-30 23:40:37.212964,1251225,-3238665,43,16,39,8,3577
"34",1987-09-30 23:40:37.212964,1251255,-3238665,51,13,34,8,3577
"35",1987-09-30 23:40:37.212964,1251285,-3238665,44,15,39,8,3577
"36",1987-09-30 23:40:37.212964,1251315,-3238665,28,19,52,10,3577
"37",1987-09-30 23:40:37.212964,1251225,-3238695,43,15,41,8,3577
"38",1987-09-30 23:40:37.212964,1251255,-3238695,45,9,45,8,3577
"39",1987-09-30 23:40:37.212964,1251285,-3238695,50,14,35,8,3577
"40",1987-09-30 23:40:37.212964,1251315,-3238695,30,20,49,9,3577
"41",1987-10-16 23:40:54.868153,1251225,-3238575,51,15,33,7,3577
"42",1987-10-16 23:40:54.868153,1251255,-3238575,61,11,26,6,3577
"43",1987-10-16 23:40:54.868153,1251285,-3238575,68,13,18,6,3577
"44",1987-10-16 23:40:54.868153,1251315,-3238575,60,17,21,7,3577
"45",1987-10-16 23:40:54.868153,1251225,-3238605,70,13,15,6,3577
"46",1987-10-16 23:40:54.868153,1251255,-3238605,66,16,17,6,3577
"47",1987-10-16 23:40:54.868153,1251285,-3238605,58,21,20,7,3577
"48",1987-10-16 23:40:54.868153,1251315,-3238605,47,16,35,7,3577
"49",1987-10-16 23:40:54.868153,1251225,-3238635,61,15,23,7,3577
"50",1987-10-16 23:40:54.868153,1251255,-3238635,64,17,18,6,3577
"51",1987-10-16 23:40:54.868153,1251285,-3238635,63,14,21,6,3577
"52",1987-10-16 23:40:54.868153,1251315,-3238635,58,13,27,7,3577
"53",1987-10-16 23:40:54.868153,1251225,-3238665,56,15,28,7,3577
"54",1987-10-16 23:40:54.868153,1251255,-3238665,67,15,16,6,3577
"55",1987-10-16 23:40:54.868153,1251285,-3238665,54,14,31,7,3577
"56",1987-10-16 23:40:54.868153,1251315,-3238665,43,19,37,9,3577
"57",1987-10-16 23:40:54.868153,1251225,-3238695,53,15,30,7,3577
"58",1987-10-16 23:40:54.868153,1251255,-3238695,58,14,26,7,3577
"59",1987-10-16 23:40:54.868153,1251285,-3238695,53,14,31,7,3577
"60",1987-10-16 23:40:54.868153,1251315,-3238695,44,16,39,8,3577
"61",1987-12-03 23:41:47.767099,1251225,-3238575,56,16,27,7,3577
"62",1987-12-03 23:41:47.767099,1251255,-3238575,67,18,13,7,3577
"63",1987-12-03 23:41:47.767099,1251285,-3238575,69,13,16,6,3577
"64",1987-12-03 23:41:47.767099,1251315,-3238575,57,13,29,7,3577
"65",1987-12-03 23:41:47.767099,1251225,-3238605,67,14,18,6,3577
"66",1987-12-03 23:41:47.767099,1251255,-3238605,79,14,6,6,3577
