"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-02 23:15:38.603827,1721565,-3417555,0,57,42,23,3577
"2",1987-09-02 23:15:38.603827,1721595,-3417555,1,66,32,24,3577
"3",1987-09-02 23:15:38.603827,1721625,-3417555,2,69,27,24,3577
"4",1987-09-02 23:15:38.603827,1721685,-3417555,0,62,37,25,3577
"5",1987-09-02 23:15:38.603827,1721565,-3417585,0,61,37,23,3577
"6",1987-09-02 23:15:38.603827,1721595,-3417585,0,64,35,24,3577
"7",1987-09-02 23:15:38.603827,1721625,-3417585,0,64,35,25,3577
"8",1987-09-02 23:15:38.603827,1721685,-3417585,0,67,32,25,3577
"9",1987-09-02 23:15:38.603827,1721565,-3417615,0,67,31,24,3577
"10",1987-09-02 23:15:38.603827,1721595,-3417615,0,62,37,23,3577
"11",1987-09-02 23:15:38.603827,1721625,-3417615,0,63,36,24,3577
"12",1987-09-02 23:15:38.603827,1721685,-3417615,0,60,39,25,3577
"13",1987-09-02 23:15:38.603827,1721565,-3417645,0,55,44,25,3577
"14",1987-09-02 23:15:38.603827,1721595,-3417645,0,60,39,25,3577
"15",1987-09-02 23:15:38.603827,1721625,-3417645,2,56,40,24,3577
"16",1987-09-02 23:15:38.603827,1721655,-3417645,0,57,42,25,3577
"17",1987-09-02 23:15:38.603827,1721685,-3417645,1,58,40,25,3577
"18",1987-09-02 23:15:38.603827,1721565,-3417675,0,56,43,25,3577
"19",1987-09-02 23:15:38.603827,1721655,-3417675,3,57,38,25,3577
"20",1987-09-02 23:15:38.603827,1721685,-3417675,0,64,35,25,3577
"21",1987-09-18 23:16:02.080353,1721565,-3417555,0,53,46,22,3577
"22",1987-09-18 23:16:02.080353,1721595,-3417555,0,59,40,22,3577
"23",1987-09-18 23:16:02.080353,1721625,-3417555,1,64,33,23,3577
"24",1987-09-18 23:16:02.080353,1721655,-3417555,3,65,30,23,3577
"25",1987-09-18 23:16:02.080353,1721685,-3417555,2,62,35,23,3577
"26",1987-09-18 23:16:02.080353,1721565,-3417585,0,56,43,22,3577
"27",1987-09-18 23:16:02.080353,1721595,-3417585,2,60,36,23,3577
"28",1987-09-18 23:16:02.080353,1721625,-3417585,1,56,42,23,3577
"29",1987-09-18 23:16:02.080353,1721655,-3417585,3,70,25,25,3577
"30",1987-09-18 23:16:02.080353,1721685,-3417585,0,60,39,23,3577
"31",1987-09-18 23:16:02.080353,1721565,-3417615,0,63,36,23,3577
"32",1987-09-18 23:16:02.080353,1721595,-3417615,0,57,42,23,3577
"33",1987-09-18 23:16:02.080353,1721625,-3417615,1,54,43,22,3577
"34",1987-09-18 23:16:02.080353,1721655,-3417615,2,66,31,24,3577
"35",1987-09-18 23:16:02.080353,1721685,-3417615,0,56,43,23,3577
"36",1987-09-18 23:16:02.080353,1721565,-3417645,0,68,31,24,3577
"37",1987-09-18 23:16:02.080353,1721595,-3417645,0,68,30,24,3577
"38",1987-09-18 23:16:02.080353,1721625,-3417645,0,51,48,23,3577
"39",1987-09-18 23:16:02.080353,1721655,-3417645,5,63,30,24,3577
"40",1987-09-18 23:16:02.080353,1721685,-3417645,0,55,44,23,3577
"41",1987-09-18 23:16:02.080353,1721565,-3417675,0,63,36,24,3577
"42",1987-09-18 23:16:02.080353,1721595,-3417675,0,55,44,24,3577
"43",1987-09-18 23:16:02.080353,1721625,-3417675,0,57,42,24,3577
"44",1987-09-18 23:16:02.080353,1721655,-3417675,0,56,43,24,3577
"45",1987-09-18 23:16:02.080353,1721685,-3417675,0,55,44,23,3577
"46",1987-09-25 23:22:22.312849,1721565,-3417555,7,55,37,22,3577
"47",1987-09-25 23:22:22.312849,1721595,-3417555,3,56,39,21,3577
"48",1987-09-25 23:22:22.312849,1721625,-3417555,7,57,34,23,3577
"49",1987-09-25 23:22:22.312849,1721655,-3417555,4,62,32,23,3577
"50",1987-09-25 23:22:22.312849,1721685,-3417555,5,65,28,24,3577
"51",1987-09-25 23:22:22.312849,1721565,-3417585,6,59,33,22,3577
"52",1987-09-25 23:22:22.312849,1721595,-3417585,3,56,40,21,3577
"53",1987-09-25 23:22:22.312849,1721625,-3417585,6,57,35,22,3577
"54",1987-09-25 23:22:22.312849,1721655,-3417585,7,63,29,24,3577
"55",1987-09-25 23:22:22.312849,1721685,-3417585,3,61,35,23,3577
"56",1987-09-25 23:22:22.312849,1721565,-3417615,7,58,33,23,3577
"57",1987-09-25 23:22:22.312849,1721595,-3417615,4,60,34,22,3577
"58",1987-09-25 23:22:22.312849,1721625,-3417615,5,58,35,22,3577
"59",1987-09-25 23:22:22.312849,1721655,-3417615,6,61,32,23,3577
"60",1987-09-25 23:22:22.312849,1721685,-3417615,5,62,32,23,3577
"61",1987-09-25 23:22:22.312849,1721565,-3417645,4,68,26,24,3577
"62",1987-09-25 23:22:22.312849,1721595,-3417645,6,60,33,23,3577
"63",1987-09-25 23:22:22.312849,1721625,-3417645,8,54,37,22,3577
"64",1987-09-25 23:22:22.312849,1721655,-3417645,7,54,38,23,3577
"65",1987-09-25 23:22:22.312849,1721685,-3417645,5,57,36,24,3577
"66",1987-09-25 23:22:22.312849,1721565,-3417675,5,64,29,23,3577
"67",1987-09-25 23:22:22.312849,1721595,-3417675,6,62,30,23,3577
"68",1987-09-25 23:22:22.312849,1721625,-3417675,8,54,37,22,3577
"69",1987-09-25 23:22:22.312849,1721655,-3417675,6,60,32,23,3577
"70",1987-09-25 23:22:22.312849,1721685,-3417675,3,57,38,23,3577
"71",1987-10-11 23:22:41.281584,1721565,-3417555,0,52,47,22,3577
"72",1987-10-11 23:22:41.281584,1721595,-3417555,3,55,41,21,3577
"73",1987-10-11 23:22:41.281584,1721625,-3417555,2,58,38,23,3577
"74",1987-10-11 23:22:41.281584,1721655,-3417555,0,57,42,23,3577
"75",1987-10-11 23:22:41.281584,1721685,-3417555,0,60,38,24,3577
"76",1987-10-11 23:22:41.281584,1721565,-3417585,1,57,40,22,3577
"77",1987-10-11 23:22:41.281584,1721595,-3417585,3,56,39,21,3577
"78",1987-10-11 23:22:41.281584,1721625,-3417585,1,52,45,23,3577
"79",1987-10-11 23:22:41.281584,1721655,-3417585,0,59,40,24,3577
"80",1987-10-11 23:22:41.281584,1721685,-3417585,0,62,37,23,3577
"81",1987-10-11 23:22:41.281584,1721565,-3417615,5,60,34,23,3577
"82",1987-10-11 23:22:41.281584,1721595,-3417615,0,58,41,22,3577
"83",1987-10-11 23:22:41.281584,1721625,-3417615,2,55,41,23,3577
"84",1987-10-11 23:22:41.281584,1721655,-3417615,0,57,42,24,3577
"85",1987-10-11 23:22:41.281584,1721685,-3417615,0,56,43,24,3577
"86",1987-10-11 23:22:41.281584,1721565,-3417645,0,61,37,24,3577
"87",1987-10-11 23:22:41.281584,1721595,-3417645,0,57,41,23,3577
"88",1987-10-11 23:22:41.281584,1721625,-3417645,2,55,42,22,3577
"89",1987-10-11 23:22:41.281584,1721655,-3417645,3,59,37,24,3577
"90",1987-10-11 23:22:41.281584,1721685,-3417645,2,60,37,25,3577
"91",1987-10-11 23:22:41.281584,1721565,-3417675,2,56,41,22,3577
"92",1987-10-11 23:22:41.281584,1721595,-3417675,1,56,42,23,3577
"93",1987-10-11 23:22:41.281584,1721625,-3417675,2,55,42,22,3577
"94",1987-10-11 23:22:41.281584,1721655,-3417675,0,57,42,24,3577
"95",1987-10-11 23:22:41.281584,1721685,-3417675,0,60,39,24,3577
"96",1987-10-20 23:16:39.131942,1721565,-3417555,7,62,30,23,3577
"97",1987-10-20 23:16:39.131942,1721595,-3417555,6,61,32,23,3577
"98",1987-10-20 23:16:39.131942,1721625,-3417555,3,63,32,25,3577
"99",1987-10-20 23:16:39.131942,1721655,-3417555,3,72,23,25,3577
"100",1987-10-20 23:16:39.131942,1721685,-3417555,2,65,32,24,3577
"101",1987-10-20 23:16:39.131942,1721565,-3417585,7,59,32,23,3577
"102",1987-10-20 23:16:39.131942,1721595,-3417585,2,65,32,23,3577
"103",1987-10-20 23:16:39.131942,1721625,-3417585,2,56,40,23,3577
"104",1987-10-20 23:16:39.131942,1721685,-3417585,5,66,28,23,3577
"105",1987-10-20 23:16:39.131942,1721565,-3417615,6,65,28,23,3577
"106",1987-10-20 23:16:39.131942,1721595,-3417615,7,60,32,23,3577
"107",1987-10-20 23:16:39.131942,1721625,-3417615,7,61,29,23,3577
"108",1987-10-20 23:16:39.131942,1721655,-3417615,1,65,32,25,3577
"109",1987-10-20 23:16:39.131942,1721685,-3417615,3,57,38,24,3577
"110",1987-10-20 23:16:39.131942,1721565,-3417645,6,68,24,24,3577
"111",1987-10-20 23:16:39.131942,1721595,-3417645,1,69,28,25,3577
