"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516155,-3668205,3577
"2",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516185,-3668205,3577
"3",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516215,-3668205,3577
"4",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516245,-3668205,3577
"5",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516155,-3668235,3577
"6",1987-09-09 23:22:48.214945,60,20,17,47,1516185,-3668235,3577
"7",1987-09-09 23:22:48.214945,93,0,5,50,1516215,-3668235,3577
"8",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516245,-3668235,3577
"9",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516275,-3668235,3577
"10",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516155,-3668265,3577
"11",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516185,-3668265,3577
"12",1987-09-09 23:22:48.214945,74,24,1,41,1516215,-3668265,3577
"13",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516245,-3668265,3577
"14",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516275,-3668265,3577
"15",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516155,-3668295,3577
"16",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516185,-3668295,3577
"17",1987-09-09 23:22:48.214945,46,54,0,40,1516215,-3668295,3577
"18",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516245,-3668295,3577
"19",1987-09-09 23:22:48.214945,NA,NA,NA,NA,1516155,-3668325,3577
"20",1987-09-09 23:22:48.214945,56,42,0,46,1516185,-3668325,3577
"21",1987-09-09 23:22:48.214945,63,27,9,46,1516215,-3668325,3577
"22",1987-09-09 23:22:48.214945,58,42,0,45,1516245,-3668325,3577
"23",1987-09-25 23:23:10.411456,55,39,4,20,1516155,-3668205,3577
"24",1987-09-25 23:23:10.411456,60,35,4,22,1516185,-3668205,3577
"25",1987-09-25 23:23:10.411456,52,40,7,22,1516215,-3668205,3577
"26",1987-09-25 23:23:10.411456,48,43,8,22,1516245,-3668205,3577
"27",1987-09-25 23:23:10.411456,54,41,4,20,1516155,-3668235,3577
"28",1987-09-25 23:23:10.411456,56,37,5,21,1516185,-3668235,3577
"29",1987-09-25 23:23:10.411456,56,38,5,20,1516215,-3668235,3577
"30",1987-09-25 23:23:10.411456,57,37,5,22,1516245,-3668235,3577
"31",1987-09-25 23:23:10.411456,55,38,5,21,1516275,-3668235,3577
"32",1987-09-25 23:23:10.411456,51,43,5,19,1516155,-3668265,3577
"33",1987-09-25 23:23:10.411456,52,42,5,21,1516185,-3668265,3577
"34",1987-09-25 23:23:10.411456,54,38,7,20,1516215,-3668265,3577
"35",1987-09-25 23:23:10.411456,65,32,1,21,1516245,-3668265,3577
"36",1987-09-25 23:23:10.411456,50,45,5,20,1516275,-3668265,3577
"37",1987-09-25 23:23:10.411456,49,44,5,20,1516155,-3668295,3577
"38",1987-09-25 23:23:10.411456,47,45,6,21,1516185,-3668295,3577
"39",1987-09-25 23:23:10.411456,53,41,5,20,1516215,-3668295,3577
"40",1987-09-25 23:23:10.411456,54,40,4,20,1516245,-3668295,3577
"41",1987-09-25 23:23:10.411456,49,45,4,19,1516155,-3668325,3577
"42",1987-09-25 23:23:10.411456,48,44,7,21,1516185,-3668325,3577
"43",1987-09-25 23:23:10.411456,47,44,7,20,1516215,-3668325,3577
"44",1987-09-25 23:23:10.411456,46,47,6,19,1516245,-3668325,3577
"45",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516155,-3668205,3577
"46",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516185,-3668205,3577
"47",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516215,-3668205,3577
"48",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516245,-3668205,3577
"49",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516155,-3668235,3577
"50",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516185,-3668235,3577
"51",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516215,-3668235,3577
"52",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516245,-3668235,3577
"53",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516275,-3668235,3577
"54",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516155,-3668265,3577
"55",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516185,-3668265,3577
"56",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516215,-3668265,3577
"57",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516245,-3668265,3577
"58",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516275,-3668265,3577
"59",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516155,-3668295,3577
"60",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516185,-3668295,3577
"61",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516215,-3668295,3577
"62",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516245,-3668295,3577
"63",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516155,-3668325,3577
"64",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516185,-3668325,3577
"65",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516215,-3668325,3577
"66",1987-11-12 23:24:06.49269,NA,NA,NA,NA,1516245,-3668325,3577
"67",1987-11-28 23:24:23.280447,26,52,22,9,1516155,-3668205,3577
"68",1987-11-28 23:24:23.280447,27,51,22,9,1516185,-3668205,3577
"69",1987-11-28 23:24:23.280447,26,64,11,9,1516215,-3668205,3577
"70",1987-11-28 23:24:23.280447,25,59,15,9,1516245,-3668205,3577
"71",1987-11-28 23:24:23.280447,25,61,14,9,1516155,-3668235,3577
"72",1987-11-28 23:24:23.280447,25,49,25,9,1516185,-3668235,3577
"73",1987-11-28 23:24:23.280447,27,59,14,9,1516215,-3668235,3577
"74",1987-11-28 23:24:23.280447,26,60,14,9,1516245,-3668235,3577
"75",1987-11-28 23:24:23.280447,26,60,14,9,1516275,-3668235,3577
"76",1987-11-28 23:24:23.280447,26,52,23,9,1516155,-3668265,3577
"77",1987-11-28 23:24:23.280447,24,57,19,9,1516185,-3668265,3577
"78",1987-11-28 23:24:23.280447,24,61,15,9,1516215,-3668265,3577
"79",1987-11-28 23:24:23.280447,25,52,23,9,1516245,-3668265,3577
"80",1987-11-28 23:24:23.280447,24,65,10,9,1516275,-3668265,3577
"81",1987-11-28 23:24:23.280447,27,55,18,9,1516155,-3668295,3577
"82",1987-11-28 23:24:23.280447,26,53,21,9,1516185,-3668295,3577
"83",1987-11-28 23:24:23.280447,25,57,17,9,1516215,-3668295,3577
"84",1987-11-28 23:24:23.280447,29,44,27,9,1516245,-3668295,3577
"85",1987-11-28 23:24:23.280447,26,58,16,9,1516155,-3668325,3577
"86",1987-11-28 23:24:23.280447,24,71,5,9,1516185,-3668325,3577
"87",1987-11-28 23:24:23.280447,25,65,10,9,1516215,-3668325,3577
"88",1987-11-28 23:24:23.280447,27,52,21,9,1516245,-3668325,3577
"89",1987-12-14 23:24:36.648818,49,44,6,18,1516155,-3668205,3577
"90",1987-12-14 23:24:36.648818,56,39,4,20,1516185,-3668205,3577
"91",1987-12-14 23:24:36.648818,54,40,5,20,1516215,-3668205,3577
"92",1987-12-14 23:24:36.648818,53,39,6,21,1516245,-3668205,3577
"93",1987-12-14 23:24:36.648818,51,45,3,17,1516155,-3668235,3577
"94",1987-12-14 23:24:36.648818,56,39,3,19,1516185,-3668235,3577
"95",1987-12-14 23:24:36.648818,56,40,2,19,1516215,-3668235,3577
"96",1987-12-14 23:24:36.648818,52,42,5,20,1516245,-3668235,3577
"97",1987-12-14 23:24:36.648818,52,42,5,20,1516275,-3668235,3577
