"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-14 00:31:52.442503,17,38,43,7,264645,-1491285,3577
"2",1987-09-14 00:31:52.442503,14,36,49,6,264675,-1491285,3577
"3",1987-09-14 00:31:52.442503,20,40,39,7,264705,-1491285,3577
"4",1987-09-14 00:31:52.442503,23,49,27,9,264735,-1491285,3577
"5",1987-09-14 00:31:52.442503,23,55,21,9,264765,-1491285,3577
"6",1987-09-14 00:31:52.442503,12,39,47,6,264645,-1491315,3577
"7",1987-09-14 00:31:52.442503,10,40,48,6,264675,-1491315,3577
"8",1987-09-14 00:31:52.442503,15,47,36,7,264705,-1491315,3577
"9",1987-09-14 00:31:52.442503,20,49,29,9,264735,-1491315,3577
"10",1987-09-14 00:31:52.442503,24,55,20,10,264765,-1491315,3577
"11",1987-09-14 00:31:52.442503,7,39,53,6,264645,-1491345,3577
"12",1987-09-14 00:31:52.442503,11,48,40,7,264675,-1491345,3577
"13",1987-09-14 00:31:52.442503,19,49,31,9,264705,-1491345,3577
"14",1987-09-14 00:31:52.442503,23,55,21,9,264735,-1491345,3577
"15",1987-09-14 00:31:52.442503,23,51,24,9,264765,-1491345,3577
"16",1987-09-14 00:31:52.442503,8,31,59,6,264645,-1491375,3577
"17",1987-09-14 00:31:52.442503,16,53,29,8,264675,-1491375,3577
"18",1987-09-14 00:31:52.442503,22,51,26,9,264705,-1491375,3577
"19",1987-09-14 00:31:52.442503,22,52,25,9,264735,-1491375,3577
"20",1987-09-14 00:31:52.442503,23,56,19,10,264765,-1491375,3577
"21",1987-09-14 00:31:52.442503,16,44,38,8,264645,-1491405,3577
"22",1987-09-14 00:31:52.442503,25,51,23,9,264675,-1491405,3577
"23",1987-09-14 00:31:52.442503,29,52,18,9,264705,-1491405,3577
"24",1987-09-14 00:31:52.442503,34,46,18,10,264735,-1491405,3577
"25",1987-09-14 00:31:52.442503,39,49,11,11,264765,-1491405,3577
"26",1987-09-30 00:32:13.73376,16,40,43,7,264645,-1491285,3577
"27",1987-09-30 00:32:13.73376,12,30,56,6,264675,-1491285,3577
"28",1987-09-30 00:32:13.73376,15,41,43,7,264705,-1491285,3577
"29",1987-09-30 00:32:13.73376,19,47,33,8,264735,-1491285,3577
"30",1987-09-30 00:32:13.73376,19,53,27,9,264765,-1491285,3577
"31",1987-09-30 00:32:13.73376,11,34,53,6,264645,-1491315,3577
"32",1987-09-30 00:32:13.73376,8,39,51,6,264675,-1491315,3577
"33",1987-09-30 00:32:13.73376,15,42,41,7,264705,-1491315,3577
"34",1987-09-30 00:32:13.73376,20,47,32,8,264735,-1491315,3577
"35",1987-09-30 00:32:13.73376,22,55,22,9,264765,-1491315,3577
"36",1987-09-30 00:32:13.73376,11,29,59,6,264645,-1491345,3577
"37",1987-09-30 00:32:13.73376,15,44,40,7,264675,-1491345,3577
"38",1987-09-30 00:32:13.73376,18,48,33,8,264705,-1491345,3577
"39",1987-09-30 00:32:13.73376,19,53,27,9,264735,-1491345,3577
"40",1987-09-30 00:32:13.73376,19,53,26,9,264765,-1491345,3577
"41",1987-09-30 00:32:13.73376,9,41,48,6,264645,-1491375,3577
"42",1987-09-30 00:32:13.73376,19,49,31,8,264675,-1491375,3577
"43",1987-09-30 00:32:13.73376,20,54,25,9,264705,-1491375,3577
"44",1987-09-30 00:32:13.73376,18,50,30,8,264735,-1491375,3577
"45",1987-09-30 00:32:13.73376,24,55,20,9,264765,-1491375,3577
"46",1987-09-30 00:32:13.73376,24,46,29,8,264645,-1491405,3577
"47",1987-09-30 00:32:13.73376,26,45,28,9,264675,-1491405,3577
"48",1987-09-30 00:32:13.73376,23,53,23,9,264705,-1491405,3577
"49",1987-09-30 00:32:13.73376,35,44,20,10,264735,-1491405,3577
"50",1987-09-30 00:32:13.73376,37,54,8,11,264765,-1491405,3577
"51",1987-10-16 00:32:31.824635,15,33,50,6,264645,-1491285,3577
"52",1987-10-16 00:32:31.824635,14,36,49,6,264675,-1491285,3577
"53",1987-10-16 00:32:31.824635,18,34,46,7,264705,-1491285,3577
"54",1987-10-16 00:32:31.824635,20,50,28,8,264735,-1491285,3577
"55",1987-10-16 00:32:31.824635,22,50,27,9,264765,-1491285,3577
"56",1987-10-16 00:32:31.824635,11,36,52,6,264645,-1491315,3577
"57",1987-10-16 00:32:31.824635,14,34,51,7,264675,-1491315,3577
"58",1987-10-16 00:32:31.824635,15,40,43,8,264705,-1491315,3577
"59",1987-10-16 00:32:31.824635,20,54,25,9,264735,-1491315,3577
"60",1987-10-16 00:32:31.824635,18,52,29,9,264765,-1491315,3577
"61",1987-10-16 00:32:31.824635,11,35,53,6,264645,-1491345,3577
"62",1987-10-16 00:32:31.824635,14,44,40,7,264675,-1491345,3577
"63",1987-10-16 00:32:31.824635,17,53,29,8,264705,-1491345,3577
"64",1987-10-16 00:32:31.824635,19,47,33,8,264735,-1491345,3577
"65",1987-10-16 00:32:31.824635,19,52,27,9,264765,-1491345,3577
"66",1987-10-16 00:32:31.824635,12,37,50,7,264645,-1491375,3577
"67",1987-10-16 00:32:31.824635,19,44,36,8,264675,-1491375,3577
"68",1987-10-16 00:32:31.824635,17,50,31,8,264705,-1491375,3577
"69",1987-10-16 00:32:31.824635,17,47,34,8,264735,-1491375,3577
"70",1987-10-16 00:32:31.824635,24,47,28,9,264765,-1491375,3577
"71",1987-10-16 00:32:31.824635,20,46,32,8,264645,-1491405,3577
"72",1987-10-16 00:32:31.824635,27,46,26,8,264675,-1491405,3577
"73",1987-10-16 00:32:31.824635,30,46,23,9,264705,-1491405,3577
"74",1987-10-16 00:32:31.824635,32,42,24,10,264735,-1491405,3577
"75",1987-10-16 00:32:31.824635,36,52,11,11,264765,-1491405,3577
"76",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264645,-1491285,3577
"77",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264675,-1491285,3577
"78",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264705,-1491285,3577
"79",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264735,-1491285,3577
"80",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264765,-1491285,3577
"81",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264645,-1491315,3577
"82",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264675,-1491315,3577
"83",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264705,-1491315,3577
"84",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264735,-1491315,3577
"85",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264765,-1491315,3577
"86",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264645,-1491345,3577
"87",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264675,-1491345,3577
"88",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264705,-1491345,3577
"89",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264735,-1491345,3577
"90",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264765,-1491345,3577
"91",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264645,-1491375,3577
"92",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264675,-1491375,3577
"93",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264705,-1491375,3577
"94",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264735,-1491375,3577
"95",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264765,-1491375,3577
"96",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264645,-1491405,3577
"97",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264675,-1491405,3577
"98",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264705,-1491405,3577
"99",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264735,-1491405,3577
"100",1987-11-01 00:32:48.497704,NA,NA,NA,NA,264765,-1491405,3577
"101",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264645,-1491285,3577
"102",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264675,-1491285,3577
"103",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264705,-1491285,3577
"104",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264735,-1491285,3577
"105",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264765,-1491285,3577
"106",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264645,-1491315,3577
"107",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264675,-1491315,3577
"108",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264705,-1491315,3577
"109",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264735,-1491315,3577
"110",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264765,-1491315,3577
"111",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264645,-1491345,3577
"112",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264675,-1491345,3577
"113",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264705,-1491345,3577
"114",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264735,-1491345,3577
"115",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264765,-1491345,3577
"116",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264645,-1491375,3577
"117",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264675,-1491375,3577
"118",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264705,-1491375,3577
"119",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264735,-1491375,3577
"120",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264765,-1491375,3577
"121",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264645,-1491405,3577
"122",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264675,-1491405,3577
"123",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264705,-1491405,3577
"124",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264735,-1491405,3577
"125",1987-11-17 00:33:09.756076,NA,NA,NA,NA,264765,-1491405,3577
"126",1988-01-04 00:33:54.645516,26,41,32,6,264645,-1491285,3577
"127",1988-01-04 00:33:54.645516,24,40,35,6,264675,-1491285,3577
