"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-05 00:37:26.046564,37,51,11,11,92745,-1326735,3577
"2",1987-09-05 00:37:26.046564,31,58,10,10,92775,-1326735,3577
"3",1987-09-05 00:37:26.046564,31,53,15,10,92805,-1326735,3577
"4",1987-09-05 00:37:26.046564,27,55,17,10,92835,-1326735,3577
"5",1987-09-05 00:37:26.046564,34,53,11,11,92745,-1326765,3577
"6",1987-09-05 00:37:26.046564,34,53,12,11,92775,-1326765,3577
"7",1987-09-05 00:37:26.046564,32,54,13,11,92805,-1326765,3577
"8",1987-09-05 00:37:26.046564,27,56,16,10,92835,-1326765,3577
"9",1987-09-05 00:37:26.046564,28,50,21,10,92865,-1326765,3577
"10",1987-09-05 00:37:26.046564,37,54,8,11,92745,-1326795,3577
"11",1987-09-05 00:37:26.046564,35,54,9,11,92775,-1326795,3577
"12",1987-09-05 00:37:26.046564,33,55,11,10,92805,-1326795,3577
"13",1987-09-05 00:37:26.046564,32,54,13,10,92835,-1326795,3577
"14",1987-09-05 00:37:26.046564,30,53,16,10,92865,-1326795,3577
"15",1987-09-05 00:37:26.046564,40,49,10,11,92745,-1326825,3577
"16",1987-09-05 00:37:26.046564,37,48,14,11,92775,-1326825,3577
"17",1987-09-05 00:37:26.046564,35,55,9,11,92805,-1326825,3577
"18",1987-09-05 00:37:26.046564,29,56,14,10,92835,-1326825,3577
"19",1987-09-05 00:37:26.046564,29,54,16,10,92865,-1326825,3577
"20",1987-09-05 00:37:26.046564,41,49,8,11,92745,-1326855,3577
"21",1987-09-05 00:37:26.046564,36,55,7,11,92775,-1326855,3577
"22",1987-09-05 00:37:26.046564,36,55,8,10,92805,-1326855,3577
"23",1987-09-05 00:37:26.046564,31,58,10,10,92835,-1326855,3577
"24",1987-09-05 00:37:26.046564,31,57,10,10,92865,-1326855,3577
"25",1987-09-12 00:43:47.40652,41,51,7,11,92745,-1326735,3577
"26",1987-09-12 00:43:47.40652,32,57,10,11,92775,-1326735,3577
"27",1987-09-12 00:43:47.40652,27,60,11,11,92805,-1326735,3577
"28",1987-09-12 00:43:47.40652,23,60,16,10,92835,-1326735,3577
"29",1987-09-12 00:43:47.40652,37,50,11,11,92745,-1326765,3577
"30",1987-09-12 00:43:47.40652,34,55,10,11,92775,-1326765,3577
"31",1987-09-12 00:43:47.40652,30,55,14,11,92805,-1326765,3577
"32",1987-09-12 00:43:47.40652,30,54,15,10,92835,-1326765,3577
"33",1987-09-12 00:43:47.40652,26,53,19,10,92865,-1326765,3577
"34",1987-09-12 00:43:47.40652,38,51,10,11,92745,-1326795,3577
"35",1987-09-12 00:43:47.40652,36,55,9,11,92775,-1326795,3577
"36",1987-09-12 00:43:47.40652,34,51,14,10,92805,-1326795,3577
"37",1987-09-12 00:43:47.40652,35,54,10,10,92835,-1326795,3577
"38",1987-09-12 00:43:47.40652,30,53,16,10,92865,-1326795,3577
"39",1987-09-12 00:43:47.40652,39,49,10,11,92745,-1326825,3577
"40",1987-09-12 00:43:47.40652,38,51,10,11,92775,-1326825,3577
"41",1987-09-12 00:43:47.40652,37,52,10,11,92805,-1326825,3577
"42",1987-09-12 00:43:47.40652,31,58,10,10,92835,-1326825,3577
"43",1987-09-12 00:43:47.40652,31,54,14,10,92865,-1326825,3577
"44",1987-09-12 00:43:47.40652,36,53,9,11,92745,-1326855,3577
"45",1987-09-12 00:43:47.40652,38,54,6,11,92775,-1326855,3577
"46",1987-09-12 00:43:47.40652,36,54,9,10,92805,-1326855,3577
"47",1987-09-12 00:43:47.40652,30,58,11,10,92835,-1326855,3577
"48",1987-09-12 00:43:47.40652,30,63,7,11,92865,-1326855,3577
"49",1987-09-21 00:37:49.130181,36,51,12,10,92745,-1326735,3577
"50",1987-09-21 00:37:49.130181,34,54,11,10,92775,-1326735,3577
"51",1987-09-21 00:37:49.130181,33,54,12,10,92805,-1326735,3577
"52",1987-09-21 00:37:49.130181,25,57,17,10,92835,-1326735,3577
"53",1987-09-21 00:37:49.130181,35,54,9,11,92745,-1326765,3577
"54",1987-09-21 00:37:49.130181,30,56,12,10,92775,-1326765,3577
"55",1987-09-21 00:37:49.130181,30,57,12,10,92805,-1326765,3577
"56",1987-09-21 00:37:49.130181,27,54,18,10,92835,-1326765,3577
"57",1987-09-21 00:37:49.130181,29,53,17,10,92865,-1326765,3577
"58",1987-09-21 00:37:49.130181,36,51,12,11,92745,-1326795,3577
"59",1987-09-21 00:37:49.130181,34,52,12,10,92775,-1326795,3577
"60",1987-09-21 00:37:49.130181,32,55,13,10,92805,-1326795,3577
"61",1987-09-21 00:37:49.130181,33,55,10,10,92835,-1326795,3577
"62",1987-09-21 00:37:49.130181,30,53,16,10,92865,-1326795,3577
"63",1987-09-21 00:37:49.130181,35,52,11,10,92745,-1326825,3577
"64",1987-09-21 00:37:49.130181,37,52,10,10,92775,-1326825,3577
"65",1987-09-21 00:37:49.130181,35,55,9,10,92805,-1326825,3577
"66",1987-09-21 00:37:49.130181,34,55,10,10,92835,-1326825,3577
"67",1987-09-21 00:37:49.130181,33,56,10,10,92865,-1326825,3577
"68",1987-09-21 00:37:49.130181,39,48,12,10,92745,-1326855,3577
