"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-05 00:37:26.046564,106575,-1338105,35,20,44,12,3577
"2",1987-09-05 00:37:26.046564,106605,-1338105,35,20,43,13,3577
"3",1987-09-05 00:37:26.046564,106635,-1338105,36,17,46,13,3577
"4",1987-09-05 00:37:26.046564,106665,-1338105,38,18,43,13,3577
"5",1987-09-05 00:37:26.046564,106695,-1338105,35,20,44,14,3577
"6",1987-09-05 00:37:26.046564,106575,-1338135,34,19,46,12,3577
"7",1987-09-05 00:37:26.046564,106605,-1338135,30,21,48,12,3577
"8",1987-09-05 00:37:26.046564,106635,-1338135,39,18,42,12,3577
"9",1987-09-05 00:37:26.046564,106665,-1338135,36,17,45,14,3577
"10",1987-09-05 00:37:26.046564,106695,-1338135,31,21,47,15,3577
"11",1987-09-05 00:37:26.046564,106575,-1338165,39,17,43,12,3577
"12",1987-09-05 00:37:26.046564,106605,-1338165,30,19,49,12,3577
"13",1987-09-05 00:37:26.046564,106635,-1338165,36,18,44,12,3577
"14",1987-09-05 00:37:26.046564,106665,-1338165,33,19,47,13,3577
"15",1987-09-05 00:37:26.046564,106695,-1338165,34,21,44,14,3577
"16",1987-09-05 00:37:26.046564,106575,-1338195,33,16,50,11,3577
"17",1987-09-05 00:37:26.046564,106605,-1338195,42,15,41,12,3577
"18",1987-09-05 00:37:26.046564,106635,-1338195,36,17,46,12,3577
"19",1987-09-05 00:37:26.046564,106665,-1338195,31,21,46,13,3577
"20",1987-09-05 00:37:26.046564,106695,-1338195,36,17,46,14,3577
"21",1987-09-05 00:37:26.046564,106575,-1338225,32,18,48,12,3577
"22",1987-09-05 00:37:26.046564,106605,-1338225,32,17,50,13,3577
"23",1987-09-05 00:37:26.046564,106635,-1338225,31,17,50,13,3577
"24",1987-09-05 00:37:26.046564,106665,-1338225,33,24,42,14,3577
"25",1987-09-05 00:37:26.046564,106695,-1338225,30,25,44,14,3577
"26",1987-09-21 00:37:49.130181,106575,-1338105,30,23,46,12,3577
"27",1987-09-21 00:37:49.130181,106605,-1338105,29,20,49,12,3577
"28",1987-09-21 00:37:49.130181,106635,-1338105,30,21,48,13,3577
"29",1987-09-21 00:37:49.130181,106665,-1338105,34,19,46,13,3577
"30",1987-09-21 00:37:49.130181,106695,-1338105,45,19,34,14,3577
"31",1987-09-21 00:37:49.130181,106575,-1338135,30,24,44,12,3577
"32",1987-09-21 00:37:49.130181,106605,-1338135,29,21,48,12,3577
"33",1987-09-21 00:37:49.130181,106635,-1338135,33,17,49,12,3577
"34",1987-09-21 00:37:49.130181,106665,-1338135,37,20,42,13,3577
"35",1987-09-21 00:37:49.130181,106695,-1338135,32,22,44,14,3577
"36",1987-09-21 00:37:49.130181,106575,-1338165,36,18,45,12,3577
"37",1987-09-21 00:37:49.130181,106605,-1338165,31,18,50,11,3577
"38",1987-09-21 00:37:49.130181,106635,-1338165,28,20,51,12,3577
"39",1987-09-21 00:37:49.130181,106665,-1338165,35,23,40,13,3577
"40",1987-09-21 00:37:49.130181,106695,-1338165,36,21,41,13,3577
"41",1987-09-21 00:37:49.130181,106575,-1338195,32,22,45,12,3577
"42",1987-09-21 00:37:49.130181,106605,-1338195,30,21,47,12,3577
"43",1987-09-21 00:37:49.130181,106635,-1338195,33,21,46,12,3577
"44",1987-09-21 00:37:49.130181,106665,-1338195,27,27,45,13,3577
"45",1987-09-21 00:37:49.130181,106695,-1338195,22,21,56,13,3577
"46",1987-09-21 00:37:49.130181,106575,-1338225,31,21,47,12,3577
"47",1987-09-21 00:37:49.130181,106605,-1338225,32,23,43,13,3577
"48",1987-09-21 00:37:49.130181,106635,-1338225,31,22,45,13,3577
"49",1987-09-21 00:37:49.130181,106665,-1338225,30,26,43,13,3577
"50",1987-09-21 00:37:49.130181,106695,-1338225,30,25,43,14,3577
"51",1987-10-07 00:38:09.103012,106575,-1338105,30,28,41,12,3577
"52",1987-10-07 00:38:09.103012,106605,-1338105,33,28,38,12,3577
"53",1987-10-07 00:38:09.103012,106635,-1338105,41,26,32,12,3577
"54",1987-10-07 00:38:09.103012,106665,-1338105,45,25,29,13,3577
"55",1987-10-07 00:38:09.103012,106695,-1338105,37,25,37,13,3577
"56",1987-10-07 00:38:09.103012,106575,-1338135,31,27,41,12,3577
"57",1987-10-07 00:38:09.103012,106605,-1338135,33,25,40,12,3577
"58",1987-10-07 00:38:09.103012,106635,-1338135,35,26,38,12,3577
"59",1987-10-07 00:38:09.103012,106665,-1338135,44,28,27,13,3577
"60",1987-10-07 00:38:09.103012,106695,-1338135,30,26,42,14,3577
"61",1987-10-07 00:38:09.103012,106575,-1338165,35,24,40,11,3577
"62",1987-10-07 00:38:09.103012,106605,-1338165,38,26,34,11,3577
"63",1987-10-07 00:38:09.103012,106635,-1338165,33,25,40,12,3577
"64",1987-10-07 00:38:09.103012,106665,-1338165,35,27,36,12,3577
"65",1987-10-07 00:38:09.103012,106695,-1338165,36,28,35,13,3577
"66",1987-10-07 00:38:09.103012,106575,-1338195,34,25,39,12,3577
"67",1987-10-07 00:38:09.103012,106605,-1338195,39,24,35,12,3577
"68",1987-10-07 00:38:09.103012,106635,-1338195,36,25,38,12,3577
"69",1987-10-07 00:38:09.103012,106665,-1338195,38,27,34,12,3577
"70",1987-10-07 00:38:09.103012,106695,-1338195,32,27,39,13,3577
"71",1987-10-07 00:38:09.103012,106575,-1338225,30,26,43,12,3577
"72",1987-10-07 00:38:09.103012,106605,-1338225,37,27,34,13,3577
"73",1987-10-07 00:38:09.103012,106635,-1338225,41,25,32,13,3577
"74",1987-10-07 00:38:09.103012,106665,-1338225,30,28,40,13,3577
"75",1987-10-07 00:38:09.103012,106695,-1338225,34,28,37,13,3577
"76",1987-10-23 00:38:25.100782,106575,-1338105,25,30,43,12,3577
"77",1987-10-23 00:38:25.100782,106605,-1338105,20,28,50,12,3577
"78",1987-10-23 00:38:25.100782,106635,-1338105,32,25,43,12,3577
"79",1987-10-23 00:38:25.100782,106665,-1338105,33,25,40,13,3577
"80",1987-10-23 00:38:25.100782,106695,-1338105,33,27,38,13,3577
"81",1987-10-23 00:38:25.100782,106575,-1338135,29,28,42,12,3577
"82",1987-10-23 00:38:25.100782,106605,-1338135,26,28,45,12,3577
