"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-27 00:01:15.883825,1191885,-1557795,5,36,57,11,3577
"2",1987-09-27 00:01:15.883825,1191915,-1557795,5,35,59,12,3577
"3",1987-09-27 00:01:15.883825,1191945,-1557795,1,32,66,12,3577
"4",1987-09-27 00:01:15.883825,1191975,-1557795,0,32,66,13,3577
"5",1987-09-27 00:01:15.883825,1192005,-1557795,3,28,67,12,3577
"6",1987-09-27 00:01:15.883825,1191885,-1557825,5,33,62,11,3577
"7",1987-09-27 00:01:15.883825,1191915,-1557825,3,33,63,12,3577
"8",1987-09-27 00:01:15.883825,1191945,-1557825,2,35,62,12,3577
"9",1987-09-27 00:01:15.883825,1191975,-1557825,0,33,66,12,3577
"10",1987-09-27 00:01:15.883825,1192005,-1557825,5,30,64,13,3577
"11",1987-09-27 00:01:15.883825,1191885,-1557855,5,33,61,11,3577
"12",1987-09-27 00:01:15.883825,1191915,-1557855,3,33,62,11,3577
"13",1987-09-27 00:01:15.883825,1191945,-1557855,1,35,62,11,3577
"14",1987-09-27 00:01:15.883825,1191975,-1557855,7,36,56,11,3577
"15",1987-09-27 00:01:15.883825,1192005,-1557855,2,33,63,13,3577
"16",1987-09-27 00:01:15.883825,1191885,-1557885,5,34,61,11,3577
"17",1987-09-27 00:01:15.883825,1191915,-1557885,3,35,61,11,3577
"18",1987-09-27 00:01:15.883825,1191945,-1557885,6,34,59,10,3577
"19",1987-09-27 00:01:15.883825,1191975,-1557885,6,34,59,11,3577
"20",1987-09-27 00:01:15.883825,1192005,-1557885,4,32,63,12,3577
"21",1987-09-27 00:01:15.883825,1191885,-1557915,3,33,64,12,3577
"22",1987-09-27 00:01:15.883825,1191915,-1557915,5,37,56,11,3577
"23",1987-09-27 00:01:15.883825,1191945,-1557915,4,35,60,11,3577
"24",1987-09-27 00:01:15.883825,1191975,-1557915,5,39,55,11,3577
"25",1987-09-27 00:01:15.883825,1192005,-1557915,5,35,58,12,3577
"26",1987-10-13 00:01:34.711168,1191885,-1557795,5,33,62,11,3577
