"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-19 23:56:31.722402,1082775,-2183175,56,11,32,6,3577
"2",1987-09-19 23:56:31.722402,1082805,-2183175,65,11,22,6,3577
"3",1987-09-19 23:56:31.722402,1082835,-2183175,58,12,28,6,3577
"4",1987-09-19 23:56:31.722402,1082865,-2183175,53,16,30,7,3577
"5",1987-09-19 23:56:31.722402,1082775,-2183205,43,15,40,7,3577
"6",1987-09-19 23:56:31.722402,1082805,-2183205,64,13,21,6,3577
"7",1987-09-19 23:56:31.722402,1082835,-2183205,54,11,34,6,3577
"8",1987-09-19 23:56:31.722402,1082865,-2183205,52,12,35,6,3577
"9",1987-09-19 23:56:31.722402,1082775,-2183235,48,16,34,7,3577
"10",1987-09-19 23:56:31.722402,1082805,-2183235,51,13,34,7,3577
"11",1987-09-19 23:56:31.722402,1082835,-2183235,56,11,32,6,3577
"12",1987-09-19 23:56:31.722402,1082865,-2183235,46,15,38,7,3577
"13",1987-09-19 23:56:31.722402,1082775,-2183265,59,14,26,6,3577
"14",1987-09-19 23:56:31.722402,1082805,-2183265,59,15,25,6,3577
"15",1987-09-19 23:56:31.722402,1082835,-2183265,54,12,32,6,3577
"16",1987-09-19 23:56:31.722402,1082865,-2183265,58,15,26,6,3577
"17",1987-09-19 23:56:31.722402,1082775,-2183295,63,12,24,6,3577
"18",1987-09-19 23:56:31.722402,1082805,-2183295,62,13,24,6,3577
"19",1987-09-19 23:56:31.722402,1082835,-2183295,51,15,33,7,3577
"20",1987-09-19 23:56:31.722402,1082865,-2183295,45,18,35,7,3577
"21",1987-10-05 23:56:51.997531,1082775,-2183175,63,11,24,6,3577
"22",1987-10-05 23:56:51.997531,1082805,-2183175,70,12,17,6,3577
"23",1987-10-05 23:56:51.997531,1082835,-2183175,64,12,23,6,3577
"24",1987-10-05 23:56:51.997531,1082865,-2183175,53,13,32,7,3577
"25",1987-10-05 23:56:51.997531,1082775,-2183205,59,15,25,7,3577
"26",1987-10-05 23:56:51.997531,1082805,-2183205,60,12,26,6,3577
"27",1987-10-05 23:56:51.997531,1082835,-2183205,60,13,26,7,3577
