"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-02 00:07:39.218832,7,77,15,9,922155,-1982085,3577
"2",1987-09-02 00:07:39.218832,5,76,18,8,922185,-1982085,3577
"3",1987-09-02 00:07:39.218832,6,74,18,8,922215,-1982085,3577
"4",1987-09-02 00:07:39.218832,7,86,6,8,922245,-1982085,3577
"5",1987-09-02 00:07:39.218832,4,85,9,8,922275,-1982085,3577
"6",1987-09-02 00:07:39.218832,5,85,9,9,922155,-1982115,3577
"7",1987-09-02 00:07:39.218832,5,84,10,9,922185,-1982115,3577
"8",1987-09-02 00:07:39.218832,8,83,8,9,922215,-1982115,3577
"9",1987-09-02 00:07:39.218832,9,69,21,8,922245,-1982115,3577
"10",1987-09-02 00:07:39.218832,7,86,6,8,922275,-1982115,3577
"11",1987-09-02 00:07:39.218832,7,82,9,9,922155,-1982145,3577
"12",1987-09-02 00:07:39.218832,8,81,10,9,922185,-1982145,3577
"13",1987-09-02 00:07:39.218832,8,82,8,9,922215,-1982145,3577
"14",1987-09-02 00:07:39.218832,7,84,8,9,922245,-1982145,3577
"15",1987-09-02 00:07:39.218832,7,77,15,8,922275,-1982145,3577
"16",1987-09-02 00:07:39.218832,8,82,8,9,922155,-1982175,3577
"17",1987-09-02 00:07:39.218832,10,76,13,9,922185,-1982175,3577
"18",1987-09-02 00:07:39.218832,7,80,12,9,922215,-1982175,3577
"19",1987-09-02 00:07:39.218832,6,86,6,9,922245,-1982175,3577
"20",1987-09-02 00:07:39.218832,7,82,10,9,922275,-1982175,3577
"21",1987-09-11 00:02:05.7289,5,84,10,9,922155,-1982085,3577
"22",1987-09-11 00:02:05.7289,3,86,10,8,922185,-1982085,3577
"23",1987-09-11 00:02:05.7289,4,90,4,8,922215,-1982085,3577
"24",1987-09-11 00:02:05.7289,3,94,2,8,922245,-1982085,3577
"25",1987-09-11 00:02:05.7289,4,87,8,8,922275,-1982085,3577
"26",1987-09-11 00:02:05.7289,4,89,6,9,922155,-1982115,3577
"27",1987-09-11 00:02:05.7289,0,91,8,8,922185,-1982115,3577
"28",1987-09-11 00:02:05.7289,3,97,0,8,922215,-1982115,3577
"29",1987-09-11 00:02:05.7289,0,96,3,8,922245,-1982115,3577
"30",1987-09-11 00:02:05.7289,6,93,0,8,922275,-1982115,3577
"31",1987-09-11 00:02:05.7289,3,96,0,9,922155,-1982145,3577
"32",1987-09-11 00:02:05.7289,4,91,4,8,922185,-1982145,3577
"33",1987-09-11 00:02:05.7289,2,95,2,9,922215,-1982145,3577
"34",1987-09-11 00:02:05.7289,5,87,7,8,922245,-1982145,3577
"35",1987-09-11 00:02:05.7289,4,93,2,8,922275,-1982145,3577
"36",1987-09-11 00:02:05.7289,5,94,0,8,922155,-1982175,3577
"37",1987-09-11 00:02:05.7289,4,89,5,8,922185,-1982175,3577
"38",1987-09-11 00:02:05.7289,1,98,0,8,922215,-1982175,3577
"39",1987-09-11 00:02:05.7289,3,91,4,8,922245,-1982175,3577
"40",1987-09-11 00:02:05.7289,5,90,3,8,922275,-1982175,3577
"41",1987-09-18 00:08:02.84212,4,75,19,9,922155,-1982085,3577
"42",1987-09-18 00:08:02.84212,4,77,18,9,922185,-1982085,3577
"43",1987-09-18 00:08:02.84212,3,77,18,8,922215,-1982085,3577
"44",1987-09-18 00:08:02.84212,4,86,8,8,922245,-1982085,3577
"45",1987-09-18 00:08:02.84212,2,88,9,8,922275,-1982085,3577
"46",1987-09-18 00:08:02.84212,6,74,18,9,922155,-1982115,3577
"47",1987-09-18 00:08:02.84212,3,88,7,9,922185,-1982115,3577
"48",1987-09-18 00:08:02.84212,5,80,14,9,922215,-1982115,3577
"49",1987-09-18 00:08:02.84212,4,88,7,8,922245,-1982115,3577
"50",1987-09-18 00:08:02.84212,4,85,10,8,922275,-1982115,3577
"51",1987-09-18 00:08:02.84212,5,81,12,9,922155,-1982145,3577
"52",1987-09-18 00:08:02.84212,6,77,16,9,922185,-1982145,3577
"53",1987-09-18 00:08:02.84212,5,84,10,9,922215,-1982145,3577
"54",1987-09-18 00:08:02.84212,2,85,12,9,922245,-1982145,3577
"55",1987-09-18 00:08:02.84212,4,82,12,9,922275,-1982145,3577
"56",1987-09-18 00:08:02.84212,3,88,8,9,922155,-1982175,3577
"57",1987-09-18 00:08:02.84212,5,87,6,9,922185,-1982175,3577
"58",1987-09-18 00:08:02.84212,5,89,4,9,922215,-1982175,3577
"59",1987-09-18 00:08:02.84212,4,83,11,9,922245,-1982175,3577
"60",1987-09-18 00:08:02.84212,6,78,15,9,922275,-1982175,3577
"61",1987-09-27 00:02:27.753792,6,80,13,8,922155,-1982085,3577
"62",1987-09-27 00:02:27.753792,1,87,11,8,922185,-1982085,3577
"63",1987-09-27 00:02:27.753792,5,82,12,8,922215,-1982085,3577
"64",1987-09-27 00:02:27.753792,5,86,8,8,922245,-1982085,3577
"65",1987-09-27 00:02:27.753792,4,84,11,8,922275,-1982085,3577
"66",1987-09-27 00:02:27.753792,4,84,11,8,922155,-1982115,3577
"67",1987-09-27 00:02:27.753792,4,90,4,8,922185,-1982115,3577
"68",1987-09-27 00:02:27.753792,2,91,5,8,922215,-1982115,3577
"69",1987-09-27 00:02:27.753792,3,89,6,8,922245,-1982115,3577
"70",1987-09-27 00:02:27.753792,4,84,11,8,922275,-1982115,3577
"71",1987-09-27 00:02:27.753792,3,87,9,8,922155,-1982145,3577
"72",1987-09-27 00:02:27.753792,3,90,5,8,922185,-1982145,3577
"73",1987-09-27 00:02:27.753792,4,85,10,8,922215,-1982145,3577
"74",1987-09-27 00:02:27.753792,3,89,6,8,922245,-1982145,3577
"75",1987-09-27 00:02:27.753792,3,96,0,8,922275,-1982145,3577
"76",1987-09-27 00:02:27.753792,4,92,2,8,922155,-1982175,3577
"77",1987-09-27 00:02:27.753792,4,85,10,8,922185,-1982175,3577
"78",1987-09-27 00:02:27.753792,3,88,8,8,922215,-1982175,3577
"79",1987-09-27 00:02:27.753792,4,89,6,8,922245,-1982175,3577
"80",1987-09-27 00:02:27.753792,5,83,11,8,922275,-1982175,3577
"81",1987-10-04 00:08:23.420113,7,68,24,9,922155,-1982085,3577
"82",1987-10-04 00:08:23.420113,4,74,20,8,922185,-1982085,3577
"83",1987-10-04 00:08:23.420113,5,77,17,8,922215,-1982085,3577
"84",1987-10-04 00:08:23.420113,6,74,19,8,922245,-1982085,3577
"85",1987-10-04 00:08:23.420113,4,74,21,8,922275,-1982085,3577
"86",1987-10-04 00:08:23.420113,5,76,18,9,922155,-1982115,3577
"87",1987-10-04 00:08:23.420113,4,84,11,9,922185,-1982115,3577
"88",1987-10-04 00:08:23.420113,4,81,14,8,922215,-1982115,3577
"89",1987-10-04 00:08:23.420113,7,78,14,8,922245,-1982115,3577
"90",1987-10-04 00:08:23.420113,8,69,21,8,922275,-1982115,3577
"91",1987-10-04 00:08:23.420113,5,76,17,9,922155,-1982145,3577
"92",1987-10-04 00:08:23.420113,3,81,14,9,922185,-1982145,3577
"93",1987-10-04 00:08:23.420113,4,83,12,8,922215,-1982145,3577
"94",1987-10-04 00:08:23.420113,4,77,18,8,922245,-1982145,3577
"95",1987-10-04 00:08:23.420113,5,79,15,8,922275,-1982145,3577
"96",1987-10-04 00:08:23.420113,5,82,13,8,922155,-1982175,3577
"97",1987-10-04 00:08:23.420113,3,85,11,8,922185,-1982175,3577
"98",1987-10-04 00:08:23.420113,2,86,11,8,922215,-1982175,3577
"99",1987-10-04 00:08:23.420113,6,77,16,8,922245,-1982175,3577
"100",1987-10-04 00:08:23.420113,5,73,20,8,922275,-1982175,3577
"101",1987-10-13 00:02:46.578292,7,76,16,8,922155,-1982085,3577
"102",1987-10-13 00:02:46.578292,7,81,11,8,922185,-1982085,3577
"103",1987-10-13 00:02:46.578292,6,84,8,8,922215,-1982085,3577
"104",1987-10-13 00:02:46.578292,7,76,16,8,922245,-1982085,3577
"105",1987-10-13 00:02:46.578292,5,82,11,8,922275,-1982085,3577
"106",1987-10-13 00:02:46.578292,7,76,16,8,922155,-1982115,3577
"107",1987-10-13 00:02:46.578292,4,84,10,8,922185,-1982115,3577
"108",1987-10-13 00:02:46.578292,4,88,7,8,922215,-1982115,3577
"109",1987-10-13 00:02:46.578292,7,82,10,8,922245,-1982115,3577
"110",1987-10-13 00:02:46.578292,8,78,13,8,922275,-1982115,3577
"111",1987-10-13 00:02:46.578292,6,85,7,8,922155,-1982145,3577
"112",1987-10-13 00:02:46.578292,6,85,8,8,922185,-1982145,3577
"113",1987-10-13 00:02:46.578292,5,85,9,8,922215,-1982145,3577
"114",1987-10-13 00:02:46.578292,6,85,7,8,922245,-1982145,3577
"115",1987-10-13 00:02:46.578292,7,86,6,8,922275,-1982145,3577
"116",1987-10-13 00:02:46.578292,6,86,7,8,922155,-1982175,3577
"117",1987-10-13 00:02:46.578292,4,92,2,8,922185,-1982175,3577
"118",1987-10-13 00:02:46.578292,6,83,10,8,922215,-1982175,3577
"119",1987-10-13 00:02:46.578292,7,81,11,8,922245,-1982175,3577
"120",1987-10-13 00:02:46.578292,6,86,7,8,922275,-1982175,3577
"121",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922155,-1982085,3577
"122",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922185,-1982085,3577
"123",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922215,-1982085,3577
"124",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922245,-1982085,3577
"125",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922275,-1982085,3577
"126",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922155,-1982115,3577
"127",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922185,-1982115,3577
"128",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922215,-1982115,3577
"129",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922245,-1982115,3577
"130",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922275,-1982115,3577
"131",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922155,-1982145,3577
"132",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922185,-1982145,3577
"133",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922215,-1982145,3577
"134",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922245,-1982145,3577
"135",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922275,-1982145,3577
"136",1987-10-20 00:08:40.326744,NA,NA,NA,NA,922155,-1982175,3577
