"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-02 00:09:14.996578,632775,-2532615,73,0,26,5,3577
"2",1987-09-02 00:09:14.996578,632805,-2532615,87,0,11,4,3577
"3",1987-09-02 00:09:14.996578,632835,-2532615,75,0,24,4,3577
"4",1987-09-02 00:09:14.996578,632865,-2532615,76,0,23,4,3577
"5",1987-09-02 00:09:14.996578,632775,-2532645,71,0,28,5,3577
"6",1987-09-02 00:09:14.996578,632805,-2532645,77,0,22,5,3577
"7",1987-09-02 00:09:14.996578,632835,-2532645,81,0,18,4,3577
"8",1987-09-02 00:09:14.996578,632865,-2532645,73,0,26,5,3577
"9",1987-09-02 00:09:14.996578,632775,-2532675,72,0,27,5,3577
"10",1987-09-02 00:09:14.996578,632805,-2532675,71,0,28,5,3577
"11",1987-09-02 00:09:14.996578,632835,-2532675,73,0,26,4,3577
"12",1987-09-02 00:09:14.996578,632865,-2532675,69,0,30,5,3577
"13",1987-09-02 00:09:14.996578,632775,-2532705,71,0,28,5,3577
"14",1987-09-02 00:09:14.996578,632805,-2532705,78,0,21,5,3577
"15",1987-09-02 00:09:14.996578,632835,-2532705,75,0,24,5,3577
"16",1987-09-02 00:09:14.996578,632865,-2532705,75,0,24,5,3577
"17",1987-09-18 00:09:38.59746,632775,-2532615,77,0,22,4,3577
"18",1987-09-18 00:09:38.59746,632805,-2532615,78,0,21,4,3577
"19",1987-09-18 00:09:38.59746,632835,-2532615,76,0,23,4,3577
"20",1987-09-18 00:09:38.59746,632865,-2532615,76,0,23,4,3577
"21",1987-09-18 00:09:38.59746,632775,-2532645,70,0,29,5,3577
"22",1987-09-18 00:09:38.59746,632805,-2532645,72,0,28,5,3577
"23",1987-09-18 00:09:38.59746,632835,-2532645,76,0,23,5,3577
"24",1987-09-18 00:09:38.59746,632865,-2532645,75,0,24,5,3577
"25",1987-09-18 00:09:38.59746,632775,-2532675,75,0,24,5,3577
"26",1987-09-18 00:09:38.59746,632805,-2532675,73,0,26,5,3577
"27",1987-09-18 00:09:38.59746,632835,-2532675,72,0,27,5,3577
"28",1987-09-18 00:09:38.59746,632865,-2532675,71,0,28,5,3577
"29",1987-09-18 00:09:38.59746,632775,-2532705,75,0,24,5,3577
"30",1987-09-18 00:09:38.59746,632805,-2532705,71,0,28,5,3577
"31",1987-09-18 00:09:38.59746,632835,-2532705,74,0,25,5,3577
"32",1987-09-18 00:09:38.59746,632865,-2532705,72,0,27,5,3577
"33",1987-10-04 00:09:59.184148,632775,-2532615,81,0,18,5,3577
"34",1987-10-04 00:09:59.184148,632805,-2532615,80,0,19,4,3577
"35",1987-10-04 00:09:59.184148,632835,-2532615,83,1,15,4,3577
"36",1987-10-04 00:09:59.184148,632865,-2532615,82,0,17,4,3577
"37",1987-10-04 00:09:59.184148,632775,-2532645,78,0,21,5,3577
"38",1987-10-04 00:09:59.184148,632805,-2532645,80,0,19,5,3577
"39",1987-10-04 00:09:59.184148,632835,-2532645,81,0,18,5,3577
"40",1987-10-04 00:09:59.184148,632865,-2532645,76,0,24,5,3577
"41",1987-10-04 00:09:59.184148,632775,-2532675,75,0,25,5,3577
"42",1987-10-04 00:09:59.184148,632805,-2532675,81,0,18,5,3577
"43",1987-10-04 00:09:59.184148,632835,-2532675,82,0,17,5,3577
"44",1987-10-04 00:09:59.184148,632865,-2532675,79,0,20,5,3577
"45",1987-10-04 00:09:59.184148,632775,-2532705,76,0,23,5,3577
"46",1987-10-04 00:09:59.184148,632805,-2532705,79,0,20,5,3577
"47",1987-10-04 00:09:59.184148,632835,-2532705,75,0,24,5,3577
"48",1987-10-04 00:09:59.184148,632865,-2532705,76,0,23,5,3577
"49",1987-10-20 00:10:15.979158,632775,-2532615,80,0,18,5,3577
"50",1987-10-20 00:10:15.979158,632805,-2532615,76,0,23,4,3577
"51",1987-10-20 00:10:15.979158,632835,-2532615,80,0,19,4,3577
"52",1987-10-20 00:10:15.979158,632865,-2532615,81,0,18,4,3577
"53",1987-10-20 00:10:15.979158,632775,-2532645,75,0,24,5,3577
"54",1987-10-20 00:10:15.979158,632805,-2532645,77,0,22,5,3577
"55",1987-10-20 00:10:15.979158,632835,-2532645,76,0,23,5,3577
"56",1987-10-20 00:10:15.979158,632865,-2532645,75,0,24,5,3577
"57",1987-10-20 00:10:15.979158,632775,-2532675,75,0,24,5,3577
"58",1987-10-20 00:10:15.979158,632805,-2532675,75,0,24,5,3577
"59",1987-10-20 00:10:15.979158,632835,-2532675,80,0,19,5,3577
"60",1987-10-20 00:10:15.979158,632865,-2532675,78,1,20,5,3577
"61",1987-10-20 00:10:15.979158,632775,-2532705,73,0,26,5,3577
"62",1987-10-20 00:10:15.979158,632805,-2532705,75,0,24,5,3577
"63",1987-10-20 00:10:15.979158,632835,-2532705,77,0,22,5,3577
"64",1987-10-20 00:10:15.979158,632865,-2532705,75,0,24,5,3577
"65",1987-11-21 00:10:54.674476,632775,-2532615,79,0,20,5,3577
"66",1987-11-21 00:10:54.674476,632805,-2532615,75,0,24,5,3577
"67",1987-11-21 00:10:54.674476,632835,-2532615,78,1,19,4,3577
"68",1987-11-21 00:10:54.674476,632865,-2532615,79,1,18,5,3577
"69",1987-11-21 00:10:54.674476,632775,-2532645,75,0,24,5,3577
"70",1987-11-21 00:10:54.674476,632805,-2532645,72,0,27,5,3577
"71",1987-11-21 00:10:54.674476,632835,-2532645,75,0,24,5,3577
"72",1987-11-21 00:10:54.674476,632865,-2532645,78,0,21,5,3577
"73",1987-11-21 00:10:54.674476,632775,-2532675,74,0,25,5,3577
"74",1987-11-21 00:10:54.674476,632805,-2532675,79,1,18,5,3577
"75",1987-11-21 00:10:54.674476,632835,-2532675,78,1,19,5,3577
"76",1987-11-21 00:10:54.674476,632865,-2532675,71,0,28,5,3577
"77",1987-11-21 00:10:54.674476,632775,-2532705,76,0,23,5,3577
"78",1987-11-21 00:10:54.674476,632805,-2532705,81,0,18,5,3577
"79",1987-11-21 00:10:54.674476,632835,-2532705,79,1,19,5,3577
"80",1987-11-21 00:10:54.674476,632865,-2532705,73,0,25,5,3577
"81",1987-12-07 00:11:08.552098,632775,-2532615,84,0,15,5,3577
"82",1987-12-07 00:11:08.552098,632805,-2532615,83,0,15,5,3577
"83",1987-12-07 00:11:08.552098,632835,-2532615,87,0,11,5,3577
"84",1987-12-07 00:11:08.552098,632865,-2532615,87,0,11,5,3577
"85",1987-12-07 00:11:08.552098,632775,-2532645,80,0,19,5,3577
"86",1987-12-07 00:11:08.552098,632805,-2532645,80,0,19,5,3577
"87",1987-12-07 00:11:08.552098,632835,-2532645,82,0,16,5,3577
"88",1987-12-07 00:11:08.552098,632865,-2532645,81,0,18,5,3577
"89",1987-12-07 00:11:08.552098,632775,-2532675,78,0,20,5,3577
"90",1987-12-07 00:11:08.552098,632805,-2532675,81,0,18,5,3577
"91",1987-12-07 00:11:08.552098,632835,-2532675,81,0,18,5,3577
"92",1987-12-07 00:11:08.552098,632865,-2532675,73,0,26,5,3577
"93",1987-12-07 00:11:08.552098,632775,-2532705,79,0,20,5,3577
"94",1987-12-07 00:11:08.552098,632805,-2532705,78,0,21,5,3577
"95",1987-12-07 00:11:08.552098,632835,-2532705,76,0,23,5,3577
"96",1987-12-07 00:11:08.552098,632865,-2532705,79,0,20,5,3577
"97",1987-12-23 00:11:23.132617,632775,-2532615,59,0,41,5,3577
"98",1987-12-23 00:11:23.132617,632805,-2532615,60,0,39,4,3577
"99",1987-12-23 00:11:23.132617,632835,-2532615,59,0,40,5,3577
"100",1987-12-23 00:11:23.132617,632865,-2532615,58,0,41,4,3577
"101",1987-12-23 00:11:23.132617,632775,-2532645,55,0,44,5,3577
"102",1987-12-23 00:11:23.132617,632805,-2532645,57,0,42,5,3577
"103",1987-12-23 00:11:23.132617,632835,-2532645,58,0,41,5,3577
"104",1987-12-23 00:11:23.132617,632865,-2532645,55,0,44,5,3577
"105",1987-12-23 00:11:23.132617,632775,-2532675,55,0,44,5,3577
"106",1987-12-23 00:11:23.132617,632805,-2532675,54,0,45,5,3577
"107",1987-12-23 00:11:23.132617,632835,-2532675,58,0,41,5,3577
"108",1987-12-23 00:11:23.132617,632865,-2532675,55,0,44,5,3577
"109",1987-12-23 00:11:23.132617,632775,-2532705,57,0,42,5,3577
"110",1987-12-23 00:11:23.132617,632805,-2532705,59,0,40,5,3577
"111",1987-12-23 00:11:23.132617,632835,-2532705,57,0,42,5,3577
"112",1987-12-23 00:11:23.132617,632865,-2532705,57,0,42,5,3577
"113",1988-01-24 00:11:57.05069,632775,-2532615,67,21,11,6,3577
"114",1988-01-24 00:11:57.05069,632805,-2532615,62,19,18,6,3577
"115",1988-01-24 00:11:57.05069,632835,-2532615,65,20,14,6,3577
"116",1988-01-24 00:11:57.05069,632865,-2532615,70,21,8,5,3577
"117",1988-01-24 00:11:57.05069,632775,-2532645,62,19,18,6,3577
"118",1988-01-24 00:11:57.05069,632805,-2532645,60,21,18,6,3577
"119",1988-01-24 00:11:57.05069,632835,-2532645,64,21,13,5,3577
"120",1988-01-24 00:11:57.05069,632865,-2532645,67,22,10,6,3577
"121",1988-01-24 00:11:57.05069,632775,-2532675,63,21,15,6,3577
"122",1988-01-24 00:11:57.05069,632805,-2532675,65,22,12,6,3577
"123",1988-01-24 00:11:57.05069,632835,-2532675,69,22,8,5,3577
"124",1988-01-24 00:11:57.05069,632865,-2532675,62,19,17,6,3577
"125",1988-01-24 00:11:57.05069,632775,-2532705,65,21,12,6,3577
"126",1988-01-24 00:11:57.05069,632805,-2532705,70,20,8,5,3577
"127",1988-01-24 00:11:57.05069,632835,-2532705,65,17,16,5,3577
"128",1988-01-24 00:11:57.05069,632865,-2532705,68,17,14,5,3577
"129",1988-02-09 00:12:15.145884,632775,-2532615,66,19,13,5,3577
"130",1988-02-09 00:12:15.145884,632805,-2532615,63,20,16,5,3577
"131",1988-02-09 00:12:15.145884,632835,-2532615,62,17,19,5,3577
"132",1988-02-09 00:12:15.145884,632865,-2532615,64,17,18,5,3577
"133",1988-02-09 00:12:15.145884,632775,-2532645,61,15,23,5,3577
"134",1988-02-09 00:12:15.145884,632805,-2532645,60,17,21,5,3577
"135",1988-02-09 00:12:15.145884,632835,-2532645,63,16,20,5,3577
"136",1988-02-09 00:12:15.145884,632865,-2532645,61,15,23,5,3577
"137",1988-02-09 00:12:15.145884,632775,-2532675,58,14,27,5,3577
"138",1988-02-09 00:12:15.145884,632805,-2532675,60,15,23,5,3577
"139",1988-02-09 00:12:15.145884,632835,-2532675,61,14,23,5,3577
"140",1988-02-09 00:12:15.145884,632865,-2532675,62,12,24,5,3577
"141",1988-02-09 00:12:15.145884,632775,-2532705,63,14,22,5,3577
"142",1988-02-09 00:12:15.145884,632805,-2532705,66,13,20,5,3577
"143",1988-02-09 00:12:15.145884,632835,-2532705,61,12,25,5,3577
"144",1988-02-09 00:12:15.145884,632865,-2532705,65,11,23,5,3577
"145",1988-02-25 00:12:28.132421,632775,-2532615,68,14,16,5,3577
"146",1988-02-25 00:12:28.132421,632805,-2532615,71,15,13,5,3577
"147",1988-02-25 00:12:28.132421,632835,-2532615,65,11,22,5,3577
"148",1988-02-25 00:12:28.132421,632865,-2532615,68,12,19,5,3577
"149",1988-02-25 00:12:28.132421,632775,-2532645,58,11,30,5,3577
"150",1988-02-25 00:12:28.132421,632805,-2532645,68,9,22,5,3577
"151",1988-02-25 00:12:28.132421,632835,-2532645,62,10,26,5,3577
"152",1988-02-25 00:12:28.132421,632865,-2532645,61,9,29,5,3577
"153",1988-02-25 00:12:28.132421,632775,-2532675,60,10,28,5,3577
"154",1988-02-25 00:12:28.132421,632805,-2532675,66,10,22,5,3577
"155",1988-02-25 00:12:28.132421,632835,-2532675,67,9,22,5,3577
"156",1988-02-25 00:12:28.132421,632865,-2532675,58,8,32,5,3577
"157",1988-02-25 00:12:28.132421,632775,-2532705,64,11,24,5,3577
"158",1988-02-25 00:12:28.132421,632805,-2532705,64,8,27,5,3577
"159",1988-02-25 00:12:28.132421,632835,-2532705,69,10,20,5,3577
"160",1988-02-25 00:12:28.132421,632865,-2532705,67,8,23,5,3577
"161",1988-03-12 00:12:37.307863,632775,-2532615,63,10,26,5,3577
"162",1988-03-12 00:12:37.307863,632805,-2532615,71,11,16,5,3577
"163",1988-03-12 00:12:37.307863,632835,-2532615,60,9,29,5,3577
"164",1988-03-12 00:12:37.307863,632865,-2532615,67,10,22,5,3577
"165",1988-03-12 00:12:37.307863,632775,-2532645,62,8,29,5,3577
"166",1988-03-12 00:12:37.307863,632805,-2532645,66,9,23,5,3577
"167",1988-03-12 00:12:37.307863,632835,-2532645,59,6,34,5,3577
"168",1988-03-12 00:12:37.307863,632865,-2532645,65,8,25,5,3577
"169",1988-03-12 00:12:37.307863,632775,-2532675,62,9,28,5,3577
"170",1988-03-12 00:12:37.307863,632805,-2532675,63,7,28,5,3577
"171",1988-03-12 00:12:37.307863,632835,-2532675,63,6,29,5,3577
"172",1988-03-12 00:12:37.307863,632865,-2532675,63,8,28,5,3577
"173",1988-03-12 00:12:37.307863,632775,-2532705,65,10,24,5,3577
"174",1988-03-12 00:12:37.307863,632805,-2532705,68,9,22,5,3577
"175",1988-03-12 00:12:37.307863,632835,-2532705,68,5,25,5,3577
"176",1988-03-12 00:12:37.307863,632865,-2532705,66,5,27,5,3577
"177",1988-03-28 00:12:45.288906,632775,-2532615,31,6,61,9,3577
"178",1988-03-28 00:12:45.288906,632805,-2532615,19,2,78,9,3577
"179",1988-03-28 00:12:45.288906,632835,-2532615,24,5,69,9,3577
"180",1988-03-28 00:12:45.288906,632865,-2532615,27,4,68,8,3577
"181",1988-03-28 00:12:45.288906,632775,-2532645,18,0,81,9,3577
"182",1988-03-28 00:12:45.288906,632805,-2532645,18,0,81,9,3577
"183",1988-03-28 00:12:45.288906,632835,-2532645,18,0,81,8,3577
"184",1988-03-28 00:12:45.288906,632865,-2532645,28,0,71,8,3577
"185",1988-03-28 00:12:45.288906,632775,-2532675,24,0,75,9,3577
"186",1988-03-28 00:12:45.288906,632805,-2532675,16,2,81,8,3577
