"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-11 00:06:29.387609,469305,-3850725,7,38,54,20,3577
"2",1987-09-11 00:06:29.387609,469335,-3850725,11,41,47,19,3577
"3",1987-09-11 00:06:29.387609,469365,-3850725,7,44,48,19,3577
"4",1987-09-11 00:06:29.387609,469395,-3850725,4,41,54,19,3577
"5",1987-09-11 00:06:29.387609,469305,-3850755,1,41,56,19,3577
"6",1987-09-11 00:06:29.387609,469335,-3850755,13,37,49,19,3577
"7",1987-09-11 00:06:29.387609,469365,-3850755,1,41,56,19,3577
"8",1987-09-11 00:06:29.387609,469395,-3850755,11,38,50,18,3577
"9",1987-09-11 00:06:29.387609,469305,-3850785,8,41,49,20,3577
"10",1987-09-11 00:06:29.387609,469335,-3850785,2,39,57,20,3577
"11",1987-09-11 00:06:29.387609,469365,-3850785,0,49,50,20,3577
"12",1987-09-11 00:06:29.387609,469395,-3850785,2,39,57,20,3577
"13",1987-09-11 00:06:29.387609,469305,-3850815,0,47,52,20,3577
"14",1987-09-11 00:06:29.387609,469335,-3850815,4,44,51,20,3577
"15",1987-09-11 00:06:29.387609,469365,-3850815,7,41,51,19,3577
"16",1987-09-11 00:06:29.387609,469395,-3850815,7,38,54,19,3577
"17",1987-10-13 00:07:10.149315,469305,-3850725,6,42,51,19,3577
"18",1987-10-13 00:07:10.149315,469335,-3850725,1,47,51,18,3577
"19",1987-10-13 00:07:10.149315,469365,-3850725,2,46,51,18,3577
"20",1987-10-13 00:07:10.149315,469395,-3850725,6,43,50,18,3577
"21",1987-10-13 00:07:10.149315,469305,-3850755,7,43,49,18,3577
"22",1987-10-13 00:07:10.149315,469335,-3850755,5,44,50,19,3577
"23",1987-10-13 00:07:10.149315,469365,-3850755,5,45,49,19,3577
"24",1987-10-13 00:07:10.149315,469395,-3850755,6,43,50,18,3577
"25",1987-10-13 00:07:10.149315,469305,-3850785,8,45,46,19,3577
"26",1987-10-13 00:07:10.149315,469335,-3850785,7,43,49,19,3577
"27",1987-10-13 00:07:10.149315,469365,-3850785,6,43,50,19,3577
"28",1987-10-13 00:07:10.149315,469395,-3850785,9,39,50,19,3577
"29",1987-10-13 00:07:10.149315,469305,-3850815,8,46,45,19,3577
"30",1987-10-13 00:07:10.149315,469335,-3850815,2,46,52,19,3577
"31",1987-10-13 00:07:10.149315,469365,-3850815,5,42,52,18,3577
"32",1987-10-13 00:07:10.149315,469395,-3850815,11,39,49,18,3577
"33",1987-11-14 00:07:47.420577,469305,-3850725,4,44,51,19,3577
"34",1987-11-14 00:07:47.420577,469335,-3850725,6,40,54,18,3577
"35",1987-11-14 00:07:47.420577,469365,-3850725,4,40,55,18,3577
"36",1987-11-14 00:07:47.420577,469395,-3850725,4,42,52,17,3577
"37",1987-11-14 00:07:47.420577,469305,-3850755,7,39,53,18,3577
"38",1987-11-14 00:07:47.420577,469335,-3850755,8,39,52,18,3577
"39",1987-11-14 00:07:47.420577,469365,-3850755,4,42,54,18,3577
"40",1987-11-14 00:07:47.420577,469395,-3850755,6,44,50,18,3577
"41",1987-11-14 00:07:47.420577,469305,-3850785,6,43,51,19,3577
"42",1987-11-14 00:07:47.420577,469335,-3850785,5,43,51,19,3577
