"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-25 00:17:58.39719,336705,-3327705,62,13,24,7,3577
"2",1987-09-25 00:17:58.39719,336735,-3327705,60,8,30,8,3577
"3",1987-09-25 00:17:58.39719,336765,-3327705,59,8,31,8,3577
"4",1987-09-25 00:17:58.39719,336795,-3327705,63,9,26,7,3577
"5",1987-09-25 00:17:58.39719,336825,-3327705,69,13,16,7,3577
"6",1987-09-25 00:17:58.39719,336705,-3327735,62,10,26,7,3577
"7",1987-09-25 00:17:58.39719,336735,-3327735,60,10,29,8,3577
"8",1987-09-25 00:17:58.39719,336765,-3327735,60,10,28,7,3577
"9",1987-09-25 00:17:58.39719,336795,-3327735,66,10,22,7,3577
"10",1987-09-25 00:17:58.39719,336825,-3327735,67,11,20,7,3577
"11",1987-09-25 00:17:58.39719,336705,-3327765,66,10,23,7,3577
"12",1987-09-25 00:17:58.39719,336735,-3327765,63,8,27,7,3577
"13",1987-09-25 00:17:58.39719,336765,-3327765,63,8,27,7,3577
"14",1987-09-25 00:17:58.39719,336795,-3327765,64,8,27,7,3577
"15",1987-09-25 00:17:58.39719,336825,-3327765,65,8,25,7,3577
"16",1987-09-25 00:17:58.39719,336705,-3327795,67,11,20,7,3577
"17",1987-09-25 00:17:58.39719,336735,-3327795,64,11,24,7,3577
"18",1987-09-25 00:17:58.39719,336765,-3327795,62,8,28,7,3577
"19",1987-09-25 00:17:58.39719,336795,-3327795,64,12,23,7,3577
"20",1987-09-25 00:17:58.39719,336825,-3327795,66,10,22,7,3577
"21",1987-10-11 00:18:17.513318,336705,-3327705,66,9,23,7,3577
"22",1987-10-11 00:18:17.513318,336735,-3327705,61,10,28,8,3577
"23",1987-10-11 00:18:17.513318,336765,-3327705,64,8,26,8,3577
"24",1987-10-11 00:18:17.513318,336795,-3327705,68,11,20,7,3577
"25",1987-10-11 00:18:17.513318,336825,-3327705,69,9,21,7,3577
"26",1987-10-11 00:18:17.513318,336705,-3327735,62,8,29,8,3577
"27",1987-10-11 00:18:17.513318,336735,-3327735,64,7,27,8,3577
"28",1987-10-11 00:18:17.513318,336765,-3327735,62,9,28,8,3577
"29",1987-10-11 00:18:17.513318,336795,-3327735,64,9,26,7,3577
"30",1987-10-11 00:18:17.513318,336825,-3327735,69,9,20,7,3577
"31",1987-10-11 00:18:17.513318,336705,-3327765,64,8,27,7,3577
"32",1987-10-11 00:18:17.513318,336735,-3327765,66,9,24,8,3577
"33",1987-10-11 00:18:17.513318,336765,-3327765,62,10,27,8,3577
"34",1987-10-11 00:18:17.513318,336795,-3327765,64,11,24,8,3577
"35",1987-10-11 00:18:17.513318,336825,-3327765,65,8,25,7,3577
"36",1987-10-11 00:18:17.513318,336705,-3327795,71,6,21,7,3577
"37",1987-10-11 00:18:17.513318,336735,-3327795,65,6,27,8,3577
"38",1987-10-11 00:18:17.513318,336765,-3327795,63,10,26,8,3577
"39",1987-10-11 00:18:17.513318,336795,-3327795,61,10,27,8,3577
"40",1987-10-11 00:18:17.513318,336825,-3327795,66,10,23,8,3577
"41",1987-10-27 00:18:32.0611,336705,-3327705,74,6,19,6,3577
"42",1987-10-27 00:18:32.0611,336735,-3327705,73,5,21,6,3577
"43",1987-10-27 00:18:32.0611,336765,-3327705,70,5,23,6,3577
"44",1987-10-27 00:18:32.0611,336795,-3327705,68,4,26,5,3577
