"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-11 00:06:53.311768,54,35,9,20,471915,-3903165,3577
"2",1987-09-11 00:06:53.311768,60,35,4,21,471945,-3903165,3577
"3",1987-09-11 00:06:53.311768,55,36,7,22,471975,-3903165,3577
"4",1987-09-11 00:06:53.311768,55,39,5,22,472005,-3903165,3577
"5",1987-09-11 00:06:53.311768,50,33,15,20,471915,-3903195,3577
"6",1987-09-11 00:06:53.311768,53,34,12,20,471945,-3903195,3577
"7",1987-09-11 00:06:53.311768,60,37,1,21,471975,-3903195,3577
"8",1987-09-11 00:06:53.311768,60,35,4,21,472005,-3903195,3577
"9",1987-09-11 00:06:53.311768,53,34,12,20,471915,-3903225,3577
"10",1987-09-11 00:06:53.311768,55,35,8,21,471945,-3903225,3577
"11",1987-09-11 00:06:53.311768,53,38,8,21,471975,-3903225,3577
"12",1987-09-11 00:06:53.311768,55,33,11,23,472005,-3903225,3577
"13",1987-09-11 00:06:53.311768,54,35,10,20,471915,-3903255,3577
"14",1987-09-11 00:06:53.311768,59,40,0,21,471945,-3903255,3577
"15",1987-09-11 00:06:53.311768,52,31,16,21,471975,-3903255,3577
"16",1987-09-11 00:06:53.311768,50,29,19,22,472005,-3903255,3577
"17",1987-09-11 00:06:53.311768,50,32,17,22,472005,-3903285,3577
"18",1987-10-13 00:07:34.184319,54,41,4,19,471915,-3903165,3577
"19",1987-10-13 00:07:34.184319,60,36,3,23,471945,-3903165,3577
"20",1987-10-13 00:07:34.184319,54,40,5,23,471975,-3903165,3577
"21",1987-10-13 00:07:34.184319,56,38,4,23,472005,-3903165,3577
"22",1987-10-13 00:07:34.184319,55,36,7,20,471915,-3903195,3577
"23",1987-10-13 00:07:34.184319,59,35,5,21,471945,-3903195,3577
"24",1987-10-13 00:07:34.184319,59,34,6,23,471975,-3903195,3577
"25",1987-10-13 00:07:34.184319,57,36,6,22,472005,-3903195,3577
"26",1987-10-13 00:07:34.184319,52,39,7,21,471915,-3903225,3577
"27",1987-10-13 00:07:34.184319,57,38,3,22,471945,-3903225,3577
"28",1987-10-13 00:07:34.184319,57,37,5,22,471975,-3903225,3577
"29",1987-10-13 00:07:34.184319,56,36,6,24,472005,-3903225,3577
"30",1987-10-13 00:07:34.184319,54,38,7,21,471915,-3903255,3577
"31",1987-10-13 00:07:34.184319,55,35,9,21,471945,-3903255,3577
"32",1987-10-13 00:07:34.184319,51,40,8,21,471975,-3903255,3577
"33",1987-10-13 00:07:34.184319,60,37,2,24,472005,-3903255,3577
"34",1987-10-13 00:07:34.184319,55,38,6,24,472005,-3903285,3577
"35",1987-12-16 00:08:41.345669,44,45,9,15,471915,-3903165,3577
"36",1987-12-16 00:08:41.345669,53,38,8,19,471945,-3903165,3577
"37",1987-12-16 00:08:41.345669,59,35,5,20,471975,-3903165,3577
"38",1987-12-16 00:08:41.345669,60,35,4,21,472005,-3903165,3577
"39",1987-12-16 00:08:41.345669,50,40,8,18,471915,-3903195,3577
"40",1987-12-16 00:08:41.345669,53,40,6,19,471945,-3903195,3577
"41",1987-12-16 00:08:41.345669,54,39,5,20,471975,-3903195,3577
"42",1987-12-16 00:08:41.345669,60,35,4,21,472005,-3903195,3577
"43",1987-12-16 00:08:41.345669,54,38,6,19,471915,-3903225,3577
"44",1987-12-16 00:08:41.345669,52,41,6,19,471945,-3903225,3577
"45",1987-12-16 00:08:41.345669,55,38,5,19,471975,-3903225,3577
"46",1987-12-16 00:08:41.345669,62,33,3,21,472005,-3903225,3577
