"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-11 00:06:53.311768,441765,-3930555,23,41,35,17,3577
"2",1987-09-11 00:06:53.311768,441795,-3930555,12,45,41,18,3577
"3",1987-09-11 00:06:53.311768,441825,-3930555,13,41,45,17,3577
"4",1987-09-11 00:06:53.311768,441855,-3930555,9,41,49,16,3577
"5",1987-09-11 00:06:53.311768,441765,-3930585,15,44,39,18,3577
"6",1987-09-11 00:06:53.311768,441795,-3930585,13,43,43,18,3577
"7",1987-09-11 00:06:53.311768,441825,-3930585,6,48,45,18,3577
"8",1987-09-11 00:06:53.311768,441855,-3930585,0,46,53,18,3577
"9",1987-09-11 00:06:53.311768,441765,-3930615,23,47,29,18,3577
"10",1987-09-11 00:06:53.311768,441795,-3930615,9,43,47,17,3577
"11",1987-09-11 00:06:53.311768,441825,-3930615,1,50,48,18,3577
"12",1987-09-11 00:06:53.311768,441855,-3930615,12,44,43,18,3577
"13",1987-09-11 00:06:53.311768,441765,-3930645,16,47,36,17,3577
"14",1987-09-11 00:06:53.311768,441795,-3930645,7,45,47,17,3577
"15",1987-09-11 00:06:53.311768,441825,-3930645,14,46,39,17,3577
"16",1987-09-11 00:06:53.311768,441855,-3930645,13,46,40,17,3577
"17",1987-09-11 00:06:53.311768,441765,-3930675,0,45,54,17,3577
"18",1987-09-11 00:06:53.311768,441795,-3930675,18,39,41,17,3577
"19",1987-09-11 00:06:53.311768,441825,-3930675,5,44,50,17,3577
"20",1987-09-11 00:06:53.311768,441855,-3930675,0,45,54,18,3577
"21",1987-12-16 00:08:41.345669,441795,-3930555,20,36,43,20,3577
"22",1987-12-16 00:08:41.345669,441825,-3930555,6,35,58,18,3577
"23",1987-12-16 00:08:41.345669,441855,-3930555,17,34,49,14,3577
"24",1987-12-16 00:08:41.345669,441795,-3930585,8,41,50,20,3577
"25",1987-12-16 00:08:41.345669,441825,-3930585,4,40,54,18,3577
"26",1987-12-16 00:08:41.345669,441855,-3930585,0,42,56,15,3577
"27",1987-12-16 00:08:41.345669,441765,-3930615,33,34,32,12,3577
"28",1987-12-16 00:08:41.345669,441795,-3930615,28,38,33,15,3577
"29",1987-12-16 00:08:41.345669,441825,-3930615,0,51,49,19,3577
"30",1987-12-16 00:08:41.345669,441855,-3930615,0,52,46,16,3577
"31",1987-12-16 00:08:41.345669,441765,-3930645,30,31,38,11,3577
"32",1987-12-16 00:08:41.345669,441795,-3930645,27,32,41,13,3577
"33",1987-12-16 00:08:41.345669,441825,-3930645,0,47,52,16,3577
"34",1987-12-16 00:08:41.345669,441855,-3930645,0,53,47,16,3577
"35",1987-12-16 00:08:41.345669,441795,-3930675,6,40,52,15,3577
"36",1987-12-16 00:08:41.345669,441825,-3930675,0,48,52,15,3577
"37",1988-02-02 00:09:32.587436,441765,-3930555,7,46,47,20,3577
"38",1988-02-02 00:09:32.587436,441795,-3930555,5,48,46,20,3577
"39",1988-02-02 00:09:32.587436,441825,-3930555,10,44,44,18,3577
"40",1988-02-02 00:09:32.587436,441855,-3930555,13,40,46,17,3577
"41",1988-02-02 00:09:32.587436,441765,-3930585,6,51,42,20,3577
"42",1988-02-02 00:09:32.587436,441795,-3930585,5,48,46,20,3577
"43",1988-02-02 00:09:32.587436,441825,-3930585,8,48,43,19,3577
"44",1988-02-02 00:09:32.587436,441855,-3930585,7,45,47,20,3577
"45",1988-02-02 00:09:32.587436,441765,-3930615,5,51,43,21,3577
"46",1988-02-02 00:09:32.587436,441795,-3930615,10,47,42,20,3577
"47",1988-02-02 00:09:32.587436,441825,-3930615,9,46,44,19,3577
"48",1988-02-02 00:09:32.587436,441855,-3930615,8,47,44,20,3577
"49",1988-02-02 00:09:32.587436,441765,-3930645,10,43,45,20,3577
"50",1988-02-02 00:09:32.587436,441795,-3930645,7,47,45,20,3577
"51",1988-02-02 00:09:32.587436,441825,-3930645,5,46,48,19,3577
"52",1988-02-02 00:09:32.587436,441855,-3930645,7,48,44,19,3577
"53",1988-02-02 00:09:32.587436,441765,-3930675,7,42,50,19,3577
"54",1988-02-02 00:09:32.587436,441795,-3930675,8,42,48,19,3577
"55",1988-02-02 00:09:32.587436,441825,-3930675,7,49,43,20,3577
"56",1988-02-02 00:09:32.587436,441855,-3930675,7,43,49,19,3577
"57",1988-03-21 00:10:06.45334,441765,-3930555,5,50,44,21,3577
"58",1988-03-21 00:10:06.45334,441795,-3930555,9,46,44,20,3577
"59",1988-03-21 00:10:06.45334,441825,-3930555,6,53,40,19,3577
"60",1988-03-21 00:10:06.45334,441855,-3930555,18,43,38,18,3577
"61",1988-03-21 00:10:06.45334,441765,-3930585,6,55,38,20,3577
"62",1988-03-21 00:10:06.45334,441795,-3930585,7,54,38,20,3577
"63",1988-03-21 00:10:06.45334,441825,-3930585,5,52,42,20,3577
"64",1988-03-21 00:10:06.45334,441855,-3930585,8,49,42,20,3577
"65",1988-03-21 00:10:06.45334,441765,-3930615,6,52,41,21,3577
"66",1988-03-21 00:10:06.45334,441795,-3930615,8,47,44,20,3577
"67",1988-03-21 00:10:06.45334,441825,-3930615,6,53,40,20,3577
"68",1988-03-21 00:10:06.45334,441855,-3930615,0,57,41,20,3577
"69",1988-03-21 00:10:06.45334,441765,-3930645,5,54,40,21,3577
"70",1988-03-21 00:10:06.45334,441795,-3930645,6,52,41,20,3577
"71",1988-03-21 00:10:06.45334,441825,-3930645,3,55,41,19,3577
"72",1988-03-21 00:10:06.45334,441855,-3930645,5,54,40,20,3577
"73",1988-03-21 00:10:06.45334,441765,-3930675,7,46,46,19,3577
"74",1988-03-21 00:10:06.45334,441795,-3930675,4,48,47,19,3577
"75",1988-03-21 00:10:06.45334,441825,-3930675,8,48,43,19,3577
"76",1988-03-21 00:10:06.45334,441855,-3930675,12,44,42,19,3577
"77",1988-06-09 00:10:40.388712,441765,-3930555,0,64,34,23,3577
"78",1988-06-09 00:10:40.388712,441795,-3930555,3,60,36,22,3577
"79",1988-06-09 00:10:40.388712,441825,-3930555,12,47,39,21,3577
