"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-16 00:22:45.286481,0,66,33,5,297555,-2848875,3577
"2",1987-09-16 00:22:45.286481,0,62,38,5,297585,-2848875,3577
"3",1987-09-16 00:22:45.286481,0,66,33,5,297615,-2848875,3577
"4",1987-09-16 00:22:45.286481,0,58,41,5,297645,-2848875,3577
"5",1987-09-16 00:22:45.286481,0,67,32,5,297555,-2848905,3577
"6",1987-09-16 00:22:45.286481,0,58,41,5,297585,-2848905,3577
"7",1987-09-16 00:22:45.286481,0,59,40,5,297615,-2848905,3577
"8",1987-09-16 00:22:45.286481,0,62,37,5,297645,-2848905,3577
"9",1987-09-16 00:22:45.286481,0,53,46,5,297555,-2848935,3577
"10",1987-09-16 00:22:45.286481,0,56,44,5,297585,-2848935,3577
"11",1987-09-16 00:22:45.286481,0,56,43,5,297615,-2848935,3577
"12",1987-09-16 00:22:45.286481,0,64,35,6,297645,-2848935,3577
"13",1987-09-16 00:22:45.286481,0,51,48,5,297555,-2848965,3577
"14",1987-09-16 00:22:45.286481,0,59,40,5,297585,-2848965,3577
"15",1987-09-16 00:22:45.286481,0,64,36,6,297615,-2848965,3577
"16",1987-09-16 00:22:45.286481,0,61,39,5,297645,-2848965,3577
"17",1987-10-02 00:23:06.431272,0,55,43,5,297555,-2848875,3577
"18",1987-10-02 00:23:06.431272,0,53,46,6,297585,-2848875,3577
"19",1987-10-02 00:23:06.431272,0,59,40,5,297615,-2848875,3577
"20",1987-10-02 00:23:06.431272,0,55,44,5,297645,-2848875,3577
"21",1987-10-02 00:23:06.431272,0,61,39,5,297555,-2848905,3577
"22",1987-10-02 00:23:06.431272,0,58,41,5,297585,-2848905,3577
"23",1987-10-02 00:23:06.431272,0,53,47,5,297615,-2848905,3577
"24",1987-10-02 00:23:06.431272,1,52,46,5,297645,-2848905,3577
"25",1987-10-02 00:23:06.431272,0,56,43,5,297555,-2848935,3577
"26",1987-10-02 00:23:06.431272,0,55,44,5,297585,-2848935,3577
"27",1987-10-02 00:23:06.431272,0,46,53,5,297615,-2848935,3577
"28",1987-10-02 00:23:06.431272,0,56,43,6,297645,-2848935,3577
"29",1987-10-02 00:23:06.431272,0,49,50,5,297555,-2848965,3577
"30",1987-10-02 00:23:06.431272,0,56,43,6,297585,-2848965,3577
"31",1987-10-02 00:23:06.431272,0,57,42,5,297615,-2848965,3577
"32",1987-10-02 00:23:06.431272,0,57,42,5,297645,-2848965,3577
"33",1987-10-18 00:23:23.857361,0,49,50,4,297555,-2848875,3577
"34",1987-10-18 00:23:23.857361,0,50,48,4,297585,-2848875,3577
"35",1987-10-18 00:23:23.857361,0,48,51,4,297615,-2848875,3577
