"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-28 23:54:32.284184,12,67,20,24,801705,-3744375,3577
"2",1987-09-28 23:54:32.284184,15,38,46,23,801735,-3744375,3577
"3",1987-09-28 23:54:32.284184,14,66,19,22,801765,-3744375,3577
"4",1987-09-28 23:54:32.284184,9,57,32,22,801795,-3744375,3577
"5",1987-09-28 23:54:32.284184,8,57,34,22,801825,-3744375,3577
"6",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801705,-3744405,3577
"7",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801735,-3744405,3577
"8",1987-09-28 23:54:32.284184,11,79,9,24,801765,-3744405,3577
"9",1987-09-28 23:54:32.284184,11,65,23,23,801795,-3744405,3577
"10",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801825,-3744405,3577
"11",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801705,-3744435,3577
"12",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801735,-3744435,3577
"13",1987-09-28 23:54:32.284184,9,59,31,23,801765,-3744435,3577
"14",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801795,-3744435,3577
"15",1987-09-28 23:54:32.284184,10,68,21,23,801825,-3744435,3577
"16",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801705,-3744465,3577
"17",1987-09-28 23:54:32.284184,13,35,50,23,801735,-3744465,3577
"18",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801765,-3744465,3577
"19",1987-09-28 23:54:32.284184,12,58,30,23,801795,-3744465,3577
"20",1987-09-28 23:54:32.284184,11,71,17,23,801825,-3744465,3577
"21",1987-09-28 23:54:32.284184,11,64,24,23,801735,-3744495,3577
"22",1987-09-28 23:54:32.284184,15,53,31,22,801765,-3744495,3577
"23",1987-09-28 23:54:32.284184,18,72,9,23,801795,-3744495,3577
"24",1987-09-28 23:54:32.284184,NA,NA,NA,NA,801825,-3744495,3577
"25",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801705,-3744375,3577
"26",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801735,-3744375,3577
"27",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801765,-3744375,3577
"28",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801795,-3744375,3577
"29",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801825,-3744375,3577
"30",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801705,-3744405,3577
"31",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801735,-3744405,3577
"32",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801765,-3744405,3577
"33",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801795,-3744405,3577
"34",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801825,-3744405,3577
"35",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801705,-3744435,3577
"36",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801735,-3744435,3577
"37",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801765,-3744435,3577
"38",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801795,-3744435,3577
"39",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801825,-3744435,3577
"40",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801705,-3744465,3577
"41",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801735,-3744465,3577
"42",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801765,-3744465,3577
"43",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801795,-3744465,3577
"44",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801825,-3744465,3577
"45",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801735,-3744495,3577
"46",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801765,-3744495,3577
"47",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801795,-3744495,3577
"48",1987-12-01 23:55:43.74447,NA,NA,NA,NA,801825,-3744495,3577
"49",1987-12-17 23:55:57.673348,10,47,41,7,801705,-3744375,3577
"50",1987-12-17 23:55:57.673348,9,53,37,7,801735,-3744375,3577
"51",1987-12-17 23:55:57.673348,8,55,36,7,801765,-3744375,3577
"52",1987-12-17 23:55:57.673348,6,58,34,7,801795,-3744375,3577
"53",1987-12-17 23:55:57.673348,8,58,32,7,801825,-3744375,3577
"54",1987-12-17 23:55:57.673348,7,61,30,7,801705,-3744405,3577
"55",1987-12-17 23:55:57.673348,7,55,36,7,801735,-3744405,3577
"56",1987-12-17 23:55:57.673348,7,57,35,7,801765,-3744405,3577
"57",1987-12-17 23:55:57.673348,7,61,31,7,801795,-3744405,3577
"58",1987-12-17 23:55:57.673348,7,58,33,7,801825,-3744405,3577
"59",1987-12-17 23:55:57.673348,7,66,26,7,801705,-3744435,3577
"60",1987-12-17 23:55:57.673348,7,55,37,7,801735,-3744435,3577
"61",1987-12-17 23:55:57.673348,7,61,30,7,801765,-3744435,3577
"62",1987-12-17 23:55:57.673348,8,57,34,7,801795,-3744435,3577
"63",1987-12-17 23:55:57.673348,6,65,27,7,801825,-3744435,3577
"64",1987-12-17 23:55:57.673348,6,60,33,7,801705,-3744465,3577
"65",1987-12-17 23:55:57.673348,9,58,31,7,801735,-3744465,3577
"66",1987-12-17 23:55:57.673348,9,55,35,7,801765,-3744465,3577
"67",1987-12-17 23:55:57.673348,8,60,31,7,801795,-3744465,3577
"68",1987-12-17 23:55:57.673348,9,59,31,7,801825,-3744465,3577
"69",1987-12-17 23:55:57.673348,11,53,35,8,801735,-3744495,3577
"70",1987-12-17 23:55:57.673348,8,58,32,7,801765,-3744495,3577
"71",1987-12-17 23:55:57.673348,11,55,33,8,801795,-3744495,3577
"72",1987-12-17 23:55:57.673348,10,43,46,7,801825,-3744495,3577
"73",1988-01-02 23:56:13.35747,11,56,31,7,801705,-3744375,3577
"74",1988-01-02 23:56:13.35747,11,60,28,7,801735,-3744375,3577
"75",1988-01-02 23:56:13.35747,8,49,41,7,801765,-3744375,3577
"76",1988-01-02 23:56:13.35747,8,59,32,7,801795,-3744375,3577
"77",1988-01-02 23:56:13.35747,9,48,42,7,801825,-3744375,3577
"78",1988-01-02 23:56:13.35747,9,60,30,7,801705,-3744405,3577
"79",1988-01-02 23:56:13.35747,10,58,30,8,801735,-3744405,3577
"80",1988-01-02 23:56:13.35747,9,58,31,8,801765,-3744405,3577
"81",1988-01-02 23:56:13.35747,10,56,33,7,801795,-3744405,3577
"82",1988-01-02 23:56:13.35747,9,53,37,7,801825,-3744405,3577
"83",1988-01-02 23:56:13.35747,8,59,32,7,801705,-3744435,3577
"84",1988-01-02 23:56:13.35747,9,53,37,7,801735,-3744435,3577
"85",1988-01-02 23:56:13.35747,8,59,31,7,801765,-3744435,3577
"86",1988-01-02 23:56:13.35747,9,55,35,7,801795,-3744435,3577
"87",1988-01-02 23:56:13.35747,7,55,36,7,801825,-3744435,3577
"88",1988-01-02 23:56:13.35747,9,48,41,7,801705,-3744465,3577
"89",1988-01-02 23:56:13.35747,9,55,34,7,801735,-3744465,3577
"90",1988-01-02 23:56:13.35747,10,57,31,7,801765,-3744465,3577
"91",1988-01-02 23:56:13.35747,9,55,35,8,801795,-3744465,3577
"92",1988-01-02 23:56:13.35747,11,58,30,8,801825,-3744465,3577
"93",1988-01-02 23:56:13.35747,12,52,35,8,801735,-3744495,3577
"94",1988-01-02 23:56:13.35747,12,57,30,8,801765,-3744495,3577
"95",1988-01-02 23:56:13.35747,14,55,29,8,801795,-3744495,3577
"96",1988-01-02 23:56:13.35747,11,55,32,7,801825,-3744495,3577
"97",1988-01-18 23:56:30.851242,13,31,54,7,801705,-3744375,3577
"98",1988-01-18 23:56:30.851242,12,32,54,7,801735,-3744375,3577
"99",1988-01-18 23:56:30.851242,9,42,48,7,801765,-3744375,3577
"100",1988-01-18 23:56:30.851242,11,29,59,7,801795,-3744375,3577
"101",1988-01-18 23:56:30.851242,10,31,57,7,801825,-3744375,3577
"102",1988-01-18 23:56:30.851242,11,35,53,7,801705,-3744405,3577
"103",1988-01-18 23:56:30.851242,12,34,52,7,801735,-3744405,3577
"104",1988-01-18 23:56:30.851242,11,36,52,7,801765,-3744405,3577
"105",1988-01-18 23:56:30.851242,10,34,54,7,801795,-3744405,3577
"106",1988-01-18 23:56:30.851242,11,34,53,7,801825,-3744405,3577
"107",1988-01-18 23:56:30.851242,10,32,56,7,801705,-3744435,3577
"108",1988-01-18 23:56:30.851242,10,43,45,7,801735,-3744435,3577
"109",1988-01-18 23:56:30.851242,10,43,46,7,801765,-3744435,3577
"110",1988-01-18 23:56:30.851242,9,41,49,7,801795,-3744435,3577
"111",1988-01-18 23:56:30.851242,10,34,54,7,801825,-3744435,3577
