"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-12-17 23:55:57.673348,803805,-3742425,39,3,56,6,3577
"2",1987-12-17 23:55:57.673348,803835,-3742425,37,6,56,6,3577
"3",1987-12-17 23:55:57.673348,803865,-3742425,33,5,61,6,3577
"4",1987-12-17 23:55:57.673348,803895,-3742425,33,1,64,5,3577
"5",1987-12-17 23:55:57.673348,803805,-3742455,40,1,58,6,3577
"6",1987-12-17 23:55:57.673348,803835,-3742455,39,2,57,5,3577
"7",1987-12-17 23:55:57.673348,803865,-3742455,39,2,58,5,3577
"8",1987-12-17 23:55:57.673348,803895,-3742455,42,2,55,5,3577
"9",1987-12-17 23:55:57.673348,803805,-3742485,42,4,53,6,3577
"10",1987-12-17 23:55:57.673348,803835,-3742485,42,3,54,5,3577
"11",1987-12-17 23:55:57.673348,803865,-3742485,38,0,60,5,3577
"12",1987-12-17 23:55:57.673348,803895,-3742485,41,3,55,5,3577
"13",1987-12-17 23:55:57.673348,803805,-3742515,35,0,64,5,3577
"14",1987-12-17 23:55:57.673348,803835,-3742515,41,0,57,5,3577
"15",1987-12-17 23:55:57.673348,803865,-3742515,37,1,61,5,3577
"16",1987-12-17 23:55:57.673348,803895,-3742515,48,2,49,5,3577
"17",1988-01-02 23:56:13.35747,803805,-3742425,40,4,54,6,3577
"18",1988-01-02 23:56:13.35747,803835,-3742425,40,4,54,6,3577
"19",1988-01-02 23:56:13.35747,803865,-3742425,40,4,54,6,3577
"20",1988-01-02 23:56:13.35747,803895,-3742425,41,4,53,6,3577
"21",1988-01-02 23:56:13.35747,803805,-3742455,33,3,62,6,3577
"22",1988-01-02 23:56:13.35747,803835,-3742455,39,2,57,6,3577
"23",1988-01-02 23:56:13.35747,803865,-3742455,44,4,51,6,3577
"24",1988-01-02 23:56:13.35747,803895,-3742455,43,3,52,6,3577
"25",1988-01-02 23:56:13.35747,803805,-3742485,40,3,56,6,3577
"26",1988-01-02 23:56:13.35747,803835,-3742485,43,2,53,6,3577
"27",1988-01-02 23:56:13.35747,803865,-3742485,40,2,56,6,3577
"28",1988-01-02 23:56:13.35747,803895,-3742485,42,2,54,6,3577
"29",1988-01-02 23:56:13.35747,803805,-3742515,40,5,54,6,3577
