"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-11 00:05:17.259123,643605,-3367305,27,29,43,16,3577
"2",1987-09-11 00:05:17.259123,643635,-3367305,30,24,45,14,3577
"3",1987-09-11 00:05:17.259123,643665,-3367305,27,26,46,15,3577
"4",1987-09-11 00:05:17.259123,643695,-3367305,21,29,48,16,3577
"5",1987-09-11 00:05:17.259123,643605,-3367335,21,28,49,14,3577
"6",1987-09-11 00:05:17.259123,643635,-3367335,26,24,48,13,3577
"7",1987-09-11 00:05:17.259123,643665,-3367335,18,26,54,14,3577
"8",1987-09-11 00:05:17.259123,643695,-3367335,12,33,54,16,3577
"9",1987-09-11 00:05:17.259123,643725,-3367335,13,34,53,16,3577
"10",1987-09-11 00:05:17.259123,643605,-3367365,31,28,40,12,3577
"11",1987-09-11 00:05:17.259123,643635,-3367365,33,26,39,12,3577
"12",1987-09-11 00:05:17.259123,643665,-3367365,20,29,49,13,3577
"13",1987-09-11 00:05:17.259123,643695,-3367365,18,33,48,15,3577
"14",1987-09-11 00:05:17.259123,643725,-3367365,18,31,50,15,3577
"15",1987-09-11 00:05:17.259123,643605,-3367395,28,29,41,12,3577
"16",1987-09-11 00:05:17.259123,643635,-3367395,36,29,34,11,3577
"17",1987-09-11 00:05:17.259123,643665,-3367395,35,28,36,11,3577
"18",1987-09-11 00:05:17.259123,643695,-3367395,24,33,42,12,3577
"19",1987-09-11 00:05:17.259123,643725,-3367395,37,29,33,11,3577
"20",1987-09-27 00:05:39.300123,643605,-3367305,31,29,38,14,3577
"21",1987-09-27 00:05:39.300123,643635,-3367305,34,26,39,13,3577
"22",1987-09-27 00:05:39.300123,643665,-3367305,37,25,36,13,3577
"23",1987-09-27 00:05:39.300123,643695,-3367305,27,28,44,14,3577
"24",1987-09-27 00:05:39.300123,643605,-3367335,29,27,43,13,3577
"25",1987-09-27 00:05:39.300123,643635,-3367335,39,21,38,12,3577
"26",1987-09-27 00:05:39.300123,643665,-3367335,31,24,44,13,3577
"27",1987-09-27 00:05:39.300123,643695,-3367335,26,29,44,14,3577
"28",1987-09-27 00:05:39.300123,643725,-3367335,31,27,41,14,3577
"29",1987-09-27 00:05:39.300123,643605,-3367365,38,26,35,12,3577
"30",1987-09-27 00:05:39.300123,643635,-3367365,43,25,31,11,3577
"31",1987-09-27 00:05:39.300123,643665,-3367365,34,27,37,12,3577
"32",1987-09-27 00:05:39.300123,643695,-3367365,31,30,38,13,3577
"33",1987-09-27 00:05:39.300123,643725,-3367365,25,33,41,14,3577
"34",1987-09-27 00:05:39.300123,643605,-3367395,37,29,32,12,3577
"35",1987-09-27 00:05:39.300123,643635,-3367395,48,27,24,11,3577
"36",1987-09-27 00:05:39.300123,643665,-3367395,39,30,30,11,3577
"37",1987-09-27 00:05:39.300123,643695,-3367395,32,31,35,11,3577
"38",1987-09-27 00:05:39.300123,643725,-3367395,41,30,28,11,3577
"39",1987-10-13 00:05:58.140648,643605,-3367305,51,20,28,10,3577
"40",1987-10-13 00:05:58.140648,643635,-3367305,62,21,16,10,3577
"41",1987-10-13 00:05:58.140648,643665,-3367305,49,20,30,10,3577
"42",1987-10-13 00:05:58.140648,643695,-3367305,52,22,25,10,3577
"43",1987-10-13 00:05:58.140648,643605,-3367335,54,18,27,9,3577
"44",1987-10-13 00:05:58.140648,643635,-3367335,61,17,21,9,3577
"45",1987-10-13 00:05:58.140648,643665,-3367335,47,19,33,10,3577
"46",1987-10-13 00:05:58.140648,643695,-3367335,50,22,27,10,3577
"47",1987-10-13 00:05:58.140648,643725,-3367335,54,21,23,10,3577
"48",1987-10-13 00:05:58.140648,643605,-3367365,54,19,25,9,3577
"49",1987-10-13 00:05:58.140648,643635,-3367365,67,18,13,9,3577
"50",1987-10-13 00:05:58.140648,643665,-3367365,54,20,25,10,3577
"51",1987-10-13 00:05:58.140648,643695,-3367365,53,25,21,11,3577
"52",1987-10-13 00:05:58.140648,643725,-3367365,59,26,13,11,3577
"53",1987-10-13 00:05:58.140648,643605,-3367395,49,18,31,9,3577
"54",1987-10-13 00:05:58.140648,643635,-3367395,71,22,6,9,3577
"55",1987-10-13 00:05:58.140648,643665,-3367395,58,20,21,10,3577
"56",1987-10-13 00:05:58.140648,643695,-3367395,63,21,15,10,3577
"57",1987-10-13 00:05:58.140648,643725,-3367395,61,20,18,10,3577
"58",1987-11-14 00:06:35.411558,643605,-3367305,33,18,48,13,3577
"59",1987-11-14 00:06:35.411558,643635,-3367305,42,15,41,11,3577
"60",1987-11-14 00:06:35.411558,643665,-3367305,44,13,42,11,3577
"61",1987-11-14 00:06:35.411558,643695,-3367305,36,16,47,12,3577
"62",1987-11-14 00:06:35.411558,643605,-3367335,35,17,47,12,3577
"63",1987-11-14 00:06:35.411558,643635,-3367335,45,15,39,11,3577
"64",1987-11-14 00:06:35.411558,643665,-3367335,44,13,41,11,3577
"65",1987-11-14 00:06:35.411558,643695,-3367335,34,16,48,12,3577
"66",1987-11-14 00:06:35.411558,643725,-3367335,34,18,46,12,3577
"67",1987-11-14 00:06:35.411558,643605,-3367365,39,20,39,12,3577
"68",1987-11-14 00:06:35.411558,643635,-3367365,46,18,34,11,3577
"69",1987-11-14 00:06:35.411558,643665,-3367365,44,17,37,11,3577
"70",1987-11-14 00:06:35.411558,643695,-3367365,41,20,37,12,3577
"71",1987-11-14 00:06:35.411558,643725,-3367365,34,19,45,12,3577
"72",1987-11-14 00:06:35.411558,643605,-3367395,40,22,37,12,3577
"73",1987-11-14 00:06:35.411558,643635,-3367395,49,19,31,11,3577
"74",1987-11-14 00:06:35.411558,643665,-3367395,48,17,33,11,3577
"75",1987-11-14 00:06:35.411558,643695,-3367395,50,18,30,10,3577
"76",1987-11-14 00:06:35.411558,643725,-3367395,53,16,30,10,3577
"77",1987-12-16 00:07:05.410143,643605,-3367335,38,13,47,16,3577
"78",1987-12-16 00:07:05.410143,643725,-3367395,46,12,40,12,3577
"79",1988-01-17 00:07:38.414889,643605,-3367305,35,14,50,12,3577
"80",1988-01-17 00:07:38.414889,643635,-3367305,47,11,40,12,3577
"81",1988-01-17 00:07:38.414889,643665,-3367305,50,11,38,11,3577
"82",1988-01-17 00:07:38.414889,643695,-3367305,40,12,47,12,3577
"83",1988-01-17 00:07:38.414889,643605,-3367335,49,13,37,11,3577
"84",1988-01-17 00:07:38.414889,643635,-3367335,54,12,32,11,3577
"85",1988-01-17 00:07:38.414889,643665,-3367335,51,9,38,11,3577
"86",1988-01-17 00:07:38.414889,643695,-3367335,42,13,44,11,3577
"87",1988-01-17 00:07:38.414889,643725,-3367335,45,13,41,12,3577
"88",1988-01-17 00:07:38.414889,643605,-3367365,46,17,35,12,3577
"89",1988-01-17 00:07:38.414889,643635,-3367365,51,17,31,11,3577
"90",1988-01-17 00:07:38.414889,643665,-3367365,51,14,34,11,3577
"91",1988-01-17 00:07:38.414889,643695,-3367365,40,18,41,12,3577
"92",1988-01-17 00:07:38.414889,643725,-3367365,43,20,36,12,3577
"93",1988-01-17 00:07:38.414889,643605,-3367395,49,18,32,12,3577
"94",1988-01-17 00:07:38.414889,643635,-3367395,50,19,29,11,3577
"95",1988-01-17 00:07:38.414889,643665,-3367395,52,18,29,11,3577
"96",1988-01-17 00:07:38.414889,643695,-3367395,51,17,30,10,3577
"97",1988-01-17 00:07:38.414889,643725,-3367395,58,15,26,10,3577
"98",1988-02-18 00:08:11.92425,643605,-3367305,35,12,51,12,3577
"99",1988-02-18 00:08:11.92425,643635,-3367305,53,10,35,11,3577
"100",1988-02-18 00:08:11.92425,643665,-3367305,46,7,46,11,3577
"101",1988-02-18 00:08:11.92425,643695,-3367305,41,9,49,11,3577
"102",1988-02-18 00:08:11.92425,643605,-3367335,41,13,45,11,3577
"103",1988-02-18 00:08:11.92425,643635,-3367335,44,12,42,11,3577
"104",1988-02-18 00:08:11.92425,643665,-3367335,46,13,40,11,3577
"105",1988-02-18 00:08:11.92425,643695,-3367335,36,9,53,11,3577
"106",1988-02-18 00:08:11.92425,643725,-3367335,36,13,50,11,3577
"107",1988-02-18 00:08:11.92425,643605,-3367365,46,18,35,11,3577
"108",1988-02-18 00:08:11.92425,643635,-3367365,50,16,33,10,3577
