"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334355,-4623765,3577
"2",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334385,-4623765,3577
"3",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334415,-4623765,3577
"4",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334445,-4623765,3577
"5",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334325,-4623795,3577
"6",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334355,-4623795,3577
"7",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334385,-4623795,3577
"8",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334415,-4623795,3577
"9",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334445,-4623795,3577
"10",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334325,-4623825,3577
"11",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334355,-4623825,3577
"12",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334385,-4623825,3577
"13",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334415,-4623825,3577
"14",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334445,-4623825,3577
"15",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334325,-4623855,3577
"16",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334355,-4623855,3577
"17",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334385,-4623855,3577
"18",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334415,-4623855,3577
"19",1987-09-02 23:18:50.38149,NA,NA,NA,NA,1334445,-4623855,3577
"20",1987-09-18 23:19:14.042888,72,33,0,9,1334355,-4623765,3577
"21",1987-09-18 23:19:14.042888,43,61,0,9,1334385,-4623765,3577
"22",1987-09-18 23:19:14.042888,NA,NA,NA,NA,1334415,-4623765,3577
"23",1987-09-18 23:19:14.042888,26,75,0,9,1334445,-4623765,3577
"24",1987-09-18 23:19:14.042888,25,77,0,8,1334325,-4623795,3577
