"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-09 23:25:11.933306,1243245,-4659285,0,56,50,8,3577
"2",1987-09-09 23:25:11.933306,1243275,-4659285,0,51,53,8,3577
"3",1987-09-09 23:25:11.933306,1243335,-4659285,0,61,45,10,3577
"4",1987-09-09 23:25:11.933306,1243365,-4659285,0,61,45,11,3577
"5",1987-09-09 23:25:11.933306,1243245,-4659315,0,74,33,9,3577
"6",1987-09-09 23:25:11.933306,1243335,-4659315,0,80,27,11,3577
"7",1987-09-09 23:25:11.933306,1243365,-4659315,0,88,21,12,3577
"8",1987-09-09 23:25:11.933306,1243275,-4659345,0,83,24,10,3577
"9",1987-09-09 23:25:11.933306,1243335,-4659345,0,84,24,10,3577
"10",1987-09-09 23:25:11.933306,1243365,-4659345,0,84,24,11,3577
"11",1987-09-09 23:25:11.933306,1243275,-4659375,0,83,24,9,3577
"12",1987-09-09 23:25:11.933306,1243335,-4659375,0,70,37,10,3577
"13",1987-09-09 23:25:11.933306,1243365,-4659375,0,85,23,11,3577
"14",1987-09-09 23:25:11.933306,1243335,-4659405,0,72,35,9,3577
"15",1987-09-09 23:25:11.933306,1243365,-4659405,0,83,25,11,3577
"16",1987-09-18 23:19:14.042888,1243245,-4659285,8,28,63,12,3577
"17",1987-09-18 23:19:14.042888,1243275,-4659285,0,32,67,12,3577
"18",1987-09-18 23:19:14.042888,1243245,-4659315,0,27,73,12,3577
"19",1987-09-18 23:19:14.042888,1243275,-4659315,0,25,74,13,3577
"20",1987-09-18 23:19:14.042888,1243305,-4659315,0,32,67,13,3577
"21",1987-09-18 23:19:14.042888,1243335,-4659315,3,24,71,13,3577
"22",1987-09-18 23:19:14.042888,1243245,-4659345,2,28,69,12,3577
"23",1987-09-18 23:19:14.042888,1243275,-4659345,8,25,66,12,3577
"24",1987-09-18 23:19:14.042888,1243305,-4659345,1,28,70,12,3577
"25",1987-09-18 23:19:14.042888,1243245,-4659375,5,29,64,12,3577
"26",1987-09-18 23:19:14.042888,1243245,-4659405,9,29,61,12,3577
"27",1987-09-25 23:25:34.169997,1243245,-4659285,5,42,52,12,3577
"28",1987-09-25 23:25:34.169997,1243275,-4659285,0,47,52,13,3577
"29",1987-09-25 23:25:34.169997,1243305,-4659285,0,47,53,13,3577
"30",1987-09-25 23:25:34.169997,1243335,-4659285,3,44,52,14,3577
"31",1987-09-25 23:25:34.169997,1243365,-4659285,3,44,52,14,3577
"32",1987-09-25 23:25:34.169997,1243245,-4659315,1,45,53,13,3577
"33",1987-09-25 23:25:34.169997,1243275,-4659315,3,40,55,13,3577
"34",1987-09-25 23:25:34.169997,1243305,-4659315,1,46,52,13,3577
"35",1987-09-25 23:25:34.169997,1243335,-4659315,1,45,53,14,3577
"36",1987-09-25 23:25:34.169997,1243365,-4659315,1,48,51,13,3577
"37",1987-09-25 23:25:34.169997,1243245,-4659345,0,44,54,13,3577
"38",1987-09-25 23:25:34.169997,1243275,-4659345,0,45,54,13,3577
"39",1987-09-25 23:25:34.169997,1243305,-4659345,2,43,54,13,3577
"40",1987-09-25 23:25:34.169997,1243335,-4659345,0,44,55,13,3577
"41",1987-09-25 23:25:34.169997,1243365,-4659345,1,45,53,13,3577
"42",1987-09-25 23:25:34.169997,1243245,-4659375,4,43,52,14,3577
"43",1987-09-25 23:25:34.169997,1243275,-4659375,2,44,54,14,3577
"44",1987-09-25 23:25:34.169997,1243305,-4659375,2,46,51,14,3577
"45",1987-09-25 23:25:34.169997,1243335,-4659375,6,41,52,13,3577
"46",1987-09-25 23:25:34.169997,1243365,-4659375,2,46,52,13,3577
"47",1987-09-25 23:25:34.169997,1243245,-4659405,0,47,53,13,3577
"48",1987-09-25 23:25:34.169997,1243275,-4659405,4,44,51,13,3577
"49",1987-09-25 23:25:34.169997,1243305,-4659405,1,46,52,14,3577
"50",1987-09-25 23:25:34.169997,1243335,-4659405,0,48,51,13,3577
"51",1987-09-25 23:25:34.169997,1243365,-4659405,0,53,46,14,3577
"52",1987-10-20 23:19:50.993319,1243245,-4659285,0,50,49,13,3577
"53",1987-10-20 23:19:50.993319,1243275,-4659285,0,50,49,13,3577
"54",1987-10-20 23:19:50.993319,1243305,-4659285,0,53,47,13,3577
"55",1987-10-20 23:19:50.993319,1243335,-4659285,0,48,51,13,3577
"56",1987-10-20 23:19:50.993319,1243365,-4659285,0,53,46,13,3577
"57",1987-10-20 23:19:50.993319,1243245,-4659315,3,45,51,12,3577
"58",1987-10-20 23:19:50.993319,1243275,-4659315,0,52,48,13,3577
"59",1987-10-20 23:19:50.993319,1243305,-4659315,0,51,47,13,3577
"60",1987-10-20 23:19:50.993319,1243335,-4659315,0,52,47,14,3577
"61",1987-10-20 23:19:50.993319,1243365,-4659315,0,55,44,13,3577
"62",1987-10-20 23:19:50.993319,1243245,-4659345,2,46,51,13,3577
"63",1987-10-20 23:19:50.993319,1243275,-4659345,0,53,46,14,3577
