"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-02 23:18:50.38149,1301775,-4645275,3,67,29,24,3577
"2",1987-09-02 23:18:50.38149,1301805,-4645275,3,62,33,23,3577
"3",1987-09-02 23:18:50.38149,1301835,-4645275,7,53,38,22,3577
"4",1987-09-02 23:18:50.38149,1301865,-4645275,7,62,30,22,3577
"5",1987-09-02 23:18:50.38149,1301895,-4645275,0,53,46,21,3577
"6",1987-09-02 23:18:50.38149,1301775,-4645305,5,56,38,20,3577
"7",1987-09-02 23:18:50.38149,1301805,-4645305,5,52,41,18,3577
"8",1987-09-02 23:18:50.38149,1301835,-4645305,0,68,31,22,3577
"9",1987-09-02 23:18:50.38149,1301865,-4645305,0,68,31,22,3577
"10",1987-09-02 23:18:50.38149,1301895,-4645305,1,61,36,21,3577
"11",1987-09-02 23:18:50.38149,1301775,-4645335,5,53,40,22,3577
"12",1987-09-02 23:18:50.38149,1301805,-4645335,0,66,33,20,3577
"13",1987-09-02 23:18:50.38149,1301835,-4645335,7,60,31,22,3577
"14",1987-09-02 23:18:50.38149,1301865,-4645335,0,71,28,23,3577
"15",1987-09-02 23:18:50.38149,1301895,-4645335,2,53,44,22,3577
"16",1987-09-02 23:18:50.38149,1301775,-4645365,9,53,37,22,3577
"17",1987-09-02 23:18:50.38149,1301805,-4645365,6,51,42,22,3577
"18",1987-09-02 23:18:50.38149,1301835,-4645365,0,69,30,22,3577
"19",1987-09-02 23:18:50.38149,1301865,-4645365,1,61,37,20,3577
"20",1987-09-02 23:18:50.38149,1301895,-4645365,7,48,43,20,3577
"21",1987-09-02 23:18:50.38149,1301775,-4645395,3,55,40,21,3577
"22",1987-09-02 23:18:50.38149,1301805,-4645395,8,45,45,22,3577
"23",1987-09-02 23:18:50.38149,1301835,-4645395,5,56,37,24,3577
"24",1987-09-02 23:18:50.38149,1301865,-4645395,0,58,40,21,3577
"25",1987-09-02 23:18:50.38149,1301895,-4645395,12,43,43,20,3577
"26",1987-09-18 23:19:14.042888,1301775,-4645275,1,49,49,20,3577
"27",1987-09-18 23:19:14.042888,1301805,-4645275,11,48,40,19,3577
"28",1987-09-18 23:19:14.042888,1301835,-4645275,2,48,49,19,3577
"29",1987-09-18 23:19:14.042888,1301865,-4645275,6,46,46,19,3577
"30",1987-09-18 23:19:14.042888,1301895,-4645275,2,52,45,18,3577
"31",1987-09-18 23:19:14.042888,1301775,-4645305,4,49,45,19,3577
"32",1987-09-18 23:19:14.042888,1301805,-4645305,10,46,43,17,3577
"33",1987-09-18 23:19:14.042888,1301835,-4645305,5,43,50,18,3577
"34",1987-09-18 23:19:14.042888,1301865,-4645305,5,43,50,18,3577
"35",1987-09-18 23:19:14.042888,1301895,-4645305,13,41,44,17,3577
"36",1987-09-18 23:19:14.042888,1301775,-4645335,0,50,49,19,3577
"37",1987-09-18 23:19:14.042888,1301805,-4645335,11,46,42,18,3577
"38",1987-09-18 23:19:14.042888,1301835,-4645335,0,50,48,18,3577
"39",1987-09-18 23:19:14.042888,1301865,-4645335,14,38,46,16,3577
"40",1987-09-18 23:19:14.042888,1301895,-4645335,0,51,48,18,3577
"41",1987-09-18 23:19:14.042888,1301775,-4645365,2,46,51,18,3577
"42",1987-09-18 23:19:14.042888,1301805,-4645365,12,41,45,18,3577
"43",1987-09-18 23:19:14.042888,1301835,-4645365,5,45,48,18,3577
"44",1987-09-18 23:19:14.042888,1301865,-4645365,8,43,47,17,3577
"45",1987-09-18 23:19:14.042888,1301895,-4645365,6,47,45,17,3577
"46",1987-09-18 23:19:14.042888,1301775,-4645395,4,45,50,17,3577
"47",1987-09-18 23:19:14.042888,1301805,-4645395,4,51,44,18,3577
"48",1987-09-18 23:19:14.042888,1301835,-4645395,10,42,46,19,3577
"49",1987-09-18 23:19:14.042888,1301865,-4645395,14,39,45,18,3577
"50",1987-09-18 23:19:14.042888,1301895,-4645395,9,44,45,17,3577
"51",1987-10-20 23:19:50.993319,1301775,-4645275,10,45,44,20,3577
"52",1987-10-20 23:19:50.993319,1301805,-4645275,3,51,44,20,3577
"53",1987-10-20 23:19:50.993319,1301835,-4645275,7,45,46,18,3577
"54",1987-10-20 23:19:50.993319,1301865,-4645275,1,52,47,19,3577
"55",1987-10-20 23:19:50.993319,1301895,-4645275,3,52,44,19,3577
"56",1987-10-20 23:19:50.993319,1301775,-4645305,3,49,46,20,3577
"57",1987-10-20 23:19:50.993319,1301805,-4645305,3,49,47,19,3577
"58",1987-10-20 23:19:50.993319,1301835,-4645305,2,52,44,20,3577
"59",1987-10-20 23:19:50.993319,1301865,-4645305,2,52,44,20,3577
"60",1987-10-20 23:19:50.993319,1301895,-4645305,3,50,46,19,3577
"61",1987-10-20 23:19:50.993319,1301775,-4645335,2,50,46,20,3577
"62",1987-10-20 23:19:50.993319,1301805,-4645335,2,50,47,19,3577
"63",1987-10-20 23:19:50.993319,1301835,-4645335,3,49,47,18,3577
"64",1987-10-20 23:19:50.993319,1301865,-4645335,1,50,47,18,3577
"65",1987-10-20 23:19:50.993319,1301895,-4645335,5,47,47,19,3577
"66",1987-10-20 23:19:50.993319,1301775,-4645365,4,49,46,19,3577
"67",1987-10-20 23:19:50.993319,1301805,-4645365,5,45,48,19,3577
"68",1987-10-20 23:19:50.993319,1301835,-4645365,5,46,47,19,3577
"69",1987-10-20 23:19:50.993319,1301865,-4645365,1,49,49,18,3577
"70",1987-10-20 23:19:50.993319,1301895,-4645365,5,47,47,18,3577
"71",1987-10-20 23:19:50.993319,1301775,-4645395,4,45,50,19,3577
"72",1987-10-20 23:19:50.993319,1301805,-4645395,7,42,50,19,3577
"73",1987-10-20 23:19:50.993319,1301835,-4645395,6,44,49,20,3577
"74",1987-10-20 23:19:50.993319,1301865,-4645395,10,38,51,18,3577
"75",1987-10-20 23:19:50.993319,1301895,-4645395,11,36,52,18,3577
"76",1987-11-05 23:20:10.188903,1301895,-4645275,14,31,54,7,3577
"77",1987-11-05 23:20:10.188903,1301895,-4645305,13,34,52,8,3577
"78",1987-11-05 23:20:10.188903,1301865,-4645335,23,33,43,8,3577
"79",1987-11-05 23:20:10.188903,1301895,-4645335,12,37,50,8,3577
"80",1987-11-05 23:20:10.188903,1301865,-4645365,19,30,49,8,3577
"81",1987-11-05 23:20:10.188903,1301895,-4645365,21,33,45,8,3577
"82",1987-11-05 23:20:10.188903,1301895,-4645395,23,29,47,7,3577
"83",1987-11-21 23:20:29.542039,1301775,-4645275,6,47,45,22,3577
"84",1987-11-21 23:20:29.542039,1301805,-4645275,3,51,44,21,3577
"85",1987-11-21 23:20:29.542039,1301835,-4645275,4,48,47,19,3577
"86",1987-11-21 23:20:29.542039,1301865,-4645275,5,46,47,19,3577
"87",1987-11-21 23:20:29.542039,1301895,-4645275,3,50,46,20,3577
"88",1987-11-21 23:20:29.542039,1301775,-4645305,2,50,47,21,3577
"89",1987-11-21 23:20:29.542039,1301805,-4645305,3,49,47,19,3577
"90",1987-11-21 23:20:29.542039,1301835,-4645305,8,46,44,20,3577
"91",1987-11-21 23:20:29.542039,1301865,-4645305,8,46,44,20,3577
"92",1987-11-21 23:20:29.542039,1301895,-4645305,1,52,45,19,3577
"93",1987-11-21 23:20:29.542039,1301775,-4645335,4,48,46,20,3577
"94",1987-11-21 23:20:29.542039,1301805,-4645335,6,45,48,19,3577
"95",1987-11-21 23:20:29.542039,1301835,-4645335,5,45,49,18,3577
"96",1987-11-21 23:20:29.542039,1301865,-4645335,4,47,48,19,3577
"97",1987-11-21 23:20:29.542039,1301895,-4645335,5,47,47,19,3577
"98",1987-11-21 23:20:29.542039,1301775,-4645365,7,44,48,19,3577
"99",1987-11-21 23:20:29.542039,1301805,-4645365,8,42,48,19,3577
"100",1987-11-21 23:20:29.542039,1301835,-4645365,5,48,46,20,3577
"101",1987-11-21 23:20:29.542039,1301865,-4645365,5,46,48,19,3577
"102",1987-11-21 23:20:29.542039,1301895,-4645365,5,45,48,19,3577
"103",1987-11-21 23:20:29.542039,1301775,-4645395,6,43,50,19,3577
"104",1987-11-21 23:20:29.542039,1301805,-4645395,7,42,49,20,3577
"105",1987-11-21 23:20:29.542039,1301835,-4645395,5,47,47,21,3577
"106",1987-11-21 23:20:29.542039,1301865,-4645395,7,42,50,19,3577
"107",1987-11-21 23:20:29.542039,1301895,-4645395,12,35,51,19,3577
"108",1988-01-24 23:21:32.472549,1301775,-4645275,5,48,46,19,3577
"109",1988-01-24 23:21:32.472549,1301805,-4645275,12,45,41,18,3577
"110",1988-01-24 23:21:32.472549,1301835,-4645275,7,46,46,17,3577
"111",1988-01-24 23:21:32.472549,1301865,-4645275,8,44,47,17,3577
"112",1988-01-24 23:21:32.472549,1301895,-4645275,7,47,44,17,3577
"113",1988-01-24 23:21:32.472549,1301775,-4645305,6,49,43,19,3577
"114",1988-01-24 23:21:32.472549,1301805,-4645305,7,45,46,18,3577
"115",1988-01-24 23:21:32.472549,1301835,-4645305,10,45,44,18,3577
"116",1988-01-24 23:21:32.472549,1301865,-4645305,10,45,44,18,3577
"117",1988-01-24 23:21:32.472549,1301895,-4645305,11,47,41,17,3577
"118",1988-01-24 23:21:32.472549,1301775,-4645335,2,46,50,18,3577
"119",1988-01-24 23:21:32.472549,1301805,-4645335,8,42,49,17,3577
"120",1988-01-24 23:21:32.472549,1301835,-4645335,9,43,47,17,3577
"121",1988-01-24 23:21:32.472549,1301865,-4645335,10,42,47,16,3577
"122",1988-01-24 23:21:32.472549,1301895,-4645335,9,41,49,17,3577
"123",1988-01-24 23:21:32.472549,1301775,-4645365,8,41,49,17,3577
"124",1988-01-24 23:21:32.472549,1301805,-4645365,5,42,52,17,3577
"125",1988-01-24 23:21:32.472549,1301835,-4645365,9,43,46,17,3577
"126",1988-01-24 23:21:32.472549,1301865,-4645365,11,43,45,16,3577
"127",1988-01-24 23:21:32.472549,1301895,-4645365,13,41,45,17,3577
"128",1988-01-24 23:21:32.472549,1301775,-4645395,7,42,49,17,3577
"129",1988-01-24 23:21:32.472549,1301805,-4645395,8,42,48,18,3577
"130",1988-01-24 23:21:32.472549,1301835,-4645395,20,37,42,17,3577
"131",1988-01-24 23:21:32.472549,1301865,-4645395,10,39,50,17,3577
"132",1988-01-24 23:21:32.472549,1301895,-4645395,19,35,45,16,3577
"133",1988-02-09 23:21:50.165186,1301775,-4645275,7,52,40,20,3577
"134",1988-02-09 23:21:50.165186,1301805,-4645275,2,53,44,20,3577
"135",1988-02-09 23:21:50.165186,1301835,-4645275,2,52,45,19,3577
"136",1988-02-09 23:21:50.165186,1301865,-4645275,4,50,45,19,3577
"137",1988-02-09 23:21:50.165186,1301895,-4645275,4,50,45,19,3577
"138",1988-02-09 23:21:50.165186,1301775,-4645305,6,47,45,20,3577
"139",1988-02-09 23:21:50.165186,1301805,-4645305,3,49,46,18,3577
"140",1988-02-09 23:21:50.165186,1301835,-4645305,7,47,44,19,3577
"141",1988-02-09 23:21:50.165186,1301865,-4645305,7,47,44,19,3577
"142",1988-02-09 23:21:50.165186,1301895,-4645305,4,49,45,18,3577
"143",1988-02-09 23:21:50.165186,1301775,-4645335,5,50,44,20,3577
"144",1988-02-09 23:21:50.165186,1301805,-4645335,5,47,47,19,3577
"145",1988-02-09 23:21:50.165186,1301835,-4645335,3,48,48,18,3577
"146",1988-02-09 23:21:50.165186,1301865,-4645335,5,46,49,18,3577
"147",1988-02-09 23:21:50.165186,1301895,-4645335,4,48,47,18,3577
"148",1988-02-09 23:21:50.165186,1301775,-4645365,5,47,47,19,3577
"149",1988-02-09 23:21:50.165186,1301805,-4645365,5,47,47,19,3577
"150",1988-02-09 23:21:50.165186,1301835,-4645365,5,48,46,19,3577
"151",1988-02-09 23:21:50.165186,1301865,-4645365,8,43,48,18,3577
"152",1988-02-09 23:21:50.165186,1301895,-4645365,6,45,48,18,3577
"153",1988-02-09 23:21:50.165186,1301775,-4645395,1,52,46,18,3577
"154",1988-02-09 23:21:50.165186,1301805,-4645395,8,43,48,19,3577
"155",1988-02-09 23:21:50.165186,1301835,-4645395,8,43,48,19,3577
"156",1988-02-09 23:21:50.165186,1301865,-4645395,9,41,49,18,3577
"157",1988-02-09 23:21:50.165186,1301895,-4645395,7,41,52,17,3577
"158",1988-02-25 23:22:02.670232,1301775,-4645275,5,51,43,20,3577
"159",1988-02-25 23:22:02.670232,1301805,-4645275,10,49,40,19,3577
"160",1988-02-25 23:22:02.670232,1301835,-4645275,8,49,42,18,3577
"161",1988-02-25 23:22:02.670232,1301865,-4645275,3,50,46,19,3577
"162",1988-02-25 23:22:02.670232,1301895,-4645275,0,56,44,18,3577
"163",1988-02-25 23:22:02.670232,1301775,-4645305,6,46,46,19,3577
"164",1988-02-25 23:22:02.670232,1301805,-4645305,3,50,46,18,3577
"165",1988-02-25 23:22:02.670232,1301835,-4645305,11,47,40,18,3577
"166",1988-02-25 23:22:02.670232,1301865,-4645305,11,47,40,18,3577
"167",1988-02-25 23:22:02.670232,1301895,-4645305,5,49,44,18,3577
"168",1988-02-25 23:22:02.670232,1301775,-4645335,0,57,41,20,3577
"169",1988-02-25 23:22:02.670232,1301805,-4645335,9,45,45,18,3577
"170",1988-02-25 23:22:02.670232,1301835,-4645335,6,47,46,18,3577
"171",1988-02-25 23:22:02.670232,1301865,-4645335,8,42,49,18,3577
"172",1988-02-25 23:22:02.670232,1301895,-4645335,6,47,45,18,3577
"173",1988-02-25 23:22:02.670232,1301775,-4645365,4,49,46,18,3577
"174",1988-02-25 23:22:02.670232,1301805,-4645365,4,47,47,18,3577
"175",1988-02-25 23:22:02.670232,1301835,-4645365,4,50,45,19,3577
"176",1988-02-25 23:22:02.670232,1301865,-4645365,6,45,47,17,3577
"177",1988-02-25 23:22:02.670232,1301895,-4645365,7,42,49,17,3577
"178",1988-02-25 23:22:02.670232,1301775,-4645395,3,49,46,18,3577
"179",1988-02-25 23:22:02.670232,1301805,-4645395,8,44,46,18,3577
"180",1988-02-25 23:22:02.670232,1301835,-4645395,11,41,47,19,3577
"181",1988-02-25 23:22:02.670232,1301865,-4645395,8,43,48,18,3577
"182",1988-02-25 23:22:02.670232,1301895,-4645395,13,36,49,17,3577
"183",1988-04-13 23:22:23.237127,1301805,-4645275,7,51,40,20,3577
"184",1988-04-13 23:22:23.237127,1301835,-4645275,4,47,47,19,3577
"185",1988-04-13 23:22:23.237127,1301865,-4645275,0,46,53,19,3577
"186",1988-04-13 23:22:23.237127,1301895,-4645275,1,54,44,18,3577
"187",1988-04-13 23:22:23.237127,1301775,-4645305,0,55,45,18,3577
"188",1988-04-13 23:22:23.237127,1301805,-4645305,1,47,50,17,3577
"189",1988-04-13 23:22:23.237127,1301835,-4645305,4,51,44,18,3577
"190",1988-04-13 23:22:23.237127,1301865,-4645305,4,51,44,18,3577
"191",1988-04-13 23:22:23.237127,1301895,-4645305,10,46,43,17,3577
"192",1988-04-13 23:22:23.237127,1301775,-4645335,12,47,40,18,3577
"193",1988-04-13 23:22:23.237127,1301805,-4645335,6,42,51,18,3577
"194",1988-04-13 23:22:23.237127,1301835,-4645335,6,49,43,17,3577
"195",1988-04-13 23:22:23.237127,1301865,-4645335,13,45,40,17,3577
"196",1988-04-13 23:22:23.237127,1301895,-4645335,5,48,46,17,3577
"197",1988-04-13 23:22:23.237127,1301805,-4645365,0,44,55,18,3577
"198",1988-04-13 23:22:23.237127,1301835,-4645365,1,56,42,18,3577
"199",1988-04-13 23:22:23.237127,1301865,-4645365,0,55,44,17,3577
