"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-08 01:09:36.561809,11,80,7,9,-750315,-1878135,3577
"2",1987-09-08 01:09:36.561809,11,79,10,9,-750285,-1878135,3577
"3",1987-09-08 01:09:36.561809,8,90,1,9,-750255,-1878135,3577
"4",1987-09-08 01:09:36.561809,8,91,0,8,-750225,-1878135,3577
"5",1987-09-08 01:09:36.561809,9,90,0,10,-750195,-1878135,3577
"6",1987-09-08 01:09:36.561809,11,82,6,9,-750315,-1878165,3577
"7",1987-09-08 01:09:36.561809,9,85,4,9,-750285,-1878165,3577
"8",1987-09-08 01:09:36.561809,8,87,4,9,-750255,-1878165,3577
"9",1987-09-08 01:09:36.561809,10,89,0,9,-750225,-1878165,3577
"10",1987-09-08 01:09:36.561809,7,90,2,9,-750195,-1878165,3577
"11",1987-09-08 01:09:36.561809,10,86,2,10,-750315,-1878195,3577
"12",1987-09-08 01:09:36.561809,10,87,2,9,-750285,-1878195,3577
"13",1987-09-08 01:09:36.561809,9,85,5,9,-750255,-1878195,3577
"14",1987-09-08 01:09:36.561809,8,91,0,9,-750225,-1878195,3577
"15",1987-09-08 01:09:36.561809,12,83,3,8,-750195,-1878195,3577
"16",1987-09-08 01:09:36.561809,11,75,13,9,-750285,-1878225,3577
"17",1987-09-08 01:09:36.561809,11,83,5,9,-750255,-1878225,3577
"18",1987-09-08 01:09:36.561809,10,89,0,9,-750225,-1878225,3577
"19",1987-09-08 01:09:36.561809,7,88,3,9,-750195,-1878225,3577
"20",1987-09-08 01:09:36.561809,9,87,2,10,-750285,-1878255,3577
"21",1987-09-08 01:09:36.561809,9,91,0,10,-750255,-1878255,3577
"22",1987-09-08 01:09:36.561809,8,87,4,9,-750225,-1878255,3577
"23",1987-09-24 01:09:59.096504,9,86,4,9,-750315,-1878135,3577
"24",1987-09-24 01:09:59.096504,9,82,8,8,-750285,-1878135,3577
"25",1987-09-24 01:09:59.096504,11,88,0,8,-750255,-1878135,3577
"26",1987-09-24 01:09:59.096504,7,92,0,8,-750225,-1878135,3577
"27",1987-09-24 01:09:59.096504,7,92,0,9,-750195,-1878135,3577
"28",1987-09-24 01:09:59.096504,9,88,2,9,-750315,-1878165,3577
"29",1987-09-24 01:09:59.096504,4,88,6,9,-750285,-1878165,3577
"30",1987-09-24 01:09:59.096504,8,91,0,9,-750255,-1878165,3577
"31",1987-09-24 01:09:59.096504,11,88,0,8,-750225,-1878165,3577
"32",1987-09-24 01:09:59.096504,9,90,0,9,-750195,-1878165,3577
"33",1987-09-24 01:09:59.096504,9,87,3,9,-750315,-1878195,3577
"34",1987-09-24 01:09:59.096504,9,84,7,9,-750285,-1878195,3577
"35",1987-09-24 01:09:59.096504,6,94,0,9,-750255,-1878195,3577
"36",1987-09-24 01:09:59.096504,10,88,1,9,-750225,-1878195,3577
"37",1987-09-24 01:09:59.096504,9,87,2,8,-750195,-1878195,3577
"38",1987-09-24 01:09:59.096504,8,88,3,9,-750285,-1878225,3577
"39",1987-09-24 01:09:59.096504,8,91,0,9,-750255,-1878225,3577
"40",1987-09-24 01:09:59.096504,10,87,2,9,-750225,-1878225,3577
"41",1987-09-24 01:09:59.096504,7,92,0,8,-750195,-1878225,3577
"42",1987-09-24 01:09:59.096504,9,86,4,9,-750285,-1878255,3577
"43",1987-09-24 01:09:59.096504,10,84,5,9,-750255,-1878255,3577
"44",1987-09-24 01:09:59.096504,10,89,0,9,-750225,-1878255,3577
"45",1987-10-10 01:10:18.493619,8,87,4,9,-750315,-1878135,3577
"46",1987-10-10 01:10:18.493619,11,80,8,9,-750285,-1878135,3577
"47",1987-10-10 01:10:18.493619,8,90,0,9,-750255,-1878135,3577
"48",1987-10-10 01:10:18.493619,7,92,0,9,-750225,-1878135,3577
"49",1987-10-10 01:10:18.493619,15,81,3,9,-750195,-1878135,3577
"50",1987-10-10 01:10:18.493619,13,85,1,9,-750315,-1878165,3577
"51",1987-10-10 01:10:18.493619,7,87,5,9,-750285,-1878165,3577
"52",1987-10-10 01:10:18.493619,10,87,2,9,-750255,-1878165,3577
"53",1987-10-10 01:10:18.493619,8,92,0,9,-750225,-1878165,3577
"54",1987-10-10 01:10:18.493619,9,87,3,9,-750195,-1878165,3577
"55",1987-10-10 01:10:18.493619,12,87,0,10,-750315,-1878195,3577
"56",1987-10-10 01:10:18.493619,10,85,4,9,-750285,-1878195,3577
"57",1987-10-10 01:10:18.493619,12,87,0,9,-750255,-1878195,3577
"58",1987-10-10 01:10:18.493619,10,89,0,9,-750225,-1878195,3577
"59",1987-10-10 01:10:18.493619,9,84,6,8,-750195,-1878195,3577
"60",1987-10-10 01:10:18.493619,9,87,3,10,-750285,-1878225,3577
"61",1987-10-10 01:10:18.493619,15,76,7,10,-750255,-1878225,3577
"62",1987-10-10 01:10:18.493619,9,82,8,9,-750225,-1878225,3577
"63",1987-10-10 01:10:18.493619,5,92,1,9,-750195,-1878225,3577
"64",1987-10-10 01:10:18.493619,9,84,6,9,-750285,-1878255,3577
"65",1987-10-10 01:10:18.493619,9,90,0,10,-750255,-1878255,3577
"66",1987-10-10 01:10:18.493619,12,75,12,9,-750225,-1878255,3577
"67",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750315,-1878135,3577
"68",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750285,-1878135,3577
"69",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750255,-1878135,3577
"70",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750225,-1878135,3577
"71",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750195,-1878135,3577
"72",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750315,-1878165,3577
"73",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750285,-1878165,3577
"74",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750255,-1878165,3577
"75",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750225,-1878165,3577
"76",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750195,-1878165,3577
"77",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750315,-1878195,3577
"78",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750285,-1878195,3577
"79",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750255,-1878195,3577
"80",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750225,-1878195,3577
"81",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750195,-1878195,3577
"82",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750285,-1878225,3577
"83",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750255,-1878225,3577
"84",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750225,-1878225,3577
"85",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750195,-1878225,3577
"86",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750285,-1878255,3577
"87",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750255,-1878255,3577
"88",1987-10-26 01:10:33.473769,NA,NA,NA,NA,-750225,-1878255,3577
"89",1987-11-11 01:10:55.5701,8,91,0,9,-750315,-1878135,3577
"90",1987-11-11 01:10:55.5701,7,92,0,9,-750285,-1878135,3577
"91",1987-11-11 01:10:55.5701,7,92,0,9,-750255,-1878135,3577
"92",1987-11-11 01:10:55.5701,4,95,0,9,-750225,-1878135,3577
"93",1987-11-11 01:10:55.5701,6,94,0,9,-750195,-1878135,3577
"94",1987-11-11 01:10:55.5701,11,89,0,10,-750315,-1878165,3577
"95",1987-11-11 01:10:55.5701,4,95,0,9,-750285,-1878165,3577
"96",1987-11-11 01:10:55.5701,6,93,0,9,-750255,-1878165,3577
"97",1987-11-11 01:10:55.5701,5,94,0,9,-750225,-1878165,3577
"98",1987-11-11 01:10:55.5701,6,93,0,9,-750195,-1878165,3577
"99",1987-11-11 01:10:55.5701,8,92,0,10,-750315,-1878195,3577
"100",1987-11-11 01:10:55.5701,6,93,0,10,-750285,-1878195,3577
"101",1987-11-11 01:10:55.5701,8,91,0,9,-750255,-1878195,3577
"102",1987-11-11 01:10:55.5701,10,90,0,9,-750225,-1878195,3577
"103",1987-11-11 01:10:55.5701,8,92,0,9,-750195,-1878195,3577
"104",1987-11-11 01:10:55.5701,7,93,0,9,-750285,-1878225,3577
"105",1987-11-11 01:10:55.5701,10,90,0,10,-750255,-1878225,3577
"106",1987-11-11 01:10:55.5701,10,90,0,9,-750225,-1878225,3577
"107",1987-11-11 01:10:55.5701,4,96,0,9,-750195,-1878225,3577
"108",1987-11-11 01:10:55.5701,7,91,0,9,-750285,-1878255,3577
"109",1987-11-11 01:10:55.5701,7,92,0,10,-750255,-1878255,3577
"110",1987-11-11 01:10:55.5701,10,89,0,9,-750225,-1878255,3577
"111",1987-11-27 01:11:13.02451,11,79,9,9,-750315,-1878135,3577
"112",1987-11-27 01:11:13.02451,8,82,9,8,-750285,-1878135,3577
"113",1987-11-27 01:11:13.02451,10,86,3,9,-750255,-1878135,3577
"114",1987-11-27 01:11:13.02451,10,89,0,9,-750225,-1878135,3577
"115",1987-11-27 01:11:13.02451,7,87,5,9,-750195,-1878135,3577
"116",1987-11-27 01:11:13.02451,8,82,8,9,-750315,-1878165,3577
"117",1987-11-27 01:11:13.02451,7,87,5,9,-750285,-1878165,3577
"118",1987-11-27 01:11:13.02451,11,88,0,9,-750255,-1878165,3577
"119",1987-11-27 01:11:13.02451,8,90,0,9,-750225,-1878165,3577
"120",1987-11-27 01:11:13.02451,5,92,2,9,-750195,-1878165,3577
"121",1987-11-27 01:11:13.02451,12,83,5,10,-750315,-1878195,3577
"122",1987-11-27 01:11:13.02451,11,78,9,9,-750285,-1878195,3577
"123",1987-11-27 01:11:13.02451,11,88,0,9,-750255,-1878195,3577
"124",1987-11-27 01:11:13.02451,12,85,2,9,-750225,-1878195,3577
"125",1987-11-27 01:11:13.02451,8,85,6,9,-750195,-1878195,3577
"126",1987-11-27 01:11:13.02451,8,79,12,9,-750285,-1878225,3577
"127",1987-11-27 01:11:13.02451,13,81,5,10,-750255,-1878225,3577
"128",1987-11-27 01:11:13.02451,13,85,1,9,-750225,-1878225,3577
"129",1987-11-27 01:11:13.02451,9,86,4,9,-750195,-1878225,3577
"130",1987-11-27 01:11:13.02451,13,77,9,9,-750285,-1878255,3577
"131",1987-11-27 01:11:13.02451,11,81,7,10,-750255,-1878255,3577
"132",1987-11-27 01:11:13.02451,9,79,11,10,-750225,-1878255,3577
"133",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750315,-1878135,3577
"134",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750285,-1878135,3577
"135",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750255,-1878135,3577
"136",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750225,-1878135,3577
"137",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750195,-1878135,3577
"138",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750315,-1878165,3577
"139",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750285,-1878165,3577
"140",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750255,-1878165,3577
"141",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750225,-1878165,3577
"142",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750195,-1878165,3577
"143",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750315,-1878195,3577
"144",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750285,-1878195,3577
"145",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750255,-1878195,3577
"146",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750225,-1878195,3577
"147",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750195,-1878195,3577
"148",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750285,-1878225,3577
"149",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750255,-1878225,3577
"150",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750225,-1878225,3577
"151",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750195,-1878225,3577
"152",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750285,-1878255,3577
"153",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750255,-1878255,3577
"154",1987-12-13 01:11:26.176016,NA,NA,NA,NA,-750225,-1878255,3577
"155",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750315,-1878135,3577
"156",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750285,-1878135,3577
"157",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750255,-1878135,3577
"158",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750225,-1878135,3577
"159",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750195,-1878135,3577
"160",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750315,-1878165,3577
"161",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750285,-1878165,3577
"162",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750255,-1878165,3577
"163",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750225,-1878165,3577
"164",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750195,-1878165,3577
"165",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750315,-1878195,3577
"166",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750285,-1878195,3577
"167",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750255,-1878195,3577
"168",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750225,-1878195,3577
"169",1987-12-29 01:11:42.410639,NA,NA,NA,NA,-750195,-1878195,3577
