"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-10-14 00:49:39.068046,-426045,-3520095,39,21,39,8,3577
"2",1987-10-14 00:49:39.068046,-426015,-3520095,37,21,41,8,3577
"3",1987-10-14 00:49:39.068046,-425985,-3520095,35,23,41,8,3577
"4",1987-10-14 00:49:39.068046,-425955,-3520095,41,23,35,7,3577
"5",1987-10-14 00:49:39.068046,-425925,-3520095,36,21,42,7,3577
"6",1987-10-14 00:49:39.068046,-426045,-3520125,29,17,52,7,3577
"7",1987-10-14 00:49:39.068046,-426015,-3520125,41,19,39,7,3577
"8",1987-10-14 00:49:39.068046,-425985,-3520125,38,19,42,7,3577
"9",1987-10-14 00:49:39.068046,-425955,-3520125,41,24,34,7,3577
"10",1987-10-14 00:49:39.068046,-425925,-3520125,43,24,32,7,3577
"11",1987-10-14 00:49:39.068046,-426045,-3520155,33,20,46,8,3577
"12",1987-10-14 00:49:39.068046,-426015,-3520155,45,21,33,7,3577
"13",1987-10-14 00:49:39.068046,-425985,-3520155,30,20,50,7,3577
"14",1987-10-14 00:49:39.068046,-425955,-3520155,43,22,34,7,3577
"15",1987-10-14 00:49:39.068046,-425925,-3520155,37,21,41,7,3577
"16",1987-10-14 00:49:39.068046,-426045,-3520185,45,23,31,8,3577
"17",1987-10-14 00:49:39.068046,-426015,-3520185,46,24,30,7,3577
"18",1987-10-14 00:49:39.068046,-425985,-3520185,35,19,44,7,3577
"19",1987-10-14 00:49:39.068046,-425955,-3520185,35,22,42,8,3577
"20",1987-10-14 00:49:39.068046,-425925,-3520185,49,26,24,7,3577
"21",1987-10-14 00:49:39.068046,-426045,-3520215,51,20,28,7,3577
"22",1987-10-14 00:49:39.068046,-426015,-3520215,44,21,34,6,3577
"23",1987-12-17 00:50:46.179331,-426045,-3520095,30,15,53,6,3577
"24",1987-12-17 00:50:46.179331,-426015,-3520095,36,16,47,7,3577
"25",1987-12-17 00:50:46.179331,-425985,-3520095,31,13,55,6,3577
"26",1987-12-17 00:50:46.179331,-425955,-3520095,31,16,52,6,3577
"27",1987-12-17 00:50:46.179331,-425925,-3520095,38,15,46,6,3577
"28",1987-12-17 00:50:46.179331,-426045,-3520125,31,12,56,6,3577
"29",1987-12-17 00:50:46.179331,-426015,-3520125,26,12,61,6,3577
"30",1987-12-17 00:50:46.179331,-425985,-3520125,33,13,52,6,3577
"31",1987-12-17 00:50:46.179331,-425955,-3520125,28,16,56,6,3577
"32",1987-12-17 00:50:46.179331,-425925,-3520125,35,17,47,6,3577
"33",1987-12-17 00:50:46.179331,-426045,-3520155,33,12,53,6,3577
"34",1987-12-17 00:50:46.179331,-426015,-3520155,37,12,50,6,3577
"35",1987-12-17 00:50:46.179331,-425985,-3520155,35,13,51,6,3577
"36",1987-12-17 00:50:46.179331,-425955,-3520155,26,13,60,6,3577
"37",1987-12-17 00:50:46.179331,-425925,-3520155,41,19,40,5,3577
"38",1987-12-17 00:50:46.179331,-426045,-3520185,29,15,55,6,3577
"39",1987-12-17 00:50:46.179331,-426015,-3520185,38,16,45,6,3577
"40",1987-12-17 00:50:46.179331,-425985,-3520185,33,12,54,6,3577
"41",1987-12-17 00:50:46.179331,-425955,-3520185,37,16,46,6,3577
"42",1987-12-17 00:50:46.179331,-426045,-3520215,46,15,38,6,3577
"43",1987-12-17 00:50:46.179331,-426015,-3520215,47,15,37,5,3577
"44",1987-12-17 00:50:46.179331,-425985,-3520215,38,11,49,5,3577
"45",1988-01-18 00:51:19.372649,-426045,-3520095,34,15,50,19,3577
"46",1988-01-18 00:51:19.372649,-426015,-3520095,28,14,58,20,3577
"47",1988-01-18 00:51:19.372649,-425955,-3520095,42,20,37,19,3577
"48",1988-01-18 00:51:19.372649,-425925,-3520095,37,23,40,19,3577
"49",1988-01-18 00:51:19.372649,-426045,-3520125,39,17,44,18,3577
"50",1988-01-18 00:51:19.372649,-426015,-3520125,36,14,49,19,3577
"51",1988-01-18 00:51:19.372649,-425925,-3520125,42,21,36,19,3577
"52",1988-01-18 00:51:19.372649,-426045,-3520155,54,12,33,20,3577
"53",1988-01-18 00:51:19.372649,-426015,-3520155,37,14,49,19,3577
"54",1988-01-18 00:51:19.372649,-425955,-3520155,46,17,36,19,3577
"55",1988-01-18 00:51:19.372649,-426045,-3520185,46,15,38,20,3577
"56",1988-01-18 00:51:19.372649,-426015,-3520185,44,12,43,19,3577
"57",1988-01-18 00:51:19.372649,-425925,-3520185,56,18,26,18,3577
"58",1988-01-18 00:51:19.372649,-426045,-3520215,54,16,29,18,3577
"59",1988-01-18 00:51:19.372649,-425985,-3520215,57,17,25,17,3577
"60",1988-04-07 00:52:17.160419,-426045,-3520095,40,12,48,14,3577
"61",1988-04-07 00:52:17.160419,-426015,-3520095,55,13,31,14,3577
"62",1988-04-07 00:52:17.160419,-425985,-3520095,86,14,0,15,3577
"63",1988-04-07 00:52:17.160419,-425955,-3520095,80,15,4,16,3577
"64",1988-04-07 00:52:17.160419,-425925,-3520095,47,13,40,15,3577
"65",1988-04-07 00:52:17.160419,-426015,-3520125,55,15,30,14,3577
"66",1988-04-07 00:52:17.160419,-425985,-3520125,60,13,27,14,3577
"67",1988-04-07 00:52:17.160419,-425955,-3520125,43,10,46,15,3577
"68",1988-04-07 00:52:17.160419,-425925,-3520125,38,15,46,13,3577
"69",1988-04-07 00:52:17.160419,-426015,-3520155,56,8,36,12,3577
"70",1988-04-07 00:52:17.160419,-425985,-3520155,49,13,38,14,3577
"71",1988-04-07 00:52:17.160419,-425955,-3520155,30,8,61,14,3577
"72",1988-04-07 00:52:17.160419,-425925,-3520155,21,11,67,11,3577
"73",1988-04-07 00:52:17.160419,-425985,-3520185,25,14,61,11,3577
"74",1988-04-07 00:52:17.160419,-425955,-3520185,41,15,43,12,3577
"75",1988-04-07 00:52:17.160419,-425925,-3520185,15,10,74,8,3577
"76",1988-04-07 00:52:17.160419,-425955,-3520215,27,11,60,4,3577
"77",1988-04-07 00:52:17.160419,-425925,-3520215,0,4,95,4,3577
"78",1988-04-23 00:52:21.918132,-426045,-3520095,35,15,49,7,3577
