"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532395,-3523605,3577
"2",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532365,-3523605,3577
"3",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532335,-3523605,3577
"4",1987-09-12 00:48:58.733937,31,38,30,14,-532305,-3523605,3577
"5",1987-09-12 00:48:58.733937,32,44,23,16,-532275,-3523605,3577
"6",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532395,-3523635,3577
"7",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532365,-3523635,3577
"8",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532335,-3523635,3577
"9",1987-09-12 00:48:58.733937,28,55,16,15,-532305,-3523635,3577
"10",1987-09-12 00:48:58.733937,27,46,25,16,-532275,-3523635,3577
"11",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532395,-3523665,3577
"12",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532365,-3523665,3577
"13",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532335,-3523665,3577
"14",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532305,-3523665,3577
"15",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532275,-3523665,3577
"16",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532395,-3523695,3577
"17",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532365,-3523695,3577
"18",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532335,-3523695,3577
"19",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532305,-3523695,3577
"20",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532275,-3523695,3577
"21",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532395,-3523725,3577
"22",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532365,-3523725,3577
"23",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532335,-3523725,3577
"24",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532305,-3523725,3577
"25",1987-09-12 00:48:58.733937,NA,NA,NA,NA,-532275,-3523725,3577
