"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-01 01:02:26.973837,-591795,-1557555,31,19,48,12,3577
"2",1987-09-01 01:02:26.973837,-591765,-1557555,34,18,46,12,3577
"3",1987-09-01 01:02:26.973837,-591735,-1557555,30,20,49,11,3577
"4",1987-09-01 01:02:26.973837,-591705,-1557555,30,19,50,12,3577
"5",1987-09-01 01:02:26.973837,-591795,-1557585,28,25,45,12,3577
"6",1987-09-01 01:02:26.973837,-591765,-1557585,35,20,43,12,3577
"7",1987-09-01 01:02:26.973837,-591735,-1557585,35,21,42,11,3577
"8",1987-09-01 01:02:26.973837,-591705,-1557585,34,23,42,11,3577
"9",1987-09-01 01:02:26.973837,-591795,-1557615,33,20,46,16,3577
"10",1987-09-01 01:02:26.973837,-591765,-1557615,35,15,48,14,3577
"11",1987-09-01 01:02:26.973837,-591735,-1557615,30,17,51,14,3577
"12",1987-09-01 01:02:26.973837,-591705,-1557615,35,19,45,13,3577
"13",1987-09-01 01:02:26.973837,-591795,-1557645,52,11,35,17,3577
"14",1987-09-01 01:02:26.973837,-591765,-1557645,37,14,47,16,3577
"15",1987-09-01 01:02:26.973837,-591735,-1557645,38,16,45,16,3577
"16",1987-09-01 01:02:26.973837,-591705,-1557645,33,19,47,15,3577
"17",1987-09-17 01:02:50.691272,-591795,-1557555,34,17,48,12,3577
"18",1987-09-17 01:02:50.691272,-591765,-1557555,30,19,49,11,3577
"19",1987-09-17 01:02:50.691272,-591735,-1557555,29,21,49,11,3577
"20",1987-09-17 01:02:50.691272,-591705,-1557555,33,20,46,11,3577
"21",1987-09-17 01:02:50.691272,-591795,-1557585,31,25,43,11,3577
"22",1987-09-17 01:02:50.691272,-591765,-1557585,32,24,43,11,3577
"23",1987-09-17 01:02:50.691272,-591735,-1557585,35,20,44,11,3577
"24",1987-09-17 01:02:50.691272,-591705,-1557585,32,19,48,11,3577
"25",1987-09-17 01:02:50.691272,-591795,-1557615,33,23,43,14,3577
"26",1987-09-17 01:02:50.691272,-591765,-1557615,29,17,53,14,3577
"27",1987-09-17 01:02:50.691272,-591735,-1557615,32,21,46,13,3577
"28",1987-09-17 01:02:50.691272,-591705,-1557615,27,23,49,12,3577
"29",1987-09-17 01:02:50.691272,-591795,-1557645,50,17,31,16,3577
"30",1987-09-17 01:02:50.691272,-591765,-1557645,37,16,45,15,3577
"31",1987-09-17 01:02:50.691272,-591735,-1557645,38,14,47,14,3577
"32",1987-09-17 01:02:50.691272,-591705,-1557645,35,16,47,14,3577
"33",1987-11-04 01:03:47.112722,-591795,-1557555,30,24,44,11,3577
"34",1987-11-04 01:03:47.112722,-591765,-1557555,28,26,45,11,3577
