"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-19 00:55:19.34792,9,66,23,9,-575235,-3471255,3577
"2",1987-09-19 00:55:19.34792,9,59,30,9,-575325,-3471285,3577
"3",1987-09-19 00:55:19.34792,7,62,29,10,-575295,-3471285,3577
"4",1987-09-19 00:55:19.34792,11,63,24,10,-575265,-3471285,3577
"5",1987-09-19 00:55:19.34792,11,62,26,9,-575235,-3471285,3577
"6",1987-09-19 00:55:19.34792,9,66,24,9,-575205,-3471285,3577
"7",1987-09-19 00:55:19.34792,7,63,29,9,-575325,-3471315,3577
"8",1987-09-19 00:55:19.34792,7,63,29,9,-575295,-3471315,3577
"9",1987-09-19 00:55:19.34792,9,62,27,9,-575265,-3471315,3577
"10",1987-09-19 00:55:19.34792,13,59,27,9,-575235,-3471315,3577
"11",1987-09-19 00:55:19.34792,13,66,20,9,-575205,-3471315,3577
"12",1987-09-19 00:55:19.34792,2,69,27,9,-575325,-3471345,3577
"13",1987-09-19 00:55:19.34792,7,63,29,9,-575295,-3471345,3577
"14",1987-09-19 00:55:19.34792,10,65,24,9,-575265,-3471345,3577
"15",1987-09-19 00:55:19.34792,9,63,26,9,-575235,-3471345,3577
"16",1987-09-19 00:55:19.34792,12,58,28,9,-575205,-3471345,3577
"17",1987-09-19 00:55:19.34792,9,65,25,9,-575325,-3471375,3577
"18",1987-09-19 00:55:19.34792,13,66,19,9,-575295,-3471375,3577
"19",1987-09-19 00:55:19.34792,8,61,30,9,-575265,-3471375,3577
"20",1987-09-19 00:55:19.34792,9,63,26,9,-575235,-3471375,3577
"21",1987-09-19 00:55:19.34792,11,60,28,9,-575205,-3471375,3577
"22",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575235,-3471255,3577
"23",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575325,-3471285,3577
"24",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575295,-3471285,3577
"25",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575265,-3471285,3577
"26",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575235,-3471285,3577
"27",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575205,-3471285,3577
"28",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575325,-3471315,3577
"29",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575295,-3471315,3577
"30",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575265,-3471315,3577
"31",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575235,-3471315,3577
"32",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575205,-3471315,3577
"33",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575325,-3471345,3577
"34",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575295,-3471345,3577
"35",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575265,-3471345,3577
"36",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575235,-3471345,3577
"37",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575205,-3471345,3577
"38",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575325,-3471375,3577
"39",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575295,-3471375,3577
"40",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575265,-3471375,3577
"41",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575235,-3471375,3577
"42",1987-10-21 00:55:56.255893,NA,NA,NA,NA,-575205,-3471375,3577
"43",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575235,-3471255,3577
"44",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575325,-3471285,3577
"45",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575295,-3471285,3577
"46",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575265,-3471285,3577
"47",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575235,-3471285,3577
"48",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575205,-3471285,3577
"49",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575325,-3471315,3577
"50",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575295,-3471315,3577
"51",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575265,-3471315,3577
"52",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575235,-3471315,3577
"53",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575205,-3471315,3577
"54",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575325,-3471345,3577
"55",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575295,-3471345,3577
"56",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575265,-3471345,3577
"57",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575235,-3471345,3577
"58",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575205,-3471345,3577
"59",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575325,-3471375,3577
"60",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575295,-3471375,3577
"61",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575265,-3471375,3577
"62",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575235,-3471375,3577
"63",1987-11-06 00:56:15.7665,NA,NA,NA,NA,-575205,-3471375,3577
"64",1987-11-22 00:56:34.944759,6,42,51,6,-575235,-3471255,3577
"65",1987-11-22 00:56:34.944759,5,34,60,6,-575325,-3471285,3577
"66",1987-11-22 00:56:34.944759,4,36,59,6,-575295,-3471285,3577
"67",1987-11-22 00:56:34.944759,5,43,51,7,-575265,-3471285,3577
"68",1987-11-22 00:56:34.944759,2,44,53,7,-575235,-3471285,3577
"69",1987-11-22 00:56:34.944759,5,42,52,7,-575205,-3471285,3577
"70",1987-11-22 00:56:34.944759,4,34,60,6,-575325,-3471315,3577
"71",1987-11-22 00:56:34.944759,5,30,63,6,-575295,-3471315,3577
"72",1987-11-22 00:56:34.944759,5,39,54,6,-575265,-3471315,3577
"73",1987-11-22 00:56:34.944759,7,38,53,7,-575235,-3471315,3577
"74",1987-11-22 00:56:34.944759,7,42,50,7,-575205,-3471315,3577
"75",1987-11-22 00:56:34.944759,3,40,55,6,-575325,-3471345,3577
"76",1987-11-22 00:56:34.944759,4,41,53,6,-575295,-3471345,3577
"77",1987-11-22 00:56:34.944759,4,42,53,6,-575265,-3471345,3577
"78",1987-11-22 00:56:34.944759,7,34,57,6,-575235,-3471345,3577
"79",1987-11-22 00:56:34.944759,5,37,57,6,-575205,-3471345,3577
"80",1987-11-22 00:56:34.944759,5,35,59,6,-575325,-3471375,3577
"81",1987-11-22 00:56:34.944759,5,41,53,6,-575295,-3471375,3577
"82",1987-11-22 00:56:34.944759,5,37,56,6,-575265,-3471375,3577
"83",1987-11-22 00:56:34.944759,7,34,57,6,-575235,-3471375,3577
"84",1987-11-22 00:56:34.944759,6,38,54,7,-575205,-3471375,3577
"85",1987-12-08 00:56:48.323665,2,42,54,5,-575235,-3471255,3577
"86",1987-12-08 00:56:48.323665,0,48,51,5,-575325,-3471285,3577
"87",1987-12-08 00:56:48.323665,4,37,57,5,-575295,-3471285,3577
"88",1987-12-08 00:56:48.323665,3,44,51,5,-575265,-3471285,3577
"89",1987-12-08 00:56:48.323665,4,35,59,5,-575235,-3471285,3577
"90",1987-12-08 00:56:48.323665,4,34,61,5,-575205,-3471285,3577
"91",1987-12-08 00:56:48.323665,0,44,54,5,-575325,-3471315,3577
"92",1987-12-08 00:56:48.323665,2,45,51,5,-575295,-3471315,3577
"93",1987-12-08 00:56:48.323665,3,43,53,5,-575265,-3471315,3577
"94",1987-12-08 00:56:48.323665,4,31,64,5,-575235,-3471315,3577
"95",1987-12-08 00:56:48.323665,2,35,62,5,-575205,-3471315,3577
"96",1987-12-08 00:56:48.323665,3,43,53,5,-575325,-3471345,3577
"97",1987-12-08 00:56:48.323665,3,45,51,5,-575295,-3471345,3577
"98",1987-12-08 00:56:48.323665,4,36,58,5,-575265,-3471345,3577
"99",1987-12-08 00:56:48.323665,0,41,58,4,-575235,-3471345,3577
"100",1987-12-08 00:56:48.323665,0,42,57,4,-575205,-3471345,3577
"101",1987-12-08 00:56:48.323665,0,58,41,5,-575325,-3471375,3577
"102",1987-12-08 00:56:48.323665,1,48,49,5,-575295,-3471375,3577
"103",1987-12-08 00:56:48.323665,0,46,52,5,-575265,-3471375,3577
"104",1987-12-08 00:56:48.323665,0,41,58,4,-575235,-3471375,3577
