"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-06 01:23:30.873321,14,51,34,11,-1228665,-2498925,3577
"2",1987-09-06 01:23:30.873321,15,48,36,10,-1228635,-2498925,3577
"3",1987-09-06 01:23:30.873321,15,48,35,10,-1228605,-2498925,3577
"4",1987-09-06 01:23:30.873321,19,44,36,10,-1228695,-2498955,3577
"5",1987-09-06 01:23:30.873321,15,46,38,10,-1228665,-2498955,3577
"6",1987-09-06 01:23:30.873321,16,44,39,10,-1228635,-2498955,3577
"7",1987-09-06 01:23:30.873321,16,47,35,10,-1228605,-2498955,3577
"8",1987-09-06 01:23:30.873321,15,43,41,10,-1228575,-2498955,3577
"9",1987-09-06 01:23:30.873321,18,48,33,10,-1228695,-2498985,3577
"10",1987-09-06 01:23:30.873321,14,48,37,10,-1228665,-2498985,3577
"11",1987-09-06 01:23:30.873321,16,45,38,10,-1228635,-2498985,3577
"12",1987-09-06 01:23:30.873321,10,49,39,9,-1228605,-2498985,3577
"13",1987-09-06 01:23:30.873321,6,46,47,9,-1228575,-2498985,3577
"14",1987-09-06 01:23:30.873321,18,49,31,11,-1228695,-2499015,3577
"15",1987-09-06 01:23:30.873321,15,47,37,11,-1228665,-2499015,3577
"16",1987-09-06 01:23:30.873321,18,44,37,10,-1228635,-2499015,3577
"17",1987-09-06 01:23:30.873321,12,43,43,9,-1228605,-2499015,3577
"18",1987-09-06 01:23:30.873321,12,44,43,9,-1228575,-2499015,3577
"19",1987-09-06 01:23:30.873321,17,51,31,12,-1228695,-2499045,3577
"20",1987-09-06 01:23:30.873321,16,49,34,12,-1228665,-2499045,3577
"21",1987-09-06 01:23:30.873321,18,48,32,11,-1228635,-2499045,3577
"22",1987-09-06 01:23:30.873321,16,46,36,10,-1228605,-2499045,3577
"23",1987-09-06 01:23:30.873321,13,46,39,10,-1228575,-2499045,3577
"24",1987-09-22 01:23:53.899009,14,47,38,10,-1228665,-2498925,3577
"25",1987-09-22 01:23:53.899009,13,47,38,10,-1228635,-2498925,3577
"26",1987-09-22 01:23:53.899009,16,47,36,10,-1228605,-2498925,3577
"27",1987-09-22 01:23:53.899009,19,45,35,10,-1228695,-2498955,3577
"28",1987-09-22 01:23:53.899009,17,43,39,10,-1228665,-2498955,3577
"29",1987-09-22 01:23:53.899009,15,46,38,10,-1228635,-2498955,3577
"30",1987-09-22 01:23:53.899009,13,46,40,9,-1228605,-2498955,3577
"31",1987-09-22 01:23:53.899009,12,48,38,9,-1228575,-2498955,3577
"32",1987-09-22 01:23:53.899009,18,42,39,10,-1228695,-2498985,3577
"33",1987-09-22 01:23:53.899009,15,40,44,10,-1228665,-2498985,3577
"34",1987-09-22 01:23:53.899009,14,45,39,9,-1228635,-2498985,3577
"35",1987-09-22 01:23:53.899009,11,45,43,9,-1228605,-2498985,3577
"36",1987-09-22 01:23:53.899009,8,46,44,9,-1228575,-2498985,3577
"37",1987-09-22 01:23:53.899009,17,49,32,11,-1228695,-2499015,3577
"38",1987-09-22 01:23:53.899009,16,43,40,10,-1228665,-2499015,3577
"39",1987-09-22 01:23:53.899009,15,38,46,9,-1228635,-2499015,3577
"40",1987-09-22 01:23:53.899009,11,42,45,9,-1228605,-2499015,3577
"41",1987-09-22 01:23:53.899009,13,40,46,9,-1228575,-2499015,3577
"42",1987-09-22 01:23:53.899009,15,48,36,11,-1228695,-2499045,3577
"43",1987-09-22 01:23:53.899009,14,45,40,11,-1228665,-2499045,3577
"44",1987-09-22 01:23:53.899009,18,49,32,10,-1228635,-2499045,3577
"45",1987-09-22 01:23:53.899009,14,47,37,10,-1228605,-2499045,3577
"46",1987-09-22 01:23:53.899009,10,46,42,10,-1228575,-2499045,3577
"47",1987-10-08 01:24:13.687421,16,39,43,10,-1228665,-2498925,3577
