"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-02 01:48:56.091049,21,56,22,10,-1839195,-2977665,3577
"2",1987-09-02 01:48:56.091049,3,77,19,4,-1839285,-2977695,3577
"3",1987-09-02 01:48:56.091049,11,52,36,5,-1839255,-2977695,3577
"4",1987-09-02 01:48:56.091049,18,42,38,9,-1839225,-2977695,3577
"5",1987-09-02 01:48:56.091049,22,39,39,10,-1839195,-2977695,3577
"6",1987-09-02 01:48:56.091049,17,42,40,9,-1839165,-2977695,3577
"7",1987-09-02 01:48:56.091049,4,76,19,4,-1839285,-2977725,3577
"8",1987-09-02 01:48:56.091049,10,54,35,5,-1839255,-2977725,3577
"9",1987-09-02 01:48:56.091049,19,31,49,8,-1839225,-2977725,3577
"10",1987-09-02 01:48:56.091049,21,55,23,9,-1839195,-2977725,3577
"11",1987-09-02 01:48:56.091049,16,51,32,8,-1839165,-2977725,3577
"12",1987-09-02 01:48:56.091049,0,88,10,4,-1839285,-2977755,3577
"13",1987-09-02 01:48:56.091049,6,67,25,6,-1839255,-2977755,3577
"14",1987-09-02 01:48:56.091049,19,45,36,9,-1839225,-2977755,3577
"15",1987-09-02 01:48:56.091049,17,42,40,8,-1839195,-2977755,3577
"16",1987-09-02 01:48:56.091049,14,48,37,7,-1839165,-2977755,3577
"17",1987-09-02 01:48:56.091049,6,60,32,6,-1839255,-2977785,3577
"18",1987-09-02 01:48:56.091049,12,44,43,8,-1839225,-2977785,3577
"19",1987-09-02 01:48:56.091049,15,46,38,7,-1839195,-2977785,3577
"20",1987-09-02 01:48:56.091049,17,51,31,7,-1839165,-2977785,3577
"21",1987-09-18 01:49:19.651534,12,88,0,17,-1839195,-2977665,3577
"22",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839285,-2977695,3577
"23",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839255,-2977695,3577
"24",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839225,-2977695,3577
"25",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839195,-2977695,3577
"26",1987-09-18 01:49:19.651534,15,44,40,15,-1839165,-2977695,3577
"27",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839285,-2977725,3577
"28",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839255,-2977725,3577
"29",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839225,-2977725,3577
"30",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839195,-2977725,3577
"31",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839165,-2977725,3577
"32",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839285,-2977755,3577
"33",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839255,-2977755,3577
"34",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839225,-2977755,3577
"35",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839195,-2977755,3577
"36",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839165,-2977755,3577
"37",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839255,-2977785,3577
"38",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839225,-2977785,3577
"39",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839195,-2977785,3577
"40",1987-09-18 01:49:19.651534,NA,NA,NA,NA,-1839165,-2977785,3577
"41",1987-10-20 01:49:57.156075,14,55,30,7,-1839195,-2977665,3577
"42",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839285,-2977695,3577
"43",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839255,-2977695,3577
"44",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839225,-2977695,3577
"45",1987-10-20 01:49:57.156075,11,61,27,7,-1839195,-2977695,3577
"46",1987-10-20 01:49:57.156075,8,63,27,6,-1839165,-2977695,3577
"47",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839285,-2977725,3577
"48",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839255,-2977725,3577
"49",1987-10-20 01:49:57.156075,11,57,32,6,-1839225,-2977725,3577
"50",1987-10-20 01:49:57.156075,12,60,27,7,-1839195,-2977725,3577
"51",1987-10-20 01:49:57.156075,7,58,34,6,-1839165,-2977725,3577
"52",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839285,-2977755,3577
"53",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839255,-2977755,3577
"54",1987-10-20 01:49:57.156075,9,75,14,7,-1839225,-2977755,3577
"55",1987-10-20 01:49:57.156075,13,55,31,7,-1839195,-2977755,3577
"56",1987-10-20 01:49:57.156075,12,52,35,6,-1839165,-2977755,3577
"57",1987-10-20 01:49:57.156075,NA,NA,NA,NA,-1839255,-2977785,3577
"58",1987-10-20 01:49:57.156075,10,58,31,6,-1839225,-2977785,3577
"59",1987-10-20 01:49:57.156075,10,46,43,6,-1839195,-2977785,3577
"60",1987-10-20 01:49:57.156075,9,66,23,6,-1839165,-2977785,3577
"61",1987-11-05 01:50:16.065316,16,56,27,9,-1839195,-2977665,3577
"62",1987-11-05 01:50:16.065316,2,81,15,4,-1839285,-2977695,3577
"63",1987-11-05 01:50:16.065316,5,69,24,5,-1839255,-2977695,3577
"64",1987-11-05 01:50:16.065316,14,59,26,8,-1839225,-2977695,3577
"65",1987-11-05 01:50:16.065316,17,61,21,9,-1839195,-2977695,3577
