"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-08 01:13:11.862183,-1062075,-3361905,35,15,49,9,3577
"2",1987-09-08 01:13:11.862183,-1062045,-3361905,36,14,49,8,3577
"3",1987-09-08 01:13:11.862183,-1062015,-3361905,40,17,42,8,3577
"4",1987-09-08 01:13:11.862183,-1061985,-3361905,35,15,48,8,3577
"5",1987-09-08 01:13:11.862183,-1061955,-3361905,38,24,37,8,3577
"6",1987-09-08 01:13:11.862183,-1062075,-3361935,43,14,42,8,3577
"7",1987-09-08 01:13:11.862183,-1062045,-3361935,41,9,48,8,3577
"8",1987-09-08 01:13:11.862183,-1062015,-3361935,36,14,49,8,3577
"9",1987-09-08 01:13:11.862183,-1061985,-3361935,34,12,53,8,3577
"10",1987-09-08 01:13:11.862183,-1061955,-3361935,42,10,47,7,3577
"11",1987-09-08 01:13:11.862183,-1062075,-3361965,51,7,41,7,3577
"12",1987-09-08 01:13:11.862183,-1062045,-3361965,44,7,48,7,3577
"13",1987-09-08 01:13:11.862183,-1062015,-3361965,34,15,50,8,3577
"14",1987-09-08 01:13:11.862183,-1061985,-3361965,33,13,52,9,3577
"15",1987-09-08 01:13:11.862183,-1061955,-3361965,37,18,44,8,3577
"16",1987-09-08 01:13:11.862183,-1062075,-3361995,47,7,44,7,3577
"17",1987-09-08 01:13:11.862183,-1062045,-3361995,48,8,42,7,3577
"18",1987-09-08 01:13:11.862183,-1062015,-3361995,35,14,50,8,3577
"19",1987-09-08 01:13:11.862183,-1061985,-3361995,33,13,53,8,3577
"20",1987-09-08 01:13:11.862183,-1061955,-3361995,41,9,49,8,3577
"21",1987-09-08 01:13:11.862183,-1062075,-3362025,55,6,37,7,3577
"22",1987-09-08 01:13:11.862183,-1062045,-3362025,49,7,43,7,3577
"23",1987-09-08 01:13:11.862183,-1062015,-3362025,49,11,38,7,3577
"24",1987-09-08 01:13:11.862183,-1061985,-3362025,40,12,47,8,3577
"25",1987-09-08 01:13:11.862183,-1061955,-3362025,43,11,45,8,3577
"26",1987-09-15 01:19:32.937988,-1062075,-3361905,34,15,49,9,3577
"27",1987-09-15 01:19:32.937988,-1062045,-3361905,36,15,48,8,3577
"28",1987-09-15 01:19:32.937988,-1062015,-3361905,37,13,48,8,3577
"29",1987-09-15 01:19:32.937988,-1061985,-3361905,37,16,45,8,3577
"30",1987-09-15 01:19:32.937988,-1061955,-3361905,41,18,40,8,3577
"31",1987-09-15 01:19:32.937988,-1062075,-3361935,45,12,42,8,3577
"32",1987-09-15 01:19:32.937988,-1062045,-3361935,44,12,43,8,3577
"33",1987-09-15 01:19:32.937988,-1062015,-3361935,35,14,50,8,3577
"34",1987-09-15 01:19:32.937988,-1061985,-3361935,34,14,51,8,3577
"35",1987-09-15 01:19:32.937988,-1061955,-3361935,40,12,47,7,3577
"36",1987-09-15 01:19:32.937988,-1062075,-3361965,55,4,40,7,3577
"37",1987-09-15 01:19:32.937988,-1062045,-3361965,48,9,42,8,3577
"38",1987-09-15 01:19:32.937988,-1062015,-3361965,31,15,53,9,3577
"39",1987-09-15 01:19:32.937988,-1061985,-3361965,32,15,52,9,3577
"40",1987-09-15 01:19:32.937988,-1061955,-3361965,44,11,43,8,3577
"41",1987-09-15 01:19:32.937988,-1062075,-3361995,51,5,42,7,3577
"42",1987-09-15 01:19:32.937988,-1062045,-3361995,46,7,46,7,3577
"43",1987-09-15 01:19:32.937988,-1062015,-3361995,34,12,53,8,3577
"44",1987-09-15 01:19:32.937988,-1061985,-3361995,36,12,50,9,3577
"45",1987-09-15 01:19:32.937988,-1061955,-3361995,43,7,49,8,3577
"46",1987-09-15 01:19:32.937988,-1062075,-3362025,53,6,39,7,3577
"47",1987-09-15 01:19:32.937988,-1062045,-3362025,56,5,37,7,3577
"48",1987-09-15 01:19:32.937988,-1062015,-3362025,47,9,42,8,3577
"49",1987-09-15 01:19:32.937988,-1061985,-3362025,40,11,47,8,3577
"50",1987-09-15 01:19:32.937988,-1061955,-3362025,43,7,48,8,3577
"51",1987-09-24 01:13:34.548068,-1062075,-3361905,40,14,45,8,3577
"52",1987-09-24 01:13:34.548068,-1062045,-3361905,37,13,49,8,3577
"53",1987-09-24 01:13:34.548068,-1062015,-3361905,44,13,42,7,3577
"54",1987-09-24 01:13:34.548068,-1061985,-3361905,44,15,40,7,3577
"55",1987-09-24 01:13:34.548068,-1061955,-3361905,47,16,36,7,3577
"56",1987-09-24 01:13:34.548068,-1062075,-3361935,46,14,39,8,3577
"57",1987-09-24 01:13:34.548068,-1062045,-3361935,44,11,44,8,3577
"58",1987-09-24 01:13:34.548068,-1062015,-3361935,39,11,48,8,3577
"59",1987-09-24 01:13:34.548068,-1061985,-3361935,41,13,44,8,3577
"60",1987-09-24 01:13:34.548068,-1061955,-3361935,47,12,39,7,3577
