"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-12 23:53:22.72029,883290,-3511755,39.8,16.3,42.5,9.65,3577
"2",1987-09-28 23:53:44.340672,883290,-3511755,42.4,17.75,38.55,8.75,3577
"3",1987-10-30 23:54:18.607685,883290,-3511755,50.9,8.3,39.4,8.1,3577
"4",1987-12-01 23:54:55.91276,883290,-3511755,43.2,1.15,54.5,16.95,3577
"5",1987-12-17 23:55:09.697726,883290,-3511755,50.4,0.5,47.9,16.3,3577
"6",1988-01-02 23:55:25.521009,883290,-3511755,47.55,8.55,42.25,8.3,3577
"7",1988-01-18 23:55:42.877238,883290,-3511755,59.75,12.45,26.3,8,3577
"8",1988-03-06 23:56:25.591304,883290,-3511755,56.65,8.55,33.25,8,3577
"9",1988-03-22 23:56:34.058772,883290,-3511755,54.25,4.4,39.7,7.75,3577
"10",1988-04-07 23:56:40.006228,883290,-3511755,38.2,20.4,40.05,8.55,3577
"11",1988-04-23 23:56:44.795877,883290,-3511755,37,20.8,40.7,9.2,3577
"12",1988-06-10 23:57:07.234088,883290,-3511755,19.35,32.1,47.3,14.1,3577
"13",1988-06-26 23:57:13.161802,883290,-3511755,20.75,31.25,46.7,11.25,3577
"14",1988-07-12 23:57:16.342741,883290,-3511755,20.85,29.15,48.6,14.55,3577
"15",1988-08-13 23:57:17.717574,883290,-3511755,31.4,21.4,45.55,10.45,3577
"16",1988-08-29 23:57:22.681491,883290,-3511755,38.95,18.85,40.85,7.7,3577
"17",1988-09-14 23:57:19.692168,883290,-3511755,39.5,14.9,44.2,9.5,3577
"18",1988-09-30 23:57:13.486828,883290,-3511755,44,10.5,44.25,9.05,3577
"19",1988-10-16 23:57:08.54862,883290,-3511755,43.85,7.85,46.9,8.55,3577
"20",1988-11-01 23:57:11.43363,883290,-3511755,47.15,5,46.4,8.65,3577
"21",1988-11-17 23:57:09.326385,883290,-3511755,42.35,4.3,51.8,6.1,3577
"22",1988-12-19 23:56:54.586357,883290,-3511755,47.65,7.35,43.45,7.85,3577
"23",1989-01-04 23:56:53.952833,883290,-3511755,48.65,7.2,42.65,8.95,3577
"24",1989-01-20 23:56:34.01365,883290,-3511755,45.7,5.9,47.15,8.7,3577
"25",1989-02-05 23:56:36.938097,883290,-3511755,45.6,6.25,46.8,8.25,3577
"26",1989-02-21 23:56:29.629429,883290,-3511755,49.2,4.75,44.55,8.15,3577
"27",1989-03-25 23:55:31.114367,883290,-3511755,33.4,19.35,46.05,10.4,3577
"28",1989-07-31 23:53:37.522523,883290,-3511755,19.85,26.35,52.65,13.25,3577
"29",1989-08-16 23:53:13.227392,883277.727272727,-3511735.90909091,46.1818181818182,13.9090909090909,38.7272727272727,18.1818181818182,3577
"30",1989-09-01 23:52:55.734472,883290,-3511755,26.25,22.95,49.45,10.65,3577
"31",1989-09-17 23:52:22.790893,883290,-3511755,30.15,22,46.4,9.75,3577
"32",1989-10-03 23:52:13.885339,883290,-3511755,34.1,18.25,46.3,9.35,3577
"33",1989-11-20 23:50:31.324942,883290,-3511755,38.55,9.1,51.05,9,3577
"34",1989-12-22 23:49:49.423823,883290,-3511755,42.95,5.95,49.6,8.4,3577
"35",1990-02-24 23:47:46.899116,883290,-3511755,41.4,8.05,49.25,9.15,3577
"36",1990-03-12 23:47:12.79225,883290,-3511755,44.45,4.95,49.2,8.7,3577
"37",1990-03-28 23:46:42.001856,883290,-3511755,44.15,5.1,49.35,8.65,3577
"38",1990-04-13 23:46:47.647041,883290,-3511755,45.25,6.7,46.65,8.3,3577
"39",1990-04-29 23:46:40.446496,883290,-3511755,38.35,14.35,45.9,9.5,3577
"40",1990-06-16 23:46:44.250224,883318.333333333,-3511771.66666667,34.7777777777778,28.1111111111111,36.4444444444444,10.4444444444444,3577
"41",1990-07-02 23:46:43.811294,883290,-3511755,14.65,33.1,51.15,15.6,3577
"42",1990-07-18 23:46:38.912311,883290,-3511755,12.9,33.7,52.1,14.4,3577
"43",1990-08-03 23:46:35.010162,883290,-3511755,28.65,22.7,47.4,17.15,3577
"44",1990-08-19 23:46:31.894776,883290,-3511755,24.35,27,47.5,10.55,3577
"45",1990-09-20 23:46:21.718488,883290,-3511755,32.5,20.7,45.55,9.65,3577
"46",1990-10-06 23:46:09.297391,883290,-3511815,33,13.5,52,12,3577
"47",1990-10-22 23:46:07.079554,883290,-3511755,41.7,10.55,46.45,8.6,3577
"48",1990-11-07 23:46:04.194458,883290,-3511755,34.95,4,59.7,6,3577
"49",1990-11-23 23:45:56.872876,883290,-3511755,45,5.3,48.2,8.05,3577
"50",1990-12-25 23:46:13.866494,883290,-3511755,45.25,3.9,49.35,8,3577
"51",1991-01-10 23:46:40.837876,883290,-3511755,45.2,6.05,47.3,8.1,3577
"52",1991-01-26 23:47:07.367689,883290,-3511755,47.15,8.05,43.55,8.15,3577
"53",1991-02-27 23:47:37.184213,883290,-3511755,48.65,6.4,43.4,7.45,3577
"54",1991-03-15 23:47:56.554754,883290,-3511755,49.85,4,44.6,7.7,3577
"55",1991-03-31 23:48:12.613084,883290,-3511755,55.8,0.8,42.15,4.9,3577
"56",1991-04-16 23:48:31.602365,883290,-3511755,47.95,6.05,44.7,8.15,3577
"57",1991-05-02 23:48:49.078329,883290,-3511755,48,4.55,46,7.6,3577
"58",1991-06-03 23:49:20.334793,883290,-3511755,32.9,7.2,58.55,12.35,3577
"59",1991-07-05 23:49:47.677668,883290,-3511755,22.2,26.5,50.1,12.05,3577
"60",1991-07-21 23:50:00.040839,883290,-3511755,19.35,31.35,48,9.95,3577
"61",1991-08-06 23:50:05.812219,883290,-3511755,37.5,18.95,42.1,12.85,3577
"62",1991-08-22 23:50:10.046606,883290,-3511755,36.05,21.25,41.25,9.5,3577
"63",1991-09-07 23:50:24.813644,883290,-3511755,40.65,16.6,41.35,8.3,3577
"64",1991-09-23 23:50:31.746649,883290,-3511755,43.8,6.15,48.8,7.65,3577
"65",1991-10-09 23:50:38.586559,883290,-3511755,48.05,7.6,42.9,8.05,3577
"66",1991-10-25 23:50:42.860981,883290,-3511755,49.45,5.35,43.75,8,3577
"67",1991-12-28 23:50:54.18092,883290,-3511755,55.85,3.5,39.05,7.45,3577
"68",1992-01-13 23:50:50.190173,883290,-3511755,55.95,3.3,39.3,7.05,3577
"69",1992-02-14 23:50:42.124121,883290,-3511755,52.7,4.8,41.1,8.1,3577
"70",1992-03-01 23:50:45.50856,883290,-3511755,53.05,6.95,38.6,7.4,3577
"71",1992-03-17 23:50:46.592686,883290,-3511755,56.15,5.55,36.85,7.4,3577
"72",1992-04-02 23:50:38.266471,883290,-3511755,52.15,4,42.35,7.35,3577
"73",1992-05-04 23:50:21.485199,883290,-3511755,52.85,10.05,35.95,7.85,3577
"74",1992-05-20 23:50:12.035011,883290,-3511755,50.25,10.75,37.55,7.95,3577
"75",1992-06-05 23:50:04.680506,883290,-3511755,38.65,11.45,48.45,9,3577
