"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-12 23:52:58.533204,10.65,36.55,51.45,6.5,991965,-3378600,3577
"2",1987-09-21 23:47:00.27133,6.55,36.65,55.5,5.8,991965,-3378600,3577
"3",1987-09-28 23:53:20.128719,5.85,37.9,54.85,5.05,991965,-3378600,3577
"4",1987-10-07 23:47:20.103037,3.1,34.25,61.35,5.35,991965,-3378600,3577
"5",1987-10-23 23:47:35.602405,0.35,35.8,62.55,5.25,991965,-3378600,3577
"6",1987-10-30 23:53:54.54267,0.4,36.35,61.9,5.3,991965,-3378600,3577
"7",1987-11-08 23:47:56.630439,0,65,33.95,4.85,991965,-3378600,3577
"8",1987-11-24 23:48:14.892973,1.4,26.6,70.75,5,991965,-3378600,3577
"9",1987-12-01 23:54:31.722733,3.35,22.45,72.85,5.3,991965,-3378600,3577
"10",1987-12-10 23:48:27.886734,3.8,79.6,15.3,4.35,991965,-3378600,3577
"11",1987-12-17 23:54:45.641955,0.4,35,63.4,5,991965,-3378600,3577
"12",1988-01-02 23:55:01.298489,3.7,36.85,58,5.4,991965,-3378600,3577
"13",1988-01-11 23:49:00.356346,6.9,27.5,64.05,5.3,991965,-3378600,3577
"14",1988-01-18 23:55:18.6643,7.15,17.7,73.75,5.25,991965,-3378600,3577
"15",1988-01-27 23:49:18.256403,3.35,22.65,72.75,5.15,991965,-3378600,3577
"16",1988-02-28 23:49:46.611069,0.65,31.6,66.4,4.95,991965,-3378600,3577
"17",1988-03-06 23:56:01.512144,2.55,22.5,73.35,5.05,991965,-3378600,3577
"18",1988-03-15 23:49:55.516489,1.1,23.25,74.35,4.95,991965,-3378600,3577
"19",1988-03-22 23:56:09.975481,0.45,35.85,62.5,4.05,991965,-3378600,3577
"20",1988-04-07 23:56:15.78774,15.75,30.7,52,5.6,991965,-3378600,3577
"21",1988-04-16 23:50:06.792425,15.95,32.35,50.3,5.6,991965,-3378600,3577
"22",1988-04-23 23:56:20.710762,17.95,55.25,25.55,9.75,991965,-3378600,3577
"23",1988-05-02 23:50:14.89518,19.3,26.45,52.85,5.25,991965,-3378600,3577
"24",1988-05-09 23:56:30.957353,25.4,19.6,53.5,6.15,991965,-3378600,3577
"25",1988-05-18 23:50:24.883211,23.65,46.3,28.95,12.4,991965,-3378600,3577
"26",1988-06-10 23:56:43.013415,27.6,33.25,37.9,7.85,991965,-3378600,3577
"27",1988-06-19 23:50:36.059593,24.75,37.6,36.35,7.6,991965,-3378600,3577
"28",1988-06-26 23:56:48.928046,22.5,40.85,35.25,7.6,991965,-3378600,3577
"29",1988-07-12 23:56:52.097413,24.1,46.4,28.15,9.2,991965,-3378600,3577
"30",1988-07-28 23:56:54.486851,17.9,39.75,40.9,7.7,991965,-3378600,3577
"31",1988-08-06 23:50:42.850208,14.8,37,46.75,6.4,991965,-3378600,3577
"32",1988-08-13 23:56:53.60747,11.85,35.35,51.5,5.65,991965,-3378600,3577
"33",1988-08-22 23:50:45.981626,11.0526315789474,62.5789473684211,24.9473684210526,6.94736842105263,991961.842105263,-3378602.36842105,3577
"34",1988-08-29 23:56:58.449715,7.3,46.1,45.3,6.8,991965,-3378600,3577
"35",1988-09-07 23:50:47.383308,5.35,47.75,45.7,6.15,991965,-3378600,3577
"36",1988-09-14 23:56:55.606821,7.4,38,53.15,6.65,991965,-3378600,3577
"37",1988-09-30 23:56:49.241906,3.75,41.2,53.55,6.2,991965,-3378600,3577
"38",1988-10-09 23:50:36.091189,2.2,45.7,50.85,6.1,991965,-3378600,3577
"39",1988-10-16 23:56:44.443571,1.35,46.4,50.9,6,991965,-3378600,3577
"40",1988-10-25 23:50:33.104576,0.45,43.55,54.8,5.6,991965,-3378600,3577
"41",1988-11-01 23:56:47.212078,0.4,46.85,51.6,5.75,991965,-3378600,3577
"42",1988-11-10 23:50:34.602117,0.3,44.05,54.65,5.3,991965,-3378600,3577
"43",1988-11-26 23:50:35.853961,0.05,44.25,54.5,5.3,991965,-3378600,3577
"44",1988-12-12 23:50:23.419872,0.7,35.25,62.75,5.45,991965,-3378600,3577
"45",1988-12-19 23:56:30.32618,0.4,39.4,58.95,5.6,991965,-3378600,3577
"46",1988-12-28 23:50:18.901187,1.25,30.8,66.65,5.25,991965,-3378600,3577
"47",1989-01-04 23:56:29.698217,4.9,30.8,62.9,5.65,991965,-3378600,3577
"48",1989-01-13 23:50:08.820021,4.45,33.8,60.4,5.4,991965,-3378600,3577
"49",1989-01-20 23:56:09.750274,2.9,35.2,60.35,5.6,991965,-3378600,3577
"50",1989-01-29 23:50:00.828747,0.35,40.75,57.7,5.4,991965,-3378600,3577
"51",1989-02-05 23:56:12.805899,0.1,43.25,55.65,5.6,991965,-3378600,3577
"52",1989-02-14 23:49:59.741513,0.5,42.85,55.3,4.4,991965,-3378600,3577
"53",1989-02-21 23:56:05.355564,0.75,34.65,63.4,5.5,991965,-3378600,3577
"54",1989-03-02 23:49:43.438963,0.35,31.95,66.45,5.25,991965,-3378600,3577
"55",1989-03-25 23:55:06.831108,21.3,41.45,35.85,7.55,991965,-3378600,3577
"56",1989-04-03 23:49:05.389289,23,33.7,41.8,6.3,991965,-3378600,3577
"57",1989-04-19 23:48:55.533725,18.35,30.85,49.4,6.2,991965,-3378600,3577
"58",1989-04-26 23:54:59.756551,15.7,36.65,46.35,6.35,991965,-3378600,3577
"59",1989-05-05 23:48:44.66406,10.9,43.3,44.3,7.25,991965,-3378600,3577
"60",1989-06-22 23:47:45.086857,25.95,29.6,43.05,6.95,991965,-3378600,3577
"61",1989-06-29 23:53:52.538405,24.9,30.1,43.55,6.6,991965,-3378600,3577
"62",1989-07-24 23:47:11.17786,20.1,46.55,32.15,8.1,991965,-3378600,3577
"63",1989-07-31 23:53:13.410383,20.5,38,40.15,7.8,991965,-3378600,3577
"64",1989-08-09 23:46:49.805632,17.5,41.7,39.35,7.65,991965,-3378600,3577
"65",1989-08-16 23:52:49.102662,17.6,51.95,29.15,12.2,991965,-3378600,3577
"66",1989-09-01 23:52:31.581906,13.3,40.7,44.65,6.75,991965,-3378600,3577
"67",1989-09-10 23:46:02.873698,10.35,42.75,45.55,6.4,991965,-3378600,3577
"68",1989-09-17 23:51:58.647974,7.2,44.7,46.75,6.4,991965,-3378600,3577
"69",1989-09-26 23:45:43.935959,4.5,46.9,47.35,6,991965,-3378600,3577
"70",1989-10-03 23:51:49.752057,4.45,44.65,49.65,6.1,991965,-3378600,3577
"71",1989-10-12 23:45:15.588794,2,48.1,48.5,5.95,991965,-3378600,3577
"72",1989-11-04 23:50:49.809057,0.3,54.6,44.2,4.7,991965,-3378591,3577
"73",1989-11-13 23:44:13.52241,1.3,51.25,45.95,6.9,991965,-3378600,3577
"74",1989-11-29 23:43:53.596195,0.7,42.05,55.85,5.45,991965,-3378600,3577
"75",1989-12-15 23:43:27.662579,0.05,41.75,57.25,5.45,991965,-3378600,3577
"76",1989-12-22 23:49:25.298165,0.2,41.3,57.3,5.75,991965,-3378600,3577
"77",1990-02-17 23:41:24.974639,0,37.75,61.3,5.35,991965,-3378600,3577
"78",1990-02-24 23:47:22.760802,0,43.25,55.85,5.8,991965,-3378600,3577
"79",1990-03-05 23:40:51.67126,0,47.85,51.25,5.3,991965,-3378600,3577
"80",1990-03-12 23:46:48.676449,0,40.75,58.4,5.65,991965,-3378600,3577
"81",1990-03-21 23:40:17.178505,0,37.1,61.95,5.3,991965,-3378600,3577
"82",1990-03-28 23:46:17.872031,0.05,40.5,58.45,5.5,991965,-3378600,3577
"83",1990-04-06 23:40:05.022129,0,31.1,68,3.3,991965,-3378600,3577
"84",1990-04-13 23:46:23.367073,5.05,39.35,54.1,6.25,991965,-3378600,3577
"85",1990-04-22 23:40:14.740683,17,61.55,20.1,8.25,991965,-3378600,3577
"86",1990-04-29 23:46:16.291687,19.1,33.2,46.25,6.6,991965,-3378600,3577
"87",1990-05-08 23:40:13.041009,21.3,31.7,45.4,6.4,991965,-3378600,3577
"88",1990-05-24 23:40:09.869028,28.3,51.7,18.8,9.5,991965,-3378600,3577
"89",1990-06-09 23:40:10.873839,27.1,39.85,31.7,7.45,991965,-3378600,3577
"90",1990-06-25 23:40:09.681606,24.45,36.4,37.95,7.3,991965,-3378600,3577
"91",1990-07-18 23:46:14.740693,20.45,58.45,19.8,9.7,991965,-3378600,3577
"92",1990-07-27 23:40:03.417028,18.7,41.05,38.8,7.2,991965,-3378600,3577
"93",1990-08-12 23:39:58.872056,8.3,52.5,37.7,8.9,991965,-3378600,3577
"94",1990-08-19 23:46:07.72171,12.8,40.75,45.1,6.4,991965,-3378600,3577
"95",1990-09-13 23:39:51.102977,1.35,48.75,48.7,6.2,991965,-3378600,3577
"96",1990-09-20 23:45:57.571757,3.75,44.3,50.3,6.25,991965,-3378600,3577
"97",1990-09-29 23:39:39.570738,0.1,46.1,52.7,5.7,991965,-3378600,3577
"98",1990-10-06 23:45:44.996244,0.7,44.4,53.6,5.7,991965,-3378600,3577
"99",1990-10-15 23:39:34.468863,0.2,43.75,54.9,5.6,991965,-3378600,3577
"100",1990-10-22 23:45:42.904347,0.7,40.7,57.3,5.65,991965,-3378600,3577
"101",1990-11-07 23:45:40.046083,0.05,40,58.85,5.45,991965,-3378600,3577
"102",1990-11-23 23:45:32.730738,0,39.85,59.15,5.45,991965,-3378600,3577
"103",1990-12-02 23:39:10.694827,0,41.5,57.4,5.45,991965,-3378600,3577
"104",1990-12-18 23:39:30.046718,0,41.85,57.05,5.5,991965,-3378600,3577
"105",1990-12-25 23:45:49.716676,0,38.85,60.2,5.6,991965,-3378600,3577
"106",1991-01-03 23:39:55.072637,0.05,40.05,58.75,5.35,991965,-3378600,3577
"107",1991-01-10 23:46:16.679589,0.05,38.3,60.6,5.45,991965,-3378600,3577
"108",1991-01-26 23:46:43.19454,0.35,27.95,70.3,5,991965,-3378600,3577
