"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-14 23:41:27.91297,1031790,-3717615,31.55,24.8,42.2,10.2,3577
"2",1987-09-21 23:47:48.365493,1031790,-3717615,33,24.25,41.3,10,3577
"3",1987-09-30 23:41:49.237388,1031790,-3717615,33.95,22.65,41.85,9.8,3577
"4",1987-10-07 23:48:08.204815,1031790,-3717615,47.2,18,33.45,8,3577
"5",1987-10-23 23:48:23.715678,1031790,-3717615,38.45,17.6,42.5,9.35,3577
"6",1987-11-17 23:42:44.75229,1031792.36842105,-3717611.84210526,45.7368421052632,14.7368421052632,38.2105263157895,7,3577
"7",1987-11-24 23:49:03.024644,1031790,-3717615,45.9,16.5,36.2,8.05,3577
"8",1987-12-10 23:49:15.871503,1031790,-3717615,44.45,16.1,37.9,8.75,3577
"9",1987-12-26 23:49:31.990746,1031790,-3717615,22.2,7.85,68.8,6,3577
"10",1988-01-04 23:43:29.836932,1031790,-3717615,38.55,19.3,40.7,8.5,3577
"11",1988-01-11 23:49:48.483991,1031790,-3717615,43.6,18.05,36.95,8.9,3577
"12",1988-01-20 23:43:47.186031,1031790,-3717615,49.35,18.9,30.25,8.25,3577
"13",1988-01-27 23:50:06.410836,1031790,-3717615,49.9,18.75,29.8,8.45,3577
"14",1988-02-21 23:44:19.666803,1031790,-3717615,43.15,19.6,35.7,8.15,3577
"15",1988-02-28 23:50:34.753715,1031790,-3717615,43.55,19.1,36,8.2,3577
"16",1988-03-15 23:50:43.506372,1031790,-3717615,44.9,21.25,32.15,8.55,3577
"17",1988-03-31 23:50:50.616989,1031790,-3717615,20.15,27.35,51.15,12.05,3577
"18",1988-04-09 23:44:42.578049,1031790,-3717615,30.45,27.6,40.65,9.3,3577
"19",1988-04-16 23:50:54.821028,1031790,-3717615,34.95,25.6,38.35,9.15,3577
"20",1988-05-02 23:51:02.908093,1031790,-3717615,27,29.55,42.15,10.2,3577
"21",1988-05-18 23:51:13.034417,1031820,-3717615,17.9,33.5,47.3,11.6,3577
"22",1988-06-03 23:51:18.971632,1031790,-3717615,23,40,35.8,10.45,3577
"23",1988-06-12 23:45:10.889844,1031790,-3717615,18.5,41.75,38.25,11.85,3577
"24",1988-07-14 23:45:19.012966,1031790,-3717615,15.1,44.95,38.85,12.75,3577
"25",1988-07-30 23:45:21.103463,1031790,-3717615,13.35,43.25,42.15,12.75,3577
"26",1988-08-15 23:45:20.662002,1031790,-3717615,15.9,41.05,42,11.9,3577
"27",1988-08-22 23:51:34.01192,1031790,-3717615,12.5,41.3,44.75,12.95,3577
"28",1988-08-31 23:45:24.923988,1031790,-3717615,27.1,33.55,38.05,10.45,3577
"29",1988-09-23 23:51:29.798127,1031790,-3717615,26.85,28.9,43.05,10.95,3577
"30",1988-10-02 23:45:16.123735,1031790,-3717615,33.25,24.85,40.45,9.65,3577
"31",1988-10-09 23:51:24.134039,1031760,-3717675,51.5,15,32.5,6,3577
"32",1988-10-25 23:51:21.133342,1031790,-3717615,38.8,18.15,41.6,8.5,3577
"33",1988-11-10 23:51:22.643535,1031790,-3717615,34.9,19.35,44.2,9.65,3577
"34",1988-11-19 23:45:12.494922,1031790,-3717615,36.1,20.9,41.5,8.3,3577
"35",1988-11-26 23:51:23.91345,1031790,-3717615,30,19,49.65,11.25,3577
"36",1988-12-05 23:45:06.514914,1031790,-3717615,19.05,27.7,52.15,12.1,3577
"37",1988-12-12 23:51:11.471941,1031790,-3717615,33.5,23,42.2,10.15,3577
"38",1988-12-28 23:51:07.128289,1031790,-3717615,35.8,23.2,39.65,9.95,3577
"39",1989-01-13 23:50:56.903536,1031790,-3717615,32.65,23.3,42.65,9.9,3577
"40",1989-01-22 23:44:34.916284,1031790,-3717615,30.5,25.4,42.8,9.45,3577
"41",1989-01-29 23:50:48.879978,1031790,-3717615,29.55,24.55,44.6,9.7,3577
"42",1989-02-07 23:44:37.864373,1031790,-3717615,23.2,28.95,46.75,10.45,3577
"43",1989-02-14 23:50:47.822356,1031790,-3717615,31.9,27.2,39.65,9.3,3577
"44",1989-02-23 23:44:28.904136,1031790,-3717615,33.95,27.35,37.35,9,3577
"45",1989-03-02 23:50:31.525516,1031790,-3717615,35.3,26.4,36.85,9.2,3577
"46",1989-03-27 23:43:34.925201,1031790,-3717615,27.5,31.2,40,10.45,3577
"47",1989-04-03 23:49:53.477771,1031790,-3717615,22.25,32.95,43.5,11.25,3577
"48",1989-04-19 23:49:43.595547,1031790,-3717615,21.15,36.6,40.95,11.65,3577
"49",1989-04-28 23:43:25.238686,1031820,-3717555,37.5,27.5,33,16.5,3577
"50",1989-05-30 23:42:55.992094,1031790,-3717615,6.6,47.4,44.7,14.95,3577
"51",1989-06-15 23:42:27.765175,1031787.85714286,-3717640.71428571,38.2857142857143,31.4285714285714,28.4285714285714,24.1428571428571,3577
