"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-02 23:16:26.695163,52.75,37.95,8.1,19.9,1683526.5,-3792328.5,3577
"2",1987-09-18 23:16:50.189346,54.5714285714286,40.5714285714286,3.71428571428571,24.1428571428571,1683529.28571429,-3792349.28571429,3577
"3",1987-10-20 23:17:27.116374,58.6470588235294,37.4705882352941,2.41176470588235,22.7058823529412,1683530.29411765,-3792337.94117647,3577
"4",1987-11-05 23:17:46.578691,55.25,39.1,4.4,24.05,1683526.5,-3792328.5,3577
"5",1987-11-21 23:18:05.914232,53.1875,41.4375,4.0625,24.5625,1683528.75,-3792330,3577
"6",1987-12-07 23:18:19.307044,43.6666666666667,29.3333333333333,25.3333333333333,14,1683505,-3792275,3577
"7",1987-12-23 23:18:34.446726,57.75,36.55,4.25,23.65,1683526.5,-3792328.5,3577
"8",1988-01-08 23:18:50.63896,55,40.5,3,24.5,1683525,-3792375,3577
"9",1988-01-24 23:19:08.659579,53.5,41.8333333333333,3.33333333333333,24.8333333333333,1683520,-3792340,3577
"10",1988-02-09 23:19:26.478011,58.3,37.6,2.8,24.3,1683522,-3792348,3577
"11",1988-02-25 23:19:38.864111,56,37,5,25,1683585,-3792375,3577
"12",1988-03-12 23:19:48.040511,63,33,3,23.5,1683525,-3792375,3577
"13",1988-03-28 23:19:55.873397,56,42,0,24,1683465,-3792375,3577
"14",1988-04-13 23:19:59.372925,67,31,1,25,1683585,-3792375,3577
"15",1988-08-03 23:20:37.422765,38,29,31,24,1683465,-3792375,3577
"16",1988-09-04 23:20:41.685527,44.8,31.9,22.1,14.9,1683526.5,-3792328.5,3577
"17",1988-09-20 23:20:37.213792,53,44.5,1.5,24.5,1683525,-3792375,3577
"18",1988-10-06 23:20:32.158811,54.8571428571429,39.5714285714286,4.5,24.5714285714286,1683520.71428571,-3792330,3577
"19",1988-10-22 23:20:26.739623,56.4444444444444,38.2222222222222,3.88888888888889,24.5555555555556,1683535,-3792358.33333333,3577
"20",1988-11-07 23:20:29.933846,57.8666666666667,36.5333333333333,4.26666666666667,24.2,1683527,-3792335,3577
"21",1988-11-23 23:20:29.942584,56,38.8,3.7,19.9,1683526.5,-3792328.5,3577
"22",1988-12-09 23:20:19.398354,62.5,33.35,2.6,20.6,1683526.5,-3792328.5,3577
"23",1989-01-10 23:20:07.441971,56.5,41,1.5,24.5,1683525,-3792375,3577
"24",1989-08-06 23:16:48.480855,56,34,8,25,1683465,-3792375,3577
"25",1989-08-22 23:16:27.054722,55,39.6666666666667,4.33333333333333,24.3333333333333,1683545,-3792325,3577
"26",1989-09-23 23:15:38.002518,55.75,39.75,3.75,24.5,1683532.5,-3792337.5,3577
"27",1989-10-09 23:15:19.857271,56.9230769230769,34.4615384615385,7.07692307692308,21.0769230769231,1683548.07692308,-3792326.53846154,3577
"28",1989-12-28 23:12:56.679735,57.9,34.2,6.25,22.75,1683526.5,-3792328.5,3577
"29",1990-03-02 23:10:51.607051,56.5,34,8.5,23.5,1683525,-3792375,3577
"30",1990-05-05 23:10:03.632734,44.85,30.3,23.55,19.35,1683526.5,-3792328.5,3577
"31",1990-09-10 23:09:44.711458,50,29,20,24,1683585,-3792375,3577
"32",1990-09-26 23:09:37.099916,51.5294117647059,37.7647058823529,9.35294117647059,24.5882352941176,1683525,-3792330.88235294,3577
"33",1990-10-12 23:09:29.89964,55.5,37.3333333333333,5.91666666666667,24.3333333333333,1683522.5,-3792340,3577
"34",1990-10-28 23:09:22.183252,56.4666666666667,37.6,4.73333333333333,24.0666666666667,1683533,-3792333,3577
