"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-14 00:33:04.28583,3.75,26.75,68,6.875,230340,-2098800,3577
"2",1987-09-23 00:27:29.961683,3,30.5,65,7,230340,-2098800,3577
"3",1987-09-30 00:33:25.60726,5.0625,33.3125,60.125,7,230340,-2098800,3577
"4",1987-10-09 00:27:49.512142,6.0625,26.5625,65.875,7,230340,-2098800,3577
"5",1987-10-16 00:33:43.685077,5.8125,28.4375,64.25,7,230340,-2098800,3577
"6",1987-11-01 00:34:00.392168,3.1875,36.4375,59,7,230340,-2098800,3577
"7",1987-11-10 00:28:26.320059,3.0625,36,59.3125,7,230340,-2098800,3577
"8",1987-11-26 00:28:44.302102,4.25,28.6875,65.625,7,230340,-2098800,3577
"9",1987-12-03 00:34:36.969585,6,25.25,67.3125,9,230340,-2098800,3577
"10",1987-12-19 00:34:50.804626,0.1875,70.875,28.125,5.5,230340,-2098800,3577
"11",1988-01-04 00:35:06.559592,2.4375,36.875,59.25,7,230340,-2098800,3577
"12",1988-01-13 00:29:29.713814,4.8125,32.375,61.125,7,230340,-2098800,3577
"13",1988-01-20 00:35:47.976573,4.75,20.9375,72.8125,7,230340,-2098800,3577
"14",1988-02-05 00:35:42.350468,5.625,33.9375,58.9375,6.9375,230340,-2098800,3577
"15",1988-02-14 00:30:04.292464,2.25,31.9375,64.125,7,230340,-2098800,3577
"16",1988-02-21 00:35:56.665485,4.8125,28,65.5625,7,230340,-2098800,3577
"17",1988-03-01 00:30:15.379135,4.6875,23.0625,70.4375,6.9375,230340,-2098800,3577
"18",1988-03-08 00:36:06.422426,5.8125,25.25,67.4375,6.875,230340,-2098800,3577
"19",1988-03-17 00:30:24.274582,7.875,20.75,69.625,6.375,230340,-2098800,3577
"20",1988-03-24 00:36:14.877018,3.5,30,64.9375,6.8125,230340,-2098800,3577
"21",1988-04-09 00:36:20.247906,3.6875,32.4375,62.375,7,230340,-2098800,3577
"22",1988-04-18 00:30:35.675987,4.375,32.4375,61.375,7,230340,-2098800,3577
"23",1988-05-04 00:30:43.91478,7.0625,26.0625,65.4375,7.125,230340,-2098800,3577
"24",1988-05-20 00:30:53.447157,1.1875,26.9375,70.375,7,230340,-2098800,3577
"25",1988-05-27 00:36:42.315008,2.3125,30.625,65.625,7,230340,-2098800,3577
"26",1988-06-05 00:30:59.41295,1.375,23.75,73.4375,7,230340,-2098800,3577
"27",1988-06-21 00:31:04.493672,1.625,23.25,73.6875,6.8125,230340,-2098800,3577
"28",1988-06-28 00:36:53.45655,1.9375,28.125,68.5,7,230340,-2098800,3577
"29",1988-07-07 00:31:08.227672,0.625,27.375,70.875,7,230340,-2098800,3577
"30",1988-07-14 00:36:56.775065,1.375,26.75,70.5,7,230340,-2098800,3577
"31",1988-07-30 00:36:58.912811,1.0625,25.625,71.75,7,230340,-2098800,3577
"32",1988-08-24 00:31:14.517167,1.625,27.4375,69.375,7,230340,-2098800,3577
"33",1988-08-31 00:37:02.633248,2,27,69.5,7,230340,-2098800,3577
"34",1988-09-09 00:31:15.338379,3.4375,26.5625,68.6875,7,230340,-2098800,3577
"35",1988-09-25 00:31:09.02414,4.75,27.3125,66.375,7,230340,-2098800,3577
"36",1988-10-02 00:36:53.518277,2.6875,27.5,68.25,7,230340,-2098800,3577
"37",1988-10-18 00:36:48.437712,4.375,28.5,65.5625,7,230340,-2098800,3577
"38",1988-10-27 00:31:01.456688,4.25,27.875,66.1875,7,230340,-2098800,3577
"39",1988-11-03 00:36:51.637482,2.75,32.0625,63.5625,7,230340,-2098800,3577
"40",1988-11-12 00:31:03.284647,1.875,29,67.625,7,230340,-2098800,3577
"41",1988-11-28 00:31:03.614034,3.25,30.75,64.3125,6.5,230340,-2098800,3577
"42",1988-12-05 00:36:45.754277,0.5625,42.5625,55.5,6.3125,230340,-2098800,3577
