"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-07 00:28:18.91637,118740,-2651700,35.5625,29.4375,33.125,8.6875,3577
"2",1987-09-14 00:34:40.071268,118740,-2651700,35.375,27.9375,35.4375,9.0625,3577
"3",1987-09-23 00:28:41.675758,118740,-2651700,38.3125,26.125,34,8.375,3577
"4",1987-09-30 00:35:01.383415,118740,-2651700,38.4375,27,33.125,8.875,3577
"5",1987-10-09 00:29:01.238409,118740,-2651700,45.1875,25.375,27.875,7.625,3577
"6",1987-10-16 00:35:19.477815,118740,-2651700,42,23.75,32.5625,8.4375,3577
"7",1987-10-25 00:29:16.483975,118740,-2651700,42,22.25,34,7.875,3577
"8",1987-11-01 00:35:36.021409,118740,-2651700,38.0625,22.9375,37.5,8.4375,3577
"9",1987-11-10 00:29:38.06308,118740,-2651700,40.3125,21.25,36.9375,7.875,3577
"10",1987-11-17 00:35:57.315751,118740,-2651700,40.4375,21.8125,36.125,8.5625,3577
"11",1987-11-26 00:29:55.908485,118740,-2651700,43.75,21,33.8125,7.9375,3577
"12",1987-12-03 00:36:12.631624,118740,-2651700,46,21.8125,30.875,8.4375,3577
"13",1987-12-19 00:36:26.609577,118740,-2651700,36.0625,20.875,41.4375,8.5,3577
"14",1987-12-28 00:30:25.018591,118740,-2651700,29.9375,22.6875,45.8125,9.0625,3577
"15",1988-01-04 00:36:42.37672,118734,-2651700,50.1,12,36.8,7,3577
"16",1988-01-29 00:30:59.534137,118740,-2651700,42.125,24.6875,31.6875,8.0625,3577
"17",1988-02-05 00:37:18.194937,118740,-2651700,34.6875,23.375,40.375,8.8125,3577
"18",1988-02-14 00:31:16.055439,118740,-2651700,40,23.25,35.4375,8.25,3577
"19",1988-02-21 00:37:32.364131,118740,-2651700,38.875,25,34.5625,8.8125,3577
"20",1988-03-01 00:31:27.145491,118740,-2651700,41,25.9375,31.4375,8.25,3577
"21",1988-03-08 00:37:42.133324,118740,-2651700,38.9375,26.125,33.25,9.0625,3577
"22",1988-03-17 00:31:35.917406,118740,-2651700,54.4375,17.3125,26.5,6.3125,3577
"23",1988-03-24 00:37:50.577311,118740,-2651700,37.5625,25.375,35.4375,8.6875,3577
"24",1988-04-09 00:37:55.974628,118740,-2651700,29.8125,28.625,40.1875,10.3125,3577
"25",1988-04-18 00:31:47.345176,118740,-2651700,75.125,22.5,1.25,5.1875,3577
"26",1988-05-04 00:31:55.703626,118740,-2651700,62.5,31.9375,4.25,6.375,3577
"27",1988-06-05 00:32:11.091681,118740,-2651700,17.9375,42.0625,38.5625,11.9375,3577
"28",1988-06-28 00:38:29.199098,118740,-2651700,63.375,24.375,11.1875,7.5,3577
"29",1988-07-14 00:38:32.405151,118740,-2651700,20.5,36.875,41.0625,11.9375,3577
"30",1988-07-23 00:32:22.717322,118740,-2651700,20.3125,33.0625,44.875,11.0625,3577
"31",1988-07-30 00:38:34.546246,118740,-2651700,22.5625,35.25,40.625,11.1875,3577
"32",1988-08-08 00:32:22.508711,118725,-2651745,69.3333333333333,17,12,8,3577
"33",1988-08-15 00:38:33.870966,118740,-2651700,27.875,31.8125,38.75,11,3577
"34",1988-08-24 00:32:26.360966,118740,-2651700,27.5625,32.125,38.75,10.3125,3577
