"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-23 00:28:41.675758,11.08,36.28,51.32,8.48,193665,-2586795,3577
"2",1987-10-09 00:29:01.238409,12.88,31.24,54.44,8.24,193665,-2586795,3577
"3",1987-10-25 00:29:16.483975,10.2,33.4,54.72,8,193665,-2586795,3577
"4",1987-11-10 00:29:38.06308,11.8,34,52.92,8,193665,-2586795,3577
"5",1987-11-26 00:29:55.908485,12.68,29.88,55.96,8.16,193665,-2586795,3577
"6",1988-01-13 00:30:41.49219,11.92,20.36,66.28,6.68,193665,-2586795,3577
"7",1988-01-29 00:30:59.534137,13.2,24.44,60.68,7.44,193665,-2586795,3577
"8",1988-02-14 00:31:16.055439,10.44,28.92,59.08,7.44,193665,-2586795,3577
"9",1988-03-01 00:31:27.145491,12.16,24.44,61.76,7.4,193665,-2586795,3577
"10",1988-03-17 00:31:35.917406,10.44,21.68,66.24,6.88,193665,-2586795,3577
"11",1988-04-18 00:31:47.345176,13.68,32,52.76,7.6,193665,-2586795,3577
"12",1988-05-04 00:31:55.703626,21.24,28.64,48.64,7.88,193665,-2586795,3577
"13",1988-06-05 00:32:11.091681,30.04,38.32,30.16,9.44,193665,-2586795,3577
"14",1988-07-23 00:32:22.717322,29.4,40.96,28.4,9.88,193665,-2586795,3577
"15",1988-08-08 00:32:22.508711,28.28,33.44,36.96,8.44,193665,-2586795,3577
"16",1988-08-24 00:32:26.360966,20.76,41.72,36.08,9.84,193665,-2586795,3577
"17",1988-09-09 00:32:27.179689,20.84,37.04,40.64,8.88,193665,-2586795,3577
"18",1988-09-25 00:32:20.877865,15.84,33.48,49.12,8.56,193665,-2586795,3577
"19",1988-10-11 00:32:15.139003,14.48,36.76,47.48,8.44,193665,-2586795,3577
"20",1988-10-27 00:32:13.169029,13.8,37.44,47.4,8.4,193665,-2586795,3577
"21",1988-11-12 00:32:15.005732,13.68,35.28,49.6,8.16,193665,-2586795,3577
"22",1988-12-14 00:32:02.313792,15.8,33.72,49.04,8.68,193665,-2586795,3577
"23",1988-12-30 00:31:58.783444,14.48,37.52,46.48,9.72,193665,-2586795,3577
"24",1989-01-15 00:31:48.148204,14.36,33.56,50.56,8.32,193665,-2586795,3577
"25",1989-03-04 00:31:22.279324,14.6,30.08,53.84,7.8,193665,-2586795,3577
"26",1989-04-21 00:30:33.550254,22.76,36.16,39.64,8.76,193665,-2586795,3577
"27",1989-05-07 00:30:23.525936,23.24,37,38.6,9,193665,-2586795,3577
"28",1989-05-23 00:30:04.263188,20.64,39.56,38.56,9.24,193665,-2586795,3577
"29",1989-06-24 00:29:25.009735,5.04,22.36,71.28,4.28,193665,-2586795,3577
"30",1989-07-26 00:28:49.798411,7.64,15.88,74.8,8.12,193665,-2586795,3577
"31",1989-08-11 00:28:28.108203,1.56521739130435,37,59.9565217391304,15.695652173913,193663.695652174,-2586798.91304348,3577
"32",1989-08-27 00:28:08.537404,11.04,31.32,56.2,8.16,193665,-2586795,3577
"33",1989-09-12 00:27:39.453246,10.8,31.6,56.24,7.88,193665,-2586795,3577
"34",1989-09-28 00:27:23.671697,9.56,32,56.96,8.24,193665,-2586795,3577
"35",1989-10-14 00:26:53.036631,11.84,31.88,54.88,8.12,193665,-2586795,3577
"36",1989-11-15 00:25:49.777479,9.56,34.72,54.28,7.72,193665,-2586795,3577
"37",1990-01-02 00:24:09.790022,15.5,19,64,7,193710,-2586735,3577
"38",1990-02-03 00:23:33.333051,14.52,25.24,58.76,7.52,193665,-2586795,3577
"39",1990-04-08 00:21:46.502992,11.72,28.56,58.28,7.24,193665,-2586795,3577
"40",1990-04-24 00:21:54.180657,11.24,29.36,58.04,7.68,193665,-2586795,3577
"41",1990-05-10 00:21:53.800035,11.08,27,60.44,7.4,193665,-2586795,3577
"42",1990-05-26 00:21:50.203432,10.24,31.4,57,7.96,193665,-2586795,3577
"43",1990-06-11 00:21:50.648536,5.4,40.92,52.6,9.96,193665,-2586795,3577
"44",1990-06-27 00:21:49.403966,14.72,29.56,54.28,8,193665,-2586795,3577
"45",1990-07-13 00:21:47.108968,16.52,33.48,48.56,8.24,193665,-2586795,3577
"46",1990-08-14 00:21:38.586049,16.6,31.92,49.92,8,193665,-2586795,3577
"47",1990-10-17 00:21:13.485191,12.32,28.24,57.96,7.68,193665,-2586795,3577
"48",1990-11-02 00:21:03.562288,10.8,27.52,60.08,7.52,193665,-2586795,3577
"49",1990-12-04 00:20:50.253222,11.72,33.2,53.64,8,193665,-2586795,3577
"50",1990-12-20 00:21:11.517458,10.88,30.8,56.8,7.76,193665,-2586795,3577
"51",1991-01-21 00:22:04.687917,11.04,31.12,56.28,7.6,193665,-2586795,3577
"52",1991-02-22 00:22:37.390063,21.2,30.6,46.56,7.84,193665,-2586795,3577
"53",1991-03-10 00:22:56.897728,17.92,29.52,51.28,7.72,193665,-2586795,3577
"54",1991-03-26 00:23:15.661266,13.36,30.28,54.92,7.52,193665,-2586795,3577
"55",1991-04-11 00:23:30.211345,13.08,29.16,56.32,7.52,193665,-2586795,3577
"56",1991-04-27 00:23:44.968129,11.48,29.72,57.28,7.4,193665,-2586795,3577
"57",1991-05-13 00:24:03.421428,11.32,27.72,59.4,7.36,193665,-2586795,3577
"58",1991-05-29 00:24:19.159661,11.28,31.2,55.92,7.52,193665,-2586795,3577
"59",1991-06-14 00:24:26.318256,4.4,37.48,56.88,6.72,193665,-2586795,3577
"60",1991-06-30 00:24:47.737846,10.08,31.04,57.56,7.44,193665,-2586795,3577
"61",1991-07-16 00:24:58.201035,11.2,30.92,56.28,7.8,193665,-2586795,3577
"62",1991-10-04 00:25:38.902754,8.72,27.76,62.12,7.36,193665,-2586795,3577
"63",1991-10-20 00:25:49.766582,8.68,26.8,62.92,7.2,193665,-2586795,3577
"64",1991-11-05 00:25:49.825066,0.538461538461538,42.3076923076923,55.9230769230769,5,193681.153846154,-2586825,3577
"65",1991-12-23 00:25:59.895588,9.12,25,64.4,7.08,193665,-2586795,3577
"66",1992-01-08 00:25:54.634682,9.6,25.24,63.64,6.92,193665,-2586795,3577
"67",1992-01-24 00:25:55.8023,2,95.4,0,2,193611,-2586789,3577
"68",1992-02-09 00:25:51.064352,9.32,28.16,61,7.4,193665,-2586795,3577
"69",1992-02-25 00:25:51.527773,9,22.68,66.84,6.8,193665,-2586795,3577
"70",1992-03-28 00:25:43.635676,8.76,25.24,64.52,6.72,193665,-2586795,3577
"71",1992-04-13 00:25:38.588075,6.44,30.92,60.88,7.88,193665,-2586795,3577
"72",1992-05-31 00:25:13.206935,8.24,28.36,61.88,7.36,193665,-2586795,3577
"73",1992-07-02 00:24:49.949232,9.32,28.16,60.88,7.36,193665,-2586795,3577
"74",1992-07-18 00:24:38.104495,7.24,27.64,63.56,7.2,193665,-2586795,3577
"75",1992-08-03 00:24:25.775844,8.72,25.08,64.72,6.96,193665,-2586795,3577
"76",1992-08-19 00:24:09.224641,7.68,24.8,66,7.16,193665,-2586795,3577
"77",1992-09-04 00:23:55.560114,7.84,25,65.32,7.44,193665,-2586795,3577
"78",1992-11-07 00:22:50.434647,8.72,22.76,66.84,7.08,193665,-2586795,3577
"79",1992-11-23 00:22:39.929533,8.48,20.64,69.28,6.8,193665,-2586795,3577
"80",1993-01-10 00:23:14.524345,9.44,24,65,7.48,193665,-2586795,3577
"81",1993-02-11 00:23:35.913605,9.44,25.08,64,7.12,193665,-2586795,3577
"82",1993-03-15 00:23:50.266219,11.2,20.24,67.16,6.84,193665,-2586795,3577
"83",1993-03-31 00:23:52.149784,11.76,22.16,64.56,7.32,193665,-2586795,3577
"84",1993-06-19 00:24:10.345597,14.88,29.48,54.24,7.48,193665,-2586795,3577
"85",1993-07-21 00:24:03.531952,16.16,23.08,59.12,7.24,193665,-2586795,3577
"86",1993-08-06 00:24:03.169313,22.08,23.88,52.6,7.52,193665,-2586795,3577
"87",1993-08-22 00:24:02.731923,22.96,26.12,49.52,7.88,193665,-2586795,3577
"88",1993-09-07 00:24:01.514526,14.24,30.28,53.6,14.36,193665,-2586795,3577
"89",1993-09-23 00:23:58.415934,19.44,33.56,45.36,8.48,193665,-2586795,3577
"90",1993-10-25 00:23:47.794378,3.66666666666667,26.6666666666667,67.6666666666667,22.3333333333333,193715,-2586745,3577
"91",1993-12-12 00:23:29.298651,15.92,33.12,49.56,8.72,193665,-2586795,3577
"92",1994-01-29 00:22:54.519599,12.24,34.92,51.4,7.88,193665,-2586795,3577
"93",1994-04-19 00:21:40.061827,15,33.16,50.32,8.48,193665,-2586795,3577
"94",1994-05-21 00:21:05.83696,14.36,35.48,48.92,8.32,193665,-2586795,3577
"95",1994-06-22 00:20:26.002829,13.72,35.4,49.52,8.64,193665,-2586795,3577
"96",1994-07-08 00:20:00.386835,13,35.68,50.04,8.64,193665,-2586795,3577
"97",1994-07-24 00:19:33.729288,12.24,32.76,53.76,8.28,193665,-2586795,3577
"98",1994-08-25 00:18:45.511249,10.68,32.8,55.2,7.84,193665,-2586795,3577
"99",1994-09-10 00:18:21.620915,10.52,34.72,53.4,8.08,193665,-2586795,3577
"100",1994-09-26 00:17:55.281374,10.08,35.44,53.16,7.68,193665,-2586795,3577
"101",1994-12-15 00:15:19.607335,13.12,26.72,58.6,7.08,193665,-2586795,3577
"102",1994-12-31 00:14:47.970407,11.88,24.8,61.72,7.4,193665,-2586795,3577
"103",1995-03-05 00:12:18.768171,22.04,35.08,41.44,8.24,193665,-2586795,3577
"104",1995-04-06 00:11:00.288,8.43478260869565,45.3478260869565,44.8695652173913,6.52173913043478,193670.217391304,-2586796.30434783,3577
"105",1995-04-22 00:10:19.927002,16.96,28.52,53.12,7.6,193665,-2586795,3577
"106",1995-05-24 00:08:53.180715,16.84,32.24,49.4,8.24,193665,-2586795,3577
"107",1995-08-12 00:05:15.199246,19.64,27.56,51.24,8.24,193665,-2586795,3577
"108",1995-08-28 00:04:30.522804,16.88,26.64,54.88,7.68,193665,-2586795,3577
"109",1995-12-02 00:01:38.947605,11.68,32.4,54.6,8.16,193665,-2586795,3577
"110",1995-12-18 00:02:54.944236,4.56,30.32,63.68,5.72,193665,-2586795,3577
"111",1996-02-20 00:07:25.439252,13.84,26.2,58.32,7.44,193665,-2586795,3577
