"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-05 00:37:26.046564,87615,-1353645,16.72,34.84,47.24,12.36,3577
"2",1987-09-12 00:43:47.40652,87615,-1353645,16.04,35.16,47.4,12.16,3577
"3",1987-09-21 00:37:49.130181,87615,-1353645,16.08,32.8,49.84,11.36,3577
"4",1987-09-28 00:44:09.094511,87615,-1353645,16.68,35.04,47,11.16,3577
"5",1987-10-07 00:38:09.103012,87615,-1353645,20.08,34.08,44.48,10.88,3577
"6",1987-10-14 00:44:27.635901,87615,-1353645,19.56,32.16,46.72,10.56,3577
"7",1987-10-23 00:38:25.100782,87615,-1353645,14.2,35.16,49.36,10.56,3577
"8",1987-10-30 00:44:43.211704,87615,-1353645,12.4,34.76,51.32,10.88,3577
"9",1987-11-08 00:38:45.651122,87615,-1353645,7.56,39.32,51.72,11.68,3577
"10",1987-11-15 00:45:05.43377,87615,-1353645,7.08,42.96,48.68,13.16,3577
"11",1987-11-24 00:39:04.31378,87615,-1353645,14.04,46.44,38.36,12.6,3577
"12",1987-12-01 00:45:21.342428,87615,-1353645,25.76,50.16,22.92,10.88,3577
"13",1987-12-10 00:39:17.053459,87615,-1353645,10.72,63.12,24.84,13.08,3577
"14",1987-12-17 00:45:35.098704,87615,-1353645,0,28.12,69.92,2.08,3577
"15",1987-12-26 00:39:33.137904,87615,-1353645,4.08,64.08,30.72,18.12,3577
"16",1988-01-11 00:39:49.323871,87615,-1353645,14.28,60.16,24.52,13.4,3577
"17",1988-01-18 00:46:07.961331,87615,-1353645,27.68,55.88,15.72,18.72,3577
"18",1988-01-27 00:40:07.300761,87615,-1353645,11.48,67.08,20,14.76,3577
"19",1988-03-06 00:46:51.183165,87615,-1353645,0.56,75.08,22.84,19.56,3577
"20",1988-03-15 00:40:45.369136,87615,-1353645,0.88,75.84,21.88,18.96,3577
"21",1988-03-22 00:46:59.793291,87615,-1353645,0.08,78.68,19.88,19.84,3577
"22",1988-03-31 00:40:52.677716,87615,-1353645,0.32,70.84,27.84,14.8,3577
"23",1988-04-07 00:47:06.061175,87615,-1353645,0.04,78.04,20.68,19.84,3577
"24",1988-04-23 00:47:10.673712,87615,-1353645,1.16,66.96,30.52,18.08,3577
"25",1988-05-02 00:41:04.094911,87615,-1353645,2.04,63.24,33.44,16.72,3577
"26",1988-05-09 00:47:20.408435,87615,-1353645,1.16,61.32,36.24,17.52,3577
"27",1988-05-18 00:41:14.531923,87607,-1353617,8.4,53.1333333333333,36.8,9,3577
"28",1988-05-25 00:47:27.770605,87615,-1353645,1.32,58.6,38.92,17,3577
"29",1988-06-03 00:41:20.660926,87615,-1353645,1.4,52.64,44.76,15.16,3577
"30",1988-06-10 00:47:32.973889,87615,-1353645,4.72,48.64,45.48,17.2,3577
"31",1988-06-19 00:41:25.988933,87615,-1353645,3.56,47.92,47.2,14.68,3577
"32",1988-06-26 00:47:38.893139,87615,-1353645,3.28,49.88,45.4,14.68,3577
"33",1988-07-05 00:41:30.101078,87615,-1353645,3.32,48.16,47.28,13.8,3577
"34",1988-07-12 00:47:42.382581,87615,-1353645,2.72,49.36,46.64,14.2,3577
"35",1988-07-21 00:41:32.547421,87615,-1353645,3.36,42.6,52.68,12.72,3577
"36",1988-07-28 00:47:44.864757,87615,-1353645,4.92,43.92,49.92,13.24,3577
"37",1988-08-06 00:41:33.353438,87615,-1353645,5,41.68,52.08,12.36,3577
"38",1988-08-13 00:47:43.505867,87615,-1353645,6.08,40.32,52.12,12.36,3577
"39",1988-08-29 00:47:48.496999,87615,-1353645,5.4,41.44,52.12,12.56,3577
"40",1988-09-07 00:41:37.583153,87615,-1353600,6.4,32.8,59.3,15.2,3577
"41",1988-09-23 00:41:32.324755,87615,-1353645,48.68,14.16,35.72,15.48,3577
"42",1988-09-30 00:47:38.879488,87615,-1353645,37.12,15.32,46.16,14.04,3577
"43",1988-10-09 00:41:26.796096,87675,-1353585,0,8,90,2,3577
"44",1988-10-16 00:47:34.609332,87615,-1353645,28.8,20.04,49.76,13.04,3577
"45",1988-10-25 00:41:23.414869,87615,-1353645,28.6,23.68,46.52,12.96,3577
"46",1988-11-01 00:47:37.208617,87615,-1353645,21.36,26.92,50.36,11.68,3577
"47",1988-11-10 00:41:25.516075,87588.75,-1353671.25,0,11.25,86.375,2.125,3577
"48",1988-12-12 00:41:14.200072,87615,-1353645,15.32,40.2,44.12,8.96,3577
"49",1988-12-19 00:47:21.040862,87615,-1353645,22.76,51.16,25.04,18.36,3577
"50",1989-01-04 00:47:19.954395,87615,-1353645,6.72,67.8,24.08,18.12,3577
"51",1989-02-05 00:47:03.276165,87615,-1353645,18.64,61,19.36,18.96,3577
"52",1989-03-02 00:40:35.314591,87615,-1353645,10.88,65.12,22.84,14.52,3577
"53",1989-03-25 00:45:56.354748,87610.7142857143,-1353645,40.5,51.8571428571429,6.57142857142857,9.85714285714286,3577
"54",1989-04-19 00:39:47.79358,87615,-1353645,2.64,65.12,30.84,18.44,3577
"55",1989-05-05 00:39:35.380229,87633.75,-1353663.75,6.625,54,37.875,24.625,3577
"56",1989-05-21 00:39:15.064928,87615,-1353645,1.84,56.04,40.88,16.72,3577
"57",1989-05-28 00:45:22.104517,87615,-1353645,5.08,50.36,43.28,17.48,3577
"58",1989-06-13 00:44:59.423232,87615,-1353645,5.2,46.96,46.56,16.76,3577
"59",1989-06-22 00:38:36.312452,87615,-1353645,7.64,44.2,46.92,15.28,3577
"60",1989-06-29 00:44:43.648995,87615,-1353645,6.36,45,47.28,15.84,3577
"61",1989-07-08 00:38:21.228973,87615,-1353645,7.92,43.2,47.56,14.52,3577
"62",1989-07-15 00:44:23.580303,87615,-1353645,6.48,43.24,48.96,14.44,3577
"63",1989-07-24 00:38:02.345002,87615,-1353645,6.2,44.48,48,14,3577
"64",1989-07-31 00:44:04.880835,87615,-1353645,6.96,44.24,47.6,14.4,3577
"65",1989-08-09 00:37:41.57141,87615,-1353645,8.48,39.72,50.32,13.6,3577
"66",1989-08-16 00:43:41.599689,87615,-1353645,9.36,40,49.44,13.4,3577
"67",1989-08-25 00:37:20.615841,87615,-1353645,8.6,38.24,51.72,12.68,3577
"68",1989-09-01 00:43:22.755578,87615,-1353645,7.64,39.8,51.08,12.64,3577
"69",1989-09-10 00:36:55.699135,87615,-1353645,5.88,36.52,56.24,11.64,3577
"70",1989-09-17 00:42:49.822353,87615,-1353645,7.44,37.24,54,11.76,3577
"71",1989-09-26 00:36:34.127675,87615,-1353645,23.44,28.04,47.24,13.08,3577
"72",1989-10-12 00:36:08.991554,87615,-1353645,22.2,31.52,44.96,12.08,3577
"73",1989-11-04 00:41:41.589934,87615,-1353645,15.56,35.48,47.64,13.28,3577
"74",1989-11-13 00:35:07.576183,87615,-1353645,8.6,48.52,41.68,14.6,3577
"75",1989-11-20 00:41:00.191135,87615,-1353645,17.08,35.72,46.24,9.52,3577
"76",1989-12-15 00:34:19.14592,87642.8571428571,-1353640.71428571,0,21.3571428571429,76.5714285714286,2.92857142857143,3577
"77",1989-12-22 00:40:16.204699,87615,-1353645,5.24,65.72,27.56,16.4,3577
"78",1989-12-31 00:33:49.078692,87615,-1353645,5.48,67.08,25.8,16.6,3577
"79",1990-02-17 00:32:16.695025,87615,-1353645,1.8,70.68,26,16.64,3577
"80",1990-03-05 00:31:43.891166,87615,-1353645,8.72,56.96,33.36,12.92,3577
"81",1990-04-22 00:31:05.122871,87615,-1353645,1.32,65.6,31.6,17.44,3577
"82",1990-04-29 00:37:08.352356,87615,-1353645,1.76,60.56,36.4,18.12,3577
"83",1990-05-15 00:37:17.186987,87555,-1353645,1,58.2,39.6,17.8,3577
