"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-16 00:22:45.286481,309585,-2762700,65.2,0,33.85,6.05,3577
"2",1987-10-02 00:23:06.431272,309585,-2762700,68.55,0.45,29.6,6,3577
"3",1987-11-03 00:23:41.529792,309585,-2762700,55.3,0,43.95,5.85,3577
"4",1987-11-19 00:24:01.964318,309585,-2762700,67.15,0,31.85,6.1,3577
"5",1987-12-05 00:24:16.570332,309585,-2762700,72.7,0.2,25.85,5.75,3577
"6",1987-12-21 00:24:30.831627,309585,-2762700,57.35,0,41.85,5.95,3577
"7",1988-01-06 00:24:46.727019,309585,-2762702.36842105,59.7368421052632,0.315789473684211,38.9473684210526,5.78947368421053,3577
"8",1988-01-22 00:25:04.113805,309585,-2762700,73,0.55,25.15,5.25,3577
"9",1988-02-07 00:25:22.744802,309585,-2762700,67.95,0,31.1,5.95,3577
"10",1988-02-23 00:25:36.442076,309585,-2762700,73.1,0.1,25.75,5.8,3577
"11",1988-03-10 00:25:45.754322,309585,-2762700,74.5,0.25,23.95,5.45,3577
"12",1988-03-26 00:25:53.933499,309585,-2762700,66.95,0.05,32.1,5.35,3577
"13",1988-04-11 00:25:58.588445,309579.375,-2762705.625,46.375,1.0625,51.125,6.25,3577
"14",1988-04-27 00:26:03.780747,309585,-2762702.36842105,59.4736842105263,3.05263157894737,36.0526315789474,5.68421052631579,3577
"15",1988-05-13 00:26:15.035852,309585,-2762700,59.05,6.2,33.3,6.15,3577
"16",1988-05-29 00:26:21.66117,309579.375,-2762705.625,35.3125,9.625,53.5,7.75,3577
"17",1988-06-14 00:26:27.30438,309585,-2762702.36842105,48.2631578947368,12.6842105263158,37.6842105263158,6.89473684210526,3577
"18",1988-06-30 00:26:32.255043,309585,-2762700,53.45,9.9,35.25,6.9,3577
"19",1988-08-01 00:26:37.201395,309585,-2762700,57.85,4.6,36.15,6.2,3577
"20",1988-09-02 00:26:40.768362,309585,-2762702.36842105,55.4736842105263,2.47368421052632,40.4736842105263,6.15789473684211,3577
"21",1988-09-18 00:26:37.190904,309585,-2762700,69.25,1.85,27.5,5.55,3577
"22",1988-10-04 00:26:31.929531,309585,-2762700,66.65,1.2,30.55,5.35,3577
"23",1988-10-20 00:26:25.797144,309585,-2762700,63.15,0.45,35.3,5.95,3577
"24",1988-11-21 00:26:28.727338,309585,-2762700,65.6,0,33.4,5.6,3577
"25",1988-12-23 00:26:11.027013,309585,-2762700,63.4,0.05,35.45,5.75,3577
"26",1989-01-08 00:26:10.220382,309592.5,-2762670,70.75,4.75,22.75,15.75,3577
"27",1989-02-09 00:25:52.828353,309585,-2762700,58.7,0.55,39.7,5.45,3577
"28",1989-02-25 00:25:44.086875,309585,-2762700,66.05,0.15,32.55,5.35,3577
"29",1989-04-14 00:24:59.433496,309579,-2762707,34.8,8.06666666666667,55.6666666666667,7.26666666666667,3577
"30",1989-05-16 00:24:23.556916,309585,-2762700,52.45,7.8,38.3,6.85,3577
"31",1989-06-17 00:23:43.539791,309585,-2762700,54.7,5.45,38.2,6.7,3577
"32",1989-08-20 00:22:28.701562,309585,-2762700,63.7,0.4,34.75,6.05,3577
"33",1989-09-21 00:21:37.965772,309580,-2762695,72.0833333333333,1.25,25.25,22.75,3577
"34",1989-11-08 00:20:25.716943,309585,-2762700,62.35,0,36.75,5.55,3577
"35",1989-11-24 00:19:51.362656,309579.375,-2762705.625,48.3125,0.4375,50.1875,6.25,3577
"36",1989-12-10 00:19:29.470523,309585,-2762700,66.85,0,32.25,5.7,3577
"37",1989-12-26 00:19:02.921968,309585,-2762700,54.8,0,44.2,6.65,3577
"38",1990-02-12 00:17:29.280186,309585,-2762700,69.65,0,29.5,5.65,3577
"39",1990-02-28 00:16:58.125721,309585,-2762700,64.35,0,34.7,5.65,3577
"40",1990-03-16 00:16:24.88793,309585,-2762700,67.8,0,31.25,5.55,3577
"41",1990-04-01 00:15:56.956948,309585,-2762700,67.5,0.2,31.5,5.5,3577
"42",1990-05-03 00:15:59.343616,309585,-2762700,72.15,0,26.85,5.65,3577
"43",1990-06-04 00:16:04.044483,309579.375,-2762705.625,40.25,0,58.8125,6.5625,3577
"44",1990-07-06 00:16:00.78858,309585,-2762702.36842105,55.9473684210526,3.73684210526316,39.2631578947368,7.26315789473684,3577
"45",1990-07-22 00:15:56.796617,309585,-2762700,60.1,3.1,35.4,5.8,3577
"46",1990-08-07 00:15:52.891294,309585,-2762700,58.7,1.3,38.85,6.2,3577
"47",1990-08-23 00:15:47.892173,309585,-2762700,59.2,0.4,39.45,6.35,3577
"48",1990-09-08 00:15:42.720741,309585,-2762700,66.75,0,32.25,6.1,3577
"49",1990-09-24 00:15:38.959814,309585,-2762700,65.65,0,33.4,5.9,3577
"50",1990-10-26 00:15:24.044448,309585,-2762700,71.45,0,27.65,5.65,3577
"51",1990-11-11 00:15:23.469087,309585,-2762700,69.85,0,29.25,5.7,3577
"52",1990-11-27 00:15:11.175389,309585,-2762700,69.15,0,29.8,5.7,3577
"53",1990-12-13 00:15:13.53724,309585,-2762700,69.4,0.05,29.55,5.85,3577
"54",1990-12-29 00:15:36.672313,309585,-2762700,69.2,0.1,29.75,5.65,3577
"55",1991-01-14 00:16:05.625088,309585,-2762700,67.35,0,31.55,5.8,3577
"56",1991-02-15 00:16:42.615905,309585,-2762700,66.8,0,32.2,5.85,3577
"57",1991-03-03 00:16:59.522586,309585,-2762700,73.1,0,25.95,5.55,3577
"58",1991-03-19 00:17:21.847445,309585,-2762700,67.9,0,31.15,5.5,3577
"59",1991-04-04 00:17:32.644797,309585,-2762700,74.25,0,24.85,5.4,3577
"60",1991-04-20 00:17:50.643234,309585,-2762700,74.1,0,25.1,5.4,3577
"61",1991-05-06 00:18:10.919489,309585,-2762700,73.95,0,25.15,5.3,3577
"62",1991-05-22 00:18:26.198471,309585,-2762700,69.85,0,29.35,5.15,3577
"63",1991-06-07 00:18:40.909887,309585,-2762700,67.95,0,31.25,5.75,3577
"64",1991-06-23 00:18:53.621826,309585,-2762700,69.8,0.85,28.4,6.25,3577
"65",1991-07-09 00:19:06.196406,309585,-2762700,72.2,0,26.85,5.8,3577
"66",1991-07-25 00:19:20.331195,309645,-2762670,55.5,0,44.5,6,3577
"67",1991-08-10 00:19:24.372645,309585,-2762700,76.3,0,22.7,5.9,3577
"68",1991-08-26 00:19:31.40706,309585,-2762700,77.3,0,21.9,5.7,3577
"69",1991-09-11 00:19:44.340018,309585,-2762700,77.3,0.2,21.4,5.65,3577
"70",1991-09-27 00:19:48.213523,309585,-2762700,73.05,0,26.05,5.75,3577
"71",1991-11-14 00:20:05.447,309585,-2762700,71.55,0,27.45,5.75,3577
"72",1991-11-30 00:20:16.800093,309585,-2762700,74.3,0,24.75,5.7,3577
"73",1991-12-16 00:20:17.743022,309585,-2762700,73.5,0,25.7,6,3577
"74",1992-01-17 00:20:07.969092,309585,-2762700,73.6,0,25.4,5.9,3577
"75",1992-02-18 00:20:01.818507,309585,-2762700,74.2,0,24.85,5.75,3577
"76",1992-03-05 00:20:02.798895,309581.470588235,-2762702.64705882,64.0588235294118,0,35.1764705882353,6.05882352941176,3577
"77",1992-03-21 00:20:03.589375,309585,-2762700,74.55,0,24.4,5.25,3577
"78",1992-04-06 00:19:54.40185,309585,-2762700,70.9,0,28.35,5.25,3577
"79",1992-04-22 00:19:46.630593,309585,-2762700,62.35,0,36.85,5,3577
"80",1992-05-08 00:19:37.269549,309585,-2762700,68.2,0,31.1,5.75,3577
"81",1992-06-09 00:19:20.78229,309585,-2762700,68.55,0.15,30.45,6.6,3577
"82",1992-06-25 00:19:08.431764,309585,-2762700,75.5,0,23.65,6.05,3577
"83",1992-07-11 00:18:56.466348,309585,-2762700,75.65,0,23.6,5.85,3577
"84",1992-07-27 00:18:43.997052,309585,-2762700,78.4,0,20.7,5.85,3577
"85",1992-08-28 00:18:14.963005,309585,-2762700,72.95,0,26.1,5.85,3577
"86",1992-09-13 00:18:01.490707,309585,-2762700,75.2,0,23.9,5.85,3577
"87",1992-09-29 00:17:41.662409,309585,-2762700,64.55,0,34.8,5.95,3577
"88",1993-01-19 00:17:34.285806,309585,-2762700,65.35,0,33.65,6.05,3577
"89",1993-02-04 00:17:45.349345,309585,-2762700,67.35,0,31.8,6.1,3577
"90",1993-02-20 00:17:51.22828,309585,-2762700,72.25,0,27,5.8,3577
"91",1993-03-08 00:18:01.344582,309585,-2762700,75.3,0,23.75,5.7,3577
"92",1993-04-09 00:18:08.577371,309585,-2762700,77.7,0,21.4,5.7,3577
"93",1993-04-25 00:18:18.027104,309585,-2762700,78.8,0,20.35,5.7,3577
"94",1993-05-27 00:18:25.255971,309579,-2762707,46.0666666666667,0.2,52.6666666666667,6.26666666666667,3577
"95",1993-06-28 00:18:19.314046,309585,-2762700,41,8.9,48.75,4,3577
"96",1993-08-31 00:18:15.496577,309585,-2762700,66.6,1.45,30.7,6.05,3577
"97",1993-10-18 00:18:03.818805,309585,-2762700,50.2,0,49.05,6,3577
"98",1993-11-03 00:17:57.362256,309585,-2762700,67,0,32.1,6.35,3577
"99",1993-12-21 00:17:37.732295,309585,-2762700,54.55,0.15,44.35,7.7,3577
"100",1994-01-22 00:17:10.742709,309585,-2762700,66.15,0,32.95,6.4,3577
"101",1994-03-27 00:16:18.899709,309585,-2762700,67.15,0,31.95,6.7,3577
"102",1994-04-12 00:16:00.348404,309585,-2762700,70,0,29,6.6,3577
"103",1994-04-28 00:15:44.055305,309585,-2762700,67.65,0,31.6,6.7,3577
"104",1994-05-14 00:15:26.011852,309585,-2762700,72.9,0,26.3,6.5,3577
"105",1994-05-30 00:15:09.343693,309585,-2762700,70.25,0,28.85,6.8,3577
"106",1994-06-15 00:14:49.174303,309585,-2762700,70.35,0.1,28.85,6.85,3577
"107",1994-07-01 00:14:25.593325,309585,-2762700,70.6,0,28.55,6.65,3577
"108",1994-07-17 00:13:58.824445,309585,-2762700,73.4,0,25.8,6.4,3577
"109",1994-08-02 00:13:31.417341,309585,-2762700,72.4,0,26.7,6.35,3577
"110",1994-08-18 00:13:08.737744,309585,-2762700,71.65,0,27.45,6.5,3577
"111",1994-09-03 00:12:45.702204,309585,-2762700,70.75,0,28.4,6.3,3577
"112",1994-10-21 00:11:21.459208,309585,-2762700,67.1,0,32.15,6.35,3577
"113",1994-11-22 00:10:13.650288,309585,-2762700,71.1,0,28,6.35,3577
"114",1994-12-08 00:09:45.883106,309592.5,-2762726.25,52.375,0,47,7,3577
"115",1994-12-24 00:09:15.448855,309585,-2762700,71,0.15,27.75,6.4,3577
"116",1995-01-09 00:08:42.195048,309585,-2762700,71.9,0,27.15,6.5,3577
"117",1995-01-25 00:08:06.069851,309579.375,-2762705.625,62.25,0.75,35.625,6.0625,3577
"118",1995-02-10 00:07:26.972498,309585,-2762700,65.3,0.75,32.6,6.15,3577
"119",1995-02-26 00:06:48.756006,309585,-2762700,63,0,36.1,5.1,3577
"120",1995-03-14 00:06:09.820525,309585,-2762700,70.15,0,28.95,6,3577
"121",1995-03-30 00:05:30.586042,309585,-2762700,70.9,0.1,28,5.95,3577
"122",1995-04-15 00:04:51.162172,309585,-2762700,67.3,0,31.9,6.15,3577
"123",1995-06-02 00:02:40.64528,309585,-2762700,70.05,0,29.1,5.9,3577
"124",1995-07-04 00:01:13.561987,309585,-2762702.36842105,53.3157894736842,0.0526315789473684,45.5789473684211,6.26315789473684,3577
"125",1995-07-20 00:00:30.057763,309585,-2762702.36842105,61.5263157894737,0.368421052631579,37.0526315789474,6.47368421052632,3577
"126",1995-10-07 23:56:39.348211,309585,-2762700,66.65,0.15,32.05,6,3577
"127",1995-10-23 23:55:46.053376,309565,-2762680,61.6666666666667,0,37.5,6.66666666666667,3577
"128",1995-11-24 23:55:38.524552,309585,-2762700,69.7,0,29.5,6.1,3577
"129",1996-01-27 00:00:04.116477,309585,-2762700,66.5,0,32.75,7.65,3577
"130",1996-02-13 00:01:10.193532,309585,-2762700,74.2,0,24.95,5.95,3577
"131",1996-02-29 00:02:14.71297,309585,-2762700,60.6,0.05,38.5,7.2,3577
"132",1996-04-01 00:04:18.413213,309585,-2762700,71.1,0,28.15,5.65,3577
"133",1996-04-17 00:05:17.907766,309596.538461538,-2762712.69230769,54.6923076923077,0,44.8461538461538,8.76923076923077,3577
"134",1996-05-03 00:06:15.495692,309585,-2762700,67.75,0,31.35,7.6,3577
"135",1996-05-19 00:07:11.328713,309585,-2762700,54.95,0,44.55,7.25,3577
"136",1996-06-20 00:08:56.990165,309585,-2762700,79.2,0,19.85,5.2,3577
"137",1996-07-06 00:09:47.005191,309565.909090909,-2762704.09090909,35.9090909090909,0,63.8181818181818,10.5454545454545,3577
"138",1996-07-22 00:10:37.830515,309581.470588235,-2762702.64705882,65.9411764705882,0.705882352941177,32.2352941176471,5.82352941176471,3577
"139",1996-08-07 00:11:28.571643,309585,-2762702.36842105,71.0526315789474,2.42105263157895,25.1578947368421,6.10526315789474,3577
"140",1996-08-23 00:12:18.256931,309585,-2762700,65.2,0,33.8,6.15,3577
"141",1996-09-08 00:13:12.733921,309585,-2762700,74.45,0.05,24.45,6.15,3577
"142",1996-10-10 00:14:55.405967,309585,-2762700,65.85,0,33.15,6.2,3577
"143",1996-10-26 00:15:43.479596,309585,-2762700,66.45,0,32.75,6.1,3577
"144",1996-11-11 00:16:28.792696,309585,-2762700,68.35,0,30.65,6,3577
"145",1996-11-27 00:17:13.930555,309585,-2762700,69.55,0,29.75,6.05,3577
"146",1997-01-14 00:19:31.18789,309585,-2762700,67.1,0,32.05,6,3577
"147",1997-01-30 00:20:14.424208,309579.375,-2762705.625,60.75,0.1875,37.875,6.0625,3577
"148",1997-02-15 00:20:55.83328,309564.230769231,-2762710.38461538,6.15384615384615,0.0769230769230769,92.4615384615385,3.84615384615385,3577
"149",1997-03-03 00:21:35.041674,309585,-2762700,62.35,6.8,29.3,5.5,3577
"150",1997-03-19 00:22:12.301975,309585,-2762700,60.95,4.3,33.2,5.2,3577
"151",1997-04-04 00:22:47.993966,309585,-2762700,66.95,3.65,27.9,4.75,3577
"152",1997-04-20 00:23:22.281982,309585,-2762700,63.1,1.35,34.15,4.95,3577
"153",1997-06-07 00:25:02.789054,309585,-2762700,64.85,0.15,34,5.65,3577
"154",1997-08-26 00:27:42.654555,309585,-2762700,72.15,0.05,26.65,5.35,3577
"155",1997-09-11 00:28:10.442007,309585,-2762700,69.15,0,29.9,5.85,3577
"156",1997-10-13 00:29:03.730783,309579.375,-2762705.625,55.375,0.375,43.0625,6.625,3577
"157",1997-10-29 00:29:30.32278,309595,-2762745,53.3333333333333,0,46,4,3577
"158",1997-11-14 00:29:53.253605,309585,-2762700,60.15,0.25,38.5,6.05,3577
"159",1997-11-30 00:30:16.681777,309585,-2762700,54.05,0.25,44.5,6.85,3577
"160",1997-12-16 00:30:40.485778,309585,-2762700,66.85,0,32.3,5.9,3577
"161",1998-02-02 00:31:45.245436,309585,-2762700,72.8,0,26.15,6,3577
"162",1998-02-18 00:32:04.055912,309585,-2762700,71.8,0,27.2,5.75,3577
