"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-05 00:37:49.793383,107730,-1577010,18.125,21.5625,59,9.4375,3577
"2",1987-09-21 00:38:12.894817,107730,-1577010,16.1875,20.3125,62.3125,9.0625,3577
"3",1987-10-07 00:38:32.845418,107730,-1577010,21.625,22.375,54.6875,9.125,3577
"4",1987-10-23 00:38:48.854125,107730,-1577010,18.5625,21.5,58.75,8.625,3577
"5",1987-11-08 00:39:09.396637,107760,-1576965,19.5,18,61.5,20,3577
"6",1987-11-24 00:39:28.094029,107730,-1577010,16.3125,37.5625,45.0625,10.0625,3577
"7",1987-12-10 00:39:40.838036,107730,-1577010,12.6875,42.375,43.4375,11.25,3577
"8",1987-12-26 00:39:56.913363,107730,-1577010,5.4375,61.5,31.75,12.5625,3577
"9",1988-01-27 00:40:31.071982,107775,-1577025,34,35,30,14,3577
"10",1988-02-28 00:41:00.015366,107730,-1577010,3.3125,56.8125,38.5625,13.9375,3577
"11",1988-03-15 00:41:09.152387,107730,-1577010,6.625,40.8125,51.375,11.8125,3577
"12",1988-05-02 00:41:27.878582,107730,-1577010,37.4375,20.5,40.75,11.125,3577
"13",1988-05-18 00:41:38.310956,107730,-1577010,27.5,19.9375,51.5,12.625,3577
"14",1988-06-03 00:41:44.462574,107730,-1577010,37.6875,18.6875,42.0625,11,3577
"15",1988-06-19 00:41:49.784065,107730,-1577010,46.9375,13.5,38.0625,10.625,3577
"16",1988-07-05 00:41:53.755424,107730,-1577010,40.9375,16.25,41.375,10.3125,3577
"17",1988-07-21 00:41:56.339992,107730,-1577010,43.875,14.75,39.875,9.875,3577
"18",1988-08-06 00:41:57.013316,107730,-1577010,42,15.6875,40.8125,10,3577
"19",1988-09-07 00:42:01.399188,107730,-1577010,41.8125,16.125,40.5,9.875,3577
"20",1988-09-23 00:41:55.994692,107730,-1577010,45.375,14.4375,38.8125,9.8125,3577
"21",1988-10-09 00:41:50.612159,107730,-1577010,43.375,14.5625,40.5625,9.75,3577
"22",1988-10-25 00:41:47.085334,107730,-1577010,43.5,14.8125,40.1875,9.6875,3577
"23",1988-11-10 00:41:49.330067,107730,-1577010,40.9375,15.6875,41.875,9.125,3577
"24",1988-11-26 00:41:50.030006,107730,-1577010,35.5625,15.6875,47.3125,10.875,3577
"25",1989-01-13 00:41:24.019304,107730,-1577010,17.75,58.4375,22.5625,13.25,3577
"26",1989-03-02 00:40:59.000725,107730,-1577010,13.375,43.5,41.9375,11.3125,3577
"27",1989-04-03 00:40:17.743728,107730,-1577010,3.5625,48.5625,46.6875,14.375,3577
"28",1989-04-19 00:40:11.46731,107730,-1577010,2.125,45.875,50.875,15.875,3577
"29",1989-05-21 00:39:38.895936,107730,-1577010,5.6875,41.1875,52.1875,13.0625,3577
"30",1989-06-22 00:38:59.996705,107730,-1577010,12.625,27.0625,59.5625,12.125,3577
"31",1989-07-08 00:38:44.913147,107730,-1577010,13.4375,22,63.25,11.375,3577
"32",1989-07-24 00:38:26.028906,107730,-1577010,11.8125,20.3125,66.8125,10.75,3577
"33",1989-08-09 00:38:05.268711,107730,-1577010,14.9375,19,65.125,10.6875,3577
"34",1989-08-25 00:37:44.458194,107730,-1577010,15.375,16.4375,67.125,10.1875,3577
"35",1989-09-10 00:37:19.395958,107730,-1577010,14.3125,16.3125,68.4375,9.9375,3577
"36",1989-09-26 00:36:57.794475,107730,-1577010,10.5,15.3125,73.125,9.875,3577
"37",1989-10-12 00:36:32.829204,107730,-1577010,12.625,17.8125,68.375,9.8125,3577
"38",1989-11-13 00:35:31.258796,107730,-1577010,14.9375,20,63.875,10.0625,3577
"39",1989-11-29 00:35:09.016954,107730,-1577010,13.125,19.5,66.3125,10.3125,3577
"40",1989-12-15 00:34:42.969813,107730,-1577010,3.8125,27.6875,67.4375,11.625,3577
"41",1989-12-31 00:34:12.945764,107730,-1577010,7.625,32.75,58.5625,12.0625,3577
"42",1990-03-05 00:32:07.595234,107730,-1577010,9.5625,48.8125,40.375,11.3125,3577
"43",1990-04-22 00:31:28.849356,107730,-1577010,52.0625,8.875,37.375,13.125,3577
"44",1990-06-09 00:31:24.807417,107730,-1577010,39.125,14.6875,44.75,11,3577
"45",1990-06-25 00:31:23.485234,107730,-1577010,44,14.3125,40.1875,10.75,3577
"46",1990-07-11 00:31:21.660286,107730,-1577010,41,13.8125,43.625,10.625,3577
"47",1990-07-27 00:31:17.406785,107730,-1577010,40.75,15.9375,41.875,10.125,3577
"48",1990-08-12 00:31:12.909203,107730,-1577010,45.0625,13.9375,39.25,10.1875,3577
"49",1990-08-28 00:31:07.31954,107730,-1577010,46.25,14.0625,38.125,10.1875,3577
"50",1990-09-13 00:31:05.093877,107730,-1577010,46.3125,14.3125,37.75,9.9375,3577
"51",1990-09-29 00:30:54.774042,107730,-1577010,45.75,12.875,39.8125,9.875,3577
"52",1990-10-15 00:30:48.983407,107730,-1577010,47.5,13.0625,37.9375,9.875,3577
"53",1990-10-31 00:30:39.67807,107730,-1577010,42.25,15.9375,40.4375,9.9375,3577
"54",1990-12-18 00:30:42.450512,107730,-1577010,27.4375,27.625,43.5,11.375,3577
"55",1991-02-04 00:31:44.650073,107730,-1577010,0,25,69.9375,2,3577
"56",1991-03-24 00:32:48.566583,107730,-1577010,1.875,59.375,37.4375,14.8125,3577
"57",1991-04-09 00:33:02.099175,107730,-1577010,21.8125,35.75,41.3125,17,3577
"58",1991-04-25 00:33:16.030243,107730,-1577010,2.375,50,46.625,14,3577
"59",1991-05-11 00:33:35.881057,107730,-1577010,5.1875,39.8125,53.6875,12.625,3577
"60",1991-05-27 00:33:52.021737,107730,-1577010,5.125,35.1875,58.5,12,3577
"61",1991-06-12 00:34:01.117303,107730,-1577010,6,32.3125,60.625,12,3577
"62",1991-06-28 00:34:18.898403,107730,-1577010,6.4375,26.9375,65.4375,11.75,3577
