"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-07 00:27:07.230055,2.2,54.8,42,7.8,228432,-2223882,3577
"2",1987-09-23 00:27:29.961683,5.5,43.25,49.8,8.8,228435,-2223870,3577
"3",1987-10-09 00:27:49.512142,8.35,39.75,50.45,8.9,228435,-2223870,3577
"4",1987-10-16 00:34:07.758532,5.07692307692308,33.3076923076923,60,5.69230769230769,228460.384615385,-2223873.46153846,3577
"5",1987-10-25 00:28:04.740259,6.2,42.5,49.85,8.85,228435,-2223870,3577
"6",1987-11-01 00:34:24.437429,6.5,46.4,45.6,9.05,228435,-2223870,3577
"7",1987-11-10 00:28:26.320059,8.35,43.9,46.45,8.7,228435,-2223870,3577
"8",1987-12-03 00:35:00.881571,8.75,34.35,55.25,8.85,228435,-2223870,3577
"9",1987-12-19 00:35:14.867358,5.9,52.7,39.95,9.6,228435,-2223870,3577
"10",1987-12-28 00:29:13.412117,1.35,97.8,0,3.4,228435,-2223870,3577
"11",1988-01-04 00:35:30.629362,6.8,46.2,45.65,9,228435,-2223870,3577
"12",1988-01-13 00:29:29.713814,8.8,38.3,51.45,8.85,228435,-2223870,3577
"13",1988-01-20 00:35:47.976573,9.125,31.75,57.75,9,228390,-2223870,3577
"14",1988-02-14 00:30:04.292464,5.55,42.4,50.8,9.05,228435,-2223870,3577
"15",1988-03-01 00:30:15.379135,6.25,38.85,53.3,8.85,228435,-2223870,3577
"16",1988-03-17 00:30:24.274582,9.55,36.1,52.75,8.15,228435,-2223870,3577
"17",1988-04-02 00:30:31.389652,7.3,49.8,41.45,9.9,228435,-2223870,3577
"18",1988-04-18 00:30:35.675987,9.1,43.95,45.6,8.9,228435,-2223870,3577
"19",1988-05-04 00:30:43.91478,8.3,37.2,52.85,8,228435,-2223870,3577
"20",1988-05-20 00:30:53.447157,5.35,40.7,52.55,9.05,228435,-2223870,3577
"21",1988-06-05 00:30:59.41295,4,39.3,55.25,8.95,228435,-2223870,3577
"22",1988-06-21 00:31:04.493672,3.15,39.4,55.9,8.9,228435,-2223870,3577
"23",1988-07-07 00:31:08.227672,4.65,40.95,52.85,9.15,228435,-2223870,3577
"24",1988-08-08 00:31:10.817282,4.35,37.45,56.65,8.35,228435,-2223870,3577
"25",1988-08-24 00:31:14.517167,4.9,39.4,54.3,8.9,228435,-2223870,3577
"26",1988-09-09 00:31:15.338379,7,37.05,54.4,8.8,228435,-2223870,3577
"27",1988-09-25 00:31:09.02414,7.25,34.4,56.5,8.4,228435,-2223870,3577
"28",1988-10-18 00:37:12.541153,10.3,33,55.05,8.05,228435,-2223870,3577
"29",1988-10-27 00:31:01.456688,7.7,36.6,53.9,8.15,228435,-2223870,3577
"30",1988-11-12 00:31:03.284647,5.95,35.75,56.8,8.2,228435,-2223870,3577
"31",1988-11-28 00:31:03.614034,3.65,41.35,53.5,8.95,228435,-2223870,3577
"32",1988-12-14 00:30:50.433734,10.5,37,51.05,8.75,228435,-2223870,3577
"33",1988-12-30 00:30:47.039632,8.8,35.6,54.1,9,228435,-2223870,3577
"34",1989-01-15 00:30:36.417157,15.55,35.95,47.25,8.3,228435,-2223870,3577
"35",1989-01-31 00:30:29.774695,10.95,44.7,43.05,10.4,228435,-2223870,3577
"36",1989-02-16 00:30:27.176371,9.3,43.75,45.55,7.7,228435,-2223870,3577
"37",1989-03-04 00:30:10.524788,14.4,31.8,52.35,8,228435,-2223870,3577
"38",1989-03-20 00:29:30.592126,6.86666666666667,65.8666666666667,26.2,11.1333333333333,228417,-2223867,3577
"39",1989-03-27 00:35:36.195594,15.5,41.5,41.55,9,228435,-2223870,3577
"40",1989-04-21 00:29:21.784811,9,37.2857142857143,52,18,228439.285714286,-2223889.28571429,3577
"41",1989-05-23 00:28:52.50292,15.2,38.8,44.75,8.75,228435,-2223870,3577
"42",1989-06-24 00:28:13.215928,12.95,32.8,52.8,8.45,228435,-2223870,3577
"43",1989-07-10 00:27:57.043562,7.28571428571429,11,80.5714285714286,5,228387.857142857,-2223876.42857143,3577
"44",1989-07-26 00:27:38.122532,10.75,36.9,50.8,8.7,228435,-2223870,3577
"45",1989-08-27 00:26:56.773083,11.7,33.9,52.85,8,228435,-2223870,3577
"46",1989-09-12 00:26:27.629003,11.7,33.55,53.4,8,228435,-2223870,3577
"47",1989-09-19 00:32:25.884175,11.85,35.8,50.9,8,228435,-2223870,3577
"48",1989-10-14 00:25:41.217608,11.7,36.15,50.55,8,228435,-2223870,3577
"49",1989-11-15 00:24:38.122792,9.55,35.9,53.1,7.15,228435,-2223870,3577
"50",1989-12-17 00:23:53.962834,11.15,36.35,51.05,8.8,228435,-2223870,3577
"51",1990-01-02 00:23:21.94409,9.15,40.1,49.3,8.15,228435,-2223870,3577
"52",1990-02-03 00:22:21.515711,17.3,33.25,47.75,8.75,228435,-2223870,3577
"53",1990-04-08 00:20:34.790069,14,35.9,48.5,8.25,228435,-2223870,3577
"54",1990-04-24 00:20:42.463741,13.8,37.9,46.75,9.05,228435,-2223870,3577
"55",1990-05-10 00:20:42.077146,7.4,26.6,64.65,5.75,228435,-2223870,3577
"56",1990-05-26 00:20:38.465752,13.9,36.6,48.15,8.85,228435,-2223870,3577
"57",1990-06-11 00:20:38.933598,13.85,37.5,47.1,8.8,228435,-2223870,3577
"58",1990-06-27 00:20:37.832469,14.25,33.8,50.55,8.8,228435,-2223870,3577
"59",1990-07-13 00:20:35.379578,15.05,36.7,46.85,8.55,228435,-2223870,3577
"60",1990-08-14 00:20:26.817796,13.5,33.8,51.3,8.2,228435,-2223870,3577
"61",1990-08-30 00:20:19.928289,11.35,36.65,50.45,8.35,228435,-2223870,3577
"62",1990-10-17 00:20:01.701847,13.2,36.8,48.5,8.2,228435,-2223870,3577
"63",1990-11-02 00:19:51.779143,13.05,33.55,51.95,8,228435,-2223870,3577
