"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-03 00:49:44.610004,-132519,-1388817,4.3,31.3,63.4,17.5,3577
"2",1987-09-19 00:50:07.990665,-132521.086956522,-1388780.2173913,2.91304347826087,41.2608695652174,55.0434782608696,13.695652173913,3577
"3",1987-10-21 00:50:44.99216,-132525,-1388775,0,39.16,60.32,14,3577
"4",1987-11-06 00:51:04.606442,-132525,-1388775,0.12,47.08,52.2,13.92,3577
"5",1987-11-22 00:51:23.932244,-132525,-1388775,0.36,58.32,40.56,17.6,3577
"6",1987-12-08 00:51:37.345751,-132510,-1388835,7.5,59,32.5,12.5,3577
"7",1987-12-24 00:51:52.457662,-132552.857142857,-1388787.85714286,3.07142857142857,57.6428571428571,38.1428571428571,12.4285714285714,3577
"8",1988-01-25 00:52:26.404288,-132525,-1388775,6.52,67.36,24.56,13.28,3577
"9",1988-02-26 00:52:56.732891,-132525,-1388775,4.36,71.96,22.52,16.92,3577
"10",1988-03-13 00:53:06.055569,-132525,-1388775,7.12,57.88,33.8,12.92,3577
"11",1988-04-14 00:53:17.336641,-132525,-1388775,0.88,62.72,35.24,18.16,3577
"12",1988-06-01 00:53:41.550876,-132525,-1388775,8.56,40.84,49.36,17.68,3577
"13",1988-06-17 00:53:46.981631,-132525,-1388775,8.36,42.68,47.76,17.48,3577
"14",1988-07-03 00:53:51.566618,-132525,-1388775,8.72,44.12,45.88,16.84,3577
"15",1988-07-19 00:53:54.126209,-132525,-1388775,10.32,41.6,46.96,15.8,3577
"16",1988-08-04 00:53:55.408552,-132525,-1388775,6.8,46.52,45.32,14.84,3577
"17",1988-09-05 00:53:59.3522,-132525,-1388775,6.4,43.56,48.96,14.76,3577
"18",1988-09-21 00:53:54.769271,-132525,-1388775,12.72,35.04,51.08,13.04,3577
"19",1988-10-07 00:53:49.841238,-132525,-1388775,8.52,43.2,47.24,11.48,3577
"20",1988-11-24 00:53:47.94111,-132540,-1388811,2.6,31.7,64.8,6.3,3577
"21",1988-12-10 00:53:37.196721,-132525,-1388775,11.2,63.16,24,12.36,3577
"22",1989-01-11 00:53:25.090796,-132525,-1388775,4.68,65.24,28.6,15.88,3577
"23",1989-02-12 00:53:12.264795,-132525,-1388775,6.28,63.08,29.4,14.48,3577
"24",1989-02-28 00:52:59.752718,-132570,-1388715,16.5,50.5,33,11.5,3577
"25",1989-04-01 00:52:12.297445,-132525,-1388775,2.16,59.88,36.68,19,3577
"26",1989-06-04 00:51:26.372138,-132525,-1388775,12.24,35.16,51.36,15.96,3577
"27",1989-06-20 00:51:00.335212,-132525,-1388775,8.08,39.24,51.48,16.36,3577
"28",1989-07-06 00:50:45.062697,-132525,-1388775,14.04,37.88,46.76,14.8,3577
"29",1989-07-22 00:50:25.643415,-132525,-1388775,11.72,37.64,49.44,12.68,3577
"30",1989-08-07 00:50:06.154114,-132525,-1388775,6.44,44.76,47.48,14.68,3577
"31",1989-08-23 00:49:44.548951,-132525,-1388775,7.76,43.6,47.32,14.28,3577
"32",1989-09-08 00:49:22.313532,-132525,-1388775,25.2,30.16,43.52,12.68,3577
"33",1989-09-24 00:48:55.832579,-132525,-1388775,10.92,39.52,48.4,14.4,3577
"34",1989-10-10 00:48:37.651448,-132525,-1388775,8.8,41.6,48.36,15,3577
"35",1989-11-27 00:47:08.859985,-132525,-1388775,10.88,49.44,38.48,16.48,3577
"36",1989-12-29 00:46:14.178671,-132525,-1388775,2.88,65.6,30.08,17.2,3577
"37",1990-03-03 00:44:09.400123,-132525,-1388775,6.76,56.32,36.08,13.36,3577
"38",1990-04-04 00:43:12.744941,-132525,-1388775,2.2,56.68,39.8,18.24,3577
"39",1990-04-20 00:43:25.594316,-132525,-1388775,1.84,54.52,42.48,17.28,3577
"40",1990-05-22 00:43:25.368157,-132525,-1388775,46.12,26.6,26.04,8.8,3577
"41",1990-06-07 00:43:22.479763,-132525,-1388775,10.12,36.24,52.56,15.96,3577
"42",1990-07-09 00:43:19.660795,-132525,-1388775,8.28,43.6,46.92,16.12,3577
"43",1990-07-25 00:43:15.541527,-132525,-1388775,9.84,41,47.8,13.88,3577
"44",1990-08-10 00:43:10.680712,-132525,-1388775,9.44,43,46.32,15.68,3577
"45",1990-08-26 00:43:05.716904,-132525,-1388775,11.32,41.32,46.08,12.84,3577
"46",1990-09-11 00:43:02.485444,-132525,-1388775,9.6,38.88,50.24,14.64,3577
"47",1990-09-27 00:42:54.854296,-132525,-1388775,8.68,39.72,50.48,14.24,3577
"48",1990-10-13 00:42:47.791107,-132525,-1388775,9.04,38.48,51.4,13.64,3577
"49",1990-10-29 00:42:39.930824,-132525,-1388775,5.96,41.92,50.92,14.08,3577
"50",1990-11-14 00:42:41.398601,-132525,-1388775,3.32,50.48,45.12,14.8,3577
"51",1990-12-16 00:42:36.98793,-132519,-1388778,37.9,42.9,18.2,13.6,3577
"52",1991-01-17 00:43:30.036466,-132525,-1388775,13.96,52.6,32.28,7.6,3577
"53",1991-03-06 00:44:21.543563,-132525,-1388775,5.04,65.32,28.44,18.12,3577
"54",1991-04-07 00:44:56.480035,-132525,-1388775,2.32,57.96,38.2,19,3577
"55",1991-04-23 00:45:12.719375,-132525,-1388775,1.6,59.12,37.92,18.08,3577
"56",1991-05-09 00:45:31.918362,-132525,-1388775,2.68,56.24,39.96,17.64,3577
"57",1991-05-25 00:45:48.214157,-132525,-1388775,15.36,35.16,48.24,18.16,3577
"58",1991-06-10 00:45:59.550171,-132525,-1388775,15.04,31.88,52,16.28,3577
"59",1991-06-26 00:46:14.963535,-132525,-1388775,13.12,35.92,50,16.4,3577
"60",1991-07-12 00:46:23.975597,-132525,-1388775,18.08,33.68,47.04,13.04,3577
"61",1991-07-28 00:46:40.023904,-132525,-1388775,17.24,36.04,45.4,13.88,3577
"62",1991-08-13 00:46:42.45808,-132525,-1388775,16.4,35.6,46.8,13.72,3577
"63",1991-08-29 00:46:51.177947,-132525,-1388775,14.48,31.16,53.48,15.8,3577
"64",1991-09-30 00:47:09.389275,-132525,-1388775,9.08,36.64,52.96,12.96,3577
"65",1991-10-16 00:47:20.561446,-132525,-1388745,3.93333333333333,31.9333333333333,62.9333333333333,13.1333333333333,3577
"66",1991-12-19 00:47:31.737169,-132525,-1388775,6.48,55,37.16,12.96,3577
"67",1992-03-08 00:47:22.457476,-132525,-1388775,2.6,60.84,35.56,14.2,3577
"68",1992-03-24 00:47:19.349461,-132525,-1388775,1.76,57.48,39.6,16.56,3577
"69",1992-06-28 00:46:25.284717,-132525,-1388775,14.08,36.68,47.84,16.56,3577
"70",1992-07-14 00:46:13.127531,-132525,-1388775,16.16,35.6,47.24,15.8,3577
"71",1992-07-30 00:46:00.481961,-132525,-1388775,13.88,36.48,48.48,14.48,3577
"72",1992-08-15 00:45:45.82325,-132525,-1388775,11.76,34.92,52.12,14.4,3577
"73",1992-08-31 00:45:30.832662,-132525,-1388775,9.88,36.12,52.84,13.92,3577
"74",1992-09-16 00:45:16.911232,-132525,-1388775,7.68,35.72,55.52,13.08,3577
"75",1992-10-18 00:44:40.664037,-132465,-1388835,2,36,61,10,3577
"76",1992-12-21 00:44:33.105804,-132525,-1388775,15.12,50.28,33.24,13.88,3577
