"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-14 00:32:40.527132,6.8,53.8,37.84,6.48,151725,-1843695,3577
"2",1987-09-30 00:33:01.834684,9.52,55.4,33.68,7.12,151725,-1843695,3577
"3",1987-10-07 00:39:20.959549,9.125,46.2083333333333,43,7.125,151722.5,-1843692.5,3577
"4",1987-10-23 00:39:36.974101,8.16,52,38.36,7.04,151725,-1843695,3577
"5",1987-11-01 00:33:36.614953,6.92,58.72,32.96,6.48,151725,-1843695,3577
"6",1987-11-08 00:39:57.542939,7.28,52.8,38.6,6.84,151725,-1843695,3577
"7",1987-11-17 00:33:57.860701,7.8,52.68,38.16,6.8,151725,-1843695,3577
"8",1987-11-24 00:40:16.223262,16,51,31,8,151665,-1843635,3577
"9",1987-12-26 00:40:44.906238,22.68,43.56,32.32,7.52,151725,-1843695,3577
"10",1988-01-11 00:41:01.240158,17.24,45.76,35.48,8.24,151725,-1843695,3577
"11",1988-02-05 00:35:18.590266,10.92,52.36,35.28,7.2,151725,-1843695,3577
"12",1988-02-21 00:35:32.894079,13.6666666666667,49.5833333333333,35.3333333333333,5.70833333333333,151722.5,-1843692.5,3577
"13",1988-03-08 00:35:42.637767,9.04,45.32,44.08,6.68,151725,-1843695,3577
"14",1988-03-24 00:35:51.083222,7.68,47.6,43.44,6.92,151725,-1843695,3577
"15",1988-04-09 00:35:56.454488,3.28,51.28,44.08,7.16,151725,-1843695,3577
"16",1988-05-27 00:36:18.529587,1.56,42.32,54.8,6.76,151725,-1843695,3577
"17",1988-06-28 00:36:29.644128,1.68,43.76,53.36,6.56,151725,-1843695,3577
"18",1988-07-14 00:36:32.952947,0.84,41.84,56.04,6.56,151725,-1843695,3577
"19",1988-07-30 00:36:35.132663,1.04,42.8,54.88,6.48,151725,-1843695,3577
"20",1988-08-15 00:36:34.446181,1.16,47.28,50.32,6.48,151725,-1843695,3577
"21",1988-08-31 00:36:38.846773,1.52,45.84,51.4,6.56,151725,-1843695,3577
"22",1988-10-02 00:36:29.725042,1.88,46.28,50.48,6.64,151725,-1843695,3577
"23",1988-10-18 00:36:24.644373,2.04,51.52,45.04,6.68,151725,-1843695,3577
"24",1988-11-03 00:36:27.834287,2,49.24,47.44,6.44,151725,-1843695,3577
"25",1988-11-19 00:36:26.21066,2.76,66.24,29.68,5.96,151725,-1843695,3577
"26",1988-12-05 00:36:21.949252,4.4,56.28,37.84,5.88,151725,-1843695,3577
"27",1988-12-21 00:36:10.135953,13.32,38.6,46.56,6.72,151725,-1843695,3577
"28",1989-01-06 00:36:09.861562,17.2,39.44,41.96,7.48,151725,-1843695,3577
"29",1989-01-22 00:35:49.796519,9.88,47.24,41.6,6.88,151725,-1843695,3577
"30",1989-02-07 00:35:52.803429,8,49.12,41.4,6.4,151725,-1843695,3577
"31",1989-02-23 00:35:44.146439,5.48,43.72,49.48,6.48,151725,-1843695,3577
"32",1989-03-27 00:34:48.250983,15.32,42.84,40.32,7.52,151725,-1843695,3577
"33",1989-04-03 00:41:05.830171,17.84,40.68,40.2,7.52,151725,-1843695,3577
"34",1989-04-28 00:34:39.064663,14.6,46.04,38.08,7.24,151725,-1843695,3577
"35",1989-05-14 00:34:24.437231,8.36,45.08,45.04,6.72,151725,-1843695,3577
"36",1989-05-30 00:34:10.759742,5.48,44.84,48.32,6.68,151725,-1843695,3577
"37",1989-06-15 00:33:44.146471,5.08,42.96,50.44,6.76,151725,-1843695,3577
"38",1989-07-01 00:33:31.863491,3.44,42.28,52.76,6.48,151725,-1843695,3577
"39",1989-07-17 00:33:11.363631,1.92,44.56,52.24,6.44,151725,-1843695,3577
"40",1989-08-02 00:32:52.091278,1.68,41.4,55.6,6.36,151725,-1843695,3577
"41",1989-08-18 00:32:27.782428,1.88,41.84,54.88,6.4,151725,-1843695,3577
"42",1989-09-03 00:32:10.479285,0.56,46.68,51.6,6.52,151725,-1843695,3577
"43",1989-09-19 00:31:37.91486,1.8,53.8,42.84,6.76,151725,-1843695,3577
"44",1989-10-05 00:31:28.75007,2.68,48.44,47.48,6.52,151725,-1843695,3577
"45",1989-11-06 00:30:28.189593,3.04,51.4,44.04,6.88,151725,-1843695,3577
"46",1989-11-13 00:36:19.39525,1.96,45.4,51.2,6.52,151725,-1843695,3577
"47",1989-11-22 00:29:48.694998,2.24,50.16,46.28,6.64,151725,-1843695,3577
"48",1989-12-08 00:29:29.461198,2.16,46.64,49.88,6.4,151725,-1843695,3577
"49",1989-12-24 00:29:04.149844,0.64,46.2,51.84,6,151725,-1843695,3577
"50",1990-02-26 00:27:01.063164,2.08,48.64,47.84,6.36,151725,-1843695,3577
"51",1990-03-14 00:26:27.064346,3.28,45.12,50.16,6.56,151725,-1843695,3577
"52",1990-03-30 00:25:55.690907,1.36,43.44,53.88,6.28,151725,-1843695,3577
"53",1990-05-01 00:25:55.416117,0.64,34.48,63.68,6.24,151725,-1843695,3577
"54",1990-05-17 00:26:06.949737,0.56,42.04,56.16,6.32,151725,-1843695,3577
"55",1990-06-02 00:26:01.631083,0.72,34.04,63.92,6.08,151725,-1843695,3577
"56",1990-06-18 00:26:00.761618,0.24,32.88,65.88,5.88,151725,-1843695,3577
"57",1990-07-20 00:25:54.580308,0,30.84,68.08,6,151725,-1843695,3577
"58",1990-08-21 00:25:47.509004,0,32.2,66.64,6.08,151725,-1843695,3577
"59",1990-09-06 00:25:40.014158,0.36,34.44,64.04,6.04,151725,-1843695,3577
"60",1990-10-08 00:25:26.181697,0.04,44.64,54.28,6.2,151725,-1843695,3577
"61",1990-10-24 00:25:23.068543,0.24,37.2,61.4,6.08,151725,-1843695,3577
"62",1990-11-09 00:25:20.925493,0.4,46.4,52.04,6.28,151725,-1843695,3577
"63",1990-11-25 00:25:11.725351,0.08,50.2,48.72,6.04,151725,-1843695,3577
"64",1990-12-27 00:25:30.891832,1.8,41,55.64,6.28,151725,-1843695,3577
"65",1991-03-01 00:26:53.578782,34.12,35.04,29.72,8.04,151725,-1843695,3577
"66",1991-03-17 00:27:15.541269,37.36,33.68,27.64,8.28,151725,-1843695,3577
"67",1991-04-02 00:27:29.4384,24.52,43.92,30.04,6.08,151725,-1843695,3577
"68",1991-04-18 00:27:47.403388,21.16,45.36,32.16,7.52,151725,-1843695,3577
"69",1991-05-04 00:28:06.770882,13.56,53.48,31.32,7.04,151725,-1843695,3577
"70",1991-06-21 00:28:49.127627,7.84,57.56,33.24,6.56,151725,-1843695,3577
"71",1991-07-07 00:29:03.992587,6.68,61.8,30,6.44,151725,-1843695,3577
"72",1991-08-08 00:29:22.258516,7.6,54.12,36.92,6.28,151725,-1843695,3577
"73",1991-08-24 00:29:27.647563,7.8,52.2,38.64,6.12,151725,-1843695,3577
"74",1991-09-09 00:29:41.556161,6.68,57.08,34.84,6.32,151725,-1843695,3577
"75",1991-10-11 00:29:55.199951,2.88,61.28,34.44,6.12,151725,-1843695,3577
"76",1991-10-27 00:29:59.855133,2.64,62.88,33.12,6.36,151725,-1843695,3577
"77",1991-11-12 00:30:03.486148,4.16,63.68,30.88,6.76,151725,-1843695,3577
"78",1992-01-15 00:30:06.279013,1.96,48.16,48.48,6.68,151725,-1843695,3577
"79",1992-02-16 00:29:58.87592,10.64,41.32,46.64,6.84,151725,-1843695,3577
"80",1992-03-03 00:30:00.660568,11.08,46.68,40.88,6.96,151725,-1843695,3577
"81",1992-03-19 00:30:02.612984,8.12,41.24,49.16,6.8,151725,-1843695,3577
"82",1992-04-04 00:29:53.991511,10.88,47.84,40,6.96,151725,-1843695,3577
"83",1992-04-20 00:29:46.691851,3.92,43.64,50.84,6.6,151725,-1843695,3577
"84",1992-05-06 00:29:36.756981,3.44,39,56.12,6.44,151725,-1843695,3577
"85",1992-05-22 00:29:27.31688,0.84,47.96,49.88,6.56,151725,-1843695,3577
"86",1992-06-07 00:29:20.047142,0.6,44.76,53.52,6.4,151725,-1843695,3577
"87",1992-07-09 00:28:55.582634,0.16,36.76,62,6.28,151725,-1843695,3577
"88",1992-08-10 00:28:30.763812,0.2,36.64,62.08,6.4,151725,-1843695,3577
"89",1992-08-26 00:28:14.617883,0.4,40.52,58,6.28,151725,-1843695,3577
"90",1992-09-27 00:27:42.439122,0.2,45.16,53.52,6.32,151725,-1843695,3577
"91",1992-11-30 00:26:58.209452,0.84,45,52.88,6.4,151725,-1843695,3577
"92",1993-01-17 00:27:30.568302,3.64,46.72,48.24,6.52,151725,-1843695,3577
"93",1993-03-06 00:27:58.032121,34.84,40.92,22.8,8.92,151725,-1843695,3577
"94",1993-03-22 00:28:00.588512,36.04,37.52,25.16,8.48,151725,-1843695,3577
"95",1993-04-07 00:28:05.516929,23.2,48.88,26.56,7.8,151725,-1843695,3577
"96",1993-04-23 00:28:15.098271,18.56,47.04,33.12,7.36,151725,-1843695,3577
"97",1993-05-09 00:28:19.006937,14.32,52.44,31.84,7,151725,-1843695,3577
"98",1993-05-25 00:28:22.475814,12.24,51.88,34.48,7.12,151725,-1843695,3577
"99",1993-06-10 00:28:23.874735,10.12,53.92,34.52,6.84,151725,-1843695,3577
"100",1993-06-26 00:28:18.61796,7.8,55.32,35.36,6.56,151725,-1843695,3577
"101",1993-07-12 00:28:15.036555,6.48,53.4,38.72,6.56,151725,-1843695,3577
"102",1993-07-28 00:28:13.639545,8.5,35,55.5,4.75,151785,-1843695,3577
"103",1993-08-13 00:28:14.490646,5.04,52.04,41.64,6.56,151725,-1843695,3577
"104",1993-09-05 00:34:23.523908,6.4,59.4,33,7.2,151665,-1843695,3577
"105",1993-09-30 00:28:08.499359,4.32,61.36,32.96,6.56,151725,-1843695,3577
"106",1993-10-23 00:34:10.424329,5.14285714285714,57.4285714285714,36.1428571428571,7.14285714285714,151682.142857143,-1843673.57142857,3577
"107",1993-11-01 00:27:56.337858,3.84,57.88,36.96,6.96,151725,-1843695,3577
"108",1993-11-08 00:34:03.421482,4,59.2,35.2,7.6,151665,-1843695,3577
"109",1993-12-03 00:27:43.986536,5.56,47.56,45.48,6.96,151725,-1843695,3577
"110",1994-01-04 00:27:25.621578,12.44,55.52,30.68,7.8,151725,-1843695,3577
"111",1994-01-20 00:27:08.914292,8.04,59.28,31.36,7.6,151725,-1843695,3577
"112",1994-02-05 00:27:01.719755,2.48,51.32,44.76,6.8,151725,-1843695,3577
"113",1994-03-09 00:26:33.102644,30.16,41.88,26.44,8.6,151725,-1843695,3577
"114",1994-04-10 00:26:00.912569,17.32,43.88,37.44,7.12,151725,-1843695,3577
"115",1994-04-26 00:25:44.061896,10.68,49.64,38.16,6.92,151725,-1843695,3577
"116",1994-05-12 00:25:25.329686,7.84,47.16,43.56,6.6,151725,-1843695,3577
"117",1994-05-28 00:25:09.570114,4.44,47.44,46.76,6.48,151725,-1843695,3577
"118",1994-06-13 00:24:49.885235,3.52,52.32,42.72,6.4,151725,-1843695,3577
"119",1994-06-29 00:24:26.768215,1.32,51.68,45.76,6.32,151725,-1843695,3577
"120",1994-07-15 00:24:00.234418,1.44,51.2,45.96,6.44,151725,-1843695,3577
"121",1994-07-31 00:23:32.851201,1.16,49.08,48.6,6.16,151725,-1843695,3577
"122",1994-08-16 00:23:09.460631,1.56,49.4,47.84,6.36,151725,-1843695,3577
"123",1994-09-01 00:22:46.364841,1.52,52.8,44.28,6.32,151725,-1843695,3577
"124",1994-09-17 00:22:21.450464,0.44,53.96,44.48,6.32,151725,-1843695,3577
"125",1994-10-03 00:21:54.287009,3.12,57.96,37.36,7.28,151725,-1843695,3577
"126",1994-10-26 00:27:19.817551,3.32,53.72,41.56,6.76,151725,-1843695,3577
"127",1994-11-11 00:26:45.943987,1.52,53.88,43.32,7.36,151725,-1843695,3577
"128",1994-12-06 00:19:47.402492,2.24,50.88,45.6,6.76,151725,-1843695,3577
"129",1994-12-13 00:25:45.418687,3.76,50.12,44.72,6.44,151725,-1843695,3577
"130",1995-01-23 00:18:08.746679,8.12,45.6,44.8,7.24,151725,-1843695,3577
"131",1995-01-30 00:24:02.964355,10.92,48.44,39.36,7.28,151725,-1843695,3577
"132",1995-02-15 00:23:22.878347,13.8,42.12,42.48,7.24,151725,-1843695,3577
"133",1995-02-24 00:16:51.466085,17.36,34.88,46.28,6.08,151725,-1843695,3577
"134",1995-04-04 00:21:27.145031,16.76,41.68,40.2,6.88,151725,-1843695,3577
"135",1995-04-13 00:14:54.089419,10.4,48.68,39.4,6.76,151725,-1843695,3577
"136",1995-04-20 00:20:46.658237,7.72,47.28,43.44,6.92,151725,-1843695,3577
"137",1995-04-29 00:14:12.521055,4.44,54.44,39.76,6.72,151725,-1843695,3577
"138",1995-05-06 00:20:04.322994,7.88,51.2,39.6,6.96,151725,-1843695,3577
"139",1995-05-15 00:13:29.152743,7.5,66.0625,25.4375,16.5,151715.625,-1843680,3577
"140",1995-05-22 00:19:20.72755,9.16,47.68,41.68,7.44,151725,-1843695,3577
"141",1995-05-31 00:12:44.468916,5,50.6,42.96,6.88,151725,-1843695,3577
"142",1995-06-07 00:18:34.806598,5.16,55.36,38.08,7.36,151725,-1843695,3577
"143",1995-06-23 00:17:52.4711,3.36,50.4,44.84,7,151725,-1843695,3577
"144",1995-07-09 00:17:08.494002,2.88,50.12,45.64,6.92,151725,-1843695,3577
"145",1995-07-18 00:10:33.379229,2.32,51.56,44.76,6.56,151725,-1843695,3577
"146",1995-07-25 00:16:25.576309,1.2,46.24,51.24,6.8,151725,-1843695,3577
"147",1995-08-03 00:09:50.650022,1.24,46.12,51.32,6.32,151725,-1843695,3577
"148",1995-08-19 00:09:06.858643,1.2,52.2,45.48,6.48,151725,-1843695,3577
"149",1995-08-26 00:14:58.123816,2.44,48.36,47.88,6.64,151725,-1843695,3577
"150",1995-09-04 00:08:21.582736,1.8,53.36,43.4,6.52,151725,-1843695,3577
"151",1995-11-23 00:05:32.872134,0.32,55.92,42.76,7.16,151725,-1843695,3577
"152",1995-12-09 00:06:25.99905,1.88,63.84,32.96,6.4,151725,-1843695,3577
"153",1996-01-10 00:08:45.645396,1.2,47.8,49.48,6.56,151725,-1843695,3577
"154",1996-02-11 00:10:59.981935,1.96,38.96,57.64,6.48,151725,-1843695,3577
"155",1996-03-14 00:13:07.816983,9.76,56.36,32.52,6.92,151725,-1843695,3577
"156",1996-03-30 00:14:09.078357,5.68,46.52,46.24,6.96,151725,-1843695,3577
"157",1996-06-02 00:17:56.46453,0.52,47.56,50.8,6.68,151725,-1843695,3577
"158",1996-06-18 00:18:48.666357,0.12,46.52,52.32,6.56,151725,-1843695,3577
"159",1996-07-04 00:19:38.895583,0.24,43.08,55.68,6.6,151725,-1843695,3577
"160",1996-08-05 00:21:20.506731,0.24,47.88,50.84,6.56,151725,-1843695,3577
"161",1996-08-21 00:22:10.192379,0,42.24,56.6,6.48,151725,-1843695,3577
"162",1996-09-06 00:23:04.051715,0.2,42.92,55.72,6.48,151725,-1843695,3577
"163",1996-09-22 00:23:56.568838,0.28,43.84,54.8,6.44,151725,-1843695,3577
"164",1996-10-08 00:24:47.333157,2.28571428571429,96.4285714285714,0.285714285714286,4.14285714285714,151755,-1843729.28571429,3577
"165",1996-10-24 00:25:35.669372,1.36,50.68,46.8,6.56,151725,-1843695,3577
"166",1996-11-25 00:27:06.128213,1.24,47.8,49.6,6.64,151725,-1843695,3577
"167",1996-12-11 00:27:52.293758,3.64,56.48,38.64,6.56,151725,-1843695,3577
"168",1997-03-01 00:31:28.344464,20.76,43.52,34.28,7.2,151725,-1843695,3577
"169",1997-03-17 00:32:05.904804,13.92,45.56,38.88,7.2,151725,-1843695,3577
"170",1997-04-02 00:32:41.692143,8.04,49.28,41.4,6.76,151725,-1843695,3577
"171",1997-04-18 00:33:15.867097,3.08,52.52,43.08,6.68,151725,-1843695,3577
"172",1997-05-04 00:33:49.739583,1.64,53.52,43.56,6.68,151725,-1843695,3577
"173",1997-05-20 00:34:22.730369,0.8,53,45.12,6.72,151725,-1843695,3577
"174",1997-06-05 00:34:56.790321,0.863636363636364,46.6363636363636,52,21.2727272727273,151731.818181818,-1843701.81818182,3577
"175",1997-06-21 00:35:28.928203,0.56,51.08,47.2,6.44,151725,-1843695,3577
"176",1997-07-07 00:36:02.233333,0.36,46.48,52.08,6.24,151725,-1843695,3577
"177",1997-08-24 00:37:36.879237,0.24,52.96,45.88,6.48,151725,-1843695,3577
"178",1997-09-25 00:38:32.414743,1.52,55.28,41.76,6.32,151725,-1843695,3577
"179",1997-10-11 00:38:58.84099,1.12,58.52,39.24,7,151725,-1843695,3577
