"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-03 23:56:56.306314,920610,-2597640,49.5625,2.25,47.0625,5.5,3577
"2",1987-09-11 00:03:17.723488,920610,-2597640,45.875,0.5,52.6875,5.9375,3577
"3",1987-09-19 23:57:19.671053,920610,-2597640,50.9375,2.5,45.3125,5.25,3577
"4",1987-09-27 00:03:39.758297,920610,-2597640,52.4375,2.9375,43.5625,5.6875,3577
"5",1987-10-05 23:57:39.80729,920610,-2597640,58,2.375,38.625,5.875,3577
"6",1987-10-13 00:03:58.451882,920610,-2597640,57.9375,0.9375,40,6.125,3577
"7",1987-10-21 23:57:56.028881,920610,-2597640,51.1875,1.3125,46.5,6,3577
"8",1987-11-06 23:58:15.993813,920610,-2597640,41,1.1875,56.5625,6,3577
"9",1987-11-14 00:04:35.984103,920610,-2597640,37.375,0,61.6875,3.6875,3577
"10",1987-11-22 23:58:35.116765,920610,-2597640,48.6875,0.6875,49.4375,5.6875,3577
"11",1987-11-30 00:04:52.314963,920610,-2597640,44.375,3.6875,50.4375,5.8125,3577
"12",1987-12-08 23:58:48.142522,920610,-2597640,52.0625,2.4375,44.375,5.5625,3577
"13",1987-12-16 00:05:05.805855,920610,-2597640,35.75,0.875,62.125,5.9375,3577
"14",1987-12-24 23:59:03.656288,920610,-2597640,0.875,0,98.9375,5.625,3577
"15",1988-01-09 23:59:20.021164,920610,-2597640,49.5,4.1875,45.0625,5.8125,3577
"16",1988-01-17 00:05:38.820303,920610,-2597640,64.0625,5.625,29.4375,5.375,3577
"17",1988-01-25 23:59:37.963143,920610,-2597640,66.9375,5.8125,26.1875,5,3577
"18",1988-02-02 00:05:57.039055,920610,-2597640,66,5,27.625,5,3577
"19",1988-02-10 23:59:55.440277,920610,-2597640,46.5625,2.9375,49.125,5,3577
"20",1988-02-18 00:06:12.311912,920610,-2597640,55.4375,2.5,40.75,5,3577
"21",1988-02-26 00:00:07.541608,920610,-2597640,52.1875,2.4375,44.1875,5,3577
"22",1988-02-27 00:00:31.464736,920610,-2597640,51,1.8125,45.9375,5,3577
"23",1988-03-05 00:06:22.344491,920610,-2597640,48.0625,1.125,49.9375,5.3125,3577
"24",1988-03-14 00:00:40.52937,920610,-2597640,63.1875,2.25,33.4375,5,3577
