"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-10-13 00:01:10.927133,1163025,-1456065,2.48,48.16,48.4,15.36,3577
"2",1987-11-14 00:01:48.440927,1163025,-1456065,1.48,47.4,50.04,15.44,3577
"3",1987-11-30 00:02:04.901815,1163025,-1456065,2.8,73.72,22.12,14.44,3577
"4",1987-12-16 00:02:18.397513,1163025,-1456065,9,67.72,22.08,12.96,3577
"5",1988-01-17 00:02:51.223777,1163025,-1456065,0.56,90.68,7,17.36,3577
"6",1988-03-05 00:03:34.88306,1163025,-1456065,0.84,91.28,6.08,16.12,3577
"7",1988-04-06 00:03:50.158785,1163025,-1456065,0.04,96.24,2.16,21.52,3577
"8",1988-05-08 00:04:04.213079,1163025,-1456065,0,88.28,10.32,20.48,3577
"9",1988-05-24 00:04:11.893658,1163025,-1456065,0,90.72,7.8,21.32,3577
"10",1988-06-09 00:04:17.111542,1163025,-1456065,0.64,74.36,23.72,18,3577
"11",1988-06-25 00:04:22.827311,1163025,-1456065,0.16,77.2,21.4,18.44,3577
"12",1988-07-27 00:04:29.007053,1163025,-1456065,1.36,70.04,27.32,17.52,3577
"13",1988-09-29 00:04:22.709283,1163025,-1456065,1.76,51.44,45.72,14.72,3577
"14",1988-12-18 00:04:05.724761,1163025,-1456065,0,92.2,6.12,18.52,3577
"15",1989-01-19 00:03:46.695827,1163025,-1456065,0,94.04,4.12,18.24,3577
"16",1989-02-20 00:03:42.381758,1163019.54545455,-1456071.81818182,14.5,68.6818181818182,15.8636363636364,18.0454545454545,3577
"17",1989-03-24 00:02:39.589327,1163022.5,-1456070,22.75,36.5833333333333,39.75,5.91666666666667,3577
"18",1989-07-30 00:00:50.531242,1163025,-1456065,0,79.6,19.36,19.04,3577
"19",1989-09-15 23:59:34.309153,1163025,-1456065,0.28,56.56,42.12,16,3577
"20",1989-10-01 23:59:26.670878,1163025,-1456065,1.36,55.28,42.24,15.8,3577
"21",1989-11-02 23:58:26.988478,1163025,-1456065,0.88,52.64,45.36,15,3577
"22",1989-11-18 23:57:48.501904,1163025,-1456065,3.08,61.08,34.76,8.8,3577
"23",1989-12-04 23:57:30.887573,1163025,-1456065,0,95.32,3.24,18.04,3577
"24",1989-12-20 23:57:02.732629,1163025,-1456065,0,94.48,4.04,20.48,3577
"25",1990-02-22 23:55:00.698242,1163025,-1456065,0.12,90.72,7.76,19.8,3577
"26",1990-03-26 23:53:56.703982,1163025,-1456065,0,96.48,2.04,21.16,3577
"27",1990-04-11 23:53:56.373075,1163002.5,-1456020,55.75,42.5,1.5,10.5,3577
"28",1990-06-30 23:53:54.577374,1163025,-1456065,0,90.92,7.68,22.24,3577
"29",1990-07-16 23:53:50.640499,1163025,-1456065,0,82.2,16.4,20.04,3577
"30",1990-08-01 23:53:45.943039,1163025,-1456065,0,85.12,13.72,20.6,3577
"31",1990-08-17 23:53:42.812387,1163025,-1456065,0.2,73.96,24.52,19.16,3577
"32",1990-09-18 23:53:33.063685,1163025,-1456065,1.16,60.6,36.8,16.16,3577
"33",1990-10-04 23:53:18.036522,1163025,-1456065,1.76,58.76,38.12,16.2,3577
"34",1990-10-20 23:53:17.526159,1163025,-1456065,6.68,50.12,42.04,10.72,3577
"35",1990-11-05 23:53:13.038427,1163020.90909091,-1456056.81818182,0.318181818181818,58.2272727272727,40,13.2272727272727,3577
"36",1990-11-21 23:53:09.551337,1163025,-1456065,1.64,62.28,35.16,16.04,3577
"37",1990-12-07 23:53:01.837072,1163025,-1456065,0.04,83.2,15.56,17.96,3577
"38",1991-02-09 23:54:25.85541,1163025,-1456065,0,91,7.4,17.04,3577
"39",1991-02-25 23:54:47.331639,1163025,-1456065,0.08,97.68,0.48,22.04,3577
"40",1991-05-16 23:56:10.773661,1163025,-1456065,0,90.6,8.12,22.32,3577
"41",1991-06-17 23:56:38.944892,1163040,-1456090.71428571,38.8571428571429,50.5,9.5,8.42857142857143,3577
