"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-12 23:49:47.031574,13.1875,58.125,27.375,9.25,1276230,-2155410,3577
"2",1987-09-28 23:50:08.584608,15.1875,55.25,28.4375,10.6875,1276230,-2155410,3577
"3",1987-10-14 23:50:51.037147,15.0625,55.5,28.125,11.1875,1276230,-2155410,3577
"4",1987-12-17 23:51:34.150152,16.25,56.0625,26.25,10.0625,1276230,-2155410,3577
"5",1988-01-02 23:51:49.838345,24.25,56.5,18,12.875,1276230,-2155410,3577
"6",1988-01-18 23:52:07.159618,17.9166666666667,46.0833333333333,34.8333333333333,8.08333333333333,1276230,-2155395,3577
"7",1988-03-06 23:52:50.121576,38.375,34.8125,25.375,11.3125,1276230,-2155410,3577
"8",1988-03-22 23:52:58.545705,31.5625,34.6875,32.5625,10.25,1276230,-2155410,3577
"9",1988-04-07 23:53:04.360756,36.125,46.875,15.625,13.125,1276230,-2155410,3577
"10",1988-05-09 23:53:19.348547,28.4375,47.8125,22.625,12.9375,1276230,-2155410,3577
"11",1988-05-25 23:53:26.302622,24,51.25,23.6875,13.25,1276230,-2155410,3577
"12",1988-06-10 23:53:55.592643,20.125,44.0625,34.625,11.5625,1276230,-2155410,3577
"13",1988-07-12 23:53:40.869147,24.5,53.8125,20.5625,13.625,1276230,-2155410,3577
"14",1988-07-28 23:53:43.087308,20.5625,48.9375,29.0625,12.6875,1276230,-2155410,3577
"15",1988-08-13 23:53:42.203159,9.85714285714286,54.8571428571429,34.1428571428571,19.1428571428571,1276245,-2155420.71428571,3577
"16",1988-08-29 23:53:46.887495,19.5625,49.4375,29.5,12.5625,1276230,-2155410,3577
"17",1988-09-14 23:53:44.01809,21.375,46.875,30.3125,12.4375,1276230,-2155410,3577
"18",1988-09-30 23:53:37.787187,19.5625,47.6875,31.3125,11.75,1276230,-2155410,3577
"19",1988-10-16 23:53:32.988462,18.5625,48.9375,31.1875,11.625,1276230,-2155410,3577
"20",1988-11-01 23:53:35.8643,21,49,28.5625,10.5,1276230,-2155410,3577
"21",1988-11-17 23:53:33.73316,15.625,48.3125,34.875,9.5625,1276230,-2155410,3577
"22",1989-01-04 23:53:18.17835,34.1875,50.75,13.75,16.5,1276230,-2155410,3577
"23",1989-02-21 23:52:54.098539,44.3125,39.0625,15.3125,14.4375,1276230,-2155410,3577
"24",1989-03-25 23:51:55.561796,45.875,44.0625,9,16.4375,1276230,-2155410,3577
"25",1989-04-10 23:52:07.950478,46.125,45.9375,6.5,17.25,1276230,-2155410,3577
"26",1989-04-26 23:51:48.308587,47.4,45.6,5.93333333333333,16.3333333333333,1276227,-2155407,3577
"27",1989-06-13 23:50:55.346059,37.625,52.4375,8.875,15.5,1276230,-2155410,3577
"28",1989-07-31 23:50:01.85743,27.1875,59.4375,12.625,13.9375,1276230,-2155410,3577
"29",1989-08-16 23:49:37.572278,23.4375,57.875,17.5,13.0625,1276230,-2155410,3577
"30",1989-09-01 23:49:20.060767,21.3125,60.0625,17,12.25,1276230,-2155410,3577
"31",1989-09-17 23:48:47.105468,20.9375,62.8125,15.375,12.0625,1276230,-2155410,3577
"32",1989-10-03 23:48:38.343501,19.875,59.5625,19.375,11.25,1276230,-2155410,3577
"33",1989-11-04 23:47:38.50359,23.5,63.3125,11.9375,12,1276230,-2155410,3577
"34",1989-12-22 23:46:13.671651,54.375,39.1875,5.1875,16.125,1276230,-2155410,3577
"35",1990-02-24 23:44:11.377355,26.5625,59.125,13.125,12.3125,1276230,-2155410,3577
"36",1990-03-12 23:43:37.28458,36.4375,54.75,7.75,14.375,1276230,-2155410,3577
"37",1990-04-13 23:43:11.945865,38.8125,44.375,15.375,16.75,1276230,-2155410,3577
"38",1990-04-29 23:43:04.858391,48.75,47,3.375,16.8125,1276230,-2155410,3577
"39",1990-05-15 23:43:15.41099,25.5,74,0,21.5,1276260,-2155365,3577
"40",1990-06-16 23:43:08.610018,30.25,60.125,8.5,16.375,1276230,-2155410,3577
"41",1990-07-02 23:43:08.144948,22.625,60.9375,15.5,15.1875,1276230,-2155410,3577
"42",1990-07-18 23:43:03.257459,20.25,64.1875,14.4375,14.4375,1276230,-2155410,3577
"43",1990-08-03 23:42:59.343488,23.0625,61.375,14.5,14.25,1276230,-2155410,3577
"44",1990-08-19 23:42:56.22175,20.125,60.5,18.125,13.375,1276230,-2155410,3577
"45",1990-09-20 23:42:46.042123,19.75,62.125,17.125,12.0625,1276230,-2155410,3577
