"","time","x","y","bs","pv","npv","ue","spatial_ref"
"1",1987-09-12 23:50:59.004124,1219485,-2610030,50.3,3.5,45.05,8,3577
"2",1987-09-21 23:45:00.743436,1219485,-2610030,51.9,2.5,44.45,7.55,3577
"3",1987-10-23 23:45:36.05311,1219485,-2610030,55,2.85,40.85,7.05,3577
"4",1987-11-08 23:45:57.065515,1219485,-2610030,44.9,3.2,50.85,6.85,3577
"5",1987-11-24 23:46:15.489448,1219485,-2610030,63.45,4.55,30.65,6.65,3577
"6",1987-12-01 23:52:32.264656,1219485,-2610030,65,3.7,30.2,7.15,3577
"7",1987-12-10 23:46:28.322611,1219485,-2610030,53.25,3.45,42.25,7.05,3577
"8",1987-12-17 23:52:46.203242,1219485,-2610030,36.5,1.1,61.35,4.9,3577
"9",1987-12-26 23:46:44.413258,1219485,-2610030,31.95,1.5,65.4,7.05,3577
"10",1988-01-02 23:53:01.715815,1219485,-2610030,43.6,1.8,53.6,6.1,3577
"11",1988-01-11 23:47:00.767658,1219485,-2610030,57.1,4,37.55,6.8,3577
"12",1988-01-18 23:53:19.208968,1219485,-2610030,70.85,6.05,22,6.9,3577
"13",1988-01-27 23:47:18.668535,1219485,-2610030,66.3,4.5,27.8,6.6,3577
"14",1988-02-28 23:47:47.123567,1219485,-2610030,60.05,4.75,33.85,6.05,3577
"15",1988-03-06 23:54:02.025641,1219485,-2610030,60.35,3.35,35.15,7,3577
"16",1988-03-15 23:47:56.023036,1219448.33333333,-2610035,56.6666666666667,2.55555555555556,40,5,3577
"17",1988-03-22 23:54:10.462,1219485,-2610030,54.25,1.95,42.8,7.3,3577
"18",1988-04-07 23:54:16.258733,1219485,-2610030,51.4,2.65,44.5,6.2,3577
"19",1988-04-16 23:48:07.288453,1219485,-2610030,51.85,6.45,40.25,7,3577
"20",1988-04-23 23:54:21.211255,1219485,-2610030,49.75,10.25,38.6,7.35,3577
"21",1988-05-02 23:48:15.269446,1219485,-2610030,54.35,4.85,39.4,7.5,3577
"22",1988-05-09 23:54:31.427046,1219485,-2610030,59.35,4.55,34.7,7.7,3577
"23",1988-05-18 23:48:25.340749,1219485,-2610030,33.75,7.6,57.45,9.55,3577
"24",1988-05-25 23:54:38.382178,1219485,-2610030,53.1,4.4,41.25,8,3577
"25",1988-06-10 23:54:43.45689,1219485,-2610030,61.45,3.35,33.8,8.25,3577
"26",1988-06-19 23:48:36.519111,1219485,-2610030,62.35,1.45,35.1,8,3577
"27",1988-06-26 23:54:49.494061,1219485,-2610030,51.55,3.45,43.7,8.2,3577
"28",1988-07-05 23:48:40.307067,1219485,-2610030,15.45,2.95,80.65,11.8,3577
"29",1988-07-12 23:54:52.660105,1219485,-2610030,52.6,1.85,44.45,8.05,3577
"30",1988-07-21 23:48:42.8215,1219485,-2610030,59.8,2.75,36.1,7.05,3577
"31",1988-07-28 23:54:55.042057,1219485,-2610030,56.85,3.15,38.9,7.95,3577
"32",1988-08-06 23:48:43.294133,1219485,-2610030,61.45,2.6,34.5,7.1,3577
"33",1988-08-13 23:54:54.020229,1219485,-2610030,54.2,3.45,41.05,8.1,3577
"34",1988-08-29 23:54:58.846314,1219485,-2610030,59.55,3.7,35.6,7.65,3577
"35",1988-09-07 23:48:47.782497,1219485,-2610030,52.1,5.55,41.2,7.2,3577
"36",1988-09-14 23:54:55.995465,1219485,-2610030,62.1,6.05,30.65,8.05,3577
"37",1988-09-23 23:48:42.030339,1219485,-2610030,57.15,6.45,35.3,7.75,3577
"38",1988-10-09 23:48:36.509822,1219485,-2610030,47.05,5.6,46.15,6.1,3577
"39",1988-10-16 23:54:44.957387,1219485,-2610030,57.65,4.75,36.35,8,3577
"40",1988-10-25 23:48:33.608456,1219485,-2610030,56.05,5.35,37.35,7.45,3577
"41",1988-11-01 23:54:47.727881,1219485,-2610030,54.3,4.4,39.9,7.95,3577
"42",1988-11-10 23:48:35.127189,1219485,-2610030,54.85,4.75,39,7.55,3577
"43",1988-11-17 23:54:45.73537,1219485,-2610030,57.9,3.5,37.4,8.1,3577
"44",1988-11-26 23:48:36.213751,1219485,-2610030,57.8,3.3,37.7,7.7,3577
"45",1988-12-12 23:48:23.753388,1219485,-2610030,58.35,5.2,35.3,6.65,3577
"46",1988-12-19 23:54:30.828798,1219485,-2610030,54.5,3.8,40.3,7.35,3577
"47",1988-12-28 23:48:19.264352,1219485,-2610030,61.05,3.6,34.2,6.05,3577
"48",1989-01-04 23:54:30.186311,1219485,-2610030,54.45,1.6,43.05,5.95,3577
"49",1989-01-13 23:48:09.329067,1219485,-2610030,51.4,3,44.6,6.3,3577
"50",1989-01-20 23:54:10.230192,1219485,-2610030,57.55,3.2,37.95,6.85,3577
"51",1989-01-29 23:48:25.126232,1219485,-2610030,52.85,2.85,43,6.6,3577
"52",1989-02-21 23:54:05.981683,1219485,-2610030,49.45,20.35,29.35,7.55,3577
"53",1989-03-02 23:47:44.067404,1219485,-2610030,32.65,35.6,30.65,8.9,3577
"54",1989-03-09 23:53:41.228762,1219485,-2610030,37.85,34.45,26.55,8.95,3577
"55",1989-03-18 23:47:03.920046,1219425,-2609985,19,30,50,7,3577
"56",1989-04-10 23:53:19.826149,1219485,-2610030,13.05,28.7,57.05,11.2,3577
"57",1989-04-19 23:46:55.985214,1219485,-2610030,35.7,44.85,18.2,8.5,3577
"58",1989-04-26 23:53:00.194415,1219485,-2610030,25.9,51.4,21.25,10.95,3577
"59",1989-05-05 23:46:45.121625,1219485,-2610030,25.35,54.55,18.9,10.65,3577
