"","time","pv","npv","bs","ue","x","y","spatial_ref"
"1",1987-09-11 23:08:53.618788,63.8,33,1.65,20.55,2030955,-3136740,3577
"2",1987-09-27 23:09:15.450626,43.5,42,13.5,15.5,2031000,-3136785,3577
"3",1987-12-16 23:10:41.136329,72.5,26.1,0.1,19.8,2030955,-3136740,3577
"4",1988-01-01 23:10:57.786457,72.85,25.65,0.3,19.6,2030955,-3136740,3577
"5",1988-01-17 23:11:14.263946,70.7,27.65,0.4,20.8,2030955,-3136740,3577
"6",1988-02-18 23:11:47.589893,75.25,23.7,0,21.3,2030955,-3136740,3577
"7",1988-03-05 23:11:57.324695,69.35,29.15,0.25,21.85,2030955,-3136740,3577
"8",1988-04-22 23:12:16.984612,72.8,25.65,0.35,22.8,2030955,-3136740,3577
"9",1988-05-08 23:12:26.832331,69.7,28.1,0.75,21.2,2030955,-3136740,3577
"10",1988-05-24 23:12:34.176178,72.85,25.85,0.3,22.9,2030955,-3136740,3577
"11",1988-06-09 23:12:39.363256,72.05,26.5,0.25,22.95,2030955,-3136740,3577
"12",1988-06-25 23:12:45.155791,67.35,29.65,1.4,16.05,2030955,-3136740,3577
"13",1988-08-12 23:12:49.750987,40,25.5,33.5,20,2030970,-3136725,3577
"14",1988-08-28 23:12:54.852403,66.55,31.45,0.9,21.3,2030955,-3136740,3577
"15",1988-09-29 23:12:45.099082,66.5,31.15,0.95,20.1,2030955,-3136740,3577
"16",1988-10-15 23:12:40.823637,48.5,37,12.5,9.5,2030910,-3136695,3577
"17",1988-12-02 23:12:39.946367,65.95,32.05,0.75,17.45,2030955,-3136740,3577
"18",1989-01-19 23:12:06.924006,72.5,25.8,0.35,20.05,2030955,-3136740,3577
"19",1989-02-20 23:12:03.178152,71.25,24.7,2.7,13.75,2030955,-3136740,3577
"20",1989-04-09 23:11:15.957808,74.3,24.35,0.05,23.05,2030955,-3136740,3577
"21",1989-04-25 23:10:57.381524,71.55,25.7,1.5,21.45,2030955,-3136740,3577
"22",1989-06-12 23:10:05.849229,69,28.85,1,23.1,2030955,-3136740,3577
"23",1989-07-14 23:09:29.882171,67.25,28.15,3.05,18.7,2030955,-3136740,3577
"24",1989-07-30 23:09:11.311363,71.75,26.2,0.6,17.25,2030955,-3136740,3577
"25",1989-08-31 23:08:29.295506,63.95,33.8,1.05,18.9,2030955,-3136740,3577
"26",1989-09-16 23:07:56.08524,67.3,30.65,0.8,21.1,2030955,-3136740,3577
"27",1989-10-18 23:07:04.286344,60.3,37.75,0.7,17.65,2030955,-3136740,3577
"28",1990-03-11 23:02:46.897319,83,15.6,0,22.5,2030955,-3136740,3577
"29",1990-04-12 23:02:18.899687,75,22.5,1,23.25,2030955,-3136710,3577
"30",1990-05-30 23:02:17.744157,75.3846153846154,22.6153846153846,0.692307692307692,24.8461538461538,2030952.69230769,-3136734.23076923,3577
"31",1990-06-15 23:02:16.315063,58.35,31.05,9,15.7,2030955,-3136740,3577
"32",1990-07-01 23:02:16.293992,72.8235294117647,26.1176470588235,0,24.1764705882353,2030965.58823529,-3136739.11764706,3577
"33",1990-09-03 23:01:57.241661,69.85,28.7,0.35,21.1,2030955,-3136740,3577
"34",1990-10-21 23:01:39.587476,66.7,31.45,0.8,19.8,2030955,-3136740,3577
"35",1990-12-08 23:01:24.754181,64,33.7,0.9,19.15,2030955,-3136740,3577
"36",1990-12-24 23:01:45.151765,19.65,79.35,0,3.15,2030955,-3136740,3577
"37",1991-02-10 23:02:49.627679,72.9,25.3,0.45,19.75,2030955,-3136740,3577
"38",1991-04-15 23:04:03.804665,54.9,22,21.75,10.5,2030955,-3136740,3577
"39",1991-05-17 23:04:34.41795,43.8,55.2,0.35,8.6,2030955,-3136740,3577
"40",1991-06-02 23:04:51.42899,55.65,28.25,14.75,15.7,2030955,-3136740,3577
"41",1991-06-18 23:05:02.454566,43.4285714285714,13.8571428571429,41.7142857142857,9.28571428571429,2030907.85714286,-3136742.14285714,3577
"42",1991-07-20 23:05:31.298163,69,29,0.8,20.85,2030955,-3136740,3577
"43",1991-08-05 23:05:37.749766,35.05,38.35,25.25,20.2,2030955,-3136740,3577
"44",1991-08-21 23:05:42.099217,57.45,38.35,2.7,18.5,2030955,-3136740,3577
"45",1991-09-06 23:05:56.587131,56.1,41.35,1.4,17.2,2030955,-3136740,3577
"46",1991-10-08 23:06:10.568825,43.75,55.5,0,13.65,2030955,-3136740,3577
"47",1991-11-25 23:06:25.046324,35.25,62.75,1.25,20.75,2030962.5,-3136710,3577
